Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",France,13.52,18.31,15.86,21.55,21.03,20.06,18.83
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Croatia,25.12,20.72,24.78,27.89,27.27,35.47,33.81
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Hungary,5.55,11.18,14.69,24.36,29.93,35.94,24.56
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Ireland,7.34,14.23,15.27,41.46 bu,23.54 u,25.53,25.73
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Iceland,:,39.99,36.88,42.98,:,:,:
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Italy,23.49,23.32,20.47,37.95,36.94,33.15,35.4
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Lithuania,14.93,21.9,23.58,27.27,32.47,24.06,24.83
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Luxembourg,30.38,44.33,28.21 b,28.38,27.66,21.52,26.65
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Latvia,9.47,14.12,20.08,34.07,34.05,29.55,30.83
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Montenegro,:,13.33,11.78,23.06,27.8,21.75,22.23
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",North Macedonia,9.82,14.09,13.34,26.85,:,:,28.81
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Malta,21.3,36.34,28.03,30.21,35.9,42.81,21.48
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Netherlands,31.56,16.22,17.35,26.42,24.53,31.21,31.62
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Norway,16.17,20.98,20.19,16.85,21.59,19.45,28.42
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Poland,11.75,15.2,24.27,22.04,21.35,18.3,20.82
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Portugal,23.88,25.03,25.22,33.95,28.03,25.61,24.62
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Romania,8.96,13.25,12.23,19.29,21.49,19.54,28.21
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Serbia,12.97,:,11.42,9.95,8.87,2.58,5.71
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Sweden,24.84,30.26,24.22,16.74,17.54,17.42,14.12
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Slovenia,16.13,10.42,9.59,20.39,45.47,34.81,51.09
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Slovakia,4.16,10.4,15.85,26.34,21.73,20.59,23.79
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Türkiye,19.65,17.38,25.44,13.6,16.3,17.91,15.48
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",United Kingdom,24.45,29.42,27.29,:,:,:,:
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Kosovo*,:,9.16,25.21,:,:,:,:
