Time frequency,Age class,Health indicator,Unit of measure,Sex,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Ireland,1139.3,1080.6,1147.4,1132.7,1160.7,1161.0,1147.5,1160.0,1155.1,1141.6,1051.6,1089.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Iceland,:,:,:,:,1108.2,1063.7,1026.1,979.0,:,987.1,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Italy,2155.2,2046.6,2029.0,1956.6,1904.8,1879.4,1856.6,1824.4,1788.9,1763.7,1388.6,1511.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Liechtenstein,:,:,:,:,:,738.8,731.8,434.6,345.1,484.9,457.6,487.5
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Lithuania,4624.9,4860.0,4794.7,4420.3,4387.3,4339.1,4193.1,4283.3,4226.1,4166.9,2864.3,2632.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Luxembourg,1916.5,1933.5,1844.8,1759.2,1727.6,1556.9,1462.8,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Latvia,2792.1,3081.5,3146.6,3090.9,3068.0,3126.9,3193.2,3119.7,3198.9,3204.3,2864.3,2647.9
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Montenegro,:,:,:,:,:,1727.9,1684.7,1710.4,1739.9,1661.8,1130.2,1275.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Malta,1344.3,1452.4,1541.3,1524.2,1530.3,1566.7,1445.5,1574.4,1449.1,1367.3,1090.9,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Netherlands,1696.0,1719.5,1638.2,1363.3,1385.2,1385.6,1379.8,1347.9,1289.5,1283.4,1169.5,1172.1
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Norway,2378.9,2100.6,2115.1,2051.2 b,2013.3,1992.5,2734.3,2731.6,1946.6,1968.7,1816.6,1876.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Poland,2592.4,2591.2,2627.3,2661.5,2760.9,2682.2,2788.5,2784.6,2637.9,2568.1,1880.0,2058.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Portugal,1089.0,1076.8,1103.2,1121.4,1102.2,1112.4,:,:,1092.3,1174.6,991.5,1060.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Romania,3326.0,3002.4,3026.8,3049.5,2943.4,2895.0,2872.9,2870.1,2924.3,2935.6,1588.5,1585.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Serbia,:,:,:,:,1997.2,:,1998.3,1964.3,:,2036.1,1331.3,1425.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Sweden,2361.1,:,:,2121.9,2052.8,1952.0,1848.5,1785.1,1732.7,1707.6,1562.0,1607.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Slovenia,2029.3,2121.3,2101.4,2008.4,2086.0,2112.6,2096.2,2009.8,1995.6,1968.8,1639.9,1680.5
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Slovakia,2730.7,2689.5,2945.7,:,2947.8,2904.5,2845.8,2791.1,2683.0,2625.8,2209.9,2006.9
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Türkiye,1524.0,1637.3,:,:,1380.3,1428.5,1358.6,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),United Kingdom,1269.1,1258.0,1229.0,1224.5,1206.6,1205.9,1178.0,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Austria,1743.6,1727.7,1675.5,1716.9,1636.5,1703.6,1626.2,1632.9,1659.3,1634.4,1139.2,1040.6
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Belgium,:,1330.0,1369.4,1334.5,1277.8,:,:,1338.7,1404.2,1370.5,1236.7,1292.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Bulgaria,3150.9,3024.9,2964.9,3131.3,3322.0,3115.9,2985.1,3087.9,3161.9,3285.9,2284.8,1849.1
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Switzerland,889.8,901.7,911.7,957.3,944.5,1019.0,1015.2,1031.1,1065.7,1052.9,1052.7,1079.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Cyprus,637.1,491.1,434.6,572.9,738.2,769.4,723.0,795.6,760.7,841.1,421.3,1278.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Czechia,1278.0,1309.7,1239.2,1379.6,1329.4,1336.9,1244.0,1271.8,1265.1,1203.3,1117.9,1506.6
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Germany,1445.5,1472.7,1489.3,1616.6,1528.2,1642.6,1602.2,1634.6,1641.2,1601.7,1289.1,1284.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Denmark,1393.9,1417.0,1385.6,1419.1,1390.4,:,1426.5,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Estonia,1646.5,1656.0,1572.4,1617.3,1539.4,:,:,1374.4,1369.2,1324.3,997.8,1512.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Greece,1496.1,1617.2,1635.3,1196.4,1308.7,1282.2,:,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Spain,1100.3,1122.4,1122.4,1087.4,1142.7,919.1,1262.7,1276.5,1357.2,1273.1,1115.9,754.9
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Finland,1413.2,1502.7,1475.3,1379.9,1390.8,1451.5,1492.4,1436.3,1441.1,:,926.4,829.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),France,985.3,1038.4,1058.5,1035.7,1010.1,1062.8,1068.4,1065.0,1097.5,1080.0,780.6,782.5
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Croatia,1018.2,1042.9,949.9,1013.5,1017.8,1037.7,958.1,985.8,958.9,999.8,887.4,1255.6
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Hungary,1679.3,1654.2,1538.3,1574.5,1596.4,1555.5,1435.3,1494.1,1447.9,1429.2,817.0,597.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Ireland,1204.0,1268.5,1477.9,1446.0,1478.4,1497.5,1592.0,1509.3,1587.5,1578.5,1057.4,1100.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Iceland,:,:,:,:,578.8,407.2,576.6,620.9,:,483.7,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Italy,1044.7,1012.4,1009.4,994.6,978.1,1004.7,972.9,1003.3,1015.7,1016.4,704.6,683.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Liechtenstein,:,:,:,:,:,429.4,461.3,437.3,368.7,399.4,581.0,525.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Lithuania,2379.6,2596.7,2360.1,2553.4,2270.5,2276.6,2339.8,2331.6,2222.7,2158.3,1404.9,1889.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Luxembourg,1132.3,1191.7,1207.8,1114.0,1053.5,1080.2,1025.3,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Latvia,1685.2,2047.8,1852.2,1843.8,1489.6,1612.0,1707.8,1704.4,1660.7,1562.5,910.7,720.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Montenegro,:,:,:,:,:,1490.3,1358.5,1396.8,1369.5,1427.6,850.1,958.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Malta,995.0,1166.1,1201.3,1301.4,1212.5,1244.6,1229.6,1338.3,1256.8,1338.3,750.0,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Netherlands,786.1,832.6,814.3,802.4,766.0,834.6,839.7,780.2,772.7,730.4,465.3,448.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Norway,1342.6,1307.7,1309.8,1259.6 b,1213.8,1257.5,1728.9,1727.8,1274.3,1263.7,918.4,983.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Poland,1216.7,1260.6,1256.3,1369.5,1310.2,1301.9,1345.6,1356.1,1245.8,1148.0,732.8,856.5
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Portugal,547.6,554.8,572.9,550.5,566.0,557.6,:,:,974.4,987.0,704.0,605.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Romania,2942.8,2720.6,2621.0,2650.9,2526.0,2533.2,2358.1,2317.4,2337.9,2284.2,1868.6,1877.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Serbia,:,:,:,:,1056.8,:,1023.5,1002.9,:,1067.2,1227.3,1826.9
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Sweden,1010.5,:,:,1092.1,1013.3,1048.5,1006.6,1001.4,996.6,962.4,671.0,666.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Slovenia,1451.0,1431.3,1432.9,1506.8,1554.7,1522.6,1470.2,1459.2,1434.8,1442.1,1187.2,1468.6
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Slovakia,1483.6,1347.2,1350.2,:,1428.1,1446.8,1423.0,1439.9,1387.7,1371.4,1032.3,1516.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),Türkiye,1807.7,1992.1,:,:,2114.9,2205.6,2138.6,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the respiratory system (J00-J99),United Kingdom,1225.3,1192.0,1286.3,1253.3,1367.4,1393.4,1463.3,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Austria,3261.4,3282.7,3261.8,3224.8,3197.2,3041.4,3024.2,2996.8,2969.0,2929.8,2266.0,2403.1
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Belgium,:,1460.0,1453.9,1424.4,1441.6,:,:,1493.8,1472.4,1472.0,1106.9,1295.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Bulgaria,849.1,1120.9,1366.1,1616.6,1740.7,1594.3,1712.1,1771.9,1842.8,1870.5,1400.4,1317.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Switzerland,2121.6,2191.5,2188.8,2198.2,2243.2,2235.9,2274.1,2168.7,2093.5,2061.7,1911.4,2034.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Cyprus,189.8,147.6,137.0,175.5,203.5,175.4,174.7,215.8,225.2,198.1,74.3,569.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Czechia,1711.5,1682.4,1629.7,1558.6,1648.8,1630.5,1644.9,1609.3,1608.0,1490.2,1085.1,978.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Germany,2725.7,2755.6,2784.1,2758.7,2860.9,2799.7,2812.7,2774.7,2707.9,2729.3,2262.5,2209.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Denmark,925.4,881.9,853.5,829.0,836.7,:,787.7,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Estonia,1111.2,1111.6,1082.3,1093.1,1115.8,:,:,973.7,981.4,983.3,879.9,790.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Greece,811.2,804.7,784.0,548.6,527.7,505.2,:,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Spain,740.1,734.7,706.2,739.1,757.4,742.5,756.2,758.9,766.7,763.5,567.3,650.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Finland,1313.9,1284.8,1298.8,1254.7,1211.8,1180.5,1210.6,1201.7,1198.7,:,1066.9,1111.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),France,1166.2,1198.2,1211.0,1210.2,1211.9,1175.4,1152.0,1137.4,1118.2,1095.5,859.7,915.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Croatia,876.8,965.1,964.3,925.3,942.2,1018.1,993.1,1070.7,1125.7,1141.8,830.1,931.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Hungary,1775.1,1854.3,1838.8,1888.5,1936.8,1967.3,1983.4,1956.9,1913.9,1890.1,1021.6,599.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Ireland,463.8,460.8,515.4,553.8,558.3,580.6,577.1,575.8,563.5,545.3,490.7,510.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Iceland,:,:,:,:,586.8,477.6,739.3,780.1,:,656.2,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Italy,851.5,816.8,818.4,795.4,770.1,765.9,772.5,768.2,757.7,740.8,532.8,640.9
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Liechtenstein,:,:,:,:,:,1232.2,1304.5,526.8,473.3,529.0,565.5,482.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Lithuania,1171.6,1379.0,1649.6,1615.3,1654.5,1762.8,1826.0,2068.7,1958.6,1986.8,1231.5,1275.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Luxembourg,1679.6,1789.3,1717.9,1686.7,1626.9,1581.1,1485.3,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Latvia,579.6,718.3,754.8,777.9,775.6,827.2,955.9,956.5,950.2,937.7,792.1,1278.6
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Montenegro,:,:,:,:,:,800.4,744.3,668.7,771.0,803.5,502.8,543.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Malta,442.3,468.7,525.2,521.3,500.5,534.4,569.9,553.0,503.1,454.3,296.3,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Netherlands,873.9,877.4,863.9,771.1,766.7,740.1,722.4,695.6,661.4,657.2,500.2,483.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Norway,1092.9,1015.1,1031.9,1042.3 b,1057.1,1044.9,1362.1,1331.4,987.7,976.2,846.4,907.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Poland,838.9,875.8,883.5,910.4,917.9,826.7,1054.3,1071.8,1041.9,1047.6,720.0,859.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Portugal,373.1,379.7,389.0,386.2,376.8,369.5,:,:,329.1,353.3,261.8,355.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Romania,1461.3,1384.2,1444.6,1532.1,1542.3,1556.3,1590.2,1620.7,1689.0,1779.6,762.1,800.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Serbia,:,:,:,:,856.2,:,907.5,912.5,:,982.4,523.1,616.9
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Sweden,950.1,:,:,930.5,912.7,852.5,787.5,788.9,782.6,784.8,626.2,633.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Slovenia,981.6,1042.3,1028.1,987.6,1033.5,1061.7,1082.3,1109.8,1082.4,1101.0,840.8,799.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Slovakia,1128.5,1127.3,1209.8,:,1358.1,1381.5,1443.1,1505.8,1495.9,1486.7,1021.9,705.5
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),Türkiye,722.0,798.4,:,:,760.3,730.2,725.1,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),United Kingdom,812.3,800.7,775.8,784.3,787.0,784.2,784.7,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Austria,1299.8,1267.5,1274.3,1265.4,1278.2,1276.8,1313.6,1288.0,1244.0,1211.5,1128.7,1152.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Belgium,:,1381.1,1371.5,1336.3,1308.7,:,:,1237.2,1226.4,1213.5,1136.9,1179.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Bulgaria,1878.3,1825.7,1854.3,1907.3,1911.3,1883.4,1897.7,1857.4,1799.2,1797.4,1661.9,1627.6
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Switzerland,1233.7,1222.3,1231.0,1222.3,1236.2,1242.7,1247.9,1220.3,1205.1,1170.7,1136.6,1183.6
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Cyprus,540.4,522.0,488.7,520.2,559.3,533.7,529.9,566.0,549.4,533.7,258.0,1039.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Czechia,1521.8,1408.2,1328.3,1386.0,1402.0,1398.4,1401.7,1398.4,1360.8,1300.8,1219.7,1226.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Germany,1094.1,1073.6,1091.8,1117.7,1167.7,1194.8,1253.8,1234.0,1217.3,1196.3,1124.0,1139.9
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Denmark,1091.0,1007.0,977.5,945.3,945.5,:,970.2,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Estonia,1827.4,1682.8,1645.0,1619.7,1535.5,:,:,1454.3,1481.7,1431.7,1277.8,1220.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Greece,1504.6,1346.7,1332.1,1025.0,997.0,983.4,:,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Spain,1258.6,1196.8,1135.4,1055.9,1059.5,947.4,1022.9,962.7,909.2,877.6,803.2,789.9
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Finland,1297.4,1270.1,1252.3,1202.0,1160.0,1103.0,1066.5,1004.5,930.0,:,891.3,947.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",France,1555.3,1528.1,1508.0,1492.4,1471.5,1438.8,1406.5,1371.0,1352.8,1338.3,1278.1,1289.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Croatia,1322.7,1291.0,1280.3,1202.5,1188.0,1101.9,1177.6,1117.2,1191.0,1172.7,1125.1,1172.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Hungary,1370.9,1325.6,1336.1,1332.0,1345.2,1324.2,1326.8,1273.5,1247.4,1237.1,1185.3,1056.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Ireland,2691.7,2646.8,2609.7,2470.0,2460.3,2364.4,2289.1,2178.8,2123.9,2024.6,1839.0,1940.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Iceland,:,:,:,:,1504.3,1146.3,1345.7,1318.3,:,1389.5,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Italy,1206.7,1164.2,1154.1,1081.5,1039.7,999.9,980.4,942.1,901.3,846.6,791.7,787.8
