Time frequency,Size classes in percentage,Change,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,10 percent or over,Decrease,Enterprises - number,Total - all NACE activities,Number,Hungary,1372.0
Annual,10 percent or over,Decrease,Enterprises - number,Total - all NACE activities,Number,Italy,9871.0
Annual,10 percent or over,Decrease,Enterprises - number,Total - all NACE activities,Number,Latvia,459.0
Annual,10 percent or over,Decrease,Enterprises - number,Total - all NACE activities,Number,Sweden,2015.0
Annual,10 percent or over,Increase,Enterprises - number,Industry and construction,Number,Austria,27 u
Annual,10 percent or over,Increase,Enterprises - number,Industry and construction,Number,Germany,1824.0
Annual,10 percent or over,Increase,Enterprises - number,Industry and construction,Number,Italy,710.0
Annual,10 percent or over,Increase,Enterprises - number,Industry and construction,Number,Latvia,68.0
Annual,10 percent or over,Increase,Enterprises - number,Industry and construction,Number,Sweden,153.0
Annual,10 percent or over,Increase,Enterprises - number,Industry and construction (except manufacturing),Number,Bulgaria,16.0
Annual,10 percent or over,Increase,Enterprises - number,Industry and construction (except manufacturing),Number,Hungary,4.0
Annual,10 percent or over,Increase,Enterprises - number,Manufacturing,Number,Bulgaria,122.0
Annual,10 percent or over,Increase,Enterprises - number,Manufacturing,Number,Hungary,125.0
Annual,10 percent or over,Increase,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,96.0
Annual,10 percent or over,Increase,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,108.0
Annual,10 percent or over,Increase,Enterprises - number,Services of the business economy,Number,Austria,55 u
Annual,10 percent or over,Increase,Enterprises - number,Services of the business economy,Number,Germany,5039.0
Annual,10 percent or over,Increase,Enterprises - number,Services of the business economy,Number,Italy,925.0
Annual,10 percent or over,Increase,Enterprises - number,Services of the business economy,Number,Latvia,86.0
Annual,10 percent or over,Increase,Enterprises - number,Services of the business economy,Number,Sweden,430.0
Annual,10 percent or over,Increase,Enterprises - number,Services of the business economy (except trade),Number,Bulgaria,80.0
Annual,10 percent or over,Increase,Enterprises - number,Services of the business economy (except trade),Number,Hungary,86.0
Annual,10 percent or over,Increase,Enterprises - number,Total - all NACE activities,Number,Austria,82 u
Annual,10 percent or over,Increase,Enterprises - number,Total - all NACE activities,Number,Bulgaria,314.0
Annual,10 percent or over,Increase,Enterprises - number,Total - all NACE activities,Number,Germany,6863.0
Annual,10 percent or over,Increase,Enterprises - number,Total - all NACE activities,Number,Hungary,323.0
Annual,10 percent or over,Increase,Enterprises - number,Total - all NACE activities,Number,Italy,1636.0
Annual,10 percent or over,Increase,Enterprises - number,Total - all NACE activities,Number,Latvia,154.0
Annual,10 percent or over,Increase,Enterprises - number,Total - all NACE activities,Number,Sweden,583.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Industry and construction,Number,Austria,121 u
Annual,Less than 10 percent,Decrease,Enterprises - number,Industry and construction,Number,Germany,3758.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Industry and construction,Number,Italy,2121.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Industry and construction,Number,Latvia,144.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Industry and construction,Number,Sweden,395.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Industry and construction (except manufacturing),Number,Bulgaria,131.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Industry and construction (except manufacturing),Number,Hungary,52.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Manufacturing,Number,Bulgaria,351.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Manufacturing,Number,Hungary,255.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,153.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,97.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Services of the business economy,Number,Austria,122 u
Annual,Less than 10 percent,Decrease,Enterprises - number,Services of the business economy,Number,Germany,4282.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Services of the business economy,Number,Italy,1595.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Services of the business economy,Number,Latvia,192.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Services of the business economy,Number,Sweden,646.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Services of the business economy (except trade),Number,Bulgaria,255.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Services of the business economy (except trade),Number,Hungary,187.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Total - all NACE activities,Number,Austria,243 u
Annual,Less than 10 percent,Decrease,Enterprises - number,Total - all NACE activities,Number,Bulgaria,890.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Total - all NACE activities,Number,Germany,8040.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Total - all NACE activities,Number,Hungary,591.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Total - all NACE activities,Number,Italy,3716.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Total - all NACE activities,Number,Latvia,336.0
Annual,Less than 10 percent,Decrease,Enterprises - number,Total - all NACE activities,Number,Sweden,1041.0
Annual,Less than 10 percent,Increase,Enterprises - number,Industry and construction,Number,Austria,59 u
Annual,Less than 10 percent,Increase,Enterprises - number,Industry and construction,Number,Germany,2352.0
Annual,Less than 10 percent,Increase,Enterprises - number,Industry and construction,Number,Italy,735.0
Annual,Less than 10 percent,Increase,Enterprises - number,Industry and construction,Number,Latvia,78.0
Annual,Less than 10 percent,Increase,Enterprises - number,Industry and construction,Number,Sweden,222.0
Annual,Less than 10 percent,Increase,Enterprises - number,Industry and construction (except manufacturing),Number,Bulgaria,12.0
Annual,Less than 10 percent,Increase,Enterprises - number,Industry and construction (except manufacturing),Number,Hungary,15.0
Annual,Less than 10 percent,Increase,Enterprises - number,Manufacturing,Number,Bulgaria,99.0
Annual,Less than 10 percent,Increase,Enterprises - number,Manufacturing,Number,Hungary,200.0
Annual,Less than 10 percent,Increase,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,65.0
Annual,Less than 10 percent,Increase,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,79.0
Annual,Less than 10 percent,Increase,Enterprises - number,Services of the business economy,Number,Austria,76 u
Annual,Less than 10 percent,Increase,Enterprises - number,Services of the business economy,Number,Germany,5908.0
Annual,Less than 10 percent,Increase,Enterprises - number,Services of the business economy,Number,Italy,918.0
Annual,Less than 10 percent,Increase,Enterprises - number,Services of the business economy,Number,Latvia,98.0
Annual,Less than 10 percent,Increase,Enterprises - number,Services of the business economy,Number,Sweden,324.0
Annual,Less than 10 percent,Increase,Enterprises - number,Services of the business economy (except trade),Number,Bulgaria,67.0
Annual,Less than 10 percent,Increase,Enterprises - number,Services of the business economy (except trade),Number,Hungary,99.0
Annual,Less than 10 percent,Increase,Enterprises - number,Total - all NACE activities,Number,Austria,135 u
Annual,Less than 10 percent,Increase,Enterprises - number,Total - all NACE activities,Number,Bulgaria,243.0
Annual,Less than 10 percent,Increase,Enterprises - number,Total - all NACE activities,Number,Germany,8259.0
Annual,Less than 10 percent,Increase,Enterprises - number,Total - all NACE activities,Number,Hungary,393.0
Annual,Less than 10 percent,Increase,Enterprises - number,Total - all NACE activities,Number,Italy,1654.0
Annual,Less than 10 percent,Increase,Enterprises - number,Total - all NACE activities,Number,Latvia,176.0
Annual,Less than 10 percent,Increase,Enterprises - number,Total - all NACE activities,Number,Sweden,546.0
Annual,Total,Decrease,Enterprises - number,Industry and construction,Number,Austria,292 u
Annual,Total,Decrease,Enterprises - number,Industry and construction,Number,Germany,12285.0
Annual,Total,Decrease,Enterprises - number,Industry and construction,Number,Italy,7085.0
Annual,Total,Decrease,Enterprises - number,Industry and construction,Number,Latvia,334.0
Annual,Total,Decrease,Enterprises - number,Industry and construction,Number,Sweden,989.0
Annual,Total,Decrease,Enterprises - number,Industry and construction (except manufacturing),Number,Bulgaria,325.0
Annual,Total,Decrease,Enterprises - number,Industry and construction (except manufacturing),Number,Hungary,163.0
Annual,Total,Decrease,Enterprises - number,Manufacturing,Number,Bulgaria,1007.0
Annual,Total,Decrease,Enterprises - number,Manufacturing,Number,Hungary,839.0
Annual,Total,Decrease,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,422.0
Annual,Total,Decrease,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,280.0
Annual,Total,Decrease,Enterprises - number,Services of the business economy,Number,Austria,364 u
Annual,Total,Decrease,Enterprises - number,Services of the business economy,Number,Germany,17326.0
Annual,Total,Decrease,Enterprises - number,Services of the business economy,Number,Italy,6502.0
Annual,Total,Decrease,Enterprises - number,Services of the business economy,Number,Latvia,461.0
Annual,Total,Decrease,Enterprises - number,Services of the business economy,Number,Sweden,2067.0
Annual,Total,Decrease,Enterprises - number,Services of the business economy (except trade),Number,Bulgaria,694.0
Annual,Total,Decrease,Enterprises - number,Services of the business economy (except trade),Number,Hungary,681.0
Annual,Total,Decrease,Enterprises - number,Total - all NACE activities,Number,Austria,656 u
Annual,Total,Decrease,Enterprises - number,Total - all NACE activities,Number,Bulgaria,2448.0
Annual,Total,Decrease,Enterprises - number,Total - all NACE activities,Number,Germany,29612.0
Annual,Total,Decrease,Enterprises - number,Total - all NACE activities,Number,Hungary,1963.0
Annual,Total,Decrease,Enterprises - number,Total - all NACE activities,Number,Italy,13587.0
Annual,Total,Decrease,Enterprises - number,Total - all NACE activities,Number,Latvia,795.0
Annual,Total,Decrease,Enterprises - number,Total - all NACE activities,Number,Sweden,3056.0
Annual,Total,Increase,Enterprises - number,Industry and construction,Number,Austria,86 u
Annual,Total,Increase,Enterprises - number,Industry and construction,Number,Germany,4175.0
Annual,Total,Increase,Enterprises - number,Industry and construction,Number,Italy,1445.0
Annual,Total,Increase,Enterprises - number,Industry and construction,Number,Latvia,146.0
Annual,Total,Increase,Enterprises - number,Industry and construction,Number,Sweden,375.0
Annual,Total,Increase,Enterprises - number,Industry and construction (except manufacturing),Number,Bulgaria,28.0
Annual,Total,Increase,Enterprises - number,Industry and construction (except manufacturing),Number,Hungary,19.0
Annual,Total,Increase,Enterprises - number,Manufacturing,Number,Bulgaria,221.0
Annual,Total,Increase,Enterprises - number,Manufacturing,Number,Hungary,325.0
Annual,Total,Increase,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,161.0
Annual,Total,Increase,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,187.0
Annual,Total,Increase,Enterprises - number,Services of the business economy,Number,Austria,131 u
Annual,Total,Increase,Enterprises - number,Services of the business economy,Number,Germany,10947.0
Annual,Total,Increase,Enterprises - number,Services of the business economy,Number,Italy,1843.0
Annual,Total,Increase,Enterprises - number,Services of the business economy,Number,Latvia,184.0
Annual,Total,Increase,Enterprises - number,Services of the business economy,Number,Sweden,754.0
Annual,Total,Increase,Enterprises - number,Services of the business economy (except trade),Number,Bulgaria,147.0
Annual,Total,Increase,Enterprises - number,Services of the business economy (except trade),Number,Hungary,185.0
Annual,Total,Increase,Enterprises - number,Total - all NACE activities,Number,Austria,217 u
Annual,Total,Increase,Enterprises - number,Total - all NACE activities,Number,Bulgaria,557.0
Annual,Total,Increase,Enterprises - number,Total - all NACE activities,Number,Germany,15122.0
Annual,Total,Increase,Enterprises - number,Total - all NACE activities,Number,Hungary,716.0
Annual,Total,Increase,Enterprises - number,Total - all NACE activities,Number,Italy,3290.0
Annual,Total,Increase,Enterprises - number,Total - all NACE activities,Number,Latvia,330.0
Annual,Total,Increase,Enterprises - number,Total - all NACE activities,Number,Sweden,1129.0
Annual,Total,No change,Enterprises - number,Industry and construction,Number,Austria,160 u
Annual,Total,No change,Enterprises - number,Industry and construction,Number,Germany,8473.0
Annual,Total,No change,Enterprises - number,Industry and construction,Number,Italy,3001.0
Annual,Total,No change,Enterprises - number,Industry and construction,Number,Latvia,264.0
Annual,Total,No change,Enterprises - number,Industry and construction,Number,Sweden,782.0
Annual,Total,No change,Enterprises - number,Industry and construction (except manufacturing),Number,Bulgaria,336.0
Annual,Total,No change,Enterprises - number,Industry and construction (except manufacturing),Number,Hungary,158.0
Annual,Total,No change,Enterprises - number,Manufacturing,Number,Bulgaria,464.0
Annual,Total,No change,Enterprises - number,Manufacturing,Number,Hungary,432.0
Annual,Total,No change,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,242.0
Annual,Total,No change,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,169.0
Annual,Total,No change,Enterprises - number,Services of the business economy,Number,Austria,203 u
Annual,Total,No change,Enterprises - number,Services of the business economy,Number,Germany,10421.0
Annual,Total,No change,Enterprises - number,Services of the business economy,Number,Italy,3607.0
Annual,Total,No change,Enterprises - number,Services of the business economy,Number,Latvia,270.0
Annual,Total,No change,Enterprises - number,Services of the business economy,Number,Sweden,847.0
Annual,Total,No change,Enterprises - number,Services of the business economy (except trade),Number,Bulgaria,482.0
Annual,Total,No change,Enterprises - number,Services of the business economy (except trade),Number,Hungary,688.0
Annual,Total,No change,Enterprises - number,Total - all NACE activities,Number,Austria,363 u
Annual,Total,No change,Enterprises - number,Total - all NACE activities,Number,Bulgaria,1524.0
Annual,Total,No change,Enterprises - number,Total - all NACE activities,Number,Germany,18893.0
Annual,Total,No change,Enterprises - number,Total - all NACE activities,Number,Hungary,1447.0
Annual,Total,No change,Enterprises - number,Total - all NACE activities,Number,Italy,6608.0
Annual,Total,No change,Enterprises - number,Total - all NACE activities,Number,Latvia,534.0
Annual,Total,No change,Enterprises - number,Total - all NACE activities,Number,Sweden,1630.0
Annual,Total,Total,Enterprises - number,Industry and construction,Number,Austria,538 u
Annual,Total,Total,Enterprises - number,Industry and construction,Number,Germany,24933.0
Annual,Total,Total,Enterprises - number,Industry and construction,Number,Italy,11531.0
Annual,Total,Total,Enterprises - number,Industry and construction,Number,Latvia,744.0
Annual,Total,Total,Enterprises - number,Industry and construction,Number,Sweden,2147.0
Annual,Total,Total,Enterprises - number,Industry and construction (except manufacturing),Number,Bulgaria,689.0
Annual,Total,Total,Enterprises - number,Industry and construction (except manufacturing),Number,Hungary,340.0
Annual,Total,Total,Enterprises - number,Manufacturing,Number,Bulgaria,1692.0
Annual,Total,Total,Enterprises - number,Manufacturing,Number,Hungary,1596.0
Annual,Total,Total,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,825.0
Annual,Total,Total,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,636.0
Annual,Total,Total,Enterprises - number,Services of the business economy,Number,Austria,698 u
Annual,Total,Total,Enterprises - number,Services of the business economy,Number,Germany,38694.0
Annual,Total,Total,Enterprises - number,Services of the business economy,Number,Italy,11952.0
Annual,Total,Total,Enterprises - number,Services of the business economy,Number,Latvia,915.0
Annual,Total,Total,Enterprises - number,Services of the business economy,Number,Sweden,3668.0
Annual,Total,Total,Enterprises - number,Services of the business economy (except trade),Number,Bulgaria,1323.0
Annual,Total,Total,Enterprises - number,Services of the business economy (except trade),Number,Hungary,1554.0
Annual,Total,Total,Enterprises - number,Total - all NACE activities,Number,Austria,1236 u
Annual,Total,Total,Enterprises - number,Total - all NACE activities,Number,Bulgaria,4529.0
Annual,Total,Total,Enterprises - number,Total - all NACE activities,Number,Germany,63627.0
Annual,Total,Total,Enterprises - number,Total - all NACE activities,Number,Hungary,4126.0
Annual,Total,Total,Enterprises - number,Total - all NACE activities,Number,Italy,23485.0
Annual,Total,Total,Enterprises - number,Total - all NACE activities,Number,Latvia,1659.0
Annual,Total,Total,Enterprises - number,Total - all NACE activities,Number,Sweden,5815.0
