Time frequency,Professional position,Sex,Seniority category,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Researchers,Females,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Portugal,12649.0,12943.0,:
Annual,Researchers,Females,Total,Head count,Austria,17907.0,:,:
Annual,Researchers,Females,Total,Head count,Bosnia and Herzegovina,783.0,:,:
Annual,Researchers,Females,Total,Head count,Belgium,15947.0,:,:
Annual,Researchers,Females,Total,Head count,Bulgaria,4673.0,4643.0,:
Annual,Researchers,Females,Total,Head count,Switzerland,22166 d,22755 d,:
Annual,Researchers,Females,Total,Head count,Cyprus,728.0,:,:
Annual,Researchers,Females,Total,Head count,Czechia,9906.0,10167.0,10364 p
Annual,Researchers,Females,Total,Head count,Germany,125078 d,:,:
Annual,Researchers,Females,Total,Head count,Euro area - 19 countries  (2015-2022),417052 e,:,:
Annual,Researchers,Females,Total,Head count,Euro area – 20 countries (from 2023),422655 e,:,:
Annual,Researchers,Females,Total,Head count,Estonia,2452.0,2734.0,:
Annual,Researchers,Females,Total,Head count,Greece,15792.0,18027.0,:
Annual,Researchers,Females,Total,Head count,Spain,60487.0,62663.0,:
Annual,Researchers,Females,Total,Head count,European Union - 27 countries (from 2020),535938 e,:,:
Annual,Researchers,Females,Total,Head count,Finland,12691 d,13517 d,:
Annual,Researchers,Females,Total,Head count,France,57697.0,58457.0,:
Annual,Researchers,Females,Total,Head count,Croatia,5603.0,5420.0,:
Annual,Researchers,Females,Total,Head count,Hungary,10111.0,11131.0,:
Annual,Researchers,Females,Total,Head count,Ireland,9059 e,:,:
Annual,Researchers,Females,Total,Head count,Iceland,1303.0,1361 u,:
Annual,Researchers,Females,Total,Head count,Italy,34895 e,36526 e,:
Annual,Researchers,Females,Total,Head count,Japan,97460 d,98882 d,:
Annual,Researchers,Females,Total,Head count,South Korea,38792.0,40443.0,:
Annual,Researchers,Females,Total,Head count,Lithuania,6565.0,6501.0,:
Annual,Researchers,Females,Total,Head count,Luxembourg,651.0,:,:
Annual,Researchers,Females,Total,Head count,Latvia,3363.0,3291.0,:
Annual,Researchers,Females,Total,Head count,North Macedonia,:,1080.0,:
Annual,Researchers,Females,Total,Head count,Malta,433.0,473.0,:
Annual,Researchers,Females,Total,Head count,Netherlands,14216.0,14425.0,:
Annual,Researchers,Females,Total,Head count,Norway,15737.0,16182.0,:
Annual,Researchers,Females,Total,Head count,Poland,49642.0,50141.0,:
Annual,Researchers,Females,Total,Head count,Portugal,28444.0,28728.0,:
Annual,Researchers,Females,Total,Head count,Romania,7882.0,8032.0,:
Annual,Researchers,Females,Total,Head count,Serbia,6086.0,6352.0,6671.0
Annual,Researchers,Females,Total,Head count,Sweden,18137 b,:,:
Annual,Researchers,Females,Total,Head count,Slovenia,2155.0,2256.0,:
Annual,Researchers,Females,Total,Head count,Slovakia,8492.0,8446.0,:
Annual,Researchers,Females,Total,Head count,Türkiye,66529.0,72120.0,:
Annual,Researchers,Total,Single highest grade/post at which research is normally conducted,Head count,Greece,4070.0,4024.0,:
Annual,Researchers,Total,Single highest grade/post at which research is normally conducted,Head count,Spain,13610 u,14092.0,:
Annual,Researchers,Total,Single highest grade/post at which research is normally conducted,Head count,Croatia,2403.0,2542.0,:
Annual,Researchers,Total,Single highest grade/post at which research is normally conducted,Head count,Hungary,1378 e,1362 e,:
Annual,Researchers,Total,Single highest grade/post at which research is normally conducted,Head count,Malta,129.0,134.0,:
Annual,Researchers,Total,Single highest grade/post at which research is normally conducted,Head count,Poland,15177.0,15365.0,:
Annual,Researchers,Total,Single highest grade/post at which research is normally conducted,Head count,Portugal,1872.0,1795.0,:
Annual,Researchers,Total,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Greece,2710.0,2579.0,:
Annual,Researchers,Total,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Spain,49458 u,50701.0,:
Annual,Researchers,Total,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Croatia,4523.0,4391.0,:
Annual,Researchers,Total,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Hungary,3634 e,3576 e,:
Annual,Researchers,Total,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Malta,593.0,590.0,:
Annual,Researchers,Total,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Poland,24567.0,25504.0,:
Annual,Researchers,Total,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Portugal,6128.0,6093.0,:
Annual,Researchers,Total,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Greece,9356.0,9821.0,:
Annual,Researchers,Total,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Spain,31480 u,34485.0,:
Annual,Researchers,Total,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Croatia,1597.0,1551.0,:
Annual,Researchers,Total,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Hungary,11053 e,11255 e,:
Annual,Researchers,Total,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Malta,69.0,69.0,:
Annual,Researchers,Total,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Poland,37696.0,37744.0,:
Annual,Researchers,Total,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Portugal,21986.0,21749.0,:
Annual,Researchers,Total,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Greece,21739.0,25067.0,:
Annual,Researchers,Total,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Spain,42109 u,41293.0,:
Annual,Researchers,Total,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Croatia,2288.0,2049.0,:
Annual,Researchers,Total,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Hungary,2565 e,2307 e,:
Annual,Researchers,Total,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Malta,362.0,429.0,:
Annual,Researchers,Total,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Poland,28558.0,27757.0,:
Annual,Researchers,Total,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Portugal,23705.0,24490.0,:
Annual,Researchers,Total,Total,Head count,Austria,41791.0,:,:
Annual,Researchers,Total,Total,Head count,Bosnia and Herzegovina,1624.0,:,:
Annual,Researchers,Total,Total,Head count,Belgium,36725.0,:,:
Annual,Researchers,Total,Total,Head count,Bulgaria,8509.0,8532.0,:
Annual,Researchers,Total,Total,Head count,Switzerland,53295 d,53889 d,:
Annual,Researchers,Total,Total,Head count,Cyprus,1856.0,:,:
Annual,Researchers,Total,Total,Head count,Czechia,27851.0,28214.0,28092 p
Annual,Researchers,Total,Total,Head count,Germany,301833 d,:,:
Annual,Researchers,Total,Total,Head count,Euro area - 19 countries  (2015-2022),958674 e,:,:
Annual,Researchers,Total,Total,Head count,Euro area – 20 countries (from 2023),969485 e,:,:
Annual,Researchers,Total,Total,Head count,Estonia,5066.0,5494.0,:
Annual,Researchers,Total,Total,Head count,Greece,37875.0,41491.0,:
Annual,Researchers,Total,Total,Head count,Spain,137380.0,140571.0,:
Annual,Researchers,Total,Total,Head count,European Union - 27 countries (from 2020),1221013 e,:,:
Annual,Researchers,Total,Total,Head count,Finland,25392 d,27007 d,:
Annual,Researchers,Total,Total,Head count,France,137688.0,139109.0,:
Annual,Researchers,Total,Total,Head count,Croatia,10811.0,10533.0,:
Annual,Researchers,Total,Total,Head count,Hungary,25832.0,29899.0,:
Annual,Researchers,Total,Total,Head count,Ireland,18804 e,:,:
Annual,Researchers,Total,Total,Head count,Iceland,2537.0,2499 u,:
Annual,Researchers,Total,Total,Head count,Italy,83067 e,86249 e,:
Annual,Researchers,Total,Total,Head count,Japan,341131 d,342478 d,:
Annual,Researchers,Total,Total,Head count,South Korea,114635.0,114854.0,:
Annual,Researchers,Total,Total,Head count,Lithuania,11777.0,11520.0,:
Annual,Researchers,Total,Total,Head count,Luxembourg,1768.0,:,:
Annual,Researchers,Total,Total,Head count,Latvia,6295.0,6071.0,:
Annual,Researchers,Total,Total,Head count,North Macedonia,:,2037.0,:
Annual,Researchers,Total,Total,Head count,Malta,1153.0,1222.0,:
Annual,Researchers,Total,Total,Head count,Netherlands,31082.0,31155.0,:
Annual,Researchers,Total,Total,Head count,Norway,30715.0,31117.0,:
Annual,Researchers,Total,Total,Head count,Poland,105998.0,106370.0,:
Annual,Researchers,Total,Total,Head count,Portugal,56287.0,56924.0,:
Annual,Researchers,Total,Total,Head count,Romania,15221.0,15807.0,:
Annual,Researchers,Total,Total,Head count,Serbia,11746.0,12037.0,12382.0
Annual,Researchers,Total,Total,Head count,Sweden,38747 b,:,:
Annual,Researchers,Total,Total,Head count,Slovenia,4823.0,5044.0,:
Annual,Researchers,Total,Total,Head count,Slovakia,18012.0,17920.0,:
Annual,Researchers,Total,Total,Head count,Türkiye,144935.0,155398.0,:
Annual,Researchers,Total,Total,Head count,United States,358098.0,:,:
