Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,65 years or over,Total,European Union - 27 countries (2007-2013),21.8,19.9,20.3,19.1,18.1,17.7,17.3,18.1,18.1,18.6,18.7 e,:
Annual,Percentage,65 years or over,Total,European Union - 27 countries (from 2020),:,19.8 e,20.1 e,19.4 e,18.2 e,17.6 e,17.3 e,18.2 e,18.2 e,18.4 e,18.5 e,19.4 b
Annual,Percentage,65 years or over,Total,European Union - 28 countries (2013-2020),:,20.1,20.4,19.2,18.2,17.8,17.4,18.2,18.2,18.7,18.9 e,:
Annual,Percentage,65 years or over,Total,Finland,23.1,19.5,19.8,19.5,16.8,17.0,14.5,13.6,13.2,14.0,15.3,14.7
Annual,Percentage,65 years or over,Total,France,13.4,11.8,11.5,11.1,10.8,10.1,9.3,10.0,9.6,9.9,11.2,10.8 b
Annual,Percentage,65 years or over,Total,Croatia,:,37.5,36.4,33.1,31.9,29.7,31.8,32.8,32.7,32.0,33.6,33.8
Annual,Percentage,65 years or over,Total,Hungary,17.5,16.8,19.0,22.0,20.2,19.0,17.1,15.1,16.8,13.3,14.4,18.8
Annual,Percentage,65 years or over,Total,Ireland,17.9,11.3,13.8,15.2,13.7,14.4,16.2,18.1,16.2,20.9,11.8 b,16.2 b
Annual,Percentage,65 years or over,Total,Iceland,12.4,5.3,4.5,5.0,4.2,7.3,6.2,6.4,9.7,5.1,5.2,:
Annual,Percentage,65 years or over,Total,Italy,22.9,20.4,24.0,24.7,22.0,20.2,19.9,23.2,22.0,20.2,19.8,19.4
Annual,Percentage,65 years or over,Total,Lithuania,35.3,29.8,30.9,35.7,31.7,31.9,36.0,37.4,40.3,42.7,37.4,39.4
Annual,Percentage,65 years or over,Total,Luxembourg,6.2,6.1,4.7,6.1,7.0,6.4,8.2,8.9 b,11.7,9.9,9.6,7.3 b
Annual,Percentage,65 years or over,Total,Latvia,55.5,36.8,33.0,33.7,36.1,39.3,42.1,43.1,43.9,49.0,50.5,43.7
Annual,Percentage,65 years or over,Total,Montenegro,:,:,:,:,28.3,20.4,23.8,21.2,21.1,17.0,19.0,22.1
Annual,Percentage,65 years or over,Total,North Macedonia,:,40.9,48.3,50.0,44.0,38.5,35.2,34.6,36.6,35.8,34.5,31.6
Annual,Percentage,65 years or over,Total,Malta,22.2,21.7,21.0,22.3,20.9,23.5,24.3,26.0,26.2,26.7,29.1,28.4
Annual,Percentage,65 years or over,Total,Netherlands,8.1,6.2,6.9,6.2,6.1,6.9,6.1,10.0 b,10.6,11.8,12.6,12.2
Annual,Percentage,65 years or over,Total,Norway,12.3,12.3,11.4,9.6,9.8,9.9,9.2,9.5,8.6,7.9,8.7,8.7
Annual,Percentage,65 years or over,Total,Poland,25.8,24.4,24.7,23.4,19.7,18.2,17.0,16.1,17.4,18.1,19.2,19.5
Annual,Percentage,65 years or over,Total,Portugal,26.0,26.1,24.5,22.2,20.3,21.1,21.7,21.8,20.7,21.2,20.0,20.2
Annual,Percentage,65 years or over,Total,Romania,43.3,40.1,36.2,35.4,35.8,35.0,33.3,34.0,33.2,32.8,33.9,31.5
Annual,Percentage,65 years or over,Total,Serbia,:,:,:,:,35.7,36.5,36.0,32.0,32.5,30.0,28.5,28.3
Annual,Percentage,65 years or over,Total,Sweden,16.5,14.8,16.4,16.2,15.2,13.7,16.2,17.0,16.1,14.7,15.4,15.5
Annual,Percentage,65 years or over,Total,Slovenia,23.3,22.8,24.2,22.8,23.0,20.1,20.2,19.9,18.3,20.1,20.5,21.1
Annual,Percentage,65 years or over,Total,Slovakia,19.7,16.7,14.5,16.3,13.6,13.4,12.8,12.3,12.1,11.9,14.2,13.1
Annual,Percentage,65 years or over,Total,Türkiye,52.0,55.8,54.8,52.4,46.7 b,34.1,37.8,36.5,32.1,28.9,28.5,30.9
Annual,Percentage,65 years or over,Total,United Kingdom,23.1,22.3,22.7,17.3 b,18.1,19.0,17.9,18.0,18.0 b,21.2,:,:
