Time frequency,Seasonal adjustment,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Romania,22.4,22.4,22.4,24.4,24.4,24.4,26.1,26.1,26.1,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Sweden,25.5,20.0,24.2,22.8,21.6,25.0,24.0,20.9,25.7,22.6,24.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Slovenia,10.1,10.1,10.1,12.2,12.2,12.2,11.3,11.3,11.3,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Slovakia,18.7,20.1,20.6,20.6,20.3,19.2,18.3,17.6,17.3,17.5,17.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Türkiye,21.3,20.5,21.2,20.6,21.0,23.6,24.7,22.2,23.9,23.8,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,United States,5.9,8.3,8.4,7.8,8.1,8.3,8.7,9.1,8.5,8.5,7.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Austria,9.2 u,8.5 u,8.8 u,9.8 u,11.3 u,10.1 u,10.9 u,11.2 u,11.0 u,11.1 u,11.1 u,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Bosnia and Herzegovina,27.5,27.5,27.5,26.8,26.8,26.8,26.9,26.9,26.9,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Belgium,19.4,19.4,19.4,19.7,19.7,19.7,20.2,20.2,20.2,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Bulgaria,15.7,16.3,15.7,14.1,12.7,12.3,12.3,11.6,11.3,11.6,12.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Switzerland,7.6,7.5,7.3,6.4,6.3,7.0,8.4,9.2,10.2,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Cyprus,16.4,16.4,16.4,13.9,13.9,13.9,11.8,11.8,11.8,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Czechia,7.1,7.5,7.5,7.3,10.1,10.8,11.1,10.9,11.9,9.6,8.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Germany,6.8,6.9,7.0,7.0,7.1,7.2,7.3,7.3,7.3,7.3,7.3,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Euro area – 20 countries (from 2023),15.2,15.3,14.8,14.7,14.8,14.8,15.2,15.1,15.3,15.5,15.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Estonia,16.7,16.1,13.4,19.1,22.1,25.3,24.4,22.3,19.2,16.8,16.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Greece,24.8,30.4,20.2,22.5,22.1,21.7,16.5,16.4,18.4,22.5,17.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Spain,28.9,28.3,27.6,27.0,26.7,26.1,25.9,25.5,25.3,25.5,25.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,European Union - 27 countries (from 2020),15.2,15.5,15.1,14.9,15.1,15.0,15.5,15.3,15.6,15.6,15.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Finland,20.1,18.1,21.7,21.0,18.8,15.6,19.5,19.0,21.5,21.6,19.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,France,19.1,19.3,18.7,17.6,17.6,18.4,19.5,20.3,20.7,21.1,21.3,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Croatia,16.1,16.1,16.1,15.6,15.6,15.6,15.2,15.2,15.2,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Hungary,15.6,16.0,16.0,14.9,14.6,14.7,16.0,16.7,17.4,16.9,15.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Ireland,10.7,9.9,10.2,10.6,10.5,10.4,11.3,10.3,10.5,10.8,11.3,11.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Iceland,9.1,9.0,8.8,8.7,8.5,8.4,8.2,8.1,8.1,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Italy,19.6,19.6,19.6,19.4,19.4,19.4,18.9,18.9,18.9,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Lithuania,16.9,12.5,10.9,18.9,24.7,26.8,22.8,20.1,19.1,19.5,18.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Luxembourg,23.2,24.1,23.1,24.4,25.3,25.4,25.5,25.5,25.7,25.8,25.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Latvia,9.0,7.1,7.8,10.7,12.8,14.3,15.6,17.1,18.3,19.1,19.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Malta,10.2,10.1,9.7,9.5,10.3,10.4,10.4,10.7,10.7,10.4,10.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Netherlands,8.6,9.1,9.2,9.1,8.7,8.6,8.7,8.8,8.8,8.8,8.6,8.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Norway,12.9,11.6,12.3,14.6,13.5,12.8,12.4,12.2,13.3,13.9,10.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Poland,12.0,11.7,11.4,11.3,11.0,11.0,10.9,10.9,10.7,10.6,10.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Portugal,24.7,21.8,20.7,20.5,20.7,20.9,21.5,20.2,21.3,21.4,21.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Romania,19.3,19.3,19.3,22.5,22.5,22.5,24.9,24.9,24.9,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Sweden,23.4,24.9,26.7,25.0,24.8,23.0,27.5,23.6,25.9,24.5,24.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Slovenia,9.2,9.2,9.2,8.8,8.8,8.8,16.7,16.7,16.7,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Slovakia,21.5,21.1,21.2,21.8,21.8,20.6,18.9,17.8,17.8,17.9,18.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,Türkiye,14.0,13.4,12.2,12.6,13.1,14.5,12.3,13.6,13.3,12.6,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Percentage of population in the labour force,United States,8.8,9.2,9.1,8.6,10.2,9.4,9.4,10.3,9.9,10.5,10.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Austria,9.9,9.0,10.0,9.7,9.8,9.5,9.6,12.6,9.6,11.3,10.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Bosnia and Herzegovina,29.0,29.0,29.0,28.3,28.3,28.3,29.3,29.3,29.3,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Belgium,16.8,16.8,16.8,17.1,17.1,17.1,18.5,18.5,18.5,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Bulgaria,15.3,15.4,14.6,13.1,12.0,11.8,12.4,12.2,12.0,12.1,12.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Switzerland,7.9,8.0,7.8,7.2,7.2,7.6,8.2,8.6,9.7,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Cyprus,15.7,15.7,15.7,14.6,14.6,14.6,12.3,12.3,12.3,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Czechia,7.9,8.3,7.8,7.6,9.8,10.5,11.2,10.8,12.1,10.4,10.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Germany,6.3,6.4,6.5,6.6,6.6,6.7,6.7,6.6,6.6,6.5,6.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Denmark,12.4,14.3,14.7,12.4,13.8,14.8,13.6,15.2,15.3,14.5,17.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Euro area – 20 countries (from 2023),14.7,14.7,14.5,14.4,14.6,14.6,14.9,14.9,14.9,15.0,15.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Estonia,17.2,16.0,16.3,20.2,23.4,24.6,23.4,20.8,19.3,16.7,16.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Greece,24.0,27.9,22.0,24.7,26.8,22.0,20.3,17.6,16.1,23.3,23.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Spain,28.2,27.7,27.1,26.6,26.6,26.5,26.8,26.6,26.5,26.7,26.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,European Union - 27 countries (from 2020),14.9,14.9,14.8,14.6,14.8,14.8,15.2,15.1,15.3,15.2,15.3,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Finland,18.9,16.7,21.4,19.2,18.5,16.4,18.1,18.5,19.6,18.8,19.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,France,18.1,18.2,18.1,17.6,17.9,18.7,19.5,20.1,20.4,20.6,20.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Croatia,17.1,17.1,17.1,16.5,16.5,16.5,16.0,16.0,16.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Hungary,15.0,15.5,15.2,14.4,14.2,14.6,15.6,16.2,17.0,16.7,16.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Ireland,11.1,10.0,10.0,10.1,10.0,9.9,10.9,10.1,10.6,10.9,11.2,11.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Iceland,8.6,8.6,8.6,8.6,8.6,8.7,8.7,8.7,8.7,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Italy,21.8,22.4,20.3,20.4,20.8,20.8,20.8,19.0,18.9,17.8,19.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Japan,3.7,4.2,4.5,4.1,4.2,3.9,4.3,4.2,4.0,3.6,3.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Lithuania,13.8,11.4,10.6,16.3,20.1,21.4,21.4,20.8,20.5,18.5,18.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Luxembourg,22.0,22.5,21.8,22.2,22.7,22.5,22.6,22.6,22.7,23.1,23.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Latvia,11.2,10.8,12.0,15.2,16.7,16.0,13.2,12.7,12.7,13.7,14.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Malta,9.1,8.7,8.2,7.5,8.3,8.8,9.6,10.6,11.3,10.6,10.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Netherlands,8.2,8.7,8.7,8.7,8.4,8.6,8.6,8.9,9.0,8.9,8.7,8.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Norway,12.2,11.0,11.7,13.8,12.8,12.1,11.6,11.4,12.4,13.0,9.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Poland,11.9,11.6,11.2,10.7,10.4,10.5,10.8,10.9,10.8,10.8,10.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Portugal,24.2,22.3,22.6,21.8,22.6,21.0,20.8,20.1,21.7,22.1,21.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Romania,20.5,20.5,20.5,23.2,23.2,23.2,25.3,25.3,25.3,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Sweden,24.4,22.5,25.5,23.9,23.3,24.0,25.8,22.3,25.8,23.6,24.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Slovenia,9.5,9.5,9.5,10.1,10.1,10.1,14.6,14.6,14.6,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Slovakia,20.4,20.7,21.0,21.4,21.2,20.1,18.7,17.7,17.6,17.7,17.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,Türkiye,16.5,15.8,15.3,15.3,15.8,17.6,16.6,16.6,16.9,16.6,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Total,Percentage of population in the labour force,United States,7.3,8.8,8.8,8.2,9.2,8.9,9.1,9.7,9.2,9.5,9.4,:
