Time frequency,Housing,Unit of measure,Geopolitical entity (reporting)\Time,2001.0
Annual,Non conventional housing (excl. homelessness),Number,Cyprus,799.0
Annual,Non conventional housing (excl. homelessness),Number,Czechia,35025.0
Annual,Non conventional housing (excl. homelessness),Number,Germany,12800.0
Annual,Non conventional housing (excl. homelessness),Number,Estonia,1069.0
Annual,Non conventional housing (excl. homelessness),Number,Greece,10778.0
Annual,Non conventional housing (excl. homelessness),Number,Spain,3143.0
Annual,Non conventional housing (excl. homelessness),Number,Hungary,5396.0
Annual,Non conventional housing (excl. homelessness),Number,Ireland,8341.0
Annual,Non conventional housing (excl. homelessness),Number,Italy,23581.0
Annual,Non conventional housing (excl. homelessness),Number,Liechtenstein,20.0
Annual,Non conventional housing (excl. homelessness),Number,Lithuania,495.0
Annual,Non conventional housing (excl. homelessness),Number,Latvia,0.0
Annual,Non conventional housing (excl. homelessness),Number,Netherlands,153208.0
Annual,Non conventional housing (excl. homelessness),Number,Poland,6042.0
Annual,Non conventional housing (excl. homelessness),Number,Portugal,29183.0
Annual,Non conventional housing (excl. homelessness),Number,Romania,4311.0
Annual,Non conventional housing (excl. homelessness),Number,Slovenia,1252.0
Annual,Non conventional housing (excl. homelessness),Number,Slovakia,12221.0
Annual,Non conventional housing (excl. homelessness),Number,United Kingdom,102655.0
Annual,Total housing,Number,Austria,3339631.0
Annual,Total housing,Number,Belgium,4296486.0
Annual,Total housing,Number,Bulgaria,2922254.0
Annual,Total housing,Number,Switzerland,3115399.0
Annual,Total housing,Number,Cyprus,223790.0
Annual,Total housing,Number,Czechia,4270717.0
Annual,Total housing,Number,Germany,36118300.0
Annual,Total housing,Number,Estonia,582089.0
Annual,Total housing,Number,Greece,3664392.0
Annual,Total housing,Number,Spain,14187169.0
Annual,Total housing,Number,Finland,2295386.0
Annual,Total housing,Number,France,23808072.0
Annual,Total housing,Number,Hungary,3862702.0
Annual,Total housing,Number,Ireland,1287958.0
Annual,Total housing,Number,Italy,21801809.0
Annual,Total housing,Number,Liechtenstein,13282.0
Annual,Total housing,Number,Lithuania,1356826.0
Annual,Total housing,Number,Latvia,795700.0
Annual,Total housing,Number,Netherlands,6866302.0
Annual,Total housing,Number,Poland,13337040.0
Annual,Total housing,Number,Portugal,3650757.0
Annual,Total housing,Number,Romania,7362353.0
Annual,Total housing,Number,Slovenia,684847.0
Annual,Total housing,Number,Slovakia,1896554.0
Annual,Total housing,Number,United Kingdom,25506006.0
Annual,Unknown,Number,Estonia,3713.0
Annual,Unknown,Number,Greece,105454.0
Annual,Unknown,Number,Lithuania,46689.0
Annual,Unknown,Number,Portugal,400.0
