Time frequency,Income and living conditions indicator,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Italy,0.97,0.97,1.0,1.0,1.0,0.98,0.98,1.05,0.97,0.98
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Lithuania,0.74,0.68,0.67,0.63,0.6,0.62,0.61,0.61,0.58,0.59
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Luxembourg,1.11,1.04,1.17 b,1.09,1.23,1.21,1.25 b,1.22 b,1.10 b,1.1
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Latvia,0.67,0.62,0.61,0.58,0.55,:,0.6,0.57,0.6,0.6
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Montenegro,1.1,1.09,1.05,0.99,1.04,1.1,1.09,1.02,1.02,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,North Macedonia,1.05,1.07,1.06,1.06,1.08,1.09,1.12,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Malta,0.76,0.74,0.7,0.7,0.69,0.69,0.74,0.74,0.7,0.65
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Netherlands,0.89,0.88,0.82 b,0.79,0.8,0.8,0.79,0.72,0.71,0.76
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Norway,0.87,0.88,0.86,0.86,0.86,0.87,0.85,0.88 b,0.9,0.88 b
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Poland,0.93,0.93,0.92,0.89,0.87,0.84,0.82,0.85,0.87,0.85
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Portugal,0.9,0.89,0.88,0.89,0.87,0.89,0.89,0.89,0.92,0.91
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Romania,0.94,0.92,0.89,0.87,0.85,0.8,0.81,0.82,0.96,0.89
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Serbia,0.96,0.99,0.98,0.95,0.96,0.94,0.9,0.91,0.85,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Sweden,0.77,0.73,0.71,0.73,0.74,0.76,0.74,0.77,0.76,0.77
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Slovenia,0.85,0.85,0.84,0.85,0.82,0.8,0.79,0.8,0.78,0.77
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Slovakia,0.89,0.9,0.9,0.88,0.89,0.85,0.85,0.92,0.98,1.0
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Türkiye,1.06,1.03,1.02,0.99,1.01,1.09,1.07,1.14,1.08,0.95
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,United Kingdom,0.86,0.87,0.86,0.87 b,0.85,:,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Kosovo*,:,:,:,:,1.05,:,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Albania,:,:,:,1.07,0.99,0.99,0.97,0.99,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Austria,1.0,1.03,1.01,1.02,0.99,1.02,1.01,1.01,0.99,0.96
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Belgium,0.8,0.81,0.78,0.8,0.81,0.80 b,0.76,0.79,0.77,0.78
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Bulgaria,0.87,0.78,0.87 b,0.78,0.83,0.74,0.72,0.79,0.81,0.84
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Switzerland,0.87 b,0.87,0.87,0.87,0.9,0.82,0.84,0.85,0.85,0.82
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Cyprus,0.82,0.87,0.86,0.85,0.85,0.82,0.86,0.83,0.78,0.78
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Czechia,0.86,0.82,0.8,0.79,0.76,0.74,0.75,0.82,0.76,0.78
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Germany,0.91,0.89,0.86,0.86,0.85,0.84,0.84 b,0.88,0.86,0.87
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Denmark,0.8,0.78,0.76,0.79,0.79,0.77,0.80 b,0.78,0.79,0.79
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.98 e,0.98 e,0.97 e,0.96 e,0.96 e,0.95,0.95 b,0.96,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Euro area - 18 countries (2014),0.98,0.98,0.97,0.97,0.96,0.95,0.95 b,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Euro area - 19 countries  (2015-2022),0.98,0.98,0.97,0.96,0.96,0.95,0.95 b,0.96,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Euro area – 20 countries (from 2023),0.98,0.98,0.97,0.96,0.96,0.95,0.94,0.96,0.93,0.93
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Estonia,0.69 b,0.68,0.65,0.63,0.61,0.63,0.64,0.66,0.57,0.59
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Greece,1.03,1.09,1.11,1.07,1.05,1.04,1.04,1.05,1.02,1.0
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Spain,1.09,1.06,1.05,1.01,1.0,1.04,1.04,1.09,1.05,1.05
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",0.97 e,0.97 e,0.96 e,0.95 e,0.94 e,0.93 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,European Union - 27 countries (2007-2013),0.98,0.97,0.96,0.95,0.94,0.94 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,European Union - 27 countries (from 2020),0.99 e,0.98 e,0.97 e,0.96 e,0.95 e,0.94 e,0.93 b,0.94,0.93,0.92
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,European Union - 28 countries (2013-2020),0.97,0.97,0.96,0.95,0.94,0.93 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Finland,0.86,0.88,0.89,0.9,0.89,0.87,0.88,0.87,0.84,0.84
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,France,1.06,1.09,1.05,1.06,1.07,1.03,1.00 b,0.96,0.95 b,0.95
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Croatia,0.93,0.9,0.88,0.86,0.83,0.82,0.8,0.78,0.76,0.74 b
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Hungary,1.1,1.09,1.05,1.04,1.03,0.96,0.9,0.92,1.0,0.85
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Ireland,0.91,0.91,0.89,0.88,0.86,0.96 b,0.90 b,0.91,0.85,0.93
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Iceland,0.96,0.96,0.96,0.95,0.96,0.98,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Italy,1.02,1.02,1.04,1.05,1.04,1.05,1.03,1.09,1.0,1.01
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Lithuania,0.83,0.8,0.77,0.78,0.71,0.75,0.72,0.71,0.7,0.71
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Luxembourg,1.14,1.12,1.23 b,1.14,1.28,1.28,1.30 b,1.21 b,1.12 b,1.12
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Latvia,0.8,0.71,0.67,0.66,0.63,:,0.66,0.67,0.72,0.69
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Montenegro,1.22,1.2,1.16,1.16,1.25,1.18,1.18,1.12,1.16,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,North Macedonia,1.2,1.2,1.2,1.18,1.16,1.16,1.15,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Malta,0.8,0.77,0.74,0.74,0.75,0.75,0.79,0.77,0.75,0.7
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Netherlands,0.91,0.9,0.85 b,0.83,0.83,0.83,0.82,0.77,0.76,0.8
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Norway,0.97,0.97,0.96,0.96,0.97,0.97,0.96,0.96 b,0.94,0.95 b
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Poland,1.08,1.06,1.04,0.99,0.96,0.94,0.9,0.91,0.93,0.9
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Portugal,1.0,0.98,0.97,0.98,0.95,0.96,0.96,0.97,1.03,0.98
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Romania,1.14,1.11,1.1,1.07,0.96,0.92,0.93,0.9,1.02,0.98
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Serbia,1.2,1.21,1.17,1.12,1.09,1.0,0.94,0.95,0.93,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Sweden,0.9,0.86,0.84,0.85,0.88,0.88,0.88,0.88,0.87,0.88
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Slovenia,0.98,0.99,0.96,0.91,0.9,0.87,0.88,0.89,0.84,0.85
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Slovakia,0.93,0.94,0.94,0.92,0.92,0.87,0.86,0.94,0.95,1.02
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Türkiye,1.05,1.06,1.03,1.06,1.06,1.11,1.1,1.17,1.1,0.96
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,United Kingdom,0.89,0.89,0.91,0.90 b,0.91,:,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Males,Kosovo*,:,:,:,:,1.12,:,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Albania,:,:,:,1.04,0.98,0.99,0.97,0.98,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Austria,0.95,0.98,0.97,0.97,0.95,0.98,0.97,0.97,0.95,0.9
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Belgium,0.77,0.79,0.76,0.79,0.78,0.78 b,0.75,0.77,0.73,0.75
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Bulgaria,0.82,0.71,0.80 b,0.71,0.75,0.67,0.65,0.7,0.68,0.75
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Switzerland,0.82 b,0.83,0.82,0.83,0.85,0.78,0.8,0.79,0.79,0.78
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Cyprus,0.75,0.8,0.79,0.8,0.8,0.77,0.79,0.79,0.77,0.77
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Czechia,0.84,0.81,0.79,0.76,0.74,0.73,0.73,0.79,0.73,0.76
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Germany,0.9,0.87,0.84,0.85,0.84,0.84,0.82 b,0.85,0.84,0.84
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Denmark,0.78,0.77,0.75,0.77,0.78,0.77,0.78 b,0.77,0.77,0.78
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.95 e,0.95 e,0.94 e,0.94 e,0.93 e,0.93,0.92 b,0.93,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Euro area - 18 countries (2014),0.95,0.95,0.94,0.94,0.93,0.93,0.92 b,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Euro area - 19 countries  (2015-2022),0.95,0.95,0.94,0.94,0.93,0.93,0.92 b,0.93,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Euro area – 20 countries (from 2023),0.95,0.95,0.94,0.94,0.93,0.92,0.92,0.93,0.9,0.91
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Estonia,0.63 b,0.62,0.6,0.59,0.57,0.58,0.6,0.61,0.53,0.56
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Greece,1.0,1.04,1.07,1.04,1.01,1.0,1.0,1.0,0.97,0.94
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Spain,1.03,1.01,1.01,0.98,0.95,1.0,1.0,1.03,1.01,1.02
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",0.94 e,0.93 e,0.93 e,0.92 e,0.91 e,0.90 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,European Union - 27 countries (2007-2013),0.94,0.93,0.93,0.92,0.91,0.90 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,European Union - 27 countries (from 2020),0.95 e,0.94 e,0.93 e,0.92 e,0.91 e,0.90 e,0.89 b,0.91,0.9,0.89
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,European Union - 28 countries (2013-2020),0.94,0.93,0.93,0.92,0.91,0.90 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Finland,0.79,0.81,0.83,0.84,0.82,0.81,0.8,0.8,0.79,0.8
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,France,1.02,1.04,1.02,1.03,1.04,1.0,0.98 b,0.95,0.93 b,0.94
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Croatia,0.88,0.85,0.84,0.82,0.79,0.75,0.76,0.74,0.72,0.70 b
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Hungary,1.05,1.01,1.01,0.98,0.97,0.9,0.87,0.87,0.96,0.79
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Ireland,0.88,0.88,0.85,0.84,0.84,0.92 b,0.89 b,0.88,0.82,0.92
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Iceland,0.9,0.92,0.92,0.92,0.94,0.96,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Italy,0.99,0.99,1.01,1.02,1.01,1.01,1.0,1.06,0.98,0.98
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Lithuania,0.77,0.73,0.71,0.69,0.64,0.68,0.65,0.65,0.63,0.63
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Luxembourg,1.11,1.08,1.19 b,1.11,1.25,1.25,1.28 b,1.22 b,1.10 b,1.12
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Latvia,0.71,0.65,0.63,0.61,0.58,:,0.62,0.61,0.64,0.63
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Montenegro,1.15,1.14,1.1,1.06,1.13,1.13,1.13,1.07,1.07,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,North Macedonia,1.1,1.12,1.13,1.12,1.12,1.13,1.14,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Malta,0.77,0.75,0.72,0.71,0.72,0.71,0.77,0.76,0.72,0.67
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Netherlands,0.89,0.89,0.82 b,0.81,0.81,0.8,0.8,0.74,0.73,0.78
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Norway,0.92,0.92,0.91,0.91,0.91,0.91,0.9,0.92 b,0.92,0.91 b
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Poland,0.99,0.99,0.97,0.93,0.91,0.88,0.85,0.87,0.89,0.87
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Portugal,0.94,0.92,0.91,0.92,0.9,0.92,0.91,0.93,0.96,0.94
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Romania,1.04,1.0,0.97,0.95,0.9,0.83,0.86,0.86,0.97,0.93
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Serbia,1.06,1.07,1.08,1.03,1.02,0.97,0.92,0.93,0.89,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Sweden,0.82,0.79,0.77,0.78,0.8,0.81,0.8,0.82,0.81,0.82
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Slovenia,0.91,0.9,0.89,0.88,0.85,0.83,0.83,0.84,0.8,0.8
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Slovakia,0.91,0.91,0.91,0.89,0.9,0.85,0.86,0.93,0.96,1.01
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Türkiye,1.06,1.04,1.03,1.01,1.03,1.1,1.09,1.15,1.09,0.95
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,United Kingdom,0.87,0.88,0.89,0.89 b,0.88,:,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Kosovo*,:,:,:,:,1.07,:,:,:,:,:
