Time frequency,Other gainful activity of the holder,Eurofarm indicators,Unit of measure,Other gainful activity of the spouse,Age class,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Finland,22.43,21.49,19.8,16.54
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,France,137.69,127.47,122.33,108.57
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Croatia,:,39.83,54.49,34.28
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Hungary,182.43,142.35,118.92,93.12
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Ireland,32.97,31.37,34.61,34.76
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Iceland,:,:,0.67,:
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Italy,315.22,312.84,326.36,208.17
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Lithuania,54.69,47.38,46.96,43.35
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Luxembourg,0.79,0.77,0.69,0.65
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Latvia,29.1,26.74,22.23,21.47
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Montenegro,:,:,11.68,:
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Malta,3.29,3.13,3.17,2.29
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Netherlands,20.87,20.7,21.21,20.37
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Norway,16.58,15.7,14.44,13.49
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Poland,763.05,735.41,482.59,428.98
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Portugal,55.88,45.79,51.71,40.45
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Romania,734.67,651.67,621.81,598.2
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Sweden,18.7,17.75,16.92,15.13
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Slovenia,18.7,18.48,17.61,16.86
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Slovakia,17.69,16.48,5.77,4.99
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,United Kingdom,64.31,50.84,43.84,44.46
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Austria,28.61,28.51,27.62,27.91
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Belgium,10.63,10.11,9.53,8.78
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Bulgaria,138.04,122.55,92.66,62.78
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Switzerland,:,:,14.17,:
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Cyprus,11.82,11.39,11.36,10.37
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Czechia,10.66,10.17,5.39,7.82
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Germany,79.69,82.43,77.58,83.01
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Denmark,12.42,10.61,10.15,10.25
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Estonia,6.61,5.26,4.3,3.84
