Time frequency,Unit of measure,Live animals,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand heads (animals),Dairy cows,Moldova,217.0 d,207.0 d,169.0 d,160.0 d,161.2 d,154.4 d,144.3 d,134.0 d,131.0 d,130.0 d,127.7 d,122.9 d,112.8 d,97.2 d,81.0 d,71.2 d,68.4 d,67.1 d
Annual,Thousand heads (animals),Dairy cows,Ukraine,3560.5,3275.7,3036.3,2805.0,2688.3,2587.8,2540.0,2516.0,2471.0,2235.4 d,2141.0 d,2083.2 d,2023.4 d,1895.8 d,1767.1 d,1765.6 d,1651.9 d,1483.8 d
Annual,Thousand heads (animals),"Live swine, domestic species",Armenia,137.5,152.8,86.7,84.8,112.6,114.8,108.1,145.0,140.0,142.0,174.8,175.5,166.8,197.9,223.3,200.2,166.1,180.8
Annual,Thousand heads (animals),"Live swine, domestic species",Azerbaijan,22.9,21.3,18.7,10.3,5.3,6.3,6.1,6.5,6.7,6.1,5.2,4.4,4.9,5.5,5.7,5.9,6.0,5.1
Annual,Thousand heads (animals),"Live swine, domestic species",Belarus,3545.1 d,3641.8 d,3597.8 d,3704.0 d,3781.5 d,3886.7 d,3989.0 d,4242.9 d,3266.9 d,2925.0 d,3205.4 d,3145.2 d,3155.7 d,2840.6 d,2881.5 d,2871.6 d,:,:
Annual,Thousand heads (animals),"Live swine, domestic species",Georgia,455.3,343.5 bd,109.9,86.4,135.2,110.1,105.1,204.3,191.2,169.7 bd,161.5,136.2,150.7,163.2,155.5,165.7,152.9,150.2
Annual,Thousand heads (animals),"Live swine, domestic species",Moldova,461.0 d,532.0 d,299.0 d,283.0 d,377.1 d,478.5 d,438.6 d,410.4 d,420.0 d,473.0 d,453.2 d,439.0 d,406.4 d,397.3 d,396.6 d,339.5 d,347.9 d,340.1 d
Annual,Thousand heads (animals),"Live swine, domestic species",Ukraine,7052.8,8055.0,7019.9,6526.0,7576.6,7960.4,7373.2,7576.7,7922.0,7350.7 d,7079.0 d,6669.1 d,6109.9 d,6025.3 d,5727.4 d,5876.2 d,5608.8 d,4948.3 d
Annual,Thousand heads (animals),Live sheep,Armenia,551.4,590.0,598.1,526.6,481.3,603.6,561.6,645.7,687.1,713.9,747.3,699.6,638.0,615.7,639.6,693.4,691.8,680.4
Annual,Thousand heads (animals),Live sheep,Azerbaijan,7074.8,7222.1,7446.0,7609.2,7723.9,7784.8,7847.4,7924.6,7979.4,7987.3,8025.6,7966.5,7821.0,7681.7,7575.4,7483.7,7314.2,7170.8
Annual,Thousand heads (animals),Live sheep,Belarus,53.1 d,52.2 d,52.5 d,52.5 d,52.4 d,51.8 d,52.5 d,59.9 d,62.5 d,72.5 d,84.1 d,89.8 d,89.9 d,87.6 d,87.3 d,89.3 d,:,:
Annual,Thousand heads (animals),Live sheep,Georgia,719.8,696.8 bd,711.0,690.0,602.3,596.8,576.8,688.2,796.0,865.9 bd,841.6,875.9,855.9,819.1,841.9,896.2,904.3,863.8
Annual,Thousand heads (animals),Live sheep,Moldova,818.0 d,835.0 d,753.9 d,761.9 d,803.7 d,787.9 d,709.9 d,695.1 d,713.7 d,729.8 d,717.8 d,710.6 d,679.1 d,613.4 d,531.1 d,474.4 d,433.8 d,419.3 d
Annual,Thousand heads (animals),Live sheep,Ukraine,872.2,924.7,1033.8,1095.7,1197.0,1100.5,1093.2,1073.4,1066.7,785.8 d,743.9 d,718.9 d,727.2 d,698.5 d,658.8 d,621.0 d,607.1 d,518.6 d
Annual,Thousand heads (animals),Live goats,Armenia,42.7,42.9,39.0,32.6,29.7,28.9,28.6,29.0,30.5,31.9,30.8,27.5,22.1,22.6,22.9,24.4,21.9,20.6
Annual,Thousand heads (animals),Live goats,Azerbaijan,593.7,577.8,586.5,590.6,607.3,620.2,626.9,644.8,651.1,658.1,651.5,648.3,633.3,622.4,613.8,605.9,585.5,580.9
Annual,Thousand heads (animals),Live goats,Belarus,67.6 d,69.6 d,71.8 d,73.2 d,75.0 d,72.3 d,72.7 d,73.2 d,68.3 d,68.0 d,68.5 d,68.0 d,64.7 d,63.3 d,60.1 d,59.2 d,:,:
Annual,Thousand heads (animals),Live goats,Georgia,95.5,92.4 bd,86.1,79.4,71.5,57.1,53.6,54.4,60.8,53.7 bd,49.8,60.6,51.1,50.3,49.7,50.3,52.5,50.2
Annual,Thousand heads (animals),Live goats,Moldova,119.0 d,112.0 d,99.3 d,103.9 d,111.2 d,117.6 d,122.5 d,128.9 d,135.5 d,144.9 d,150.6 d,159.2 d,162.6 d,155.3 d,145.2 d,142.0 d,139.9 d,139.4 d
Annual,Thousand heads (animals),Live goats,Ukraine,757.3,692.5,644.8,631.2,635.5,631.2,646.2,664.8,668.5,585.3 d,581.4 d,595.9 d,582.1 d,570.1 d,545.7 d,519.4 d,487.2 d,422.8 d
