Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Total,Percentage,Luxembourg,18.5
Annual,Median equivalised income,Total,Percentage,Latvia,14.5
Annual,Median equivalised income,Total,Percentage,Montenegro,20.5
Annual,Median equivalised income,Total,Percentage,North Macedonia,28.2
Annual,Median equivalised income,Total,Percentage,Malta,24.5
Annual,Median equivalised income,Total,Percentage,Netherlands,25.0
Annual,Median equivalised income,Total,Percentage,Norway,14.8
Annual,Median equivalised income,Total,Percentage,Poland,47.2
Annual,Median equivalised income,Total,Percentage,Portugal,19.0
Annual,Median equivalised income,Total,Percentage,Romania,17.3
Annual,Median equivalised income,Total,Percentage,Serbia,31.4
Annual,Median equivalised income,Total,Percentage,Sweden,18.5
Annual,Median equivalised income,Total,Percentage,Slovenia,14.8
Annual,Median equivalised income,Total,Percentage,Slovakia,24.2
