Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,From 65 to 74 years,Percentage,Finland,15.6
Annual,From 65 to 74 years,Percentage,France,14.8
Annual,From 65 to 74 years,Percentage,Croatia,11.5
Annual,From 65 to 74 years,Percentage,Hungary,13.2
Annual,From 65 to 74 years,Percentage,Ireland,11.1 u
Annual,From 65 to 74 years,Percentage,Lithuania,4.7 u
Annual,From 65 to 74 years,Percentage,Luxembourg,13.8 u
Annual,From 65 to 74 years,Percentage,Latvia,4.1 u
Annual,From 65 to 74 years,Percentage,Montenegro,: u
Annual,From 65 to 74 years,Percentage,Malta,17.6
Annual,From 65 to 74 years,Percentage,Netherlands,16.0
Annual,From 65 to 74 years,Percentage,Poland,6.2
Annual,From 65 to 74 years,Percentage,Portugal,13.7
Annual,From 65 to 74 years,Percentage,Romania,7.0 u
Annual,From 65 to 74 years,Percentage,Serbia,7.1
Annual,From 65 to 74 years,Percentage,Sweden,13.7
Annual,From 65 to 74 years,Percentage,Slovenia,12.0 u
Annual,From 65 to 74 years,Percentage,Slovakia,23.7
Annual,From 65 to 74 years,Percentage,Kosovo*,: u
