Time frequency,Unit of measure,Main expenditure type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Purchasing power standard (PPS) per inhabitant,Total,Malta,3931.06,4077.85,4108.18,4277.87,4338.96,4475.46,4522.78,4554.47,4723.89,5611.57,5862.09,5347.5
Annual,Purchasing power standard (PPS) per inhabitant,Total,Netherlands,10461.45,10646.16,10763.14,10687.88,10597.34,10474.79,10729.74,11014.52,11154.31,12381.69,12650.91,12610.15
Annual,Purchasing power standard (PPS) per inhabitant,Total,Norway,10392.89,10644.53,11055.19,11355.44,11275.65,11264.27,11845.1,12066.07,12149.71,12627.64,13254.16,13901.51
Annual,Purchasing power standard (PPS) per inhabitant,Total,Poland,3410.0,3588.97,3761.82,3814.16,4038.92,4452.4,4482.82,4577.61,5220.85,5884.37,6331.23,6489.57
Annual,Purchasing power standard (PPS) per inhabitant,Total,Portugal,4944.52,4945.29,5387.07,5338.9,5326.39,5322.63,5416.02,5574.97,5760.73,6079.35,6413.6,6681.74
Annual,Purchasing power standard (PPS) per inhabitant,Total,Romania,2232.52,2169.99,2181.92,2247.31,2348.97,2591.81,2855.86,3125.18,3493.18,4105.54,4218.36,4627.52
Annual,Purchasing power standard (PPS) per inhabitant,Total,Serbia,2143.08,2303.35,2286.76,2312.46,2268.45,2302.46,2271.24,2395.61,2557.86,2851.78,2919.18,3059.09
Annual,Purchasing power standard (PPS) per inhabitant,Total,Sweden,9089.77,9448.3,9492.01,9539.46,9817.89,9833.05,9788.46,9784.21,9819.32,10184.34 p,10628.13 p,11091.66 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,Slovenia,5166.38,5154.34,5147.43,5138.17,5268.4,5313.46,5512.14,5696.56,5987.21,6793.04 p,7106.78 p,7373.79
Annual,Purchasing power standard (PPS) per inhabitant,Total,Slovakia,3605.17,3695.81,3840.18,3933.08,3999.76,3797.12,3739.6,3761.45,3915.62,4377.42,4616.13,4596.79
Annual,Purchasing power standard (PPS) per inhabitant,Total,Türkiye,1772.16,1860.81 e,1922.98,2049.15,2204.41,2389.48,2418.76,2433.74,2512.76,2528.15,2416.83,2400.36
Annual,Purchasing power standard (PPS) per inhabitant,Total,United Kingdom,7615.88,7742.18,7600.68,7557.4,7735.41,7399.33,7732.64,7655.24 p,:,:,:,:
