Time frequency,Unit of measure,Smoking behaviour,Income quantile,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Spain,15.4,14.8
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,European Union - 27 countries (from 2020),12.9,12.6
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,European Union - 28 countries (2013-2020),12.5,:
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Finland,11.6,7.1
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,France,16.0,13.8
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Croatia,12.7,10.2
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Hungary,19.6,12.8
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Ireland,8.7,9.8
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Iceland,8.5,5.6
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Italy,11.8,11.8
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Lithuania,13.4,13.2
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Luxembourg,8.8,7.5
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Latvia,16.5,14.9
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Malta,10.8,12.9
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Netherlands,13.1,11.7
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Norway,10.4,8.4
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Poland,11.9,9.8
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Portugal,10.4,7.5
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Romania,14.9,13.3
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Serbia,:,10.5 u
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Sweden,7.5,5.3
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Slovenia,11.3,10.7
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Slovakia,17.6,15.1
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Türkiye,12.4,12.5
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,United Kingdom,10.1,:
Annual,Percentage,Total,Total,Total,Total,Austria,23.9,20.2
Annual,Percentage,Total,Total,Total,Total,Belgium,17.2 u,14.6
Annual,Percentage,Total,Total,Total,Total,Bulgaria,27.3,28.7
Annual,Percentage,Total,Total,Total,Total,Cyprus,25.2,21.2
Annual,Percentage,Total,Total,Total,Total,Czechia,21.2,19.3
Annual,Percentage,Total,Total,Total,Total,Germany,15.0,21.9
Annual,Percentage,Total,Total,Total,Total,Denmark,12.3,11.7
Annual,Percentage,Total,Total,Total,Total,Estonia,22.7,18.9
Annual,Percentage,Total,Total,Total,Total,Greece,27.0,23.6
Annual,Percentage,Total,Total,Total,Total,Spain,22.2,19.7
Annual,Percentage,Total,Total,Total,Total,European Union - 27 countries (from 2020),19.0,18.4
Annual,Percentage,Total,Total,Total,Total,European Union - 28 countries (2013-2020),18.4,:
Annual,Percentage,Total,Total,Total,Total,Finland,11.6,9.9
Annual,Percentage,Total,Total,Total,Total,France,20.5,17.8
Annual,Percentage,Total,Total,Total,Total,Croatia,24.5,21.8
Annual,Percentage,Total,Total,Total,Total,Hungary,25.8,19.3
Annual,Percentage,Total,Total,Total,Total,Ireland,12.7,13.8
Annual,Percentage,Total,Total,Total,Total,Iceland,11.0,7.5
Annual,Percentage,Total,Total,Total,Total,Italy,17.4,16.5
Annual,Percentage,Total,Total,Total,Total,Lithuania,20.2,18.4
Annual,Percentage,Total,Total,Total,Total,Luxembourg,13.8,10.5
Annual,Percentage,Total,Total,Total,Total,Latvia,24.1,22.1
Annual,Percentage,Total,Total,Total,Total,Malta,18.9,19.4
Annual,Percentage,Total,Total,Total,Total,Netherlands,17.2,14.6
Annual,Percentage,Total,Total,Total,Total,Norway,12.5,10.2
Annual,Percentage,Total,Total,Total,Total,Poland,21.9,18.4
Annual,Percentage,Total,Total,Total,Total,Portugal,16.3,11.5
Annual,Percentage,Total,Total,Total,Total,Romania,19.8,18.7
Annual,Percentage,Total,Total,Total,Total,Serbia,:,26.2
Annual,Percentage,Total,Total,Total,Total,Sweden,8.7,6.4
Annual,Percentage,Total,Total,Total,Total,Slovenia,18.0,16.6
Annual,Percentage,Total,Total,Total,Total,Slovakia,22.6,20.4
Annual,Percentage,Total,Total,Total,Total,Türkiye,27.2,27.3
Annual,Percentage,Total,Total,Total,Total,United Kingdom,13.7,:
