Time frequency,Live animals,Month,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Live sheep,December,Thousand heads (animals),Ireland,3430.33,3324.09,3324.9,3324.84,3438.23,3981.81,3798.48,3809.37,3877.22,3991.18 p,4018.03,3740.91
Annual,Live sheep,December,Thousand heads (animals),Iceland,473.5,473.5,:,:,473.0,458.0,432.0,416.0,401.0,385.0,367.19,354.99
Annual,Live sheep,December,Thousand heads (animals),Italy,7015.73,7181.83,7166.02,7148.53,7284.87,7215.4,7179.15,7000.88,7034.16,6728.35,6568.00 b,6497.0
Annual,Live sheep,December,Thousand heads (animals),Lithuania,82.8,99.6,123.9,147.1,163.6,169.7,164.3,152.1,140.6,136.9,135.64,127.88
Annual,Live sheep,December,Thousand heads (animals),Luxembourg,:,:,:,8.95 e,:,:,:,8.68 e,:,:,9.00 d,:
Annual,Live sheep,December,Thousand heads (animals),Latvia,83.63,84.85,92.54,102.28,106.63,112.21,107.29,99.82,91.89,90.34,87.32,78.3
Annual,Live sheep,December,Thousand heads (animals),Montenegro,207.0,191.0,204.0,195.0,192.00 p,189.00 p,187.00 p,182.10 p,176.58 p,165.92 p,161.38 p,155.10 p
Annual,Live sheep,December,Thousand heads (animals),North Macedonia,732.0,732.0,740.0,734.0,723.0,725.0,727.0,684.0,631.0,633.0,646.0,587.0
Annual,Live sheep,December,Thousand heads (animals),Malta,11.7,10.93,10.53,11.08,11.52,11.74,13.17,13.16,13.15,12.73,14.47,13.99
Annual,Live sheep,December,Thousand heads (animals),Netherlands,1093.0,1074.0,1070.0,1032.0,1040.0,1015.0,743.0,758.0,710.0,729.0,723.0,665.0
Annual,Live sheep,December,Thousand heads (animals),Poland,218.51,:,:,221.19 e,:,:,:,268.54 e,:,:,266.37 e,:
Annual,Live sheep,December,Thousand heads (animals),Portugal,2091.7,2073.65,2032.62,2042.61,2248.52,2224.69,2207.79,2219.78,2303.72,2293.41,2269.28,2216.7
Annual,Live sheep,December,Thousand heads (animals),Romania,8833.8,9135.6,9518.2,9809.5,9875.5,9981.8,10176.4,10358.7,10281.5,10087.4,10247.4,10299.5
Annual,Live sheep,December,Thousand heads (animals),Serbia,1635.00 e,1616.0,1748.0,1789.0,1665.0,1704.0,1712.0,1642.0,1685.0,1695.0,1720.83,1716.81
Annual,Live sheep,December,Thousand heads (animals),Sweden,610.53,576.77,588.76,594.73,578.17,606.08,366.52,371.23,367.74,348.77 p,340.84 e,338.55 e
Annual,Live sheep,December,Thousand heads (animals),Slovenia,:,:,:,109.41 e,:,:,:,110.26 e,:,:,117.20 e,:
Annual,Live sheep,December,Thousand heads (animals),Slovakia,409.57,399.91,391.15,381.39 e,368.9,365.34,351.12,320.56,:,:,301.13 e,:
Annual,Live sheep,December,Thousand heads (animals),Türkiye,27425.23,29284.25,31115.19,31507.93,30983.93 p,33677.64,35194.97,37276.05,42126.78,45177.69,44687.89,42060.47
Annual,Live sheep,December,Thousand heads (animals),United Kingdom,22991.0,22027.0,22687.0,23103.0,23671.0,23239.0,22283.0,22756.0,:,:,:,:
Annual,Live sheep,December,Thousand heads (animals),Kosovo*,:,:,:,193.7,184.26,182.28,181.11,189.1,212.13,211.35,204.11,207.12
