Time frequency,Reason,Country of citizenship,Duration,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Education reasons,Total,Total,Person,Netherlands,10747.0,12878.0,12746.0,15263.0,16317.0,17239.0,18472.0,20178.0,11644.0,19589.0,21871.0,22922.0
Annual,Education reasons,Total,Total,Person,Norway,4529.0,4193.0,4192.0,4126.0,3673.0,4236.0,4190.0,4464.0,2244.0,3893.0,5232.0,3691.0
Annual,Education reasons,Total,Total,Person,Poland,9614.0,23007.0,29825.0,39308.0,32676.0,34709.0,42204.0,20760.0,27244.0,45596.0,33342.0,30926.0
Annual,Education reasons,Total,Total,Person,Portugal,8410.0,4734.0,3407.0,3139.0,3459.0,4883.0,8369.0,13356.0,12285.0,10919.0,9712.0,23878.0
Annual,Education reasons,Total,Total,Person,Romania,3429.0,3692.0,3535.0,4374.0,4631.0,4448.0,4635.0,4943.0,3028.0,4069.0,4851.0,5110.0
Annual,Education reasons,Total,Total,Person,Sweden,6985.0,7474.0,9194.0,8975.0,8803.0,10736.0,11071.0,11720.0,6834.0,10705.0,10928.0,11611.0
Annual,Education reasons,Total,Total,Person,Slovenia,1073.0,596.0,500.0,1315.0,1799.0,1784.0,2241.0,2644.0,1830.0,1573.0,2424.0,2579.0
Annual,Education reasons,Total,Total,Person,Slovakia,562.0,829.0,1082.0,1475.0,1723.0,1989.0,2325.0,2914.0,2332.0,2721.0,3345.0,4160.0
Annual,Education reasons,Total,Total,Person,United Kingdom,198780.0,183197.0,177234.0,229097.0,170943.0,179633.0,190346.0,:,:,:,:,:
Annual,Employment reasons,Total,Total,Person,Austria,3685.0,3555.0,3442.0,3598.0,3337.0,2938.0,3737.0,4077.0,2739.0,3935.0,5437.0,7166.0
Annual,Employment reasons,Total,Total,Person,Belgium,4647.0,4347.0,4768.0,4948.0,5179.0,5947.0,6073.0,6114.0,4110.0,6247.0,8144.0,8631.0
Annual,Employment reasons,Total,Total,Person,Bulgaria,339.0,334.0,304.0,2261.0,276.0,1822.0,1621.0,2414.0,2388.0,2515.0,4621.0,6466.0
Annual,Employment reasons,Total,Total,Person,Switzerland,11275.0,13384.0,12776.0,10169.0,10033.0,10033.0,10361.0,0.0,11601.0,10221.0,13387.0,13707.0
Annual,Employment reasons,Total,Total,Person,Cyprus,6889.0,6613.0,7989.0,7337.0,7385.0,8204.0,9771.0,10686.0,7897.0,9800.0,19221.0,16874.0
Annual,Employment reasons,Total,Total,Person,Czechia,17887.0,18263.0,11083.0,19931.0,23095.0,23327.0,35529.0,66440.0,29217.0,41592.0,24592.0,13688.0
Annual,Employment reasons,Total,Total,Person,Germany,27338.0,27788.0,29275.0,13451.0,39552.0,52915.0,68342.0,65717.0,14322 b,60365.0,96974.0,91095.0
Annual,Employment reasons,Total,Total,Person,Denmark,9132.0,10684.0,10954.0,9706.0,10208.0,10347.0,11220.0,11465.0,8350.0,11367.0,14801.0,13935.0
Annual,Employment reasons,Total,Total,Person,Estonia,608.0,579.0,882.0,1279.0,1339.0,1531.0,1791.0,2102.0,2035.0,2290.0,2341.0,2065.0
Annual,Employment reasons,Total,Total,Person,Greece,1037.0,1226.0,2190.0,1111.0,2133.0,2022.0,2861.0,3133.0,1632.0,2193.0,5649.0,11838.0
Annual,Employment reasons,Total,Total,Person,Spain,63713.0,49525.0,42873.0,41566.0,38154.0,42672.0,58433.0,63267.0,81158.0,88119.0,140034.0,128844.0
Annual,Employment reasons,Total,Total,Person,European Union - 27 countries (from 2020),:,425662.0,456599.0,589552.0,737478.0,904824.0,983220.0,1202224.0,904670.0,1364396.0,1268020.0,1263358.0
Annual,Employment reasons,Total,Total,Person,Finland,4648.0,4719.0,4786.0,5026.0,5381.0,6221.0,5705.0,15137.0,13753.0,12286.0,17616.0,15410.0
Annual,Employment reasons,Total,Total,Person,France,15827.0,18244.0,19428.0,21003.0,23275.0,27835.0,33993.0,39652.0,27354.0,38060.0,55247.0,58221 p
Annual,Employment reasons,Total,Total,Person,Croatia,:,599.0,609.0,790.0,2634.0,6987.0,23754.0,46587.0,31816.0,30056.0,53471.0,77541.0
Annual,Employment reasons,Total,Total,Person,Hungary,3687.0,3561.0,3733.0,4209.0,5851.0,13210.0,31553.0,38875.0,31840.0,38960.0,47372.0,53542.0
Annual,Employment reasons,Total,Total,Person,Ireland,3720.0,4018.0,5139.0,6073.0,7842 u,9398 u,9480 u,12049 u,7131.0,8009 u,19502 u,23918 u
Annual,Employment reasons,Total,Total,Person,Iceland,186.0,186.0,163.0,219.0,304.0,393.0,463.0,475.0,272.0,451.0,599.0,723.0
Annual,Employment reasons,Total,Total,Person,Italy,66742.0,80726.0,53327.0,17370.0,9389.0,8409.0,13877.0,11069.0,10243.0,50597.0,66791.0,38103.0
Annual,Employment reasons,Total,Total,Person,Liechtenstein,:,96.0,103.0,104.0,99.0,104.0,109.0,120.0,105.0,137.0,124.0,110.0
Annual,Employment reasons,Total,Total,Person,Lithuania,2163.0,2822.0,4800.0,2789.0,4082.0,7572.0,9506.0,18395.0,19534.0,15939.0,22346.0,46920.0
Annual,Employment reasons,Total,Total,Person,Luxembourg,629.0,1272.0,965.0,1257.0,1340.0,1783.0,2142.0,2614.0,1554.0,1918.0,3204.0,3151.0
Annual,Employment reasons,Total,Total,Person,Latvia,767.0,793.0,971.0,1639.0,1736.0,2158.0,3575.0,4447.0,2545.0,3685.0,3549.0,3838.0
Annual,Employment reasons,Total,Total,Person,Malta,877.0,1230.0,2044.0,2782.0,3036.0,5997.0,10178.0,12644.0,6592.0,8060.0,27549.0,27808.0
Annual,Employment reasons,Total,Total,Person,Netherlands,10921.0,12673.0,11780.0,13308.0,14621.0,17744.0,20885.0,22030.0,13345.0,20769.0,32123.0,27439.0
Annual,Employment reasons,Total,Total,Person,Norway,7627.0,7814.0,7830.0,7714.0,7021.0,7784.0,8741.0,9311.0,6456.0,6880.0,8549.0,8546.0
Annual,Employment reasons,Total,Total,Person,Poland,97031.0,141668.0,206279.0,375342.0,493960.0,596916.0,533646 b,625120.0,502342.0,790070.0,447225.0,427162.0
Annual,Employment reasons,Total,Total,Person,Portugal,5917.0,6394.0,6409.0,6805.0,5791.0,8164.0,20256.0,34999.0,32666.0,38659.0,53194.0,55161.0
Annual,Employment reasons,Total,Total,Person,Romania,1656.0,1542.0,1803.0,1680.0,1766.0,2952.0,6347.0,16394.0,10788.0,18011.0,31079.0,44662.0
Annual,Employment reasons,Total,Total,Person,Sweden,18520.0,17189.0,14857.0,15726.0,15632.0,18138.0,23926.0,25556.0,17313.0,21115.0,24082.0,19124.0
Annual,Employment reasons,Total,Total,Person,Slovenia,4532.0,3674.0,4168.0,5423.0,6894.0,12194.0,21030.0,20356.0,9929.0,17927.0,22517.0,20714.0
Annual,Employment reasons,Total,Total,Person,Slovakia,1719.0,1624.0,1741.0,3142.0,3590.0,7421.0,13989.0,20885.0,12077.0,21852.0,19339.0,20042.0
Annual,Employment reasons,Total,Total,Person,United Kingdom,106290.0,108552.0,116707.0,118080.0,117076.0,104212.0,108150.0,0.0,:,:,:,:
Annual,Family reasons,Total,Total,Person,Austria,13134.0,12652.0,13394.0,15529.0,15635.0,13857.0,13064.0,13481.0,11634.0,14457.0,17369.0,18156.0
Annual,Family reasons,Total,Total,Person,Belgium,25060.0,22266.0,23114.0,26206.0,26325.0,28654.0,29551.0,32261.0,25712.0,32710.0,33313.0,33774.0
Annual,Family reasons,Total,Total,Person,Bulgaria,2241.0,2242.0,2591.0,2906.0,3240.0,3615.0,3792.0,4097.0,2902.0,4174.0,5345.0,6160.0
Annual,Family reasons,Total,Total,Person,Switzerland,19661.0,20561.0,18526.0,18563.0,19508.0,19013.0,19559.0,17895.0,15893.0,19561.0,21123.0,20677.0
Annual,Family reasons,Total,Total,Person,Cyprus,1440.0,1230.0,2111.0,2580.0,2332.0,2741.0,3346.0,3839.0,2704.0,3024.0,8371.0,8564.0
Annual,Family reasons,Total,Total,Person,Czechia,9630.0,10311.0,10687.0,21265.0,24568.0,15448.0,16512.0,26796.0,13423.0,16535.0,14250.0,12492.0
Annual,Family reasons,Total,Total,Person,Germany,75928.0,82492.0,91661.0,133893.0,136982.0,156973.0,190856.0,167443.0,130701 b,193154.0,219338.0,207057.0
Annual,Family reasons,Total,Total,Person,Denmark,6436.0,9068.0,10339.0,15961.0,12883.0,12601.0,10755.0,8882.0,8053.0,8826.0,11236.0,12146.0
Annual,Family reasons,Total,Total,Person,Estonia,1150.0,1103.0,1263.0,1351.0,1424.0,1270.0,1762.0,2411.0,2120.0,2789.0,3117.0,1838.0
Annual,Family reasons,Total,Total,Person,Greece,11835.0,10852.0,12647.0,19175.0,23598.0,13798.0,17079.0,19694.0,8323.0,11773.0,15935.0,17366.0
Annual,Family reasons,Total,Total,Person,Spain,119863.0,107051.0,101025.0,102454.0,115143.0,125637.0,134196.0,143860.0,119738.0,159246.0,174532.0,230138.0
Annual,Family reasons,Total,Total,Person,European Union - 27 countries (from 2020),:,576544.0,583887.0,670295.0,688996.0,735546.0,813621.0,810012.0,617323.0,819373.0,927510.0,986453.0
Annual,Family reasons,Total,Total,Person,Finland,7180.0,7909.0,8043.0,7682.0,7833.0,8762.0,8750.0,9601.0,7930.0,11425.0,17228.0,22115.0
Annual,Family reasons,Total,Total,Person,France,84747.0,91707.0,92272.0,99312.0,94345.0,94247.0,97664.0,98174.0,80730.0,93583.0,97038.0,92082.0
Annual,Family reasons,Total,Total,Person,Croatia,:,2154.0,1928.0,1852.0,1673.0,1694.0,1559.0,2921.0,2487.0,2847.0,2710.0,2461.0
Annual,Family reasons,Total,Total,Person,Hungary,2883.0,4058.0,6736.0,5715.0,4730.0,3788.0,6026.0,4314.0,3626.0,4334.0,5485.0,8073.0
Annual,Family reasons,Total,Total,Person,Ireland,1894.0,2042.0,2526.0,3444.0,4100.0,3058.0,2781.0,3671.0,1835.0,2609 u,3997 u,4461 u
Annual,Family reasons,Total,Total,Person,Iceland,406.0,435.0,337.0,373.0,479.0,493.0,604.0,664.0,765.0,735.0,931.0,1285.0
Annual,Family reasons,Total,Total,Person,Italy,119745.0,108358.0,99051.0,109328.0,101269.0,112607.0,121930.0,100939.0,62274.0,120520.0,131275.0,135734.0
Annual,Family reasons,Total,Total,Person,Liechtenstein,:,520.0,501.0,533.0,533.0,539.0,575.0,648.0,652.0,683.0,688.0,677.0
Annual,Family reasons,Total,Total,Person,Lithuania,883.0,988.0,1473.0,1273.0,1173.0,1001.0,1011.0,1144.0,970.0,1890.0,2468.0,2502.0
Annual,Family reasons,Total,Total,Person,Luxembourg,2387.0,2153.0,2470.0,2806.0,2952.0,3277.0,3573.0,4118.0,2894.0,3628.0,4181.0,4630.0
Annual,Family reasons,Total,Total,Person,Latvia,2091.0,3521.0,4903.0,2553.0,2197.0,2062.0,2238.0,2410.0,1395.0,2146.0,2203.0,2249.0
Annual,Family reasons,Total,Total,Person,Malta,360.0,1514.0,2077.0,2143.0,1719.0,1584.0,1534.0,1577.0,879.0,1811.0,2693.0,3154.0
Annual,Family reasons,Total,Total,Person,Netherlands,21160.0,25376.0,22115.0,21683.0,24962.0,30968.0,34036.0,38653.0,28872.0,34541.0,45870.0,45339.0
Annual,Family reasons,Total,Total,Person,Norway,10839.0,9992.0,9093.0,12353.0,15133.0,14242.0,11051.0,9747.0,7301.0,8628.0,11817.0,11506.0
Annual,Family reasons,Total,Total,Person,Poland,3062.0,2628.0,1188.0,1010.0,8416.0,9201.0,13050.0,16780.0,12250.0,11159.0,19004.0,19259.0
Annual,Family reasons,Total,Total,Person,Portugal,14654.0,12224.0,13846.0,12916.0,12755.0,17840.0,26659.0,38203.0,35735.0,29516.0,38602.0,44617.0
Annual,Family reasons,Total,Total,Person,Romania,3899.0,4155.0,3331.0,3770.0,3871.0,3578.0,3856.0,4205.0,2789.0,4145.0,4224.0,5109.0
Annual,Family reasons,Total,Total,Person,Sweden,43999.0,43156.0,46262.0,46354.0,47697.0,59237.0,58939.0,48659.0,37341.0,37371.0,36165.0,34938.0
Annual,Family reasons,Total,Total,Person,Slovenia,3377.0,3923.0,5099.0,4593.0,4592.0,5417.0,6208.0,8350.0,7105.0,7453.0,7499.0,8299.0
Annual,Family reasons,Total,Total,Person,Slovakia,1138.0,1411.0,1735.0,2541.0,2582.0,2631.0,2894.0,3529.0,2901.0,3707.0,4062.0,3740.0
Annual,Family reasons,Total,Total,Person,United Kingdom,90879 d,95028 d,96501 d,89936 d,89341 d,101142.0,100540.0,:,:,:,:,:
Annual,Other reason,Total,Total,Person,Austria,14699.0,12563.0,16876.0,25092.0,25324.0,34582.0,25298.0,18229.0,17668.0,24797.0,27709.0,31293.0
Annual,Other reason,Total,Total,Person,Belgium,12964.0,11346.0,11345.0,15066.0,20409.0,18330.0,17092.0,13276.0,12143.0,15347.0,17768.0,22438.0
Annual,Other reason,Total,Total,Person,Bulgaria,2442.0,2925.0,4989.0,3554.0,3359.0,4254.0,5184.0,5347.0,3823.0,3769.0,3950.0,4443.0
Annual,Other reason,Total,Total,Person,Switzerland,3589.0,4140.0,3183.0,2293.0,2258.0,2508.0,3136.0,2066.0,:,3445.0,3372.0,3017.0
Annual,Other reason,Total,Total,Person,Cyprus,1953.0,2215.0,2297.0,3426.0,3940.0,3103.0,4534.0,4428.0,3906.0,6085.0,9369.0,6446.0
Annual,Other reason,Total,Total,Person,Czechia,8224.0,10755.0,7658.0,13950.0,15306.0,7870.0,7028.0,9387.0,4142.0,3491.0,4839.0,7848.0
Annual,Other reason,Total,Total,Person,Germany,40325.0,43690.0,67285.0,30786.0,282232.0,276921.0,219141.0,165881.0,153041 b,190151.0,232660.0,210651.0
Annual,Other reason,Total,Total,Person,Denmark,2709.0,4096.0,6492.0,11238.0,7868.0,3494.0,2372.0,2337.0,1266.0,2369.0,3498.0,3675.0
Annual,Other reason,Total,Total,Person,Estonia,348.0,316.0,300.0,368.0,431.0,386.0,318.0,310.0,281.0,350.0,2388.0,4107.0
Annual,Other reason,Total,Total,Person,Greece,2538.0,5147.0,6779.0,16307.0,17439.0,13325.0,14818.0,18560.0,9179.0,32942 b,36412.0,41041.0
Annual,Other reason,Total,Total,Person,Spain,12628.0,13252.0,15915.0,15815.0,22600.0,23180.0,24988.0,67878.0,82909.0,73318.0,82569.0,98793.0
Annual,Other reason,Total,Total,Person,European Union - 27 countries (from 2020),:,350649.0,419749.0,434877.0,739590.0,704701.0,594465.0,610431.0,523221.0,701475.0,908240.0,956646.0
Annual,Other reason,Total,Total,Person,Finland,3030.0,3180.0,3195.0,3333.0,9343.0,5064.0,2963.0,1936.0,289.0,4655.0,5616.0,3739.0
Annual,Other reason,Total,Total,Person,France,39881.0,41407.0,43698.0,38122.0,45733.0,51986.0,51794.0,58949.0,55231.0,64436.0,68946.0,73052 p
Annual,Other reason,Total,Total,Person,Croatia,:,382.0,379.0,404.0,482.0,461.0,499.0,615.0,610.0,433.0,821.0,968.0
Annual,Other reason,Total,Total,Person,Hungary,2301.0,3699.0,5551.0,4951.0,4387.0,4379.0,7388.0,8696.0,10393.0,5231.0,5667.0,4289.0
Annual,Other reason,Total,Total,Person,Ireland,4376.0,5326.0,5333.0,6841.0,7916 u,7857 u,7485 u,8823.0,6686.0,9706 u,20788 u,20369 u
Annual,Other reason,Total,Total,Person,Iceland,82.0,81.0,112.0,168.0,263.0,248.0,340.0,588.0,631.0,604.0,1279.0,865.0
Annual,Other reason,Total,Total,Person,Italy,29642.0,27787.0,27584.0,29316.0,94893.0,117614.0,81261.0,106686.0,62752.0,85171.0,114256 b,187754.0
Annual,Other reason,Total,Total,Person,Liechtenstein,:,97.0,89.0,128.0,103.0,105.0,84.0,78.0,68.0,58.0,68.0,89.0
Annual,Other reason,Total,Total,Person,Lithuania,265.0,188.0,313.0,373.0,567.0,640.0,556.0,539.0,654.0,1426.0,4448.0,2086.0
Annual,Other reason,Total,Total,Person,Luxembourg,378.0,340.0,398.0,413.0,915.0,1568.0,1447.0,1064.0,1010.0,984.0,1227.0,1173.0
Annual,Other reason,Total,Total,Person,Latvia,2088.0,2493.0,2933.0,1048.0,790.0,824.0,700.0,709.0,381.0,927.0,1053.0,863.0
Annual,Other reason,Total,Total,Person,Malta,3094.0,2202.0,2850.0,2713.0,2392.0,1866.0,2067.0,2324.0,1595.0,1697.0,2349.0,3685.0
Annual,Other reason,Total,Total,Person,Netherlands,8334.0,13812.0,22928.0,36437.0,39853.0,31444.0,18675.0,21271.0,19650.0,30980.0,37336.0,36085.0
Annual,Other reason,Total,Total,Person,Norway,5042.0,5693.0,4787.0,6490.0,12522.0,4451.0,1722.0,1827.0,1401.0,5255.0,5072.0,4855.0
Annual,Other reason,Total,Total,Person,Poland,36912.0,106583.0,118229.0,125923.0,50917.0,48086.0,59269 b,61756.0,56211.0,120520.0,200693.0,165442.0
Annual,Other reason,Total,Total,Person,Portugal,3609.0,3241.0,6102.0,6161.0,3723.0,3186.0,6457.0,6917.0,3711.0,5711.0,7176.0,12251.0
Annual,Other reason,Total,Total,Person,Romania,1141.0,1771.0,1625.0,1465.0,1599.0,2286.0,1649.0,1561.0,1239.0,2025.0,2053.0,2039.0
Annual,Other reason,Total,Total,Person,Sweden,20744.0,31303.0,37634.0,39568.0,74608.0,40134.0,29497.0,21277.0,13364.0,14021.0,13613.0,11045.0
Annual,Other reason,Total,Total,Person,Slovenia,110.0,78.0,109.0,86.0,232.0,214.0,153.0,167.0,146.0,146.0,341.0,263.0
Annual,Other reason,Total,Total,Person,Slovakia,791.0,552.0,952.0,2121.0,2332.0,1647.0,1832.0,1508.0,941.0,787.0,695.0,808.0
Annual,Other reason,Total,Total,Person,United Kingdom,235991.0,337471.0,177364.0,195904.0,152516.0,132013.0,51739.0,:,:,:,:,:
Annual,Total,Total,Total,Person,Austria,37816.0,34308.0,40062.0,51282.0,50066.0,55968.0,46521.0,39865.0,34759.0,47892.0,55258.0,62890.0
Annual,Total,Total,Total,Person,Belgium,48484.0,43861.0,45513.0,52565.0,58216.0,59827.0,59624.0,60312.0,47640.0,63504.0,68522.0,74366.0
Annual,Total,Total,Total,Person,Bulgaria,6418.0,6436.0,8795.0,9595.0,7942.0,10958.0,11864.0,13500.0,10267.0,11784.0,15839.0,19375.0
Annual,Total,Total,Total,Person,Switzerland,44764.0,49238.0,43252.0,41105.0,42021.0,42179.0,43726.0,31004.0,:,45012.0,50919.0,50680.0
Annual,Total,Total,Total,Person,Cyprus,11715.0,11455.0,13841.0,15569.0,16970.0,18971.0,20990.0,23325.0,16910.0,22190.0,38917.0,34694.0
Annual,Total,Total,Total,Person,Czechia,42122.0,45544.0,35458.0,68804.0,80068.0,57721.0,71201.0,117069.0,54332.0,74395.0,53809.0,43792.0
Annual,Total,Total,Total,Person,Germany,184070.0,199925.0,237627.0,194813.0,504849.0,535446.0,543571.0,460340.0,312669 b,511147.0,632187.0,586144.0
Annual,Total,Total,Total,Person,Denmark,24812.0,31308.0,35881.0,46147.0,41405.0,37091.0,35301.0,35037.0,23853.0,28149.0,40467.0,42805.0
Annual,Total,Total,Total,Person,Estonia,2530.0,2496.0,3222.0,3984.0,4308.0,4380.0,5143.0,6200.0,4992.0,6549.0,8425.0,8459.0
Annual,Total,Total,Total,Person,Greece,16252.0,18299.0,22451.0,37464.0,44072.0,29995.0,35571.0,42348.0,19821.0,47589 b,58889.0,70921.0
Annual,Total,Total,Total,Person,Spain,223318.0,196244.0,189481.0,192931.0,211533.0,231153.0,259600.0,320037.0,312355.0,371773.0,455553.0,548697 b
Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),:,1633598.0,1759841.0,1991479.0,2494483.0,2699485.0,2788760.0,3023706.0,2294305.0,3283409.0,3574654.0,3741015.0
Annual,Total,Total,Total,Person,Finland,20263.0,21122.0,21552.0,21797.0,28792.0,25141.0,22508.0,31868.0,24752.0,34327.0,49774.0,54178.0
Annual,Total,Total,Total,Person,France,199500.0,214346.0,220599.0,228687.0,237218.0,254634.0,267426.0,287443.0,237134.0,287179.0,326948.0,335074 p
Annual,Total,Total,Total,Person,Croatia,:,3320.0,3334.0,3433.0,5315.0,9733.0,26307.0,50455.0,35138.0,33580.0,57330.0,81347.0
Annual,Total,Total,Total,Person,Hungary,13282.0,16833.0,21188.0,20751.0,22842.0,32229.0,55739.0,62073.0,54835.0,58115.0,68672.0,77479.0
Annual,Total,Total,Total,Person,Ireland,26818.0,32780.0,36728.0,38433.0,41279 u,47901 u,49939 u,59278 u,30382.0,34935 u,85793 u,88595 u
Annual,Total,Total,Total,Person,Iceland,960.0,995.0,985.0,1144.0,1469.0,1601.0,1932.0,2105.0,2045.0,2325.0,3394.0,3567.0
Annual,Total,Total,Total,Person,Italy,246760.0,243954.0,204335.0,178884.0,222398.0,256593.0,238863.0,238714.0,143697.0,274095.0,337788 b,389542.0
Annual,Total,Total,Total,Person,Liechtenstein,:,739.0,728.0,808.0,785.0,793.0,811.0,892.0,859.0,906.0,902.0,902.0
Annual,Total,Total,Total,Person,Lithuania,3696.0,4601.0,7252.0,5178.0,6750.0,10207.0,12267.0,21415.0,22511.0,20977.0,31232.0,56073.0
Annual,Total,Total,Total,Person,Luxembourg,3804.0,4169.0,4289.0,4918.0,5627.0,7207.0,7727.0,8428.0,5707.0,7076.0,9245.0,9740.0
Annual,Total,Total,Total,Person,Latvia,5620.0,7615.0,9857.0,6357.0,6037.0,6647.0,8852.0,10143.0,5532.0,8138.0,8790.0,10193.0
Annual,Total,Total,Total,Person,Malta,4526.0,6795.0,9895.0,9984.0,8995.0,12497.0,17176.0,21165.0,11107.0,14358.0,37851.0,41927.0
Annual,Total,Total,Total,Person,Netherlands,51162.0,64739.0,69569.0,86691.0,95753.0,97395.0,92068.0,102132.0,73511.0,105879.0,137200.0,131785.0
Annual,Total,Total,Total,Person,Norway,28037.0,27692.0,25902.0,30683.0,38349.0,30713.0,25704.0,25349.0,17402.0,24656.0,30670.0,28598.0
Annual,Total,Total,Total,Person,Poland,146619.0,273886.0,355521.0,541583.0,585969.0,688912.0,648169 b,724416.0,598047.0,967345.0,700264.0,642789.0
Annual,Total,Total,Total,Person,Portugal,32590.0,26593.0,29764.0,29021.0,25728.0,34073.0,61741.0,93475.0,84397.0,84805.0,108684.0,135907.0
Annual,Total,Total,Total,Person,Romania,10125.0,11160.0,10294.0,11289.0,11867.0,13264.0,16487.0,27103.0,17844.0,28250.0,42207.0,56920.0
Annual,Total,Total,Total,Person,Sweden,90248.0,99122.0,107947.0,110623.0,146740.0,128245.0,123433.0,107212.0,74852.0,83212.0,84788.0,76718.0
Annual,Total,Total,Total,Person,Slovenia,9092.0,8271.0,9876.0,11417.0,13517.0,19609.0,29632.0,31517.0,19010.0,27099.0,32781.0,31855.0
Annual,Total,Total,Total,Person,Slovakia,4210.0,4416.0,5510.0,9279.0,10227.0,13688.0,21040.0,28836.0,18251.0,29067.0,27441.0,28750.0
Annual,Total,Total,Total,Person,United Kingdom,631940 d,724248 d,567806 d,633017 d,529876 d,517000.0,450775.0,:,:,:,:,:
