Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,From 18 to 74 years,Percentage,European Union (aggregate changing according to the context),30.7 e
Annual,From 18 to 74 years,Percentage,Finland,57.1
Annual,From 18 to 74 years,Percentage,France,34.5
Annual,From 18 to 74 years,Percentage,Croatia,25.3
Annual,From 18 to 74 years,Percentage,Hungary,49.1
Annual,From 18 to 74 years,Percentage,Ireland,40.7
Annual,From 18 to 74 years,Percentage,Italy,31.7 d
Annual,From 18 to 74 years,Percentage,Lithuania,25.2
Annual,From 18 to 74 years,Percentage,Luxembourg,45.4
Annual,From 18 to 74 years,Percentage,Latvia,25.1
Annual,From 18 to 74 years,Percentage,Montenegro,11.7
Annual,From 18 to 74 years,Percentage,Malta,24.4
Annual,From 18 to 74 years,Percentage,Netherlands,41.2
Annual,From 18 to 74 years,Percentage,Poland,16.7
Annual,From 18 to 74 years,Percentage,Portugal,19.7
Annual,From 18 to 74 years,Percentage,Romania,42.2
Annual,From 18 to 74 years,Percentage,Serbia,17.5
Annual,From 18 to 74 years,Percentage,Sweden,52.5
Annual,From 18 to 74 years,Percentage,Slovenia,22.5
Annual,From 18 to 74 years,Percentage,Slovakia,37.9
Annual,From 18 to 74 years,Percentage,Kosovo*,10.3
Annual,From 30 to 44 years,Percentage,Austria,40.1
Annual,From 30 to 44 years,Percentage,Belgium,31.9
Annual,From 30 to 44 years,Percentage,Bulgaria,12.1
Annual,From 30 to 44 years,Percentage,Cyprus,36.4
Annual,From 30 to 44 years,Percentage,Czechia,19.4
Annual,From 30 to 44 years,Percentage,Germany,25.6
Annual,From 30 to 44 years,Percentage,Denmark,54.2
Annual,From 30 to 44 years,Percentage,Estonia,36.8
Annual,From 30 to 44 years,Percentage,Greece,41.6
Annual,From 30 to 44 years,Percentage,Spain,34.6
Annual,From 30 to 44 years,Percentage,European Union (aggregate changing according to the context),34.9 e
Annual,From 30 to 44 years,Percentage,Finland,66.0
Annual,From 30 to 44 years,Percentage,France,40.9
Annual,From 30 to 44 years,Percentage,Croatia,28.1
Annual,From 30 to 44 years,Percentage,Hungary,50.4
Annual,From 30 to 44 years,Percentage,Ireland,39.0
Annual,From 30 to 44 years,Percentage,Italy,43.9 d
Annual,From 30 to 44 years,Percentage,Lithuania,24.9
Annual,From 30 to 44 years,Percentage,Luxembourg,46.6
Annual,From 30 to 44 years,Percentage,Latvia,25.3
Annual,From 30 to 44 years,Percentage,Montenegro,12.6
Annual,From 30 to 44 years,Percentage,Malta,26.8
Annual,From 30 to 44 years,Percentage,Netherlands,45.7
Annual,From 30 to 44 years,Percentage,Poland,17.5
Annual,From 30 to 44 years,Percentage,Portugal,24.0
Annual,From 30 to 44 years,Percentage,Romania,41.5
Annual,From 30 to 44 years,Percentage,Serbia,18.0
Annual,From 30 to 44 years,Percentage,Sweden,59.7
Annual,From 30 to 44 years,Percentage,Slovenia,24.4
Annual,From 30 to 44 years,Percentage,Slovakia,35.6
Annual,From 30 to 44 years,Percentage,Kosovo*,7.4 u
Annual,From 45 to 64 years,Percentage,Austria,32.4
Annual,From 45 to 64 years,Percentage,Belgium,30.0
Annual,From 45 to 64 years,Percentage,Bulgaria,9.9
Annual,From 45 to 64 years,Percentage,Cyprus,38.3
Annual,From 45 to 64 years,Percentage,Czechia,22.9
Annual,From 45 to 64 years,Percentage,Germany,26.8
Annual,From 45 to 64 years,Percentage,Denmark,44.9
Annual,From 45 to 64 years,Percentage,Estonia,33.2
Annual,From 45 to 64 years,Percentage,Greece,36.2
Annual,From 45 to 64 years,Percentage,Spain,25.0
Annual,From 45 to 64 years,Percentage,European Union (aggregate changing according to the context),31.2 e
Annual,From 45 to 64 years,Percentage,Finland,56.6
Annual,From 45 to 64 years,Percentage,France,31.8
Annual,From 45 to 64 years,Percentage,Croatia,23.9
Annual,From 45 to 64 years,Percentage,Hungary,54.1
Annual,From 45 to 64 years,Percentage,Ireland,39.1
Annual,From 45 to 64 years,Percentage,Italy,38.7 d
Annual,From 45 to 64 years,Percentage,Lithuania,26.8
Annual,From 45 to 64 years,Percentage,Luxembourg,45.6
Annual,From 45 to 64 years,Percentage,Latvia,28.2
Annual,From 45 to 64 years,Percentage,Montenegro,12.1
Annual,From 45 to 64 years,Percentage,Malta,22.9
Annual,From 45 to 64 years,Percentage,Netherlands,39.3
Annual,From 45 to 64 years,Percentage,Poland,17.5
Annual,From 45 to 64 years,Percentage,Portugal,18.2
Annual,From 45 to 64 years,Percentage,Romania,40.8
Annual,From 45 to 64 years,Percentage,Serbia,17.1
Annual,From 45 to 64 years,Percentage,Sweden,51.8
Annual,From 45 to 64 years,Percentage,Slovenia,22.6
Annual,From 45 to 64 years,Percentage,Slovakia,40.5
Annual,From 45 to 64 years,Percentage,Kosovo*,8.4
Annual,From 65 to 74 years,Percentage,Austria,23.1
Annual,From 65 to 74 years,Percentage,Belgium,14.4
Annual,From 65 to 74 years,Percentage,Bulgaria,8.2
Annual,From 65 to 74 years,Percentage,Cyprus,24.3
Annual,From 65 to 74 years,Percentage,Czechia,18.3
Annual,From 65 to 74 years,Percentage,Germany,27.4
Annual,From 65 to 74 years,Percentage,Denmark,27.2
Annual,From 65 to 74 years,Percentage,Estonia,24.3
Annual,From 65 to 74 years,Percentage,Greece,23.6
Annual,From 65 to 74 years,Percentage,Spain,14.1
Annual,From 65 to 74 years,Percentage,European Union (aggregate changing according to the context),24.2 e
Annual,From 65 to 74 years,Percentage,Finland,36.5
Annual,From 65 to 74 years,Percentage,France,22.1
Annual,From 65 to 74 years,Percentage,Croatia,17.8
Annual,From 65 to 74 years,Percentage,Hungary,45.7
Annual,From 65 to 74 years,Percentage,Ireland,31.5
Annual,From 65 to 74 years,Percentage,Italy,25.3 d
Annual,From 65 to 74 years,Percentage,Lithuania,26.2
Annual,From 65 to 74 years,Percentage,Luxembourg,28.7 u
Annual,From 65 to 74 years,Percentage,Latvia,22.3
Annual,From 65 to 74 years,Percentage,Montenegro,7.6 u
Annual,From 65 to 74 years,Percentage,Malta,16.3
Annual,From 65 to 74 years,Percentage,Netherlands,28.8
Annual,From 65 to 74 years,Percentage,Poland,14.5
Annual,From 65 to 74 years,Percentage,Portugal,14.5
Annual,From 65 to 74 years,Percentage,Romania,45.9
Annual,From 65 to 74 years,Percentage,Serbia,17.0
Annual,From 65 to 74 years,Percentage,Sweden,35.6
Annual,From 65 to 74 years,Percentage,Slovenia,17.3 u
Annual,From 65 to 74 years,Percentage,Slovakia,42.2
Annual,From 65 to 74 years,Percentage,Kosovo*,16.6 u
