Time frequency,Activity and employment status,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,Population,Males,Number,Portugal,105.0
Annual,Population,Males,Number,Romania,98.0
Annual,Population,Males,Number,Sweden,57.0
Annual,Population,Males,Number,Slovenia,47.0
Annual,Population,Males,Number,Slovakia,33.0
Annual,Population,Males,Number,United Kingdom,42.0
Annual,Population,Total,Number,Austria,86.0
Annual,Population,Total,Number,Belgium,83.0
Annual,Population,Total,Number,Bulgaria,79.0
Annual,Population,Total,Number,Switzerland,57.0
Annual,Population,Total,Number,Cyprus,54.0
Annual,Population,Total,Number,Czechia,50.0
Annual,Population,Total,Number,Germany,105.0
Annual,Population,Total,Number,Denmark,71.0
Annual,Population,Total,Number,Estonia,59.0
Annual,Population,Total,Number,Greece,85.0
Annual,Population,Total,Number,Spain,130.0
Annual,Population,Total,Number,European Union - 25 countries (2004-2006),83.0
Annual,Population,Total,Number,Finland,57.0
Annual,Population,Total,Number,France,115.0
Annual,Population,Total,Number,Hungary,156.0
Annual,Population,Total,Number,Ireland,39.0
Annual,Population,Total,Number,Italy,63.0
Annual,Population,Total,Number,Lithuania,58.0
Annual,Population,Total,Number,Luxembourg,51.0
Annual,Population,Total,Number,Latvia,63.0
Annual,Population,Total,Number,Malta,77.0
Annual,Population,Total,Number,Netherlands,86.0
Annual,Population,Total,Number,Norway,48.0
Annual,Population,Total,Number,Poland,42.0
Annual,Population,Total,Number,Portugal,126.0
Annual,Population,Total,Number,Romania,82.0
Annual,Population,Total,Number,Sweden,53.0
Annual,Population,Total,Number,Slovenia,46.0
Annual,Population,Total,Number,Slovakia,38.0
Annual,Population,Total,Number,United Kingdom,41.0
Annual,Unemployed persons,Females,Number,Austria,121.0
Annual,Unemployed persons,Females,Number,Belgium,287.0
Annual,Unemployed persons,Females,Number,Switzerland,104.0
Annual,Unemployed persons,Females,Number,Czechia,125.0
Annual,Unemployed persons,Females,Number,Germany,334.0
Annual,Unemployed persons,Females,Number,Denmark,194.0
Annual,Unemployed persons,Females,Number,Greece,109.0
Annual,Unemployed persons,Females,Number,Spain,242.0
Annual,Unemployed persons,Females,Number,European Union - 25 countries (2004-2006),201.0
Annual,Unemployed persons,Females,Number,Finland,165.0
Annual,Unemployed persons,Females,Number,France,295.0
Annual,Unemployed persons,Females,Number,Hungary,382.0
Annual,Unemployed persons,Females,Number,Ireland,60.0
Annual,Unemployed persons,Females,Number,Italy,104.0
Annual,Unemployed persons,Females,Number,Poland,59.0
Annual,Unemployed persons,Females,Number,Portugal,491.0
Annual,Unemployed persons,Females,Number,Sweden,85.0
Annual,Unemployed persons,Females,Number,Slovakia,114.0
Annual,Unemployed persons,Females,Number,United Kingdom,58.0
Annual,Unemployed persons,Males,Number,Austria,132.0
Annual,Unemployed persons,Males,Number,Belgium,265.0
Annual,Unemployed persons,Males,Number,Switzerland,145.0
Annual,Unemployed persons,Males,Number,Germany,381.0
Annual,Unemployed persons,Males,Number,Denmark,190.0
Annual,Unemployed persons,Males,Number,Spain,244.0
Annual,Unemployed persons,Males,Number,European Union - 25 countries (2004-2006),208.0
Annual,Unemployed persons,Males,Number,Finland,221.0
Annual,Unemployed persons,Males,Number,France,253.0
Annual,Unemployed persons,Males,Number,Ireland,58.0
Annual,Unemployed persons,Males,Number,Poland,81.0
Annual,Unemployed persons,Males,Number,Sweden,185.0
Annual,Unemployed persons,Males,Number,United Kingdom,108.0
Annual,Unemployed persons,Total,Number,Austria,125.0
Annual,Unemployed persons,Total,Number,Belgium,277.0
Annual,Unemployed persons,Total,Number,Bulgaria,113.0
Annual,Unemployed persons,Total,Number,Switzerland,124.0
Annual,Unemployed persons,Total,Number,Czechia,102.0
Annual,Unemployed persons,Total,Number,Germany,357.0
Annual,Unemployed persons,Total,Number,Denmark,192.0
Annual,Unemployed persons,Total,Number,Greece,108.0
Annual,Unemployed persons,Total,Number,Spain,243.0
Annual,Unemployed persons,Total,Number,European Union - 25 countries (2004-2006),207.0
Annual,Unemployed persons,Total,Number,Finland,192.0
Annual,Unemployed persons,Total,Number,France,278.0
Annual,Unemployed persons,Total,Number,Hungary,315.0
Annual,Unemployed persons,Total,Number,Ireland,59.0
Annual,Unemployed persons,Total,Number,Italy,149.0
Annual,Unemployed persons,Total,Number,Poland,70.0
Annual,Unemployed persons,Total,Number,Portugal,395.0
Annual,Unemployed persons,Total,Number,Sweden,135.0
Annual,Unemployed persons,Total,Number,Slovenia,67.0
Annual,Unemployed persons,Total,Number,Slovakia,90.0
Annual,Unemployed persons,Total,Number,United Kingdom,89.0
