Time frequency,Country of citizenship,Age definition,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,Age in completed years,Total,Number,Total,Hungary,28018.0,33702.0,38968.0,54581.0,58344.0,53618.0,68070.0,82937.0,88581.0,75470.0,80471.0,94148.0
Annual,Total,Age in completed years,Total,Number,Total,Ireland,57292 b,61324.0,65539.0,73519.0,80792.0,93378.0,84743.0,105699.0,96321.0,81918.0,83770.0,157537.0
Annual,Total,Age in completed years,Total,Number,Total,Iceland,4073.0,4960.0,6406.0,5368.0,5635.0,8710.0,12116.0,11830.0,9872.0,8544.0,8996.0,14878.0
Annual,Total,Age in completed years,Total,Number,Total,Italy,385793.0,350772.0,307454.0,277631.0,280078.0,300823.0,343440.0,332324.0,332778.0,247526.0,318366.0,410985.0
Annual,Total,Age in completed years,Total,Number,Total,Liechtenstein,650.0,671.0,696.0,615.0,657.0,607.0,645.0,649.0,727.0,713.0,669.0,770.0
Annual,Total,Age in completed years,Total,Number,Total,Lithuania,15685.0,28797.0,30924.0,33544.0,31085.0,31395.0,33305.0,37420.0,46526.0,46020.0,44858.0,87367.0
Annual,Total,Age in completed years,Total,Number,Total,Luxembourg,20268.0,20478.0,21098.0,22332.0,23803.0,22888.0,24379.0,24644.0,26668.0,22490.0,25335.0,31433.0
Annual,Total,Age in completed years,Total,Number,Total,Latvia,10234.0,13303.0,8299.0,10365.0,9479.0,8345.0,9916.0,10909.0,11223.0,8840.0,12689.0,38708.0
Annual,Total,Age in completed years,Total,Number,Total,Moldova,:,:,:,98731.0,105834.0,107303.0,107580.0,116739.0,116196.0,65167.0,68356.0,177875.0
Annual,Total,Age in completed years,Total,Number,Total,Montenegro,6025.0,5727.0,5112.0,5353.0,4553.0,4904.0,6684.0,8643.0,10737.0,6008.0,:,15989.0
Annual,Total,Age in completed years,Total,Number,Total,North Macedonia,1464.0,1715.0,2050.0,1935.0,1741.0,2262.0,2064.0,2053.0,2118.0,2555.0,1570.0,2452.0
Annual,Total,Age in completed years,Total,Number,Total,Malta,5465.0,9152.0,12446.0,15928.0,18202.0,18116.0,22750.0,27394.0,29304.0,14751.0,16963.0,34964.0
Annual,Total,Age in completed years,Total,Number,Total,Netherlands,130118.0,124566.0,129428.0,145323.0,166872.0,189232.0,189646.0,194306.0,215756.0,182244.0,214105.0,326798.0
Annual,Total,Age in completed years,Total,Number,Total,Norway,70337.0,69908.0,68313.0,66903.0,60816.0,61460.0,53351.0,47864.0,48680.0,36287.0,53947.0,90475.0
Annual,Total,Age in completed years,Total,Number,Total,Poland,157059.0,217546.0,220311.0,222275 p,218147 p,208302 ep,209353 ep,214083 ep,226649 ep,210615 ep,241116.0,275515 p
Annual,Total,Age in completed years,Total,Number,Total,Portugal,18820.0,14668.0,17757.0,23077.0,36849.0,37644.0,46649.0,55357.0,95382.0,83654.0,97119.0,167098.0
Annual,Total,Age in completed years,Total,Number,Total,Romania,147685.0,167266.0,153646.0,136035.0,132795 e,137455.0,177435 e,172578 e,202422 e,145519 e,194642.0,293024 e
Annual,Total,Age in completed years,Total,Number,Total,Sweden,96467.0,103059.0,115845.0,126966.0,134240.0,163005.0,144489.0,132602.0,115805.0,82518.0,90631.0,102436.0
Annual,Total,Age in completed years,Total,Number,Total,Slovenia,14083.0,15022.0,13871.0,13846.0,15420.0,16623.0,18808.0,28455.0,31319.0,36110.0,23624.0,35613.0
Annual,Total,Age in completed years,Total,Number,Total,Slovakia,4829.0,5419 p,5149 p,5357 p,6997 p,7686 p,7188 p,7253 p,7016 p,6775 p,5733.0,5463.0
Annual,Total,Age in completed years,Total,Number,Total,Türkiye,:,:,:,:,:,:,:,:,:,:,:,494052.0
Annual,Total,Age in completed years,Total,Number,Total,United Kingdom,566044.0,498040.0,526046.0,631991.0,631452.0,588993.0,644209.0,603953 p,680906.0,:,:,:
Annual,Total,Age reached during the year,Total,Number,Total,Austria,82230.0,91557.0,101866.0,116262.0,166323.0,129509.0,111801.0,105633.0,109167.0,103565.0,118511.0,201622.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,147377 b,129477.0,120078.0,123158.0,146626.0,123702.0,126703.0,137860.0,150006.0,118683.0,139743.0,208356.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,:,14103 bp,18570 p,26615 p,25223 p,21241 p,25597 p,29559 p,37929 p,37364 p,39461.0,40619.0
Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,148799 b,149051.0,160157.0,156282.0,153627.0,149305.0,143377.0,144857.0,145129.0,138778.0,144907.0,167079.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,23037.0,17476.0,13149.0,9212.0,15183.0,17391.0,21306.0,23442.0,26170.0,25861.0,24001.0,31052.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,27114 b,34337.0,30124 b,29897.0,29602.0,64083.0,51847.0,65910.0,105888.0,63095.0,69360.0,347429.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,489422.0,592175.0,692713.0,866757 e,1549937 e,1046171 e,866541 e,825736 e,804821 e,642399 e,775946 e,1943445 e
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,52833.0,54409.0,60312.0,68388.0,78492.0,74383.0,68579.0,64669.0,61384.0,57230.0,63489.0,121183.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,3709.0,2639.0,4109.0,3904.0,15413 b,14822.0,17616.0,17547.0,18259.0,16209.0,19524.0,49414.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,60089 b,58200.0,57946.0,59013.0,64446 b,116867 b,112247.0,119489.0,129459.0,84221.0,57120.0,96662.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,371331.0,304053.0,280772.0,305454.0,342114.0,414746.0,532132.0,643684.0,750480.0,467918.0,887960 b,1258894.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),:,:,2901445 bep,3151967 ep,4051135 bep,3738024 bep,3731511 ep,3903785 ep,4175393 bep,3210557 ep,4053211 bep,6898752 ep
Annual,Total,Age reached during the year,Total,Number,Total,Finland,29481.0,31278.0,31941.0,31507.0,28746.0,34905.0,31797.0,31106.0,32758.0,32898.0,36364.0,49998.0
Annual,Total,Age reached during the year,Total,Number,Total,France,319816.0,327431.0,338752.0,340383.0,364221.0,377709.0,369621.0,387160.0,385596.0,283250.0,336398 p,431017 p
Annual,Total,Age reached during the year,Total,Number,Total,Georgia,:,:,:,:,:,:,:,:,:,:,:,179778.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,8534.0,8959.0,10378.0,10638.0,11706.0,13985.0,15553.0,26029.0,37726.0,33414.0,35912.0,57972.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,28018.0,33702.0,38968.0,54581.0,58344.0,53618.0,68070.0,82937.0,88581.0,75470.0,80471.0,94148.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,57292 b,61324.0,65539.0,73519.0,80792.0,93378.0,84743.0,105699.0,96321.0,81918.0,83770.0,157537.0
Annual,Total,Age reached during the year,Total,Number,Total,Iceland,4073.0,4960.0,6406.0,5368.0,5635.0,8710.0,12116.0,11830.0,9872.0,8544.0,8996.0,14878.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,385793.0,350772.0,307454.0,277631.0,280078.0,300823.0,343440.0,332324.0,332778.0,247526.0,318366.0,410985.0
Annual,Total,Age reached during the year,Total,Number,Total,Liechtenstein,650.0,671.0,696.0,615.0,657.0,607.0,645.0,649.0,727.0,713.0,669.0,770.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,15685.0,28797.0,30924.0,33544.0,31085.0,31395.0,33305.0,37420.0,46526.0,46020.0,44858.0,87367.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,20268.0,20478.0,21098.0,22332.0,23803.0,22888.0,24379.0,24644.0,26668.0,22490.0,25335.0,31433.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,10234.0,13303.0,8299.0,10365.0,9479.0,8345.0,9916.0,10909.0,11223.0,8840.0,12689.0,38708.0
Annual,Total,Age reached during the year,Total,Number,Total,Moldova,:,:,:,98731.0,105834.0,107303.0,107580.0,116739.0,116196.0,65167.0,68356.0,177875.0
Annual,Total,Age reached during the year,Total,Number,Total,Montenegro,6025.0,5727.0,5112.0,5353.0,4553.0,4904.0,6684.0,8643.0,10737.0,6008.0,:,15989.0
Annual,Total,Age reached during the year,Total,Number,Total,North Macedonia,1464.0,1715.0,2050.0,1935.0,1741.0,2262.0,2064.0,2053.0,2118.0,2555.0,1570.0,2452.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,5465.0,9152.0,12446.0,15928.0,18202.0,18116.0,22750.0,27394.0,29304.0,14751.0,16963.0,34964.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,130118.0,124566.0,129428.0,145323.0,166872.0,189232.0,189646.0,194306.0,215756.0,182244.0,214105.0,326798.0
Annual,Total,Age reached during the year,Total,Number,Total,Norway,70337.0,69908.0,68313.0,66903.0,60816.0,61460.0,53351.0,47864.0,48680.0,36287.0,53947.0,90475.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,157059.0,217546.0,220311.0,222275 p,218147 p,208302 ep,209353 ep,214083 ep,226649 ep,210615 ep,241116.0,275515 p
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,18820.0,14668.0,17757.0,23077.0,36849.0,37644.0,46649.0,55357.0,95382.0,83654.0,97119.0,167098.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,147685.0,167266.0,153646.0,136035.0,132795 e,137455.0,177435 e,172578 e,202422 e,145519 e,194642.0,293024 e
Annual,Total,Age reached during the year,Total,Number,Total,Sweden,96467.0,103059.0,115845.0,126966.0,134240.0,163005.0,144489.0,132602.0,115805.0,82518.0,90631.0,102436.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,14083.0,15022.0,13871.0,13846.0,15420.0,16623.0,18808.0,28455.0,31319.0,36110.0,23624.0,35613.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,4829.0,5419 p,5149 p,5357 p,6997 p,7686 p,7188 p,7253 p,7016 p,6775 p,5733.0,5463.0
Annual,Total,Age reached during the year,Total,Number,Total,Türkiye,:,:,:,:,:,:,:,:,:,:,:,494052.0
Annual,Total,Age reached during the year,Total,Number,Total,United Kingdom,566044.0,498040.0,526046.0,631991.0,631452.0,588993.0,644209.0,603953 p,680906.0,:,:,:
