Time frequency,Unit of measure,National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Moldova,93.5 d,93.9 d,93.6 d,93.2 d,89.7 d,90.2 bd,92.9 d,93.2 d,91.3 d,93.5 bd,87.6 d,86.9 d,86.9,85.2 d,84.9 d,82.4 d,83.6 d,84.9 d
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Ukraine,59.2,60.5,60.7,63.3,65.1,64.7,67.8,69.3,72.9,71.4 d,67.8 d,66.6 d,67.1 d,69.4 d,74.4 d,73.3 d,69.1 d,66.0 d
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Armenia,10.6 d,10.1 d,10.2 d,10.2 d,13.3 d,13.1 d,12.9 d,10.9,11.9,12.1,13.1,13.5,12.3,11.5,12.5,15.0,13.7,12.7
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Azerbaijan,10.5,8.5,9.7,8.5,11.1,10.9 p,10.1,10.5,10.3 p,10.9,12.4,12.8,11.3,10.5,11.1,16.2,13.9,10.9
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Belarus,20.8 d,19.2 d,18.5 d,16.5 d,16.1,16.0,13.4,13.5,13.4,13.8,14.9,15.7,15.7,15.7,16.8,16.9 p,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Georgia,17.3 d,15.3 d,21.9 d,25.9 d,24.5 d,15.3 d,13.7 d,13.6 d,14.0 d,14.3 d,14.3 d,15.3 d,13.9 d,13.2 d,13.1 d,14.7 d,14.0 d,12.6 d
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Moldova,16.4 d,20.0 d,19.9 d,20.4 d,23.8 d,18.2 bd,16.6 d,16.7 d,15.3 d,13.9 bd,13.7 d,14.4 d,14.8,14.3 d,15.2 d,17.2 d,16.8 d,17.5 d
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Ukraine,17.5,17.7,17.0,17.0,19.4,19.7,17.7,19.0,18.9,18.7 d,18.9 d,18.6 d,20.7 d,20.8 d,18.8 d,19.3 d,17.7 d,38.2 d
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Armenia,29.8 d,35.5 d,36.9 d,39.8 d,36.4 d,33.4 d,26.1 d,23.6,21.2,20.0,20.6,17.3,17.6,16.7,15.8,17.8,21.2,20.3
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Azerbaijan,41.3,29.7,21.4,18.6,18.8,18.2 p,20.2,22.4,25.8 p,27.4,27.8,25.0,23.8,20.7,21.1,22.7,16.2,12.9
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Belarus,26.5 d,29.7 d,31.4 d,33.3 d,35.6,38.8,37.7,33.4,37.2,33.2,28.6,25.4,26.2,26.2,27.1,24.8 p,:,:
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Georgia,28.1 d,25.6 d,25.7 d,21.5 d,15.3 d,18.9 d,20.3 d,22.1 d,18.8 d,21.9 d,24.4 d,26.5 d,25.5 d,25.1 d,24.0 d,22.4 d,20.9 d,22.3 d
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Moldova,24.6 d,28.3 d,34.1 d,34.0 d,22.6 d,22.5 bd,23.2 d,23.6 d,23.0 d,26.0 bd,24.0 d,22.2 d,22.4,23.3 d,23.4 d,24.9 d,24.1 d,22.5 d
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Ukraine,21.9,24.4,27.1,25.9,18.3,18.1,18.4,19.4,17.3,14.2 d,13.5 d,15.5 d,15.8 d,17.7 d,17.6 d,13.4 d,13.2 d,11.6 d
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Armenia,0.7 d,0.4 d,0.8 d,1.1 d,-1.7 d,-0.6 d,1.2 d,1.1,0.9,1.3,0.1,0.7,0.8,5.7,1.6,1.9,1.8,1.4
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Azerbaijan,0.2,0.2,0.1,0.1,0.1,-0.1 p,0.1,-0.1,-0.1 p,0.1,0.1,0.6,0.6,-0.6,-0.8,1.0,0.9,-0.2
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Belarus,1.9 d,2.5 d,2.7 d,4.3 d,1.3,1.8,-0.5,1.7,1.6,1.6,0.4,1.0,1.9,1.9,2.1,1.5 p,:,:
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Georgia,5.4 d,5.3 d,6.3 d,4.5 d,-2.3 d,1.6 d,1.9 d,3.8 d,2.2 d,3.6 d,1.9 d,3.6 d,1.8 d,3.0 d,1.3 d,1.5 d,-2.0 d,-1.6 d
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Moldova,6.2 d,4.4 d,4.0 d,5.2 d,0.5 d,1.3 bd,0.9 d,0.6 d,1.9 d,-2.2 bd,0.0 d,-0.2 d,-0.5,3.2 d,1.7 d,-1.1 d,2.8 d,3.3 d
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Ukraine,0.6,0.1,0.7,1.5,-1.2,0.3,2.1,0.2,-0.9,-0.8 d,2.4 d,6.2 d,4.2 d,0.9 d,-2.7 d,-4.5 d,1.2 d,1.0 d
Annual,Percentage of gross domestic product (GDP),Acquisitions less disposals of valuables,Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Armenia,30.5 d,35.9 d,37.8 d,40.9 d,34.7 d,32.8 d,27.3 d,24.7,22.1,21.3,20.7,18.0,18.4,22.4,17.4,19.7,23.0,21.7
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Azerbaijan,41.5,29.9,21.5,18.7,18.9,18.1 p,20.3,22.3,25.7 p,27.5,27.9,25.7,24.4,20.1,20.3,23.7,17.1,12.7
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Belarus,28.4 d,32.2 d,34.1 d,37.6 d,36.9,40.6,37.2,35.1,38.8,34.8,29.0,26.4,28.1,28.1,29.2,26.3 p,:,:
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Georgia,33.5 d,30.9 d,32.1 d,26.0 d,13.0 d,20.5 d,22.2 d,25.9 d,21.0 d,25.4 d,26.3 d,30.2 d,27.3 d,28.1 d,25.3 d,23.9 d,19.0 d,20.7 d
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Moldova,30.8 d,32.7 d,38.1 d,39.2 d,23.1 d,23.9 bd,24.0 d,24.2 d,24.9 d,23.8 bd,24.1 d,22.0 d,21.9,26.6 d,25.1 d,23.9 d,26.9 d,25.9 d
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Ukraine,22.5,24.5,27.8,27.4,17.1,18.4,20.5,19.6,16.4,13.4 d,15.9 d,21.7 d,20.0 d,18.6 d,14.9 d,8.9 d,14.4 d,12.6 d
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Armenia,28.8 d,23.4 d,19.2 d,15.1 d,15.5 d,20.8 d,23.8 d,27.6,28.4,28.6,29.7,33.7,38.2,39.4,41.4,29.8,35.9,50.0
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Azerbaijan,62.9,66.5,68.1,65.8,51.6,54.3,56.4,53.0,48.4,43.3 p,37.8,46.4,48.6,54.1,49.1,35.6,46.5,60.0
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Belarus,59.8 d,60.0 d,61.0 d,60.9 d,48.9,51.4,78.5,78.8,58.3,54.9,58.0,62.5,66.8,70.4,65.1,61.9 p,:,:
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Georgia,33.7 d,32.9 d,31.2 d,28.6 d,29.7 d,33.0 d,34.7 d,36.5 d,41.7 d,39.9 d,40.9 d,40.8 d,46.5 d,50.6 d,54.8 d,37.3 d,43.2 d,52.9 d
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Moldova,51.2 d,45.3 d,45.6 d,40.8 d,36.9 d,27.8 bd,32.5 d,31.1 d,32.1 d,31.5 bd,31.8 d,32.9 d,32.5,30.7 d,31.2 d,27.9 d,30.6 d,41.2 d
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Ukraine,47.7,43.2,41.3,43.2,42.9,46.5,49.4,47.4,42.9,48.6 d,52.6 d,49.3 d,48.1 d,45.2 d,41.2 d,38.8 d,40.7 d,35.5 d
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Armenia,43.2 d,39.3 d,39.2 d,40.7 d,43.0 d,45.3 d,47.4 d,48.4,49.2,47.2,41.9,42.3,49.0,53.1,54.8,39.7,43.8,51.0
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Azerbaijan,52.9,38.8,28.5,23.5,23.1,20.7,24.1,25.3,26.3,26.2 p,34.8,43.6,41.9,37.6,36.8,36.4,29.8,27.0
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Belarus,59.1 d,64.2 d,67.2 d,68.6 d,59.8,64.6,79.5,74.3,61.5,55.7,57.9,62.7,66.6,68.9,65.8,58.8 p,:,:
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Georgia,51.6 d,57.0 d,58.0 d,58.4 d,48.9 d,49.9 d,52.9 d,55.4 d,53.9 d,56.8 d,57.9 d,56.0 d,57.5 d,61.2 d,63.8 d,56.6 d,59.6 d,63.0 d
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Moldova,91.9 d,91.9 d,97.2 d,93.6 d,73.5 d,60.1 bd,66.1 d,65.2 d,63.6 d,62.7 bd,57.2 d,56.1 d,56.1,56.8 d,56.4 d,51.4 d,57.8 d,69.5 d
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Ukraine,46.9,45.9,46.8,50.9,44.5,49.3,55.4,55.3,51.1,52.1 d,55.2 d,56.2 d,55.9 d,54.0 d,49.3 d,40.3 d,41.9 d,52.3 d
