Time frequency,Unit of measure,Rail network segment (2005),Train category\Time,2005.0
Annual,Number,Torbaly - Odemi?,Goods trains,1.0
Annual,Number,Torbaly - Odemi?,Other trains,17.0
Annual,Number,Torbaly - Odemi?,Passenger trains,1644.0
Annual,Number,Sivas - Kalyn,Goods trains,1781.0
Annual,Number,Sivas - Kalyn,Other trains,92.0
Annual,Number,Sivas - Kalyn,Passenger trains,1824.0
Annual,Number,Kalyn - Hanly,Goods trains,869.0
Annual,Number,Kalyn - Hanly,Other trains,68.0
Annual,Number,Kalyn - Hanly,Passenger trains,1461.0
Annual,Number,Sivas - Bostankaya,Goods trains,1879.0
Annual,Number,Sivas - Bostankaya,Other trains,176.0
Annual,Number,Sivas - Bostankaya,Passenger trains,1437.0
Annual,Number,Kalyn - Samsun,Goods trains,954.0
Annual,Number,Kalyn - Samsun,Other trains,16.0
Annual,Number,Kalyn - Samsun,Passenger trains,501.0
Annual,Number,Samsun - Car?Amba,Goods trains,21.0
Annual,Number,Samsun - Car?Amba,Other trains,1.0
Annual,Number,Samsun - Car?Amba,Passenger trains,0.0
Annual,Number,Divri?I - Erzurum,Goods trains,596.0
Annual,Number,Divri?I - Erzurum,Other trains,23.0
Annual,Number,Divri?I - Erzurum,Passenger trains,730.0
Annual,Number,Erzurum - Kars,Goods trains,280.0
Annual,Number,Erzurum - Kars,Other trains,20.0
Annual,Number,Erzurum - Kars,Passenger trains,726.0
Annual,Number,Kars - Do?Ukapy,Goods trains,0.0
Annual,Number,Kars - Do?Ukapy,Other trains,8.0
Annual,Number,Kars - Do?Ukapy,Passenger trains,597.0
Annual,Number,Samsun - Gelemen,Goods trains,116.0
Annual,Number,Samsun - Gelemen,Other trains,6.0
Annual,Number,Samsun - Gelemen,Passenger trains,912.0
Annual,Number,Cetinkaya - Divri?I,Goods trains,2211.0
Annual,Number,Cetinkaya - Divri?I,Other trains,13.0
Annual,Number,Cetinkaya - Divri?I,Passenger trains,727.0
Annual,Number,Malatya - Hekimhan,Goods trains,2316.0
Annual,Number,Malatya - Hekimhan,Other trains,111.0
Annual,Number,Malatya - Hekimhan,Passenger trains,755.0
Annual,Number,Hekimhan - Cetinkaya,Goods trains,2259.0
Annual,Number,Hekimhan - Cetinkaya,Other trains,50.0
Annual,Number,Hekimhan - Cetinkaya,Passenger trains,751.0
Annual,Number,Malatya - Yolcaty,Goods trains,1161.0
Annual,Number,Malatya - Yolcaty,Other trains,17.0
Annual,Number,Malatya - Yolcaty,Passenger trains,1297.0
Annual,Number,Yolcaty - Maden,Goods trains,412.0
Annual,Number,Yolcaty - Maden,Other trains,30.0
Annual,Number,Yolcaty - Maden,Passenger trains,646.0
Annual,Number,Maden - Batman,Goods trains,262.0
Annual,Number,Maden - Batman,Other trains,43.0
Annual,Number,Maden - Batman,Passenger trains,639.0
Annual,Number,Batman - Kurtalan,Goods trains,118.0
Annual,Number,Batman - Kurtalan,Other trains,6.0
Annual,Number,Batman - Kurtalan,Passenger trains,531.0
Annual,Number,Yolcaty - Elazy?,Goods trains,636.0
Annual,Number,Yolcaty - Elazy?,Other trains,47.0
Annual,Number,Yolcaty - Elazy?,Passenger trains,796.0
Annual,Number,Elazy? - Tatvan,Goods trains,368.0
Annual,Number,Elazy? - Tatvan,Other trains,54.0
Annual,Number,Elazy? - Tatvan,Passenger trains,183.0
Annual,Number,Malatya - Narly,Goods trains,2305.0
Annual,Number,Malatya - Narly,Other trains,7.0
Annual,Number,Malatya - Narly,Passenger trains,842.0
Annual,Number,Van - Hudut,Goods trains,194.0
Annual,Number,Van - Hudut,Other trains,2.0
Annual,Number,Van - Hudut,Passenger trains,210.0
Annual,Number,Afyon - Horozluhan,Goods trains,1207.0
Annual,Number,Afyon - Horozluhan,Other trains,22.0
Annual,Number,Afyon - Horozluhan,Passenger trains,1662.0
Annual,Number,Horozluhan - Uluky?La,Goods trains,1233.0
Annual,Number,Horozluhan - Uluky?La,Other trains,11.0
Annual,Number,Horozluhan - Uluky?La,Passenger trains,1115.0
Annual,Number,Uluky?La - Yenice,Goods trains,2278.0
Annual,Number,Uluky?La - Yenice,Other trains,35.0
Annual,Number,Uluky?La - Yenice,Passenger trains,1164.0
Annual,Number,Yenice - Mersin,Goods trains,896.0
Annual,Number,Yenice - Mersin,Other trains,15.0
Annual,Number,Yenice - Mersin,Passenger trains,8739.0
Annual,Number,Yenice - Adana,Goods trains,2010.0
Annual,Number,Yenice - Adana,Other trains,36.0
Annual,Number,Yenice - Adana,Passenger trains,9878.0
Annual,Number,Adana - Toprakkale,Goods trains,2166.0
Annual,Number,Adana - Toprakkale,Other trains,22.0
Annual,Number,Adana - Toprakkale,Passenger trains,1992.0
Annual,Number,Toprakkale - Yskenderun,Goods trains,1911.0
Annual,Number,Toprakkale - Yskenderun,Other trains,3.0
Annual,Number,Toprakkale - Yskenderun,Passenger trains,716.0
Annual,Number,Toprakkale - Fevzipa?A,Goods trains,3248.0
Annual,Number,Toprakkale - Fevzipa?A,Other trains,11.0
Annual,Number,Toprakkale - Fevzipa?A,Passenger trains,1262.0
Annual,Number,Fevzipa?A - Narly,Goods trains,2982.0
Annual,Number,Fevzipa?A - Narly,Other trains,31.0
Annual,Number,Fevzipa?A - Narly,Passenger trains,926.0
Annual,Number,Koprua?Zy - K.Mara?,Goods trains,203.0
Annual,Number,Koprua?Zy - K.Mara?,Other trains,1.0
Annual,Number,Koprua?Zy - K.Mara?,Passenger trains,0.0
Annual,Number,Fevzipa?A - Tahtakopru,Goods trains,406.0
Annual,Number,Fevzipa?A - Tahtakopru,Other trains,2.0
Annual,Number,Fevzipa?A - Tahtakopru,Passenger trains,260.0
Annual,Number,Narly - Gaziantep,Goods trains,867.0
Annual,Number,Narly - Gaziantep,Other trains,64.0
Annual,Number,Narly - Gaziantep,Passenger trains,162.0
Annual,Number,Gaziantep - Karkamy?,Goods trains,408.0
Annual,Number,Gaziantep - Karkamy?,Other trains,8.0
Annual,Number,Gaziantep - Karkamy?,Passenger trains,0.0
Annual,Number,Karkamy? - Hudut,Goods trains,365.0
Annual,Number,Karkamy? - Hudut,Other trains,2.0
Annual,Number,Karkamy? - Hudut,Passenger trains,0.0
Annual,Number,?Enyurt - Mardin,Goods trains,176.0
Annual,Number,?Enyurt - Mardin,Other trains,0.0
Annual,Number,?Enyurt - Mardin,Passenger trains,0.0
Annual,Number,Afyon - D.Pynar,Goods trains,486.0
Annual,Number,Afyon - D.Pynar,Other trains,6.0
Annual,Number,Afyon - D.Pynar,Passenger trains,321.0
Annual,Number,Hanly - Kayseri,Goods trains,2118.0
Annual,Number,Hanly - Kayseri,Other trains,37.0
Annual,Number,Hanly - Kayseri,Passenger trains,1459.0
Annual,Number,Bostankaya - Cetinkaya,Goods trains,2499.0
Annual,Number,Bostankaya - Cetinkaya,Other trains,77.0
Annual,Number,Bostankaya - Cetinkaya,Passenger trains,1431.0
Annual,Number,Hanly - Bostankaya,Goods trains,1053.0
Annual,Number,Hanly - Bostankaya,Other trains,0.0
Annual,Number,Hanly - Bostankaya,Passenger trains,0.0
Annual,Number,Catal - Tire,Goods trains,0.0
Annual,Number,Catal - Tire,Other trains,2.0
Annual,Number,Catal - Tire,Passenger trains,1023.0
Annual,Number,Sincan - Yenikent,Goods trains,126.0
Annual,Number,Sincan - Yenikent,Other trains,2.0
Annual,Number,Sincan - Yenikent,Passenger trains,772.0
Annual,Number,Gebze - Haydarpa?A,Goods trains,1120.0
Annual,Number,Gebze - Haydarpa?A,Other trains,25.0
Annual,Number,Gebze - Haydarpa?A,Passenger trains,28747.0
Annual,Number,Arifiye - Gebze,Goods trains,1392.0
Annual,Number,Arifiye - Gebze,Other trains,27.0
Annual,Number,Arifiye - Gebze,Passenger trains,8260.0
Annual,Number,Adapazary - Arifiye,Goods trains,119.0
Annual,Number,Adapazary - Arifiye,Other trains,11.0
Annual,Number,Adapazary - Arifiye,Passenger trains,3741.0
Annual,Number,Eski?Ehir - Arifiye,Goods trains,1601.0
Annual,Number,Eski?Ehir - Arifiye,Other trains,20.0
Annual,Number,Eski?Ehir - Arifiye,Passenger trains,4210.0
Annual,Number,Polatly - Eski?Ehir,Goods trains,1556.0
Annual,Number,Polatly - Eski?Ehir,Other trains,18.0
Annual,Number,Polatly - Eski?Ehir,Passenger trains,4043.0
Annual,Number,Alayunt - Eski?Ehir,Goods trains,1426.0
Annual,Number,Alayunt - Eski?Ehir,Other trains,9.0
Annual,Number,Alayunt - Eski?Ehir,Passenger trains,3531.0
Annual,Number,Seyitomer - Kutahya,Goods trains,10.0
Annual,Number,Seyitomer - Kutahya,Other trains,0.0
Annual,Number,Seyitomer - Kutahya,Passenger trains,0.0
Annual,Number,Tuncbilek - Tav?Anly,Goods trains,636.0
Annual,Number,Tuncbilek - Tav?Anly,Other trains,0.0
Annual,Number,Tuncbilek - Tav?Anly,Passenger trains,0.0
Annual,Number,Balykesir - Alayunt,Goods trains,1492.0
Annual,Number,Balykesir - Alayunt,Other trains,24.0
Annual,Number,Balykesir - Alayunt,Passenger trains,1916.0
Annual,Number,Afyon - Alayunt,Goods trains,1714.0
Annual,Number,Afyon - Alayunt,Other trains,48.0
Annual,Number,Afyon - Alayunt,Passenger trains,1931.0
Annual,Number,Halkaly - Sirkeci,Goods trains,713.0
Annual,Number,Halkaly - Sirkeci,Other trains,24.0
Annual,Number,Halkaly - Sirkeci,Passenger trains,22185.0
Annual,Number,Pehlivankoy - Halkaly,Goods trains,1349.0
Annual,Number,Pehlivankoy - Halkaly,Other trains,63.0
Annual,Number,Pehlivankoy - Halkaly,Passenger trains,1484.0
Annual,Number,Hudut (Yun.) - Pehlivankoy,Goods trains,3.0
Annual,Number,Hudut (Yun.) - Pehlivankoy,Other trains,1.0
Annual,Number,Hudut (Yun.) - Pehlivankoy,Passenger trains,431.0
Annual,Number,Kyrklareli - Mandyra,Goods trains,14.0
Annual,Number,Kyrklareli - Mandyra,Other trains,1.0
Annual,Number,Kyrklareli - Mandyra,Passenger trains,0.0
Annual,Number,Hudut (Bul.) - Pehlivankoy,Goods trains,1492.0
Annual,Number,Hudut (Bul.) - Pehlivankoy,Other trains,25.0
Annual,Number,Hudut (Bul.) - Pehlivankoy,Passenger trains,1131.0
Annual,Number,Mar?Andiz - Ankara,Goods trains,1182.0
Annual,Number,Mar?Andiz - Ankara,Other trains,57.0
Annual,Number,Mar?Andiz - Ankara,Passenger trains,24218.0
Annual,Number,Sincan - Mar?Andiz,Goods trains,1468.0
Annual,Number,Sincan - Mar?Andiz,Other trains,41.0
Annual,Number,Sincan - Mar?Andiz,Passenger trains,26340.0
Annual,Number,Kaya? - Ankara,Goods trains,1384.0
Annual,Number,Kaya? - Ankara,Other trains,68.0
Annual,Number,Kaya? - Ankara,Passenger trains,21633.0
Annual,Number,Polatly - Sincan,Goods trains,1362.0
Annual,Number,Polatly - Sincan,Other trains,15.0
Annual,Number,Polatly - Sincan,Passenger trains,5348.0
Annual,Number,Irmak - Kaya?,Goods trains,1485.0
Annual,Number,Irmak - Kaya?,Other trains,65.0
Annual,Number,Irmak - Kaya?,Passenger trains,1991.0
Annual,Number,Karabuk - Irmak,Goods trains,2082.0
Annual,Number,Karabuk - Irmak,Other trains,20.0
Annual,Number,Karabuk - Irmak,Passenger trains,161.0
Annual,Number,Zonguldak - Karabuk,Goods trains,910.0
Annual,Number,Zonguldak - Karabuk,Other trains,77.0
Annual,Number,Zonguldak - Karabuk,Passenger trains,1800.0
Annual,Number,Karadeniz Ere?Li - Armutcuk,Goods trains,0.0
Annual,Number,Karadeniz Ere?Li - Armutcuk,Other trains,0.0
Annual,Number,Karadeniz Ere?Li - Armutcuk,Passenger trains,0.0
Annual,Number,Bo?Azkopru - Irmak,Goods trains,2647.0
Annual,Number,Bo?Azkopru - Irmak,Other trains,36.0
Annual,Number,Bo?Azkopru - Irmak,Passenger trains,1814.0
Annual,Number,Uluky?La - Bo?Azkopru,Goods trains,1239.0
Annual,Number,Uluky?La - Bo?Azkopru,Other trains,25.0
Annual,Number,Uluky?La - Bo?Azkopru,Passenger trains,358.0
Annual,Number,Kayseri - Bo?Azkopru,Goods trains,2679.0
Annual,Number,Kayseri - Bo?Azkopru,Other trains,53.0
Annual,Number,Kayseri - Bo?Azkopru,Passenger trains,1401.0
Annual,Number,Halkapynar - Basmane,Goods trains,4.0
Annual,Number,Halkapynar - Basmane,Other trains,2.0
Annual,Number,Halkapynar - Basmane,Passenger trains,3119.0
Annual,Number,Alia?A - Menemen,Goods trains,453.0
