Annual,From 65 to 79 years,Number,France,:,6.4,5.4,0.4,2.5,-35.2,2.0,2.6,2.8,2.1,1.1,1.9,1.7,1.9,0.8,1.2,0.8,2.0,1.0,0.9 b,0.5
Annual,From 65 to 79 years,Number,Croatia,:,:,:,:,:,:,:,0.0,3.1,0.9,-0.9,-2.9,-1.2,6.6,7.6,6.5,5.6,4.6,5.5,5.4,4.1
Annual,From 65 to 79 years,Number,Hungary,:,:,1.2,2.2,1.0,0.8,0.4,0.6,0.5,0.0,0.4,0.3,-0.3,0.1,-1.3,0.1,0.0,-0.2,0.2,0.1,-0.9
Annual,From 65 to 79 years,Number,Ireland,10.3,12.7,14.9,15.8,18.3,17.3,20.4,16.7,15.4,20.6,18.9,18.9,14.5,9.4,9.5,8.3,11.3,9.1,5.8,10.0,2.4
Annual,From 65 to 79 years,Number,Iceland,:,-2.1,-2.8,-4.7,-5.4,-3.8,-1.8,-3.2,-4.7,-4.5,-3.2,-3.5,-6.0,-4.7,-2.7,-6.6,0.2,:,:,:,:
Annual,From 65 to 79 years,Number,Italy,:,:,:,:,12.6,11.5,10.4,10.7,14.5,13.1,14.4,13.7,15.2,15.2,16.4,16.7,17.7,13.0,13.1,13.5,10.4
Annual,From 65 to 79 years,Number,Lithuania,:,:,-0.5,-0.1,-0.3,0.1,-0.5,-0.9,-1.4,-1.4,-1.0,-0.7,-0.7,0.0,-0.1,-0.5,-0.9,-0.8,-0.4,-0.5,-0.6
Annual,From 65 to 79 years,Number,Luxembourg,19.0,10.3,7.0,5.2,3.1,2.8,4.1,0.4,2.4,3.9,8.5,8.0,6.5,6.9,6.1,6.4,7.0,6.2 b,3.6,7.3,3.9
Annual,From 65 to 79 years,Number,Latvia,:,:,:,:,-1.4,-1.3,-1.4,-1.1,-0.8,-0.5,-0.6,0.0,-0.1,-0.6,-0.6,0.2,0.6,-0.9,-0.1,-0.2,0.2
Annual,From 65 to 79 years,Number,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.0,6.0,8.0,10.1,7.0,:
Annual,From 65 to 79 years,Number,North Macedonia,:,:,:,:,:,:,:,29.6,27.1,26.9,25.2,24.5,22.6,22.0,20.4,21.1,19.6,20.0,:,:,:
Annual,From 65 to 79 years,Number,Malta,:,:,33.7,37.7,35.8,39.6,37.0,36.6,39.7,40.0,39.4,35.8,31.2,13.4 b,11.3,10.4,10.8,8.0,7.0,6.3,6.8
Annual,From 65 to 79 years,Number,Netherlands,:,:,0.0,0.0,-0.1,-0.2,-0.4,-0.6,-0.2,-0.2,0.1,0.5,0.5,0.0,0.4,-0.1,0.1,0.0,-1.0,-0.4,-0.2
Annual,From 65 to 79 years,Number,Norway,2.5,1.4,-0.8,-1.9,-1.3,-0.3,-0.3,-2.9,-5.7,-0.8,2.2,0.7,1.5,-0.9,-0.5,0.8,0.7,1.8,0.6 b,0.7,2.4 b
Annual,From 65 to 79 years,Number,Poland,:,:,2.2,1.7,1.3,1.4,0.6,0.8,1.1,0.7,1.2,0.1,-0.9,-2.4,-4.6,-2.1,-1.2,-1.7,-1.8,-1.7,-1.3
Annual,From 65 to 79 years,Number,Portugal,:,:,:,:,6.7,0.2,1.1,2.1,3.6,4.9,6.9,6.4,5.3,6.9,5.7,6.4,5.2,5.0,4.4,6.0,4.9
Annual,From 65 to 79 years,Number,Romania,:,:,:,:,5.7,6.0,5.7,7.9,6.3,5.7,3.9,3.8,3.4,3.6,5.2,4.2,5.1,4.4,4.2,2.7,3.9
Annual,From 65 to 79 years,Number,Serbia,:,:,:,:,:,:,:,:,:,:,1.0,5.5,6.2,4.0,2.9,2.9,0.2,0.2,1.1,2.2,:
Annual,From 65 to 79 years,Number,Sweden,:,-0.3,0.1,0.4,-0.6,-1.2,-0.2,0.0,-0.7,-0.2,0.1,0.0,-0.7,-0.8,-0.2,-1.3,-1.0,-0.6,-0.5,0.2,-1.8
Annual,From 65 to 79 years,Number,Slovenia,:,:,-8.9,-10.1,-7.9,-8.4,-9.6,-7.7,-9.0,-7.8,-6.7,-6.6,-6.0,-3.4,-2.2,-3.3,-3.7,-3.5,0.3,-0.8,-0.2
Annual,From 65 to 79 years,Number,Slovakia,:,:,-0.9,0.0,1.2,0.2,-0.5,-0.5,-0.1,-0.6,-0.2,-0.8,-0.4,-0.2,-0.4,-0.5,-0.7,-0.4,-0.6,-1.0,-0.8
Annual,From 65 to 79 years,Number,Türkiye,:,:,:,33.4,33.5,30.3,32.0,31.8,33.8,33.3,34.2,31.1,32.8,33.2,34.0,34.0,34.4,29.8,33.3,34.2,33.1
Annual,From 65 to 79 years,Number,United Kingdom,:,:,-0.8,-0.4,0.3,0.3,-0.1,0.0,-0.7,-0.2,0.0,0.0,0.0,0.0,0.0,-0.3,:,:,:,:,:
Annual,From 65 to 79 years,Number,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.9,:,:,:,:,:
Annual,65 years or over,Number,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-1.3,-2.1,-2.8,:,:
Annual,65 years or over,Number,Austria,14.1,10.4,10.1,10.4,10.5,14.0,11.6,10.9,11.8,9.9,8.6,9.7,10.2,9.1,10.9,10.1,8.8,7.1,5.5,6.1,4.5
Annual,65 years or over,Number,Belgium,20.2,21.2,16.4,21.2,20.9,19.4,18.9,16.3,16.5,17.2,15.8,17.0,17.3,13.2,12.8,12.6,7.2,7.5,8.5,8.0,6.5
Annual,65 years or over,Number,Bulgaria,:,:,:,0.1,0.1,-0.2,-1.4,-1.1,-0.6,-0.4,0.0,0.1,-0.9,-1.5,-1.7,-1.1,-1.6,-1.9,-1.7,-2.9,-3.0
Annual,65 years or over,Number,Switzerland,:,:,:,:,-0.3,-0.5,-0.6,-0.5,-0.3,-0.4,-0.5,-0.4,-0.2,0.0,0.0,-0.4,-1.1,-0.9,-0.2,-0.3,0.2
Annual,65 years or over,Number,Cyprus,:,:,1.1,-0.2,-0.3,-0.3,-0.4,0.1,-0.9,0.0,-0.3,0.9,0.7,0.6,0.2,0.3,0.2,1.0,1.6,1.4,1.2
Annual,65 years or over,Number,Czechia,:,:,-0.5,-1.6,-0.8,-1.5,-1.7,-2.1,0.0,-0.6,0.0,0.2,0.3,-0.2,-0.1,-0.3,-0.9,-0.3,-0.6,-0.2,-0.6
Annual,65 years or over,Number,Germany,:,:,2.9,2.8,3.9,4.0,3.8,3.3,3.5,3.7,3.6,2.7,1.4,1.3,1.2,0.7,1.4,1.0,0.1,0.3,0.0
Annual,65 years or over,Number,Denmark,-2.2,-1.3,-3.4,-1.2,0.0,-1.2,-0.5,0.1,-0.4,-0.6,0.0,0.1,-0.2,-0.5,-0.3,-0.4,-0.4,-1.4,-3.5,-2.3,-2.5
Annual,65 years or over,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,7.1 e,8.5 e,1.3 e,7.7 e,7.5 e,8.4 e,7.7 e,7.6 e,7.5 e,7.2 e,7.2 e,7.3 e,6.9 e,7.1,6.4 b,5.8,:,:
Annual,65 years or over,Number,Euro area - 18 countries (2014),:,:,:,6.8 e,8.3,1.3,7.6,7.5,8.4,7.6,7.5,7.5,7.3,7.2,7.4,7.0,7.2,6.4 b,:,:,:
Annual,65 years or over,Number,Euro area - 19 countries  (2015-2022),:,:,:,6.7 e,8.2,1.3,7.6,7.4,8.3,7.5,7.5,7.4,7.2,7.2,7.3,6.9,7.1,6.4 b,5.8,:,:
Annual,65 years or over,Number,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,7.4,7.2,7.2,7.3,6.9,7.1,6.4,5.7,5.9,5.1
Annual,65 years or over,Number,Estonia,:,0.2,-0.8,-0.2,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,-0.9,-0.6,-1.8,-1.1,-1.1,-0.8,-0.1,-0.1,-0.2,-0.5
Annual,65 years or over,Number,Greece,:,:,:,:,14.0,14.5,13.9,13.8,15.8,11.2,12.2,14.0,15.6,13.7,13.1,12.9,12.2,12.2,12.8,13.0,12.0
Annual,65 years or over,Number,Spain,:,:,:,25.8,24.8,23.2,25.0,23.7,24.5,21.9,21.1,21.9,21.8,22.1,22.9,20.6,21.8,21.9,20.8,20.2,20.4
Annual,65 years or over,Number,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,2.5 e,4.5 e,6.0 e,1.2 e,5.4 e,5.4 e,5.9 e,5.4 e,5.4 e,5.2 e,5.0 e,4.9 e,4.9 e,4.7 e,4.9 e,:,:,:,:
Annual,65 years or over,Number,European Union - 27 countries (2007-2013),:,:,:,:,:,1.2,5.4,5.4,6.0,5.4,5.4,5.3,5.0,4.9,4.9,4.7,4.9 e,:,:,:,:
Annual,65 years or over,Number,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,6.1 e,6.8 e,6.1 e,6.1 e,6.0 e,5.7 e,5.6 e,5.6 e,5.4 e,5.6 e,5.0 b,4.5,4.6,3.9
Annual,65 years or over,Number,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,5.4,5.9,5.4,5.4,5.2,5.0,4.9,4.9,4.7,4.9 e,:,:,:,:
Annual,65 years or over,Number,Finland,:,0.0,-0.2,:,-0.9,-0.4,-0.2,-0.2,-0.5,-0.7,-0.7,-0.1,-0.1,-0.4,-0.3,-0.2,-0.3,-0.3,-0.6,-0.8,-0.3
Annual,65 years or over,Number,France,:,5.9,4.6,-1.5,1.9,-34.8,1.7,2.3,2.3,1.9,1.2,2.0,1.6,2.0,0.8,1.1,0.8,1.9,1.0,0.9 b,0.4
Annual,65 years or over,Number,Croatia,:,:,:,:,:,:,:,-0.5,2.8,1.0,-0.5,-2.9,-0.8,7.2,7.1,6.1,5.4,4.6,5.2,4.9,3.7
Annual,65 years or over,Number,Hungary,:,:,1.4,2.1,0.9,0.7,0.5,0.5,0.4,0.1,0.4,0.2,-0.4,0.1,-1.1,0.0,-0.1,-0.2,0.1,0.1,-0.8
Annual,65 years or over,Number,Ireland,7.4,10.0,11.1,11.8,13.4,13.1,15.9,13.4,13.1,17.2,15.5,16.3,13.0,9.6,9.6,8.4,11.2,9.0,7.3,10.3,3.9
Annual,65 years or over,Number,Iceland,:,-2.6,-2.8,-4.1,-4.6,-3.4,-1.0,-2.5,-3.9,-3.9,-3.0,-3.4,-5.5,-4.4,-3.9,-6.6,0.0,:,:,:,:
Annual,65 years or over,Number,Italy,:,:,:,:,9.5,8.8,8.0,8.3,11.3,9.8,10.6,9.8,10.8,11.1,12.4,12.8,13.7,9.9,9.8,10.4,8.2
Annual,65 years or over,Number,Lithuania,:,:,-0.5,-0.1,-0.3,0.0,-0.4,-0.9,-1.0,-1.0,-1.1,-0.8,-0.7,0.0,-0.2,-0.4,-0.7,-0.6,-0.4,-0.4,-0.3
Annual,65 years or over,Number,Luxembourg,17.0,8.9,6.3,5.0,2.6,2.3,3.7,0.6,2.3,3.9,8.0,7.4,6.6,7.1,5.8,6.6,6.3,5.7 b,2.6,6.6,3.8
Annual,65 years or over,Number,Latvia,:,:,:,:,-1.3,-1.0,-1.2,-1.0,-0.6,-0.4,-0.5,-0.2,0.0,-0.7,-0.4,0.2,0.4,-1.0,-0.5,-0.4,0.0
Annual,65 years or over,Number,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.3,4.9,6.8,9.0,6.8,:
Annual,65 years or over,Number,North Macedonia,:,:,:,:,:,:,:,25.7,24.7,24.6,22.8,22.4,21.6,21.9,18.8,18.8,17.9,18.1,:,:,:
Annual,65 years or over,Number,Malta,:,:,30.7,33.5,30.8,34.9,32.6,32.1,34.1,34.1,31.3,28.6,24.6,10.7 b,9.0,8.2,8.4,6.2,5.7,5.1,5.5
Annual,65 years or over,Number,Netherlands,:,:,0.0,0.0,0.0,-0.1,-0.3,0.0,-0.1,0.0,0.1,0.4,0.6,0.1,0.4,0.1,0.0,-0.2,-0.9,-0.5,-0.4
Annual,65 years or over,Number,Norway,1.3,0.3,-1.4,-2.4,-1.7,-0.8,-0.9,-2.8,-5.1,-1.4,1.1,0.1,0.9,-1.0,-0.8,0.4,0.0,0.6,0.0 b,0.1,1.7 b
Annual,65 years or over,Number,Poland,:,:,2.0,1.4,1.2,1.2,0.4,0.7,0.9,0.5,1.0,0.0,-0.8,-1.9,-3.9,-1.7,-1.0,-1.4,-1.6,-1.5,-1.1
Annual,65 years or over,Number,Portugal,:,:,:,:,5.3,-0.1,0.8,2.1,3.0,4.4,5.7,5.8,4.9,5.9,5.2,5.4,4.1,4.0,3.2,4.6,3.7
Annual,65 years or over,Number,Romania,:,:,:,:,5.3,5.4,4.9,6.8,5.6,4.9,4.0,3.5,3.1,3.3,4.4,3.8,4.3,4.5,4.4,2.5,3.6
