Time frequency,Type of building,Tenure status,Geopolitical entity (reporting)\Time,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,Total,Owner,Austria,:,2.0,2.0,2.0,2.1,2.1,2.1,2.1
Annual,Total,Owner,Belgium,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1
Annual,Total,Owner,Germany,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Annual,Total,Owner,Denmark,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Annual,Total,Owner,Greece,1.3,1.4,1.4,1.4,1.3,1.3,1.4,1.4
Annual,Total,Owner,Spain,1.7,1.7,1.6,1.7,1.7,1.7,1.8,1.8
Annual,Total,Owner,European Union - 15 countries (1995-2004),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Annual,Total,Owner,Finland,:,:,1.7,1.8,1.8,1.8,1.7,1.8
Annual,Total,Owner,France,2.0,2.0,2.0,2.1,2.1,2.0,2.0,2.1
Annual,Total,Owner,Ireland,2.1,2.1,2.1,2.2,2.1,2.2,2.2,2.2
Annual,Total,Owner,Italy,1.6,1.6,1.7,1.7,1.6,1.6,1.6,1.6
Annual,Total,Owner,Luxembourg,:,2.4,2.4,2.3,2.3,2.4,2.4,2.4
Annual,Total,Owner,Netherlands,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.6
Annual,Total,Owner,Portugal,1.6,1.6,1.6,1.5,1.6,1.6,1.5,1.6
Annual,Total,Owner,Sweden,:,:,:,2.2,2.2,2.2,2.2,2.2
Annual,Total,Owner,United Kingdom,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4
Annual,Total,Tenant,Austria,:,1.7,1.7,1.8,1.8,1.9,1.9,2.0
Annual,Total,Tenant,Belgium,2.0,2.0,2.0,1.9,2.0,2.0,2.0,2.0
Annual,Total,Tenant,Germany,1.7,1.6,1.7,1.7,1.7,1.7,1.7,1.8
Annual,Total,Tenant,Denmark,1.9,1.8,1.9,1.8,1.9,1.9,1.8,1.8
Annual,Total,Tenant,Greece,1.3,1.2,1.2,1.3,1.2,1.3,1.3,1.3
Annual,Total,Tenant,Spain,1.7,1.7,1.7,1.7,1.8,2.0,2.0,2.1
Annual,Total,Tenant,European Union - 15 countries (1995-2004),1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8
Annual,Total,Tenant,Finland,:,:,1.2,1.4,1.4,1.3,1.3,1.4
Annual,Total,Tenant,France,1.6,1.6,1.7,1.6,1.6,1.6,1.6,1.7
Annual,Total,Tenant,Ireland,1.6,1.6,1.6,1.7,1.7,1.8,1.7,1.6
Annual,Total,Tenant,Italy,1.4,1.4,1.4,1.5,1.4,1.4,1.4,1.4
Annual,Total,Tenant,Luxembourg,:,1.7,1.9,1.8,1.7,1.7,1.7,1.6
Annual,Total,Tenant,Netherlands,2.6,2.7,2.7,2.7,2.7,2.7,2.8,2.7
Annual,Total,Tenant,Portugal,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Annual,Total,Tenant,Sweden,:,:,:,1.7,1.7,1.7,1.8,1.8
Annual,Total,Tenant,United Kingdom,1.9,2.0,2.0,2.0,2.0,2.0,2.1,2.1
Annual,Total,"Tenant, rent at reduced price or free",Austria,:,2.3,2.3,2.2,2.1,2.4,2.4,2.4
Annual,Total,"Tenant, rent at reduced price or free",Belgium,2.3,2.4,2.2,2.2,2.3,2.1,2.2,2.2
Annual,Total,"Tenant, rent at reduced price or free",Germany,1.8,1.9,1.9,2.2,2.1,2.2,2.1,2.3
Annual,Total,"Tenant, rent at reduced price or free",Denmark,:,2.3 u,:,:,:,:,:,:
Annual,Total,"Tenant, rent at reduced price or free",Greece,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.4
Annual,Total,"Tenant, rent at reduced price or free",Spain,1.8,1.7,1.7,1.7,2.1,1.8,2.0,2.3
Annual,Total,"Tenant, rent at reduced price or free",European Union - 15 countries (1995-2004),2.0,2.1,2.1,2.2,2.2,2.2,2.2,2.3
Annual,Total,"Tenant, rent at reduced price or free",Finland,:,:,1.8,2.0,1.9 u,1.8,2.4 u,2.2 u
Annual,Total,"Tenant, rent at reduced price or free",France,2.1,2.1,2.0,2.4,2.4,2.4,2.4,2.5
Annual,Total,"Tenant, rent at reduced price or free",Ireland,2.8,3.1,2.4,3.1,2.7,2.8 u,2.3 u,2.8 u
Annual,Total,"Tenant, rent at reduced price or free",Italy,1.6,1.7,1.8,1.7,1.7,1.8,1.7,1.7
Annual,Total,"Tenant, rent at reduced price or free",Luxembourg,:,2.7,2.7 u,2.4,2.7,2.7,2.6,2.4
Annual,Total,"Tenant, rent at reduced price or free",Netherlands,3.2 u,3.1 u,3.0,3 u,3.2,3.4 u,3.1 u,3.2 u
Annual,Total,"Tenant, rent at reduced price or free",Portugal,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3
Annual,Total,"Tenant, rent at reduced price or free",United Kingdom,2.5 u,2.6 u,2.9 u,2.6 u,2.6 u,2.6 u,2.3,2.4
Annual,Total,Total,Austria,:,1.9,1.9,1.9,2.0,2.0,2.0,2.1
Annual,Total,Total,Belgium,2.2,2.1,2.1,2.1,2.1,2.0,2.1,2.1
Annual,Total,Total,Germany,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9
Annual,Total,Total,Denmark,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Annual,Total,Total,Greece,1.3,1.3,1.4,1.3,1.3,1.3,1.3,1.4
Annual,Total,Total,Spain,1.7,1.7,1.6,1.7,1.7,1.7,1.8,1.9
Annual,Total,Total,European Union - 15 countries (1995-2004),1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0
Annual,Total,Total,Finland,:,:,1.5,1.7,1.7,1.6,1.6,1.6
Annual,Total,Total,France,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0
Annual,Total,Total,Ireland,2.1,2.1,2.0,2.1,2.1,2.2,2.1,2.1
Annual,Total,Total,Italy,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Annual,Total,Total,Luxembourg,:,2.2,2.3,2.2,2.2,2.2,2.2,2.2
Annual,Total,Total,Netherlands,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6
Annual,Total,Total,Portugal,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Annual,Total,Total,Sweden,:,:,:,2.0,2.0,2.0,2.1,2.0
Annual,Total,Total,United Kingdom,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3
