Time frequency,Type of household,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Total,Percentage of total population,Total,Males,Latvia,18.2,17.8,16.6,15.9,15.7,14.4,13.7,11.9,10.7,9.1,8.3,6.3
Annual,Total,Total,Percentage of total population,Total,Males,Montenegro,:,:,:,3.3,2.9,3.8,3.9,2.1,0.8,0.8,0.9,:
Annual,Total,Total,Percentage of total population,Total,Males,North Macedonia,13.6,12.1,13.1,10.7,9.4,5.6,6.1,4.6,4.6,4.1,3.2,:
Annual,Total,Total,Percentage of total population,Total,Males,Malta,0.1,0.1,0.1,0.1,0.2,0.0 n,0.0 n,0.0 n,0.0 n,0.0,0.1,0.0
Annual,Total,Total,Percentage of total population,Total,Males,Netherlands,0.0 n,0.0 n,0.1,0.0,0.0 n,0.0 n,0.0 n,0.0 n,0.0,0.1,0.0 n,:
Annual,Total,Total,Percentage of total population,Total,Males,Norway,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Total,Percentage of total population,Total,Males,Poland,4.1,4.2,3.8,3.2,3.2,2.9,2.6,2.8,2.5,2.0,1.7,0.6
Annual,Total,Total,Percentage of total population,Total,Males,Portugal,1.6,1.1,1.0,0.9,0.9,1.1,1.1,1.1,0.8,0.7,0.6,0.4
Annual,Total,Total,Percentage of total population,Total,Males,Romania,41.5,39.4,37.3,36.6,34.9,33.1,33.1,30.2,28.0,24.4,22.7,15.6
Annual,Total,Total,Percentage of total population,Total,Males,Serbia,:,:,:,5.0,4.3,4.2,4.4,4.5,3.0,2.7,1.8,:
Annual,Total,Total,Percentage of total population,Total,Males,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 n,0.0,0.0,0.0,:
Annual,Total,Total,Percentage of total population,Total,Males,Slovenia,0.5,0.5,0.5,0.5,0.7,0.4,0.4,0.2,0.2,0.1,0.1,0.1
Annual,Total,Total,Percentage of total population,Total,Males,Slovakia,1.2,1.5,1.2,0.5,1.4,1.4,1.6,1.7,1.8,1.9,1.0,:
Annual,Total,Total,Percentage of total population,Total,Males,Türkiye,:,9.0,9.0,8.7,7.5,6.4,5.1,4.5,4.2,3.8,3.6,2.1
Annual,Total,Total,Percentage of total population,Total,Males,United Kingdom,0.6,0.2,0.3 b,0.2,0.4,0.4,0.5,0.5 bu,0.5 u,:,:,:
Annual,Total,Total,Percentage of total population,Total,Total,Albania,:,:,:,:,:,:,:,4.4,5.2,3.3,3.2,:
Annual,Total,Total,Percentage of total population,Total,Total,Austria,1.2,1.2,1.0,1.0,1.0,1.0,0.9,0.6,0.7,0.5,0.8,0.4
Annual,Total,Total,Percentage of total population,Total,Total,Belgium,0.3,1.4,2.1,2.0,2.1,2.3,1.7,1.1,0.9,0.7 b,0.7,0.7
Annual,Total,Total,Percentage of total population,Total,Total,Bulgaria,24.6,24.8,22.4,21.4,20.6,18.6,18.5 b,16.7,15.3,13.7,13.2,9.6
Annual,Total,Total,Percentage of total population,Total,Total,Switzerland,0.1,0.1,0.1,0.0 n,0.2 b,0.0 n,0.0 n,0.0 n,0.0 n,0.1,0.0 n,:
Annual,Total,Total,Percentage of total population,Total,Total,Cyprus,1.1,1.2,0.9,1.1,1.0,0.9,0.7,0.6,0.5,0.5,0.4,:
Annual,Total,Total,Percentage of total population,Total,Total,Czechia,0.7,0.7,0.9,0.9,0.7,0.6,0.5,0.4,0.5,0.4,0.3,:
Annual,Total,Total,Percentage of total population,Total,Total,Germany,1.6,0.9,0.9,0.1,0.0 n,0.1,0.1,0.1,0.0 n,0.2,0.0 b,:
Annual,Total,Total,Percentage of total population,Total,Total,Denmark,0.0,0.6,0.4,0.6,0.5,0.6,0.6,0.5,0.4,0.3,0.5,:
Annual,Total,Total,Percentage of total population,Total,Total,Euro area - 19 countries  (2015-2022),1.0,1.0,0.9,0.8,0.7,0.6,0.6,0.6,0.5,0.6,0.5,:
Annual,Total,Total,Percentage of total population,Total,Total,Estonia,11.1,9.6,8.6,8.1,7.2 b,6.9,6.9,6.1,5.3,4.7,4.0,:
Annual,Total,Total,Percentage of total population,Total,Total,Greece,1.4,0.9,0.5,0.7,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3
Annual,Total,Total,Percentage of total population,Total,Total,Spain,0.0,0.0 n,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.4,0.4,:
Annual,Total,Total,Percentage of total population,Total,Total,European Union - 27 countries (2007-2013),3.3,3.0,2.9,2.7,2.5,2.4,2.3,2.3 e,2.0 e,1.9 e,:,:
Annual,Total,Total,Percentage of total population,Total,Total,European Union - 27 countries (from 2020),3.7 e,3.4 e,3.3 e,3.0 e,2.8 e,2.7 e,2.6 e,2.4 e,2.2 e,2.0 e,1.8,:
Annual,Total,Total,Percentage of total population,Total,Total,European Union - 28 countries (2013-2020),3.3,3.0,2.9,2.7,2.5,2.4,2.3,2.3 e,2.0 e,1.9 e,:,:
Annual,Total,Total,Percentage of total population,Total,Total,Finland,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,:
Annual,Total,Total,Percentage of total population,Total,Total,France,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.7 b,0.8
Annual,Total,Total,Percentage of total population,Total,Total,Croatia,0.6,1.7,2.5 b,1.7,2.0,1.9,1.7,1.6,1.3,1.1,1.4,:
Annual,Total,Total,Percentage of total population,Total,Total,Hungary,6.6,5.0,5.2,5.3,5.3,3.9,4.3,3.9,3.9,3.1,1.6,:
Annual,Total,Total,Percentage of total population,Total,Total,Ireland,0.2,4.4,1.9,2.1,0.1,0.1,0.2,0.1,0.3,0.2 b,0.2 bu,:
Annual,Total,Total,Percentage of total population,Total,Total,Iceland,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Total,Total,Percentage of total population,Total,Total,Italy,0.2,0.4,0.6,1.1,0.8,0.6,0.4,0.6,0.6,0.8,0.7,0.9
Annual,Total,Total,Percentage of total population,Total,Total,Lithuania,16.2,16.8,15.8,13.6,12.5,12.4,13.7,12.2,10.6,10.0,7.6,5.0
Annual,Total,Total,Percentage of total population,Total,Total,Luxembourg,0.5,0.1,0.7,0.1,0.1,0.0 n,0.5 b,0.1,0.0 n,0.1,0.1 b,:
Annual,Total,Total,Percentage of total population,Total,Total,Latvia,16.8,16.5,16.2,15.2,14.7,13.6,12.9,10.9,9.9,8.7,8.0,6.0
Annual,Total,Total,Percentage of total population,Total,Total,Montenegro,:,:,:,3.4,3.1,4.1,4.1,2.2,0.8,0.8,0.9,:
Annual,Total,Total,Percentage of total population,Total,Total,North Macedonia,13.1,11.6,12.7,10.3,9.5,5.7,5.8,4.4,4.3,3.9,3.2,:
Annual,Total,Total,Percentage of total population,Total,Total,Malta,0.1,0.1,0.1,0.1,0.1,0.0 n,0.0 n,0.0 n,0.1,0.1,0.1,0.0
Annual,Total,Total,Percentage of total population,Total,Total,Netherlands,0.0 n,0.0 n,0.0 n,0.0,0.0 n,0.0 n,0.1 b,0.1,0.0 n,0.1,0.0 n,:
Annual,Total,Total,Percentage of total population,Total,Total,Norway,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Total,Percentage of total population,Total,Total,Poland,4.1,4.0,3.5,3.2,3.1,2.7,2.4,2.5,2.1,1.7,1.4,0.6
Annual,Total,Total,Percentage of total population,Total,Total,Portugal,1.6,1.2,0.9,0.9,1.0,1.0,1.1,1.0,0.8,0.7,0.6,0.4
Annual,Total,Total,Percentage of total population,Total,Total,Romania,40.9,38.8,36.8,35.9,34.3,32.8,32.6,29.7,27.7,24.2,22.8,15.4
Annual,Total,Total,Percentage of total population,Total,Total,Serbia,:,:,:,4.8,4.2,4.2,4.4,4.3,2.9,2.7,1.8,:
Annual,Total,Total,Percentage of total population,Total,Total,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 n,0.0,0.0,0.0,:
Annual,Total,Total,Percentage of total population,Total,Total,Slovenia,0.4,0.5,0.4,0.5,0.6,0.3,0.3,0.2,0.2,0.1,0.1,0.1
Annual,Total,Total,Percentage of total population,Total,Total,Slovakia,1.2,1.4,1.1,0.6,1.3,1.4,1.4,1.5,1.6,1.8,1.0,:
Annual,Total,Total,Percentage of total population,Total,Total,Türkiye,:,9.0,9.1,8.8,7.6,6.5,5.2,4.6,4.3,3.8,3.6,2.1
Annual,Total,Total,Percentage of total population,Total,Total,United Kingdom,0.5,0.1,0.3 b,0.2,0.4,0.4,0.4,0.5 bu,0.5 u,:,:,:
