Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Financial intermediation,Hour,Malta,15.7
Annual,Financial intermediation,Hour,Netherlands,20.7
Annual,Financial intermediation,Hour,Norway,31.1
Annual,Financial intermediation,Hour,Poland,24.5
Annual,Financial intermediation,Hour,Portugal,15.9
Annual,Financial intermediation,Hour,Romania,15.1
Annual,Financial intermediation,Hour,Sweden,10.3
Annual,Financial intermediation,Hour,Slovenia,27.3
Annual,Financial intermediation,Hour,Slovakia,39.2
Annual,Financial intermediation,Hour,United Kingdom,12.8
Annual,Real estate; other service activities,Hour,Austria,7.2
Annual,Real estate; other service activities,Hour,Belgium,16.9
Annual,Real estate; other service activities,Hour,Bulgaria,20.7
Annual,Real estate; other service activities,Hour,Cyprus,13.5
Annual,Real estate; other service activities,Hour,Czechia,16.7
Annual,Real estate; other service activities,Hour,Germany,12.0
Annual,Real estate; other service activities,Hour,Denmark,19.0
Annual,Real estate; other service activities,Hour,Estonia,13.9
Annual,Real estate; other service activities,Hour,Greece,8.9
Annual,Real estate; other service activities,Hour,Spain,9.8
Annual,Real estate; other service activities,Hour,European Union - 27 countries (from 2020),12.6
Annual,Real estate; other service activities,Hour,European Union - 28 countries (2013-2020),12.6
Annual,Real estate; other service activities,Hour,Finland,13.0
Annual,Real estate; other service activities,Hour,France,13.0
Annual,Real estate; other service activities,Hour,Hungary,7.7
Annual,Real estate; other service activities,Hour,Ireland,15.7
Annual,Real estate; other service activities,Hour,Italy,10.9
Annual,Real estate; other service activities,Hour,Lithuania,10.4
Annual,Real estate; other service activities,Hour,Luxembourg,21.5
Annual,Real estate; other service activities,Hour,Latvia,8.1
Annual,Real estate; other service activities,Hour,Malta,21.5
Annual,Real estate; other service activities,Hour,Netherlands,16.3
Annual,Real estate; other service activities,Hour,Norway,12.3
Annual,Real estate; other service activities,Hour,Poland,8.5
Annual,Real estate; other service activities,Hour,Portugal,11.5
Annual,Real estate; other service activities,Hour,Romania,12.1
Annual,Real estate; other service activities,Hour,Sweden,19.5
Annual,Real estate; other service activities,Hour,Slovenia,19.8
Annual,Real estate; other service activities,Hour,Slovakia,10.6
Annual,Real estate; other service activities,Hour,United Kingdom,12.5
