Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,Percentage,Estonia,24.13,25.11,25.14,26.83,25.99,25.84,26.55,26.96
Annual,Total,Percentage,Greece,:,:,:,0.00 d,10.32 d,:,:,:
Annual,Total,Percentage,Spain,34.0,34.82,36.41,38.2,39.62,41.07,35.78,41.76
Annual,Total,Percentage,European Union - 27 countries (from 2020),16.58 d,17.03 d,18.60 d,18.93,19.19 d,18.65 d,17.60 d,18.73 d
Annual,Total,Percentage,Finland,27.68,30.47,31.16,33.37,35.4,36.99,36.91,35.47
Annual,Total,Percentage,France,4.1,4.05,4.24,4.16 p,4.06 p,3.83 p,3.36 p,3.51 p
Annual,Total,Percentage,Croatia,19.84,20.54,22.05,23.23,22.35,26.43,27.66,29.3
Annual,Total,Percentage,Hungary,4.62,4.95,5.15,5.27,4.94,4.77,4.24,4.15
Annual,Total,Percentage,Ireland,:,:,7.77,26.57 b,25.02,18.21,2.21,15.6
Annual,Total,Percentage,Iceland,46.55,46.77,48.24,48.05,47.97,48.67,48.84,49.13
Annual,Total,Percentage,Italy,5.42,5.34,5.34,5.23,5.24,5.22,4.44,4.75
Annual,Total,Percentage,Liechtenstein,:,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,Percentage,Lithuania,22.08,23.09,24.84,28.3,29.91,29.83,30.56,35.36
Annual,Total,Percentage,Luxembourg,1.29,1.46,1.31,1.31,1.32,1.09,0.89,0.86
Annual,Total,Percentage,Latvia,25.82,27.28,29.14,29.65,30.52,30.83,31.44,33.36
Annual,Total,Percentage,Montenegro,:,17.87,:,:,:,:,:,:
Annual,Total,Percentage,North Macedonia,8.73,7.98,10.73,12.85,13.15,7.76,11.44,14.6
Annual,Total,Percentage,Malta,6.28,6.24 d,6.06 d,6.55 d,6.68 d,6.57 d,5.82 d,6.10 dp
Annual,Total,Percentage,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,Percentage,Norway,55.07,55.34,56.3,57.3,58.04,58.28,59.22,58.94
Annual,Total,Percentage,Poland,2.53,3.15,2.36,2.4,2.56,2.3,2.0,2.24 p
Annual,Total,Percentage,Portugal,:,:,39.58,39.66,:,:,:,:
Annual,Total,Percentage,Romania,6.53,6.28,7.62,7.71,8.66,8.12,5.67,7.61
Annual,Total,Percentage,Serbia,19.04,22.25,23.11,25.12,26.3,28.16,26.78,28.82
Annual,Total,Percentage,Sweden,45.04,45.19,45.38,46.28,47.3,47.57,47.58,47.3
Annual,Total,Percentage,Slovenia,37.72,38.74,41.08,42.56,44.31,45.54,45.37,46.53
Annual,Total,Percentage,Slovakia,4.52,5.37,4.89,5.02,4.88,5.12,4.53,4.12
Annual,Total,Percentage,Türkiye,0.06,0.31,0.29,0.22,0.24 d,0.19,0.3,0.75
