Time frequency,Unit of measure,Traffic and transport measurement,Type of schedule,Transport coverage,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,France,1753084.7,1741020.6,2361510.1,2380931.3,2401593.0,2450326.1,2407878.2,2371614.1,1938349.0,2278630.1,2139178.3,2123148.6
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Croatia,6961.0,6857.0,6908.0,7189.0,7691.0,9510.0,11934.0,10846.0,7638.0,8775.0,9723.0,9153.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Hungary,61902.0,64166.0,61970.0,65783.0,77534.7,87276.6,101411.2,95590.2,88872.4,125901.2,133831.6,142748.9
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Ireland,126833.6,127422.8,138202.9,148713.5,145768.7,163123.2,156264.7,144140.8,136802.6,155226.6,156941.3,166118.1
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Iceland,40029.7,41490.7,41908.0,44664.0,48459.1,55983.7,56889.4,55099.9,49278.0,57068.8,55877.4,61641.9
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Italy,790493.0,826981.0,876495.0,916755.0,991688.0,1077874.0,1066221.0,1021941.0,776205.0,1016347.0,1033956.0,1018874.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Lithuania,14342.0,15857.0,13210.0,14904.0,14244.6,15064.4,16779.0,17211.5,19819.8,19830.1,20740.2,19821.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Luxembourg,615286.4,673380.2,707150.0,736879.8,801058.0,892660.0,895004.0,853030.0,905397.0,1088016.0,969105.0,794328.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Latvia,31460.0,52473.0,31439.0,16809.0,17922.0,21203.6,24627.7,25865.7,19246.8,27062.3,20123.4,18349.6
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Montenegro,:,:,:,:,898.3,869.0,914.7,871.6,337.2,466.6,419.5,608.7
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,North Macedonia,:,:,:,2647.0,2939.0,2820.0,3298.0,3407.0,2132.0,3039.0,2635.0,2723.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Malta,16492.7,16028.5,15602.0,16405.4,15690.3,16194.4,17677.1,12209.6,13444.2,15998.0,17551.6,20644.3
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Netherlands,1563499.7,1620037.6,1727454.8,1712031.3,1831791.8,1865105.5,1840418.8,1703556.1,1591388.6,1807924.4,1553481.8,1416215.3
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Norway,78420.0,106722.0,116390.0,127698.0,127745.0,169295.0,174840.0,187379.0,176298.0,194435.0,173035.0,174583.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Poland,74831.0,77559.9,84386.2,92690.0,107880.3,121303.2,134673.1,143109.5,111278.6,143385.0,201957.3,208831.1
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Portugal,117645.0,126612.0,134982.0,133416.0,136578.0,164732.0,173493.0,194214.0,133074.8,174997.5,206167.1,206288.3
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Romania,28523.0,30605.0,31113.0,33399.0,37456.0,41692.0,45310.0,44217.0,38769.0,39033.0,47636.0,46759.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Serbia,:,:,:,:,9914.0,22350.0,27375.1,22659.1,16751.7,14847.9,13647.1,107234.7
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Sweden,141365.0,130405.0,141887.0,146287.0,147214.0,159129.9,158632.4,162743.4,132083.0,154596.2,146498.6,126598.4
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Slovenia,7572.0,7969.0,8563.0,8891.0,8970.0,12024.5,12337.3,11357.8,10552.6,11381.5,12467.7,11429.1
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Slovakia,20893.0,20588.0,18498.0,21216.0,23028.0,27188.3,24564.8,20525.3,24772.1,19644.2,18060.9,11085.8
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Türkiye,:,:,:,:,:,:,:,:,:,:,:,1639363.1
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,United Kingdom,2428374.6,2369878.6,2406673.0,2405225.0,2511011.0,2738784.0,2748539.0,2650232.3,:,:,:,:
