Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Less than 16 years,Percentage,Sweden,3.5
Annual,Less than 16 years,Percentage,Slovenia,2.9
Annual,Less than 16 years,Percentage,Slovakia,13.1
Annual,Less than 6 years,Percentage,Austria,6.4
Annual,Less than 6 years,Percentage,Belgium,11.7
Annual,Less than 6 years,Percentage,Bulgaria,32.1
Annual,Less than 6 years,Percentage,Switzerland,7.7
Annual,Less than 6 years,Percentage,Cyprus,19.2
Annual,Less than 6 years,Percentage,Czechia,5.8
Annual,Less than 6 years,Percentage,Germany,6.2
Annual,Less than 6 years,Percentage,Denmark,5.0
Annual,Less than 6 years,Percentage,Estonia,3.7
Annual,Less than 6 years,Percentage,Greece,31.3
Annual,Less than 6 years,Percentage,Spain,19.0
Annual,Less than 6 years,Percentage,European Union - 27 countries (from 2020),11.1
Annual,Less than 6 years,Percentage,Finland,4.2
Annual,Less than 6 years,Percentage,France,11.4
Annual,Less than 6 years,Percentage,Croatia,3.4
Annual,Less than 6 years,Percentage,Hungary,27.2
Annual,Less than 6 years,Percentage,Ireland,10.4
Annual,Less than 6 years,Percentage,Italy,13.2
Annual,Less than 6 years,Percentage,Lithuania,5.4
Annual,Less than 6 years,Percentage,Luxembourg,7.1
Annual,Less than 6 years,Percentage,Latvia,7.5
Annual,Less than 6 years,Percentage,Malta,10.7
Annual,Less than 6 years,Percentage,Netherlands,5.4
Annual,Less than 6 years,Percentage,Poland,3.7
Annual,Less than 6 years,Percentage,Portugal,10.4
Annual,Less than 6 years,Percentage,Romania,34.7
Annual,Less than 6 years,Percentage,Sweden,3.6
Annual,Less than 6 years,Percentage,Slovenia,2.0
Annual,Less than 6 years,Percentage,Slovakia,11.2
