Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage change (t/t-1),Slovenia,8.1,-5.7,-0.1,5.9,0.8,-2.8,-0.5,2.0,3.1,-0.5,-1.8,-0.7,1.3,1.6,2.3,-2.6,-0.8,-1.2,1.4,1.1,-2.1,0.5,-0.2,1.7,-0.4,0.4,-0.4,-1.3,2.9
Annual,Percentage change (t/t-1),Slovakia,2.3,-0.6,4.7,2.2,-1.8,10.2,1.5,2.5,13.0,9.8,2.4,5.1,9.7,8.3,7.0,-4.2,1.1,0.1,1.0,0.2,-2.3,0.5,0.0,2.0,0.6,2.6,0.0,1.3,6.1
Annual,Percentage change (t/t-3),Austria,:,:,-6.1,-7.9,-4.9,-4.3,-5.1,-3.8,3.4,4.4,2.5,-1.7,-1.8,-0.1,2.0,-2.0,-1.9,-4.7,0.7,2.0,1.4,1.0,0.4,4.9,2.1,3.1,1.2,0.1,1.8
Annual,Percentage change (t/t-3),Belgium,:,:,-5.2,-7.4,-5.7,-4.0,-3.9,-2.2,5.8,6.1,4.9,0.5,0.2,3.4,4.0,0.6,-1.5,-4.3,-0.2,-0.5,-1.6,-0.3,1.0,7.0,2.8,2.4,0.6,1.8,0.0
Annual,Percentage change (t/t-3),Bulgaria,:,:,16.6,19.9,54.1,23.0,10.9,11.9,13.0,11.4,8.5,9.5,9.9,18.5,18.3,9.7,1.9,-4.0,-1.0,-2.7,-4.2,-4.7,-3.2,4.2,4.7,6.9,3.7,5.8,8.5
Annual,Percentage change (t/t-3),Cyprus,:,:,-9.7,0.0,3.5,4.8,-3.6,-1.7,8.0,9.5,6.8,0.0,-1.4,2.3,3.6,0.1,-2.9,-5.8,-0.7,-1.6,-6.1,-7.3,-6.2,2.1,-0.3,-0.4,-2.4,-3.0,0.3
Annual,Percentage change (t/t-3),Czechia,:,:,8.1,15.6,8.4,10.1,6.1,19.4,14.8,8.9,3.2,10.2,12.4,23.2,13.7,12.1,-0.5,0.4,-3.1,-10.0,-8.2,-3.7,5.5,11.1,8.7,5.5,5.0,13.7,24.3
Annual,Percentage change (t/t-3),Germany,:,:,-7.5,-9.9,-7.1,-7.6,-8.5,-6.2,5.6,7.3,4.5,-1.6,-1.5,0.9,3.0,-3.7,-4.9,-9.0,-1.8,-0.3,-1.4,-2.0,-1.7,5.4,2.1,2.4,0.6,-0.4,1.9
Annual,Percentage change (t/t-3),Denmark,:,:,-2.1,-3.5,-1.9,-2.7,-3.6,-1.7,8.4,7.5,4.0,-1.7,-1.3,2.2,5.6,0.2,-2.5,-7.8,-2.5,-1.1,-1.6,-1.6,-1.9,2.7,-0.2,0.9,-1.1,-1.2,-1.0
Annual,Percentage change (t/t-3),Euro area – 20 countries (from 2023),:,:,-8.5,-9.2,-9.4,-10.5,-11.2,-6.0,16.6,18.3,11.2,-1.1,-1.7,4.1,7.6,-3.7,-6.9,-13.5,-2.0,-0.8,-3.4,-4.3,-3.3,8.5,3.2,3.8,0.1,-1.0,1.5
Annual,Percentage change (t/t-3),Estonia,:,:,29.5,25.5,20.4,15.5,3.3,0.8,8.5,7.1,5.7,3.5,6.5,12.6,13.7,4.6,-0.7,-3.6,3.1,4.8,5.9,4.4,3.2,7.7,5.9,4.9,1.9,8.7,15.7
Annual,Percentage change (t/t-3),Greece,:,:,2.4,0.0,-0.5,-7.2,-5.8,-5.4,8.9,10.2,6.2,0.2,-0.4,2.3,4.8,2.9,1.8,-5.0,-4.4,-5.5,-5.6,-4.0,-2.8,3.9,0.5,0.3,-3.2,-2.4,-1.2
