Time frequency,Country of citizenship,Unit of measure,Geopolitical entity (reporting)\Time,Mars 2022,Avril 2022,Mai 2022,Juin 2022,Juillet 2022,Août 2022,Septembre 2022,Octobre 2022,Novembre 2022,Décembre 2022,Janvier 2023,Février 2023,Mars 2023,Avril 2023,Mai 2023,Juin 2023,Juillet 2023,Août 2023,Septembre 2023,Octobre 2023,Novembre 2023,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Extra-EU27 (from 2020),Number,Spain,0.7,1.75 d,2.44 d,2.68 d,2.82 d,2.95 d,3.07 d,3.18 d,3.30 d,3.39 d,3.44 d,3.51 d,3.59 d,3.64 d,3.70 d,3.75 d,3.80 d,3.84 d,3.89 d,3.95 d,4.01 d,4.05 d,4.07 d,4.12 d,4.18 d,4.25 d,4.24 d,4.31 d,4.37 d,4.43 d,4.49 d,4.56 d,4.61 d
Monthly,Extra-EU27 (from 2020),Number,European Union - 27 countries (from 2020),:,:,:,:,:,8.22,8.73,8.23,8.34,8.57,8.66 b,8.85,8.64,8.75,8.88,8.99,9.09,9.18,9.25,9.36,9.45,9.53,9.61,9.42,9.38,9.39,9.49,9.62,9.19 b,9.27,9.34,9.35,9.43
Monthly,Extra-EU27 (from 2020),Number,Finland,0.51,2.73,4.09,5.1,5.86,6.47,6.81,7.26,7.53,7.8,8.01,8.31,8.64,8.79,9.06,9.43,9.85,10.03,10.18,10.39,10.53,10.64,10.68,10.79,10.86,10.99,11.14,11.39,11.69,11.86,12.0,12.14,12.27
Monthly,Extra-EU27 (from 2020),Number,France,0.41 d,0.75 d,0.88 d,0.95 d,1.01 d,1.06 d,0.99 d,0.97 d,0.99 d,1.01 d,1.02 d,1.03 d,0.99 d,0.98 d,0.98 d,0.99 d,0.99 d,0.98 d,0.95 d,0.96 d,0.96 d,0.95 d,0.95 d,0.94 d,0.93 d,0.92 d,0.90 d,0.90 d,0.90 d,0.89 d,0.88 d,0.87 d,0.86 d
Monthly,Extra-EU27 (from 2020),Number,Croatia,1.2,2.68,3.37,3.82,4.15,4.35,4.52,4.64,4.77,4.91,5.04,5.17,5.17,5.3,5.46,5.62,5.71,5.8,5.84,5.89,5.95,5.98,6.0,6.04,6.11,6.19,6.28,6.36,6.46,6.53,6.58,6.63,6.68
Monthly,Extra-EU27 (from 2020),Number,Hungary,:,:,1.45,2.17,2.45,2.63,2.73,2.85,2.95,2.98,3.08,3.12,3.19,3.22,3.28,3.32,3.36,3.41,3.44,3.47,3.51,3.53,3.57,3.64,3.65,3.71,3.76,3.81,3.88,3.91,3.96,4.01,4.06
Monthly,Extra-EU27 (from 2020),Number,Ireland,2.59,4.98,6.56,7.93,9.06,9.85,10.8,12.0,12.81,13.71,13.66,14.24,14.84,15.19,15.7,16.28,16.9,17.3,17.85,18.46,18.86,19.25,19.24,19.36,19.52,19.62,19.76,19.89,20.04,20.1,20.2,20.33,20.43
Monthly,Extra-EU27 (from 2020),Number,Iceland,0.69,2.2,2.78,3.28,3.64,4.01,4.48,5.04,5.48,6.01,6.25,6.6,6.94,7.1,7.35,7.51,7.84,8.0,8.27,8.55,8.84,8.98,8.79,9.0,9.07,9.1,9.39,9.6,9.75,9.8,9.82,9.98,9.96
Monthly,Extra-EU27 (from 2020),Number,Italy,0.0,0.29,0.92,1.36,1.69,1.97,2.17,2.31,2.43,2.47,2.48,2.51,2.64,2.65,2.68,2.71,2.72,2.71,2.73,2.74,2.74,2.74,2.77,2.79,2.78,2.79,2.8,2.81,2.82,2.83,2.83,2.81,2.79
Monthly,Extra-EU27 (from 2020),Number,Liechtenstein,1.37,4.48,4.96,5.93,6.33,6.89,7.53,8.4,8.7,9.79,10.36,10.94,11.19,11.39,11.44,12.12,13.01,13.16,13.31,13.64,14.21,14.39,14.17,14.89,15.09,15.17,15.64,15.89,16.14,16.17,16.39,16.69,17.44
Monthly,Extra-EU27 (from 2020),Number,Lithuania,1.13,10.04,16.19,17.54,18.85,20.28,21.31,22.23,22.91,23.32,23.26,23.44,23.72,24.06,24.46,24.73,24.99,25.28,25.48,25.8,26.06,26.23,26.11,26.23,26.48,26.73,26.96,27.18,27.4,27.63,28.09,16.50 b,16.64
Monthly,Extra-EU27 (from 2020),Number,Luxembourg,1.47,4.1,5.77,6.26,6.51,6.6,6.79,6.92,7.03,7.21,7.09,7.06,6.15,6.15,6.16,6.18,6.22,6.34,6.32,6.34,6.32,6.4,6.28,6.28,6.29,6.26,6.3,6.38,5.68,5.66,5.68,5.73,5.71
Monthly,Extra-EU27 (from 2020),Number,Latvia,5.95,10.56,13.07,14.55,15.41,16.14,16.97,17.64,18.66,19.12,19.24,19.51,19.11,21.08,22.44,23.5,22.57,22.75,22.85,23.01,23.14,23.27,23.58,23.72,23.85,24.02,24.01,24.33,24.62,24.85,25.1,25.26,25.45
Monthly,Extra-EU27 (from 2020),Number,Malta,0.36,1.12,1.91,2.26,2.38,2.5,2.63,2.75,2.81,2.91,2.89,3.0,3.07,3.16,3.24,3.26,3.36,3.41,3.47,3.57,3.61,3.62,3.52,3.49,3.54,3.59,3.61,3.66,3.74,3.77,3.82,3.88,3.9
Monthly,Extra-EU27 (from 2020),Number,Netherlands,1.45,3.06 d,3.79 d,4.34 d,4.77 d,5.19 d,5.47 d,5.78 d,6.05 d,6.23 d,4.61 b,4.75,4.9,5.01,5.16,5.32,5.5,5.67,5.88,6.11,6.29,6.42,6.51,6.51,6.77,6.3,6.31,6.46,6.51,6.57,6.63,6.7,6.72
Monthly,Extra-EU27 (from 2020),Number,Norway,0.4,1.62,2.66,3.17,3.4,4.17,4.78,5.28,5.67,6.1,6.39,6.92,7.45,7.76,8.04,8.39,8.86,9.35,10.03,10.83,11.57,11.87,12.28,12.58,12.74,12.82,12.95,12.99,13.3,13.5,13.71,13.93,14.07
Monthly,Extra-EU27 (from 2020),Number,Poland,17.98,28.45,31.06,32.69,34.21,36.06,37.15,27.56,25.6,26.06,26.5,27.04,27.2,27.07,26.97,26.6,26.42,26.13,26.08,26.14,25.99,25.98,25.98,26.14,26.09,26.05,26.03,26.37,26.66,26.63,26.76,26.87,26.98
Monthly,Extra-EU27 (from 2020),Number,Portugal,2.42,3.29,3.8,4.39,4.66,4.89,5.04,5.19,5.32,5.4,5.41,5.5,5.5,5.27,5.22,5.27,5.33,5.39,5.44,5.51,5.55,5.59,5.59,5.62,5.64,5.71,5.77,5.81,5.88,5.92,5.98,6.04,6.09
Monthly,Extra-EU27 (from 2020),Number,Romania,0.11,0.68,1.77,2.32,2.7,3.21,3.71,4.15,4.71,5.3,5.76,6.16,6.51,6.68,6.88,7.01,7.11,7.23,7.38,7.47,7.57,7.65,7.74,7.86,7.95,8.12,8.32,8.5,8.72,8.88,9.04,9.2,9.32
Monthly,Extra-EU27 (from 2020),Number,Sweden,1.74,2.87,3.31,3.52,3.76,3.98,4.12,4.26,4.41,4.43,4.5,4.6,2.35,3.17,3.51,3.72,3.83,3.91,3.98,4.04,4.1,4.15,4.21,4.39,3.44,3.62,3.8,3.91,4.01,4.14,4.23,4.3,4.36
Monthly,Extra-EU27 (from 2020),Number,Slovenia,0.41,1.83,2.48,2.71,2.96,3.16,3.32,3.4,3.52,3.64,3.72,3.79,3.88,3.95,4.02,4.07,4.13,4.19,4.0,4.07,4.11,4.14,4.16,4.19,4.11,4.28,4.33,4.37,4.46,4.56,4.65,4.72,4.76
Monthly,Extra-EU27 (from 2020),Number,Slovakia,:,13.25,14.17,14.81,15.37,16.0,16.55,16.98,17.28,17.58,17.8,18.05,18.33,18.54,18.8,19.15,19.47,19.83,20.18,20.56,20.84,21.04,21.39,21.65,21.83,22.06,22.33,22.65,23.05,23.21,23.41,23.66,24.05
Monthly,Total,Number,Austria,:,:,:,:,8.33,8.68,9.0,9.29,9.52,9.75,9.74,9.41,7.86,8.01,8.15,8.32,8.47,8.61,8.76,8.93,9.07,9.16,9.12,8.97,7.97,7.97,8.32,8.48,8.67,8.77,8.94,9.12,9.24
Monthly,Total,Number,Belgium,2.28,3.23,3.86,4.23,4.5,4.77,4.96,4.87,5.29,5.44,5.32,5.42,5.5,5.57,5.66,5.76,5.85,5.97,6.08,6.19,6.28,6.35,6.4,6.48,6.56,6.64,6.72,6.8,6.91,7.04,7.14,7.24,7.31
Monthly,Total,Number,Bulgaria,4.49 d,13.51 d,16.43 d,17.44 d,18.39 d,19.05 d,19.71 d,20.77 d,21.19 d,21.55 d,23.23 d,23.51 d,23.81 d,24.04 d,24.45 d,24.92 d,25.28 d,25.57 d,25.83 d,26.10 d,26.34 d,26.52 d,26.73 d,7.09 b,7.63,7.91,8.36,8.9,9.34,9.7,9.98,10.24,10.48
Monthly,Total,Number,Switzerland,1.73,4.36,5.91,6.4,6.55,6.73,6.86,6.93,7.04,7.19,7.26,7.39,7.46,7.45,7.43,7.4,7.36,7.42,7.46,7.5,7.5,7.5,7.32,7.27,7.23,7.26,7.35,7.39,7.4,7.42,7.44,7.48,7.53
Monthly,Total,Number,Cyprus,0.74,3.80 d,7.34 d,9.73 d,10.63 d,11.37 d,12.24 d,12.86 d,13.54 d,13.94 d,14.73 d,15.87 d,16.59 d,17.36 d,18.15 d,18.53 d,18.77 d,19.46 d,19.94 d,20.24 d,20.73 d,20.93 d,20.92 d,21.21 d,21.45 d,21.69 d,21.89 d,22.15 d,22.45 d,22.64 d,23.22 d,23.50 d,23.67 d
Monthly,Total,Number,Czechia,23.79,29.95,33.56,35.48,36.9,37.89,38.85,39.91,40.41,41.12,40.72,41.36,30.04,30.65,31.41,32.25,33.02,33.72,33.06,33.66,34.11,34.45,34.97,35.33,33.43,31.69,32.70 d,33.1,33.91,34.58,34.72,34.8,35.34
Monthly,Total,Number,Germany,:,:,:,:,:,8.41 d,9.78 d,10.50 d,11.19 d,11.63 d,11.91 d,12.27 d,12.66 d,12.93 d,13.18 d,13.44 d,13.68 d,13.94 d,14.17 d,14.41 d,14.65 d,14.83 d,15.22 d,15.42 d,15.60 d,15.80 d,15.97 d,16.15 d,13.31 b,13.45,13.54,13.67,13.82
Monthly,Total,Number,Denmark,0.21,1.78,3.53,4.3,4.5,4.76,5.07,5.08,5.22,5.48,5.55,5.71,5.87,5.89,5.96,6.01,6.06,6.22,6.31,6.03,6.08,6.12,6.15,6.23,5.33,5.44,5.54,5.72,5.88,6.01,6.2,6.36,6.53
Monthly,Total,Number,Estonia,10.37,16.74,19.42,21.04,22.32,24.06,25.55,27.03,28.12,28.82,28.62,29.15,27.1,25.72,25.7,25.78,25.94,26.19,26.23,26.25,26.27,26.31,26.01,25.61,24.7,23.84,24.45,23.55,24.6,24.61,24.9,25.27,25.55
Monthly,Total,Number,Greece,0.0,0.85 d,1.41 d,1.60 d,1.73 d,1.82 d,1.89 d,1.95 d,2.01 d,2.06 d,2.11 d,2.14 d,2.18 d,2.24 d,2.27 d,2.36 d,2.43 d,2.47 d,2.51 d,2.54 d,2.56 d,2.58 d,2.61 d,2.63 d,2.66 d,2.75 d,2.86 d,2.93 d,2.99 d,3.03 d,3.06 d,3.09 d,3.11 d
Monthly,Total,Number,Spain,0.7,1.75 d,2.44 d,2.68 d,2.82 d,2.95 d,3.08 d,3.18 d,3.30 d,3.40 d,3.44 d,3.51 d,3.59 d,3.64 d,3.70 d,3.75 d,3.80 d,3.84 d,3.89 d,3.95 d,4.01 d,4.05 d,4.07 d,4.12 d,4.18 d,4.25 d,4.25 d,4.31 d,4.37 d,4.43 d,4.49 d,4.57 d,4.62 d
Monthly,Total,Number,European Union - 27 countries (from 2020),:,:,:,:,:,8.22,8.73,8.23,8.34,8.57,8.66 b,8.85,8.64,8.75,8.88,8.99,9.09,9.18,9.25,9.36,9.45,9.53,9.61,9.42,9.38,9.39,9.49,9.62,9.19 b,9.27,9.34,9.35,9.43
Monthly,Total,Number,Finland,0.51,2.73,4.09,5.1,5.87,6.47,6.81,7.26,7.53,7.8,8.01,8.31,8.64,8.79,9.06,9.43,9.86,10.04,10.18,10.39,10.53,10.64,10.68,10.79,10.86,10.99,11.14,11.4,11.69,11.87,12.0,12.15,12.28
Monthly,Total,Number,France,0.41 d,0.75 d,0.88 d,0.95 d,1.01 d,1.06 d,0.99 d,0.97 d,0.99 d,1.01 d,1.02 d,1.03 d,0.99 d,0.98 d,0.98 d,0.99 d,0.99 d,0.98 d,0.95 d,0.96 d,0.96 d,0.95 d,0.95 d,0.94 d,0.93 d,0.92 d,0.90 d,0.90 d,0.90 d,0.89 d,0.88 d,0.87 d,0.86 d
Monthly,Total,Number,Croatia,1.2,2.68,3.37,3.82,4.15,4.35,4.52,4.64,4.77,4.91,5.04,5.17,5.17,5.3,5.46,5.62,5.71,5.8,5.84,5.89,5.95,5.98,6.0,6.04,6.11,6.19,6.28,6.37,6.46,6.53,6.58,6.63,6.68
Monthly,Total,Number,Hungary,:,:,1.45,2.17,2.45,2.63,2.73,2.85,2.95,2.98,3.08,3.12,3.19,3.22,3.28,3.32,3.36,3.41,3.44,3.47,3.51,3.53,3.57,3.64,3.65,3.71,3.76,3.81,3.88,3.92,3.96,4.01,4.06
Monthly,Total,Number,Ireland,2.59,4.98,6.56,7.93,9.06,9.85,10.8,12.0,12.81,13.71,13.66,14.24,14.84,15.19,15.7,16.28,16.9,17.3,17.85,18.46,18.86,19.25,19.24,19.36,19.52,19.62,19.77,19.89,20.04,20.11,20.2,20.34,20.43
Monthly,Total,Number,Iceland,0.69,2.21,2.79,3.29,3.65,4.01,4.48,5.05,5.49,6.02,6.26,6.61,6.95,7.12,7.36,7.52,7.85,8.01,8.28,8.56,8.85,8.99,8.8,9.01,9.08,9.1,9.39,9.6,9.75,9.8,9.82,9.98,9.96
Monthly,Total,Number,Italy,0.0,0.29,0.92,1.36,1.69,1.97,2.17,2.31,2.43,2.47,2.48,2.51,2.64,2.65,2.68,2.71,2.72,2.71,2.73,2.74,2.74,2.74,2.77,2.79,2.78,2.79,2.8,2.81,2.82,2.83,2.83,2.81,2.79
Monthly,Total,Number,Liechtenstein,1.37,4.48,4.96,5.93,6.33,6.89,7.53,8.4,8.7,9.79,10.36,10.94,11.19,11.39,11.44,12.12,13.01,13.16,13.31,13.64,14.21,14.39,14.17,14.89,15.09,15.17,15.64,15.89,16.14,16.17,16.39,16.69,17.44
Monthly,Total,Number,Lithuania,1.13,10.04,16.19,17.54,18.85,20.28,21.31,22.23,22.91,23.32,23.26,23.44,23.72,24.06,24.46,24.73,24.99,25.28,25.48,25.8,26.06,26.23,26.11,26.23,26.48,26.73,26.96,27.18,27.4,27.63,28.09,16.50 b,16.64
Monthly,Total,Number,Luxembourg,1.47,4.1,5.77,6.26,6.51,6.6,6.79,6.92,7.03,7.21,7.09,7.06,6.15,6.15,6.16,6.18,6.22,6.34,6.32,6.34,6.32,6.4,6.28,6.29,6.29,6.27,6.3,6.38,5.68,5.66,5.68,5.73,5.71
Monthly,Total,Number,Latvia,5.95,10.56,13.07,14.55,15.41,16.14,16.97,17.64,18.66,19.12,19.24,19.51,19.11,21.08,22.44,23.5,22.57,22.75,22.86,23.01,23.14,23.27,23.58,23.72,23.85,24.02,24.01,24.33,24.62,24.85,25.11,25.26,25.45
Monthly,Total,Number,Malta,0.36,1.12,1.91,2.26,2.38,2.5,2.63,2.75,2.81,2.91,2.89,3.0,3.07,3.16,3.24,3.26,3.36,3.41,3.47,3.57,3.61,3.62,3.52,3.49,3.54,3.59,3.61,3.66,3.74,3.77,3.82,3.88,3.9
Monthly,Total,Number,Netherlands,1.45,3.06 d,3.80 d,4.34 d,4.78 d,5.20 d,5.48 d,5.79 d,6.06 d,6.24 d,4.61 b,4.75,4.9,5.01,5.16,5.32,5.5,5.67,5.88,6.11,6.29,6.42,6.51,6.51,6.77,6.3,6.31,6.46,6.51,6.57,6.63,6.7,6.72
Monthly,Total,Number,Norway,0.4,1.62,2.66,3.17,3.4,4.17,4.78,5.28,5.67,6.1,6.39,6.92,7.45,7.76,8.04,8.39,8.86,9.35,10.03,10.83,11.57,11.87,12.28,12.58,12.74,12.82,12.95,12.99,13.3,13.5,13.71,13.93,14.07
Monthly,Total,Number,Poland,17.98,28.45,31.06,32.69,34.21,36.06,37.15,27.56,25.6,26.06,26.5,27.04,27.2,27.07,26.97,26.6,26.42,26.13,26.08,26.14,25.99,25.98,25.98,26.14,26.09,26.05,26.03,26.37,26.66,26.63,26.76,26.87,26.98
Monthly,Total,Number,Portugal,2.42,3.29,3.8,4.39,4.66,4.89,5.04,5.19,5.32,5.4,5.41,5.5,5.5,5.27,5.22,5.27,5.33,5.39,5.44,5.51,5.55,5.59,5.59,5.62,5.64,5.71,5.77,5.81,5.88,5.92,5.98,6.04,6.09
Monthly,Total,Number,Romania,0.11,0.68,1.77,2.32,2.7,3.21,3.71,4.15,4.71,5.3,5.76,6.16,6.51,6.68,6.88,7.01,7.11,7.23,7.38,7.47,7.57,7.65,7.74,7.86,7.95,8.12,8.32,8.5,8.72,8.88,9.04,9.2,9.32
Monthly,Total,Number,Sweden,1.74,2.87,3.31,3.52,3.76,3.98,4.12,4.26,4.41,4.43,4.5,4.6,2.35,3.17,3.51,3.73,3.83,3.91,3.98,4.04,4.1,4.15,4.21,4.39,3.44,3.62,3.8,3.91,4.01,4.14,4.23,4.3,4.36
Monthly,Total,Number,Slovenia,0.41,1.83,2.48,2.71,2.96,3.16,3.32,3.4,3.52,3.64,3.72,3.79,3.88,3.95,4.02,4.07,4.13,4.19,4.0,4.07,4.11,4.14,4.16,4.19,4.11,4.28,4.33,4.37,4.46,4.56,4.65,4.72,4.76
Monthly,Total,Number,Slovakia,:,13.25,14.17,14.81,15.37,16.0,16.55,16.98,17.28,17.58,17.8,18.05,18.33,18.54,18.8,19.15,19.47,19.83,20.18,20.56,20.84,21.04,21.39,21.65,21.83,22.06,22.33,22.65,23.05,23.21,23.41,23.66,24.05
Monthly,Ukraine,Number,Austria,:,:,:,:,8.22,8.57,8.88,9.17,9.4,9.63,9.62,9.29,7.75,7.9,8.04,8.21,8.35,8.49,8.65,8.82,8.96,9.05,9.01,8.86,7.87,7.87,8.21,8.38,8.57,8.66,8.84,9.01,9.13
Monthly,Ukraine,Number,Belgium,2.23,3.16,3.77,4.13,4.39,4.66,4.84,4.75,5.17,5.32,5.2,5.29,5.37,5.44,5.53,5.63,5.72,5.83,5.94,6.05,6.14,6.21,6.26,6.35,6.42,6.5,6.58,6.65,6.77,6.89,7.0,7.09,7.16
Monthly,Ukraine,Number,Bulgaria,4.46 d,13.46 d,16.36 d,17.37 d,18.32 d,18.97 d,19.63 d,20.69 d,21.10 d,21.47 d,23.14 d,23.42 d,23.72 d,23.94 d,24.35 d,24.82 d,25.18 d,25.47 d,25.72 d,25.99 d,26.23 d,26.40 d,26.62 d,7.05 b,7.58,7.86,8.31,8.84,9.29,9.64,9.92,10.18,10.42
Monthly,Ukraine,Number,Switzerland,1.69,4.27,5.77,6.25,6.39,6.56,6.69,6.76,6.86,7.0,7.07,7.2,7.27,7.26,7.24,7.21,7.18,7.24,7.28,7.32,7.32,7.32,7.14,7.1,7.05,7.08,7.17,7.21,7.22,7.25,7.27,7.31,7.36
Monthly,Ukraine,Number,Cyprus,0.74,3.77 d,7.27 d,9.63 d,10.51 d,11.24 d,12.09 d,12.70 d,13.36 d,13.75 d,14.52 d,15.65 d,16.36 d,17.12 d,17.90 d,18.27 d,18.50 d,19.19 d,19.66 d,19.95 d,20.42 d,20.61 d,20.60 d,20.88 d,21.11 d,21.35 d,21.54 d,21.80 d,22.09 d,22.27 d,22.85 d,23.13 d,23.29 d
Monthly,Ukraine,Number,Czechia,23.72,29.86,33.46,35.38,36.8,37.79,38.75,39.81,40.3,41.01,40.61,41.26,29.96,30.57,31.33,32.16,32.94,33.63,32.98,33.58,34.03,34.37,34.89,35.24,33.35,31.61,32.62 d,33.02,33.83,34.5,34.65,34.73,35.26
Monthly,Ukraine,Number,Germany,:,:,:,:,:,8.17 d,9.49 d,10.18 d,10.84 d,11.25 d,11.52 d,11.86 d,12.24 d,12.50 d,12.74 d,12.99 d,13.23 d,13.48 d,13.71 d,13.95 d,14.19 d,14.36 d,14.74 d,14.94 d,15.12 d,15.31 d,15.48 d,15.66 d,12.89 b,13.03,13.11,13.24,13.39
Monthly,Ukraine,Number,Denmark,0.21,1.77,3.51,4.26,4.45,4.7,5.01,5.02,5.17,5.42,5.49,5.65,5.81,5.83,5.9,5.95,6.0,6.16,6.25,5.97,6.02,6.05,6.09,6.17,5.27,5.39,5.49,5.66,5.83,5.95,6.14,6.3,6.47
Monthly,Ukraine,Number,Estonia,10.32,16.67,19.33,20.94,22.23,23.96,25.44,26.92,28.01,28.71,28.5,29.03,27.0,25.63,25.61,25.69,25.85,26.11,26.14,26.16,26.19,26.23,25.93,25.53,24.62,23.77,24.38,23.48,24.53,24.54,24.83,25.2,25.47
Monthly,Ukraine,Number,Greece,0.0,0.84 d,1.40 d,1.59 d,1.71 d,1.81 d,1.87 d,1.93 d,1.99 d,2.04 d,2.09 d,2.12 d,2.16 d,2.22 d,2.25 d,2.34 d,2.41 d,2.45 d,2.48 d,2.51 d,2.54 d,2.55 d,2.58 d,2.60 d,2.64 d,2.73 d,2.84 d,2.91 d,2.97 d,3.00 d,3.03 d,3.06 d,3.09 d
Monthly,Ukraine,Number,Spain,0.69,1.73 d,2.41 d,2.64 d,2.78 d,2.91 d,3.03 d,3.13 d,3.24 d,3.34 d,3.38 d,3.45 d,3.53 d,3.58 d,3.63 d,3.68 d,3.73 d,3.77 d,3.82 d,3.87 d,3.93 d,3.97 d,3.99 d,4.04 d,4.10 d,4.16 d,4.16 d,4.22 d,4.28 d,4.34 d,4.40 d,4.48 d,4.52 d
Monthly,Ukraine,Number,European Union - 27 countries (from 2020),:,:,:,:,:,8.1,8.6,8.08,8.18,8.41,8.50 b,8.69,8.48,8.6,8.73,8.83,8.93,9.02,9.09,9.21,9.29,9.37,9.45,9.25,9.22,9.22,9.32,9.46,9.03 b,9.11,9.19,9.19,9.27
Monthly,Ukraine,Number,Finland,0.5,2.71,4.07,5.07,5.83,6.43,6.76,7.2,7.47,7.73,7.94,8.24,8.56,8.7,8.96,9.32,9.74,9.91,10.05,10.26,10.4,10.5,10.54,10.65,10.72,10.85,11.0,11.26,11.55,11.72,11.86,12.0,12.13
Monthly,Ukraine,Number,France,0.39 d,0.72 d,0.84 d,0.92 d,0.97 d,1.02 d,0.96 d,0.93 d,0.95 d,0.97 d,0.98 d,0.99 d,0.96 d,0.94 d,0.94 d,0.95 d,0.95 d,0.94 d,0.91 d,0.92 d,0.92 d,0.92 d,0.91 d,0.90 d,0.89 d,0.88 d,0.87 d,0.87 d,0.86 d,0.85 d,0.85 d,0.84 d,0.83 d
Monthly,Ukraine,Number,Croatia,1.19,2.66,3.34,3.79,4.12,4.32,4.49,4.6,4.73,4.87,4.99,5.13,5.13,5.25,5.42,5.57,5.67,5.75,5.79,5.85,5.9,5.94,5.96,5.99,6.06,6.14,6.23,6.32,6.41,6.48,6.53,6.59,6.63
Monthly,Ukraine,Number,Hungary,:,:,1.45,2.15,2.43,2.61,2.71,2.83,2.93,2.96,3.05,3.1,3.16,3.2,3.25,3.29,3.33,3.38,3.41,3.44,3.48,3.5,3.54,3.6,3.61,3.67,3.72,3.77,3.83,3.87,3.92,3.97,4.01
