Time frequency,Currency,Balance of payments item,Stock or flow,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million euro,Current account,Credit,Moldova,2136.4 d,2387.3 d,2931.3 d,3496.5 d,2572.5 bd,3074.9 d,3723.7 d,4186.1 d,4471.1 d,4330.6 d,4075.7 d,4171.0 d,4686.2 d,4913.4 d,5440.7 d,4989.9 d,6039.5 d,8706.0 d
Annual,Million euro,Current account,Credit,Ukraine,37289.3,42412.2,50526.4,62911.5,43131.8,56041.1,67442.8,76106.7,70510.2,56244.4 d,52469.2 d,52007.6 d,60271.2 d,64438.2 d,75744.2 d,68785.7 d,86724.9 d,94214.7 d
Annual,Million euro,Current account,Debit,Armenia,2147.2,2545.3,3320.8,3890.1,3301.6,4018.6,4211.4,4731.4,4778.2,4889.3,4696.8,4879.8,5875.8,6567.9,7833.4,5350.8,6304.4,11736.6
Annual,Million euro,Current account,Debit,Azerbaijan,7202.4,8981.1,11053.8,12070.3,10420.8,11777.6,16500.4,19471.6,19771.5 d,19252.6 d,20502.0 d,18511.8 d,18213.2 d,18809.1 d,19533.3 d,16191.8 d,17101.4 d,27575.6 d
Annual,Million euro,Current account,Debit,Belarus,14060.5,18594.3,22144.0,29805.6,22136.6,29118.3,37717.4,43983.5,41363.2,39839.8,33429.2,30671.4,35996.3,39217.0,42108.1,35614.0,:,:
Annual,Million euro,Current account,Debit,Georgia,2850.2,3670.6,4652.3,5564.5,4188.8,5258.1,6685.3,8174.6,7987.9,8610.6,8949.2,9232.7,10068.1,10918.4,12061.2,9437.4,11430.4,18233.6
Annual,Million euro,Current account,Debit,Moldova,2317.6 d,2695.0 d,3422.0 d,4159.4 d,2919.8 bd,3437.9 d,4335.7 d,4687.0 d,4840.2 d,4758.8 d,4492.4 d,4431.6 d,5179.2 d,5939.6 d,6428.5 d,5767.8 d,7475.2 d,11064.1 d
Annual,Million euro,Current account,Debit,Ukraine,35257.0,43702.4,54359.6,71645.3,44376.4,58313.4,74793.5,87260.1,82951.5,59720.5 d,47956.9 d,53685.1 d,63318.0 d,69902.4 d,79440.4 d,64050.6 d,90094.6 d,86570.2 d
Annual,Million euro,Net errors and omissions,Balance,Armenia,-130.8,-103.0,25.2,-8.4,-75.0,-85.3,-47.7,155.6,-236.4,-6.1,-117.3,-316.0,-390.1,114.8,385.6,-319.8,40.4,19.7
Annual,Million euro,Net errors and omissions,Balance,Azerbaijan,-100.6 d,-204.0 d,-267.6 d,-574.3 d,-1048.3 d,-746.6 d,-553.2 d,-1461.1 d,-1486.7 d,-2111.6 d,-1837.1 d,3276.8 d,343.6 d,546.9 d,591.0 d,567.8 d,-129.7 d,-1533.9 d
Annual,Million euro,Net errors and omissions,Balance,Belarus,101.6 d,-226.5 d,384.5 d,-137.1 d,305.1 d,526.9 d,720.3 d,696.8,-709.0,-349.8,459.8,780.5,517.5,152.4,587.1,-130.3,:,:
Annual,Million euro,Net errors and omissions,Balance,Georgia,22.0,-46.8,-24.6,-45.2,14.1,-58.1,-37.7,-106.1,-53.8,-85.6,-64.9,9.4,-29.1,-114.3,-74.1,-87.4,-27.3,-22.3
Annual,Million euro,Net errors and omissions,Balance,Moldova,143.1 d,65.3 d,78.7 d,43.0 d,60.4 bd,55.9 d,52.3 d,88.5 d,63.9 d,-35.6 d,-50.5 d,-61.5 d,61.6 d,34.3 d,-16.2 d,-89.4 d,15.6 d,23.2 d
Annual,Million euro,Net errors and omissions,Balance,Ukraine,83.4,60.6,-350.4,359.4,245.9,1017.9,697.5,1083.8,-482.0,403.1 d,-442.5 d,-503.2 d,381.9 d,1381.7 d,1070.3 d,674.7 d,1520.0 d,-224.0 d
Annual,Million euro,Financial account,Balance,Armenia,-162.8,-151.0,-378.7,-1019.3,-1032.8,-961.0,-740.2,-583.1,-783.8,-630.9,-311.5,-375.6,-469.4,-583.7,-413.4,-605.3,-313.9,234.7
Annual,Million euro,Financial account,Balance,Azerbaijan,66.2 d,2746.2 d,6318.2 d,10606.4 d,6247.2 d,10620.7 d,11777.4 d,10146.3 d,7775.6 d,5727.5 d,-2077.3 d,2008.5 d,1925.2 d,5667.5 d,4472.2 d,362.0 d,6870.8 d,11838.2 d
Annual,Million euro,Financial account,Balance,Belarus,469.8 d,-1323.6 d,-1803.3 d,-3636.0 d,-4010.6 d,-5660.0 d,-2795.1 d,-746.4,-6438.0,-4401.0,-1205.4,-678.1,-324.5,189.2,-496.4,-347.5,:,:
Annual,Million euro,Financial account,Balance,Georgia,-497.1,-870.4,-1404.9,-1859.6,-684.8,-813.9,-1257.5,-1470.7,-669.3,-1363.5,-1603.8,-1653.4,-1120.2,-1054.4,-957.7,-1783.1,-1639.8,-1010.4
Annual,Million euro,Financial account,Balance,Moldova,-41.2 d,-260.5 d,-417.8 d,-629.7 d,-277.8 bd,-303.3 d,-536.8 d,-395.9 d,-224.6 d,-352.9 d,-417.9 d,-338.1 d,-450.4 d,-1022.2 d,-1053.1 d,-924.8 d,-1463.2 d,-2315.8 d
Annual,Million euro,Financial account,Balance,Ukraine,2081.2,-1212.1,-4165.3,-8355.3,-569.2,-1112.8,-6580.6,-10038.4,-12968.5,-2770.5 d,4483.9 d,-2098.3 d,-2667.9 d,-4050.7 d,-2591.9 d,5408.0 d,-1837.1 d,7592.6 d
Annual,Million euro,Goods,Balance,Armenia,-509.3,-755.9,-1255.4,-1913.9,-1496.5,-1556.1,-1515.1,-1643.1,-1653.3,-1548.4,-1068.6,-882.5,-1244.1,-1492.3,-1537.9,-1210.6,-1270.9,-1757.8
Annual,Million euro,Goods,Balance,Azerbaijan,2642.4 d,6169.4 d,11113.5 d,15626.4 d,10448.7 d,14898.5 d,17476.7 d,17273.7 d,15522.0 d,14234.6 d,5240.9 d,3801.4 d,5418.4 d,8326.0 d,7619.9 d,2200.7 d,9523.1 d,25941.7 d
Annual,Million euro,Goods,Balance,Belarus,-690.2 d,-1940.4 d,-3104.5 d,-4582.8 d,-5000.0 d,-6940.5 d,-2414.1 d,439.1,-3482.2,-2045.3,-1953.3,-2281.7,-2637.8,-2126.9,-3751.7,-1766.6,:,:
Annual,Million euro,Goods,Balance,Georgia,-987.4,-1632.0,-2094.5,-2624.9,-1731.7,-1983.6,-2518.5,-3292.1,-2638.0,-3241.7,-3557.1,-3509.9,-3361.5,-3489.5,-3390.4,-2771.0,-3211.4,-4873.7
Annual,Million euro,Goods,Balance,Moldova,-956.4 d,-1260.3 d,-1680.3 d,-2191.8 d,-1472.6 bd,-1754.8 d,-2144.2 d,-2387.6 d,-2362.7 d,-2291.1 d,-1912.2 d,-1877.8 d,-2271.6 d,-2789.2 d,-2958.3 d,-2714.4 d,-3540.6 d,-4933.1 d
Annual,Million euro,Goods,Balance,Ukraine,-1758.8,-4818.2,-8457.0,-11925.7,-3830.4,-7230.5,-12952.2,-16997.3,-16666.7,-5391.3 d,-3092.7 d,-6304.0 d,-8465.8 d,-10848.4 d,-12770.8 d,-5867.8 d,-5689.0 d,-14130.5 d
Annual,Million euro,Goods,Credit,Armenia,825.4,840.5,880.6,751.8,553.9,902.1,1028.0,1179.3,1231.5,1279.3,1462.7,1709.3,2113.8,2305.8,3001.2,2381.4,2767.3,5405.9
Annual,Million euro,Goods,Credit,Azerbaijan,6126.3 d,10366.7 d,15526.3 d,20770.1 d,15115.9 d,19992.2 d,24780.0 d,25373.3 d,23919.1 d,21252.9 d,14053.5 d,11938.8 d,13426.5 d,17592.0 d,17742.3 d,11029.7 d,18323.9 d,38751.0 d
Annual,Million euro,Goods,Credit,Belarus,12198.8,14938.3,16928.5,22318.9,14493.7,18310.8,28499.3,35391.1,27700.8,27491.8,23854.0,20988.2,25405.0,28408.6,28932.4,25170.4,:,:
Annual,Million euro,Goods,Credit,Georgia,1143.0,1261.7,1495.5,1606.9,1324.2,1803.2,2317.0,2693.1,3151.1,3009.1,2719.8,2589.8,3155.7,3739.7,4420.4,3800.4,4694.9,7198.3
Annual,Million euro,Goods,Credit,Moldova,886.6 d,844.7 d,1004.1 d,1118.3 d,665.4 bd,878.2 d,1251.9 d,1313.3 d,1429.0 d,1368.7 d,1356.8 d,1407.3 d,1656.6 d,1672.4 d,1892.1 d,1705.7 d,2165.0 d,3516.3 d
Annual,Million euro,Goods,Credit,Ukraine,25811.8,28827.9,33702.3,43179.2,26621.5,35635.7,44811.7,50127.6,44518.3,38234.9 d,31919.8 d,30345.5 d,35176.3 d,36729.9 d,41183.3 d,39520.2 d,53516.1 d,38706.4 d
Annual,Million euro,Goods,Debit,Armenia,1334.7,1596.4,2136.0,2665.7,2050.4,2458.2,2543.1,2822.4,2884.9,2827.7,2531.3,2591.8,3357.8,3798.2,4539.1,3592.0,4038.2,7163.7
Annual,Million euro,Goods,Debit,Azerbaijan,3483.9 d,4197.2 d,4412.8 d,5143.7 d,4667.2 d,5093.6 d,7303.2 d,8099.6 d,8397.1 d,7018.3 d,8812.6 d,8137.4 d,8008.1 d,9266.0 d,10122.4 d,8829.1 d,8800.9 d,12809.2 d
Annual,Million euro,Goods,Debit,Belarus,12889.0,16878.7,20033.0,26901.6,19493.7,25251.3,30913.3,34952.1,31183.0,29537.1,25807.3,23269.9,28042.8,30535.5,32684.1,26937.0,:,:
Annual,Million euro,Goods,Debit,Georgia,2130.5,2893.7,3590.0,4231.8,3055.9,3786.8,4835.4,5985.1,5789.1,6250.8,6276.9,6099.7,6517.3,7229.2,7810.8,6571.4,7906.3,12072.1
Annual,Million euro,Goods,Debit,Moldova,1843.0 d,2104.9 d,2684.4 d,3310.1 d,2138.0 bd,2633.0 d,3396.1 d,3700.9 d,3791.7 d,3659.8 d,3269.0 d,3285.1 d,3928.2 d,4461.6 d,4850.4 d,4420.2 d,5705.7 d,8449.4 d
Annual,Million euro,Goods,Debit,Ukraine,27570.6,33646.1,42159.3,55104.9,30451.9,42866.2,57764.0,67124.9,61184.9,43626.2 d,35012.5 d,36649.5 d,43642.1 d,47578.3 d,53954.1 d,45388.0 d,59205.1 d,52836.9 d
Annual,Million euro,Goods and services,Balance,Armenia,-628.0 i,-826.4 i,-1394.4 i,-2125.3 i,-1694.3 i,-1752.5 i,-1562.3 i,-1722.6 i,-1746.3 i,-1632.4 i,-1154.3 i,-818.4 i,-1100.9 i,-1483.3 i,-1615.5 i,-1107.2 i,-935.7 i,-140.1 i
Annual,Million euro,Goods and services,Balance,Azerbaijan,1064.5 di,4637.4 di,9557.9 di,14035.7 di,9293.2 di,13590.0 di,15324.6 di,15000.5 di,12368.8 di,9654.9 di,1427.8 di,950.6 di,2423.9 di,6581.4 di,5284.1 di,-288.3 di,7729.8 di,24652.5 di
Annual,Million euro,Goods and services,Balance,Belarus,274.2 di,-1179.6 di,-2041.0 di,-3279.2 di,-3939.0 di,-5590.4 di,-827.4 di,2223.4 i,-1744.1 i,-344.7 i,120.7 i,-8.0 i,88.6 i,789.5 i,-360.6 i,1689.1 i,:,:
Annual,Million euro,Goods and services,Balance,Georgia,-905.4 i,-1488.3 i,-1967.3 i,-2608.3 i,-1482.4 i,-1568.6 i,-1977.6 i,-2427.4 i,-1569.1 i,-2261.6 i,-2293.2 i,-2093.7 i,-1581.8 i,-1584.1 i,-1445.0 i,-2650.6 i,-2595.5 i,-2280.3 i
Annual,Million euro,Goods and services,Balance,Moldova,-973.0 di,-1276.6 di,-1696.1 di,-2187.2 di,-1430.7 bdi,-1700.8 di,-2029.9 di,-2303.6 di,-2248.3 di,-2195.3 di,-1793.1 di,-1678.6 di,-2001.5 di,-2487.8 di,-2631.8 di,-2365.2 di,-3141.4 di,-4070.1 di
Annual,Million euro,Goods and services,Balance,Ukraine,540.6 i,-2446.6 i,-5935.6 i,-9818.3 i,-1403.0 i,-3000.1 i,-7287.4 i,-11161.9 i,-11775.5 i,-3483.8 di,-2112.7 di,-5854.3 di,-7661.2 di,-9705.4 di,-11203.2 di,-2022.1 di,-2320.1 di,-24867.0 di
Annual,Million euro,Goods and services,Credit,Armenia,1170.6 i,1314.5 i,1439.4 i,1320.8 i,1116.5 i,1665.3 i,1969.2 i,2269.8 i,2377.0 i,2501.3 i,2826.2 i,3220.3 i,3904.6 i,4169.6 i,5174.6 i,3344.3 i,4232.9 i,9490.5 i
Annual,Million euro,Goods and services,Credit,Azerbaijan,6673.3 di,11115.3 di,16437.0 di,21820.5 di,16388.6 di,21551.4 di,26733.6 di,28701.6 di,27028.5 di,24484.6 di,18060.5 di,15886.6 di,17581.0 di,21560.4 di,21101.3 di,13325.9 di,21530.0 di,44824.6 di
Annual,Million euro,Goods and services,Credit,Belarus,14079.3 i,17051.9 i,19516.3 i,25576.6 i,17129.9 i,21922.0 i,32435.3 i,40333.2 i,33440.6 i,33663.5 i,29953.1 i,27242.8 i,32405.0 i,35919.2 i,37560.2 i,32961.0 i,:,:
Annual,Million euro,Goods and services,Credit,Georgia,1738.3 i,1988.4 i,2301.8 i,2471.8 i,2274.3 i,3043.0 i,3765.9 i,4691.3 i,5396.9 i,5302.2 i,5499.3 i,5579.2 i,6668.6 i,7553.4 i,8533.4 i,5199.0 i,6858.1 i,12690.8 i
Annual,Million euro,Goods and services,Credit,Moldova,1206.8 di,1216.6 di,1463.6 di,1691.6 di,1223.3 bdi,1472.4 di,1969.0 di,2107.3 di,2289.2 di,2229.3 di,2240.5 di,2369.8 di,2769.3 di,2923.4 di,3271.3 di,2826.7 di,3546.5 di,5681.7 di
Annual,Million euro,Goods and services,Credit,Ukraine,34186.4 i,38535.2 i,44830.3 i,56362.3 i,37336.3 i,49443.5 i,60089.9 i,67314.0 i,61550.3 i,49492.4 di,43127.8 di,41596.3 di,47775.7 di,50168.2 di,56795.1 di,53153.5 di,69106.2 di,54443.7 di
Annual,Million euro,Goods and services,Debit,Armenia,1798.6 i,2140.8 i,2833.8 i,3446.2 i,2810.9 i,3417.9 i,3531.6 i,3992.4 i,4123.3 i,4133.7 i,3980.4 i,4038.7 i,5005.6 i,5652.9 i,6790.1 i,4451.5 i,5168.6 i,9630.6 i
Annual,Million euro,Goods and services,Debit,Azerbaijan,5608.8 di,6477.9 di,6879.1 di,7784.9 di,7095.4 di,7961.4 di,11409.0 di,13701.2 di,14659.7 di,14829.7 di,16632.6 di,14936.0 di,15157.1 di,14979.0 di,15817.2 di,13614.2 di,13800.2 di,20172.1 di
Annual,Million euro,Goods and services,Debit,Belarus,13805.1 i,18231.5 i,21557.3 i,28855.7 i,21068.9 i,27512.4 i,33262.7 i,38109.8 i,35184.7 i,34008.2 i,29832.4 i,27250.8 i,32316.4 i,35129.6 i,37920.8 i,31271.9 i,:,:
Annual,Million euro,Goods and services,Debit,Georgia,2643.7 i,3476.7 i,4269.1 i,5080.1 i,3756.7 i,4611.6 i,5743.5 i,7118.7 i,6966.0 i,7563.8 i,7792.4 i,7672.8 i,8250.4 i,9137.5 i,9978.4 i,7849.6 i,9453.6 i,14971.1 i
Annual,Million euro,Goods and services,Debit,Moldova,2179.9 di,2493.2 di,3159.7 di,3878.8 di,2654.0 bdi,3173.2 di,3998.9 di,4410.9 di,4537.4 di,4424.6 di,4033.6 di,4048.4 di,4770.7 di,5411.2 di,5903.1 di,5191.9 di,6687.9 di,9751.8 di
Annual,Million euro,Goods and services,Debit,Ukraine,33645.8 i,40981.8 i,50765.9 i,66180.6 i,38739.3 i,52443.6 i,67377.4 i,78475.9 i,73325.6 i,52976.2 di,45240.5 di,47450.6 di,55436.9 di,59873.7 di,67998.3 di,55175.6 di,71426.2 di,79310.6 di
Annual,Million euro,Primary income,Balance,Armenia,165.3,241.1,363.7,469.8,256.9,345.2,258.6,329.1,513.8,393.4,385.9,221.4,359.0,169.5,160.5,-171.9,-343.2,-802.3
Annual,Million euro,Primary income,Balance,Azerbaijan,-1318.0,-2135.2,-3707.9,-3576.0,-2521.5,-2618.0,-3491.1,-3363.9,-3101.8 d,-1941.6 d,-1828.4 d,-2234.1 d,-1559.2 d,-2080.9 d,-1840.5 d,-399.8 d,-1113.9 d,-5202.7 d
Annual,Million euro,Primary income,Balance,Belarus,-38.2,-78.8,-270.5,-340.6,-569.7,-833.1,-962.4,-1166.7,-2065.9,-1908.5,-2277.1,-2012.2,-1844.0,-1823.9,-1673.4,-2309.4,:,:
Annual,Million euro,Primary income,Balance,Georgia,49.0,126.7,27.1,-27.9,-29.7,-162.8,-303.0,-133.4,-239.2,-169.9,-305.2,-633.2,-711.0,-576.0,-709.1,-655.7,-1001.9,-1671.1
Annual,Million euro,Primary income,Balance,Moldova,329.8 d,320.5 d,304.5 d,410.9 d,230.6 bd,381.3 d,414.9 d,630.5 d,673.1 d,619.6 d,404.7 d,402.9 d,493.4 d,453.7 d,549.4 d,342.3 d,225.2 d,56.7 d
Annual,Million euro,Primary income,Balance,Ukraine,-790.0,-1372.3,-481.1,-1052.4,-1749.2,-1513.6,-2726.8,-2306.9,-2284.4,-1158.0 d,3376.3 d,887.9 d,1404.2 d,1148.7 d,1710.2 d,3174.1 d,-4961.0 d,8147.7 d
Annual,Million euro,Primary income,Credit,Armenia,389.1,523.6,699.4,770.1,627.1,790.3,765.2,867.7,947.9,913.7,798.0,764.9,900.7,770.1,838.6,403.0,405.3,613.4
Annual,Million euro,Primary income,Credit,Azerbaijan,161.6,223.0,241.6,404.1,395.1,510.1,731.8,849.0,774.7 d,1258.8 d,1134.5 d,832.3 d,1138.7 d,1379.7 d,1419.4 d,1625.8 d,1533.9 d,1462.1 d
Annual,Million euro,Primary income,Credit,Belarus,135.3,195.0,200.1,447.2,335.2,348.0,461.0,671.2,601.3,642.4,502.7,559.5,746.9,1005.6,1046.7,753.0,:,:
Annual,Million euro,Primary income,Credit,Georgia,211.8,270.4,351.7,400.6,351.3,419.5,544.6,838.3,693.2,774.6,759.7,825.6,996.9,1086.9,1227.2,846.5,885.2,1420.0
Annual,Million euro,Primary income,Credit,Moldova,432.9 d,482.5 d,519.2 d,615.7 d,423.2 bd,577.6 d,670.6 d,814.8 d,874.5 d,840.3 d,734.9 d,676.2 d,780.8 d,844.3 d,913.6 d,751.1 d,768.9 d,853.0 d
Annual,Million euro,Primary income,Credit,Ukraine,607.9,1061.5,2668.9,3703.0,3315.0,3552.3,3940.1,5510.2,5850.1,4162.2 d,5217.9 d,6226.5 d,8237.9 d,10079.2 d,11884.2 d,10670.9 d,11838.5 d,12478.5 d
Annual,Million euro,Primary income,Debit,Armenia,223.8,282.5,335.7,300.4,370.2,445.1,506.6,538.5,434.1,520.3,412.1,543.5,541.7,600.6,678.2,574.9,748.5,1415.8
Annual,Million euro,Primary income,Debit,Azerbaijan,1479.7,2358.2,3949.5,3980.1,2916.6,3128.1,4223.0,4212.9,3876.5 d,3200.4 d,2962.9 d,3066.3 d,2697.8 d,3460.6 d,3259.9 d,2025.6 d,2647.8 d,6664.8 d
Annual,Million euro,Primary income,Debit,Belarus,173.5,273.8,470.6,787.8,904.9,1181.2,1423.4,1837.9,2667.2,2550.9,2779.8,2571.7,2591.0,2829.5,2720.1,3062.4,:,:
Annual,Million euro,Primary income,Debit,Georgia,162.8,143.7,324.7,428.5,381.0,582.3,847.6,971.8,932.4,944.5,1064.9,1458.8,1707.8,1662.9,1936.3,1502.2,1887.1,3091.1
Annual,Million euro,Primary income,Debit,Moldova,103.0 d,161.9 d,214.7 d,204.8 d,192.6 bd,196.2 d,255.6 d,184.4 d,201.4 d,220.7 d,330.2 d,273.3 d,287.3 d,390.6 d,364.2 d,408.8 d,543.7 d,796.2 d
Annual,Million euro,Primary income,Debit,Ukraine,1397.9,2433.8,3149.9,4755.4,5064.2,5065.9,6666.8,7817.1,8134.5,5320.2 d,1841.6 d,5338.6 d,6833.7 d,8930.6 d,10174.0 d,7496.8 d,16799.6 d,4330.8 d
Annual,Million euro,Secondary income,Balance,Armenia,363.2,463.2,535.4,528.2,416.7,457.1,543.4,570.3,621.5,561.1,515.4,505.8,613.2,551.7,596.7,836.4,871.0,1085.2
Annual,Million euro,Secondary income,Balance,Azerbaijan,387.5,451.1,733.7,713.3,517.1,384.4,483.7,-38.9,5.0 d,131.0 d,200.0 d,51.4 d,628.0 d,618.9 d,454.2 d,488.7 d,388.1 d,2811.7 d
Annual,Million euro,Secondary income,Balance,Belarus,132.2,161.2,123.8,120.5,192.9,236.6,-1728.4,-2502.9,-1926.8,-1804.0,486.9,555.7,912.1,1053.8,919.3,396.7,:,:
Annual,Million euro,Secondary income,Balance,Georgia,291.7,415.6,499.3,747.2,687.3,826.2,956.3,1093.8,1093.1,1072.6,1007.0,1013.3,1128.4,1155.2,1228.5,1575.0,1952.0,2924.0
Annual,Million euro,Secondary income,Balance,Moldova,462.0 d,648.4 d,901.0 d,1113.4 d,852.7 bd,956.4 d,1003.0 d,1172.3 d,1206.0 d,1147.5 d,971.6 d,1015.1 d,1015.0 d,1007.9 d,1094.7 d,1245.0 d,1480.5 d,1655.2 d
Annual,Million euro,Secondary income,Balance,Ukraine,2281.7,2528.6,2583.4,2136.8,1907.7,2241.4,2663.6,2315.5,1618.6,1165.5 d,3248.7 d,3288.9 d,3210.1 d,3092.5 d,5796.7 d,3583.0 d,3911.4 d,24363.8 d
Annual,Million euro,Secondary income,Credit,Armenia,488.1,585.2,686.7,671.8,537.3,612.8,716.6,770.8,842.4,796.4,819.6,803.5,941.8,866.1,961.9,1160.8,1258.3,1775.4
Annual,Million euro,Secondary income,Credit,Azerbaijan,501.5,596.0,958.8,1018.7,926.0,1072.6,1352.2,1518.6,1240.3 d,1353.5 d,1106.4 d,560.8 d,986.3 d,988.4 d,910.5 d,1040.8 d,1041.6 d,3550.5 d
Annual,Million euro,Secondary income,Credit,Belarus,214.2,250.3,239.8,282.7,355.7,661.3,1302.8,1532.9,1584.6,1476.7,1304.0,1404.7,2001.0,2311.7,2386.5,1676.4,:,:
Annual,Million euro,Secondary income,Credit,Georgia,335.4,465.7,557.9,803.1,738.3,890.3,1050.4,1178.0,1182.5,1174.9,1098.9,1114.3,1238.3,1273.2,1375.1,1660.6,2041.7,3095.4
Annual,Million euro,Secondary income,Credit,Moldova,496.7 d,688.2 d,948.6 d,1189.2 d,926.0 bd,1024.9 d,1084.1 d,1263.9 d,1307.4 d,1261.0 d,1100.3 d,1125.0 d,1136.1 d,1145.7 d,1255.9 d,1412.0 d,1724.0 d,2171.3 d
Annual,Million euro,Secondary income,Credit,Ukraine,2495.0,2815.5,3027.3,2846.1,2480.5,3045.3,3412.8,3282.6,3109.9,2589.7 d,4123.5 d,4184.8 d,4257.6 d,4190.7 d,7064.9 d,4961.2 d,5780.2 d,27292.6 d
Annual,Million euro,Secondary income,Debit,Armenia,124.9,121.9,151.3,143.5,120.5,155.7,173.2,200.5,220.8,235.2,304.2,297.6,328.6,314.4,365.2,324.4,387.3,690.2
Annual,Million euro,Secondary income,Debit,Azerbaijan,114.0,144.9,225.1,305.4,408.9,688.1,868.5,1557.5,1235.3,1222.5,906.4,509.4,358.3,369.6,456.3,552.0,653.5,738.8
Annual,Million euro,Secondary income,Debit,Belarus,82.0,89.1,116.1,162.2,162.8,424.7,3031.2,4035.8,3511.3,3280.8,817.1,849.0,1089.0,1257.9,1467.2,1279.7,:,:
Annual,Million euro,Secondary income,Debit,Georgia,43.7,50.1,58.5,55.8,51.1,64.2,94.2,84.2,89.4,102.3,91.9,101.0,109.9,118.0,146.6,85.6,89.7,171.4
Annual,Million euro,Secondary income,Debit,Moldova,34.7 d,39.8 d,47.6 d,75.7 d,73.3 bd,68.5 d,81.2 d,91.7 d,101.4 d,113.5 d,128.7 d,109.9 d,121.2 d,137.8 d,161.2 d,167.0 d,243.5 d,516.1 d
Annual,Million euro,Secondary income,Debit,Ukraine,213.3,286.9,443.8,709.3,572.8,803.9,749.2,967.1,1491.3,1424.2 d,874.8 d,895.9 d,1047.5 d,1098.2 d,1268.2 d,1378.2 d,1868.8 d,2928.7 d
Annual,Million euro,Capital account,Balance,Armenia,67.4,74.1,91.3,116.5,62.9,74.5,67.9,84.4,63.5,53.1,58.8,31.5,49.4,63.5,59.2,157.1,53.6,72.3
Annual,Million euro,Capital account,Balance,Azerbaijan,32.8 d,-3.1 d,2.0 d,7.7 d,6.6 d,10.8 d,13.4 d,9.7 d,-9.7 d,-5.2 d,-39.6 d,-36.2 d,88.9 d,1.2 d,-16.6 d,-6.5 d,-3.5 d,0.0 d
Annual,Million euro,Capital account,Balance,Belarus,0.0 d,0.1 d,0.1 d,0.4 d,0.0 d,0.0 d,2.9 d,2.9,7.8,6.0,4.2,5.9,1.3,17.3,31.2,6.5,:,:
Annual,Million euro,Capital account,Balance,Georgia,45.6,122.4,60.6,74.6,125.8,149.4,104.5,102.4,99.8,80.9,52.5,50.8,73.2,64.8,41.9,35.6,32.9,39.3
