Annual,Percentage,Germany,12.3,11.2,9.6,8.3,7.6,6.5,9.1 b,9.0,11.7,12.7
Annual,Percentage,Denmark,6.7,7.7,6.3,7.5,8.1,7.1,6.6,5.9,6.8,9.4
Annual,Percentage,Hovedstaden,6.9,6.8,6.3,6.4,7.3,7.1,5.6,6.1,6.1,9.7
Annual,Percentage,Sjælland,7.6,8.7,6.2,10.5,11.2,8.1,7.3,5.9,6.2,9.5
Annual,Percentage,Syddanmark,7.2,7.2,6.0,7.6,8.6,7.1,8.8,6.3,8.9,8.7
Annual,Percentage,Midtjylland,5.2,8.4,6.0,7.0,5.3,5.2,5.3,5.3,5.4,8.1
Annual,Percentage,Nordjylland,7.4,8.4,7.1,7.9,11.3,9.5,7.2,5.6,8.5,12.9
Annual,Percentage,Estonia,13.4,9.9,7.8,10.0,8.4,7.7,6.6,5.1,7.5,6.5
Annual,Percentage,Greece,37.6,38.0,35.8,35.4,34.2,31.1,30.7,29.2,29.7,28.2
Annual,Percentage,Attiki,33.1,35.7,34.3,32.9,32.4,27.7,25.9,25.8,26.7,28.0
Annual,Percentage,Attiki,:,:,:,:,32.4,27.7,25.9,25.8,26.7,28.0
Annual,Percentage,"Nisia Aigaiou, Kriti",39.8,36.6,40.9,41.3,36.6,33.9,31.2,28.6,27.7,23.6
Annual,Percentage,Voreio Aigaio,:,:,:,:,33.7,34.4,30.8,27.5,28.3,24.0
Annual,Percentage,Notio Aigaio,:,:,:,:,36.3,32.1,29.4,21.3,30.3,22.1
Annual,Percentage,Kriti,:,:,:,:,37.7,34.7,32.3,32.7,26.1,24.2
Annual,Percentage,Voreia Elláda,40.1,38.8,34.0,32.9,32.8,30.3,31.1,28.8,28.9,28.0
Annual,Percentage,"Anatoliki Makedonia, Thraki",:,:,:,:,34.3,38.4,33.2,33.2,29.5,32.2
Annual,Percentage,Kentriki Makedonia,:,:,:,:,31.0,28.3,30.8,28.6,30.4,29.2
Annual,Percentage,Dytiki Makedonia,:,:,:,:,40.7,31.9,32.8,23.6,27.5,27.6
Annual,Percentage,Ipeiros,:,:,:,:,33.6,25.8,27.3,26.6,19.9,14.4
Annual,Percentage,Kentriki Elláda,40.7,40.9,38.1,39.5,37.3,35.3,36.8,34.9,36.0,30.6
Annual,Percentage,Thessalia,:,:,:,:,36.2,33.0,32.8,26.5,25.9,18.1
Annual,Percentage,Ionia Nisia,:,:,:,:,28.8,21.2,26.4,26.5,37.7,37.5
Annual,Percentage,Dytiki Elláda,:,:,:,:,48.6,46.7,49.0,50.6,43.3,39.0
Annual,Percentage,Sterea Elláda,:,:,:,:,33.4,28.9,30.2,25.2,32.9,25.1
Annual,Percentage,Peloponnisos,:,:,:,:,32.3,34.8,36.3,38.8,43.0,39.1
Annual,Percentage,Spain,20.5,16.3,17.6,15.0,15.3,14.0,15.4,15.4,15.4,17.2
Annual,Percentage,Noroeste,14.3,10.3,10.0,9.4,12.9,10.2,8.0,10.5,12.7,14.0
Annual,Percentage,Galicia,14.3,9.5,9.4,9.0,13.7,11.2,8.0,10.7,14.1,15.3
Annual,Percentage,Principado de Asturias,13.7,12.3,10.5,11.9,12.7,9.6,7.2,10.4,10.1,11.5
Annual,Percentage,Cantabria,15.2,10.6,11.6,6.6,9.3,6.1,9.3,10.1,10.9,12.3
Annual,Percentage,Noreste,10.3,8.3,8.3,7.8,8.2,7.4,6.5,9.7,8.6,10.9
Annual,Percentage,País Vasco,9.6,9.8,9.5,9.6,8.6,8.0,6.5,9.0,6.9,9.9
Annual,Percentage,Comunidad Foral de Navarra,8.1,4.6,8.3,8.9,10.7,8.5,9.5,9.5,10.6,11.4
Annual,Percentage,La Rioja,14.7,12.1,10.8,6.4,9.9,4.1,7.1,9.5,7.6,12.1
Annual,Percentage,Aragón,11.3,6.8,5.6,4.4,6.0,6.7,4.7,10.8,10.9,12.1
Annual,Percentage,Comunidad de Madrid,15.6,13.9,15.1,14.2,14.5,14.2,15.6,13.8,14.1,17.0
Annual,Percentage,Comunidad de Madrid,15.6,13.9,15.1,14.2,14.5,14.2,15.6,13.8,14.1,17.0
Annual,Percentage,Centro (ES),14.6,11.7,10.7,12.9,11.8,12.2,12.0,12.9,14.0,14.2
Annual,Percentage,Castilla y León,10.7,8.2,5.3,7.0,6.7,6.5,9.2,10.8,9.7,11.5
Annual,Percentage,Castilla-La Mancha,21.1,17.3,18.2,16.1,14.9,16.8,13.0,14.3,16.8,15.1
Annual,Percentage,Extremadura,11.1,8.9,8.6,19.5,17.3,16.2,16.3,15.0,17.9,18.2
Annual,Percentage,Este,22.5,17.3,18.3,15.6,11.9,12.5,15.5,14.6,15.1,16.1
Annual,Percentage,Cataluña,22.4,16.4,18.2,13.2,12.9,12.0,14.4,15.3,15.2,17.1
Annual,Percentage,Comunitat Valenciana,22.9,18.0,18.2,18.9,10.9,14.0,18.2,13.6,15.0,15.5
Annual,Percentage,Illes Balears,21.6,20.4,19.2,16.4,10.1,10.1,12.1,14.4,14.3,12.8
Annual,Percentage,Sur,28.4,21.6,26.7,19.3,24.6,21.3,21.0,21.0,19.9,23.0
Annual,Percentage,Andalucía,28.1,21.4,27.7,18.7,25.7,21.7,21.5,20.6,21.0,23.7
Annual,Percentage,Región de Murcia,29.3,22.3,21.4,21.7,18.1,18.1,18.8,21.8,12.8,18.7
Annual,Percentage,Ciudad de Ceuta,42.9,30.4,38.1,39.4,41.3,35.6,11.7,34.9,30.2,30.1
Annual,Percentage,Ciudad de Melilla,22.2,16.5,17.7,20.8,15.0,28.7,29.0,25.7,20.8,18.7
Annual,Percentage,Canarias,35.3,33.4,30.4,24.6,24.5,14.4,29.0,26.4,23.0,25.0
Annual,Percentage,Canarias,35.3,33.4,30.4,24.6,24.5,14.4,29.0,26.4,23.0,25.0
Annual,Percentage,Finland,4.4,3.5,4.3,5.4,5.3,4.8,4.6,3.6,4.7,6.3
Annual,Percentage,Manner-Suomi,4.4,3.5,4.3,5.4,5.3,4.8,4.6,3.6,4.7,6.3
Annual,Percentage,"Länsi-Suomi, Åland",5.3,3.4,4.0,5.7,6.3,5.2,4.3,3.7,4.5,5.8
Annual,Percentage,Helsinki-Uusimaa,4.5,3.9,3.9,4.9,4.2,4.2,4.4,4.1,5.3,7.0
Annual,Percentage,Etelä-Suomi,3.7,2.9,4.6,6.0,6.7,5.0,5.6,3.6,5.0,6.8
Annual,Percentage,Pohjois- ja Itä-Suomi,4.0,3.5,4.6,5.2,4.4,4.9,4.4,2.9,3.6,5.5
Annual,Percentage,France,14.1,12.7,13.0,12.4,12.8,13.1,12.2 b,10.5,13.3,13.5
Annual,Percentage,Croatia,22.3,19.2,16.1,14.7,12.3,10.3,9.4,8.4,8.4,6.2
Annual,Percentage,Panonska Hrvatska,:,:,:,:,:,:,:,10.6,11.4,10.2
Annual,Percentage,Jadranska Hrvatska,16.1,12.4,9.1,9.6,9.4,9.1,9.3,7.5,8.4,4.9
Annual,Percentage,Kontinentalna Hrvatska (NUTS 2016),25.2,22.6,19.6,17.3,13.7,10.8,9.4,:,:,:
Annual,Percentage,Grad Zagreb,:,:,:,:,:,:,:,7.5,5.6,3.7
Annual,Percentage,Sjeverna Hrvatska,:,:,:,:,:,:,:,7.7,7.4,5.7
Annual,Percentage,Hungary,41.3,37.4,32.2,25.6,20.3,20.3,18.5,17.7,16.5,17.1
Annual,Percentage,Közép-Magyarország,41.8,36.6,30.6,22.5,17.7,19.4,15.2,15.6,13.6,13.8
Annual,Percentage,Közép-Magyarország (NUTS 2013),41.8,36.6,30.6,22.5,:,:,:,:,:,:
Annual,Percentage,Budapest,:,:,:,:,16.2,18.3,15.3,13.8,12.7,10.1
Annual,Percentage,Pest,:,:,:,:,19.6,20.9,15.0,18.0,14.7,18.4
Annual,Percentage,Dunántúl,35.1,35.0,30.6,21.6,15.9,18.5,15.1,13.9,12.7,12.8
Annual,Percentage,Közép-Dunántúl,35.3,35.9,33.2,21.9,14.7,19.4,14.9,11.1,10.6,10.0
Annual,Percentage,Nyugat-Dunántúl,26.1,26.0,19.3,15.5,8.3,12.2,11.2,8.6,8.7,8.6
Annual,Percentage,Dél-Dunántúl,44.7,43.1,39.5,28.0,25.7,24.3,19.9,23.4,19.7,21.0
Annual,Percentage,Alföld és Észak,45.6,39.9,34.7,30.9,25.7,22.3,23.6,22.2,21.8,23.1
Annual,Percentage,Észak-Magyarország,51.0,45.9,41.3,40.0,35.2,28.8,29.9,30.8,29.9,30.6
Annual,Percentage,Észak-Alföld,47.8,39.7,35.0,29.3,23.8,23.2,26.0,22.1,22.1,21.8
Annual,Percentage,Dél-Alföld,38.3,34.6,28.3,24.5,19.3,15.2,15.0,14.5,14.1,17.9
Annual,Percentage,Ireland,20.5,20.2,17.0,14.5,12.4,12.5 b,12.3 b,9.4,11.2,10.6
Annual,Percentage,Northern and Western,:,:,15.6,11.7,12.4,12.1 b,13.4 b,8.2,10.5,7.5
Annual,Percentage,Southern,:,:,16.7,14.4,12.8,12.4 b,11.2 b,11.1,12.7,11.1
Annual,Percentage,Eastern and Midland,:,:,17.6,15.6,12.1,12.7 b,12.6 b,8.7,10.4,11.4
Annual,Percentage,Iceland,5.9,4.9,4.2,3.7,2.9,2.9,:,:,:,:
Annual,Percentage,Italy,23.2,22.0,17.5,12.7,12.7,11.9,11.0,11.3,9.0,9.8
Annual,Percentage,Nord-Ovest,18.1,16.2,12.1,7.9,7.8,7.5,9.2,9.8,5.4,5.7
Annual,Percentage,Sud,36.6,35.7,30.7,23.6,22.6,21.7,18.9,20.0,18.4,19.7
Annual,Percentage,Isole,35.8,33.4,26.0,19.8,22.0,20.0,14.7,14.9,12.3,13.7
Annual,Percentage,Nord-Est,14.5,12.8,8.3,5.3,4.7,4.6,4.8,5.2,3.5,4.7
Annual,Percentage,Centro (IT),15.3,16.0,13.1,9.7,10.3,9.2,8.5,7.6,6.6,6.5
Annual,Percentage,Lithuania,30.0,28.5,29.3,26.6,24.4,20.1,17.1,13.6,12.7,15.2
Annual,Percentage,Sostinės regionas,:,:,:,25.2,22.1,16.5,14.4,9.7,10.6,13.3
Annual,Percentage,Vidurio ir vakarų Lietuvos regionas,:,:,:,27.2,25.4,21.5,18.2,15.2,13.5,15.9
Annual,Percentage,Luxembourg,6.0,5.9,4.9 b,4.0,4.5,3.4,4.7 b,5.3 b,3.7 b,5.7
Annual,Percentage,Latvia,34.6,28.9,25.0,25.7,20.8,15.5,14.8,11.1,14.1,13.5
Annual,Percentage,Montenegro,52.5,44.6,44.1,42.5,39.2,34.0,34.0,35.5,27.8,:
Annual,Percentage,North Macedonia,49.3,47.0,43.0,40.0,38.7,38.4,33.6,:,:,:
Annual,Percentage,Malta,23.5,16.0,11.2,8.5,9.6,9.9,9.4,9.8,9.6,9.2
Annual,Percentage,Netherlands,8.5,7.3,6.6 b,6.4,6.3,6.9,5.8,4.6,5.6,5.9
Annual,Percentage,Noord-Nederland,6.1,6.7,6.0 b,6.3,7.1,8.2,5.2,4.9,5.7,5.0
Annual,Percentage,Groningen,:,:,4.0 b,5.9,6.0,9.6,6.8,5.4,5.0,4.3
Annual,Percentage,Friesland (NL),:,:,4.8 b,5.7,4.8,8.3,4.5,3.9,7.2,6.0
Annual,Percentage,Drenthe,:,:,10.1 b,7.6,11.5,6.4,4.3,5.4,4.6,4.6
Annual,Percentage,Oost-Nederland,8.5,5.1,5.1 b,5.2,6.9,6.9,4.1,3.1,4.9,4.3
Annual,Percentage,Overijssel,:,:,5.6 b,6.3,6.5,7.2,4.1,3.4,4.8,5.2
Annual,Percentage,Gelderland,:,:,4.6 b,4.2,6.7,6.8,4.3,2.9,4.4,3.7
Annual,Percentage,Flevoland,:,:,6.3 b,7.3,9.2,6.8,3.1,3.6,7.6,5.3
Annual,Percentage,West-Nederland,9.9,8.8,7.6 b,7.0,6.4,7.5,6.9,5.4,6.3,7.3
Annual,Percentage,Utrecht (NUTS 2021),:,:,3.7 b,5.5,3.7,5.8,4.7,4.1,3.1,6.1
Annual,Percentage,Noord-Holland,:,:,8.7 b,8.5,6.0,6.5,7.2,6.2,7.3,6.0
Annual,Percentage,Zuid-Holland (NUTS 2021),:,:,8.4 b,7.0,8.0,9.2,7.8,5.6,7.2,9.0
Annual,Percentage,Zeeland,:,:,5.0 b,1.9,4.7,4.8,3.6,1.6,2.1,5.7
Annual,Percentage,Zuid-Nederland,6.5,6.6,6.0 b,6.1,4.9,4.9,5.1,4.3,4.5,4.8
Annual,Percentage,Noord-Brabant,:,:,5.4 b,6.0,4.2,4.7,5.1,3.5,4.0,4.7
Annual,Percentage,Limburg (NL),:,:,7.5 b,6.5,6.5,5.3,5.3,6.0,5.8,4.9
Annual,Percentage,Norway,2.8,3.4,:,4.4,3.8,4.5,4.3,5.0 b,4.6,5.8
Annual,Percentage,Oslo og Akershus (statistical region 2016),3.2,4.5,:,4.6,4.4,4.4,4.7,:,:,:
Annual,Percentage,Innlandet,3.1,2.1,:,5.3,1.6,7.7,3.4,4.6 b,5.6,5.3
Annual,Percentage,Sør-Østlandet (statistical region 2016),3.5,4.3,:,3.9,4.0,4.9,4.5,:,:,:
Annual,Percentage,Agder og Rogaland (statistical region 2016),2.9,2.0,:,5.7,3.5,4.9,4.0,:,:,:
Annual,Percentage,Vestlandet (statistical region 2016),2.3,3.4,:,4.2,4.3,3.5,4.2,:,:,:
Annual,Percentage,Trøndelag,2.0,3.6,:,4.0,2.9,2.9,4.3,4.7 b,3.3,5.0
Annual,Percentage,Nord-Norge,2.4,2.6,:,3.3,4.5,4.7,:,5.4 b,4.4,4.1
Annual,Percentage,Oslo og Viken,:,:,:,:,:,:,:,5.5 b,5.5,6.5
Annual,Percentage,Agder og Sør-Østlandet,:,:,:,:,:,:,:,3.3 b,4.3,6.6
Annual,Percentage,Vestlandet,:,:,:,:,:,:,:,5.5 b,3.7,5.3
Annual,Percentage,Poland,20.9,16.2,12.2,11.6,9.8,8.3,6.4,6.3,6.4,6.8
Annual,Percentage,Region Centralny (NUTS 2013),20.7,13.9,9.6,10.7,:,:,:,:,:,:
Annual,Percentage,Makroregion południowy,18.9,15.4,12.0,11.5,10.6,7.7,5.9,6.2,6.8,6.1
Annual,Percentage,Małopolskie,:,:,:,:,:,7.6,4.7,4.3,6.7,4.4
Annual,Percentage,Śląskie,:,:,:,:,:,7.7,6.6,7.4,6.9,7.3
Annual,Percentage,Region Wschodni (NUTS 2013),20.9,16.8,14.4,13.4,:,:,:,:,:,:
Annual,Percentage,Makroregion północno-zachodni,22.3,17.2,13.5,12.6,9.1,8.9,6.3,6.7,6.8,8.1
Annual,Percentage,Wielkopolskie,:,:,:,:,:,8.5,6.0,6.0,6.1,7.3
Annual,Percentage,Zachodniopomorskie,:,:,:,:,:,10.2,7.4,7.3,7.1,10.5
Annual,Percentage,Lubuskie,:,:,:,:,:,8.1,6.2,8.4,8.9,7.4
Annual,Percentage,Makroregion południowo-zachodni,21.6,18.2,12.8,9.5,7.0,7.3,5.7,5.5,4.2,6.4
Annual,Percentage,Dolnośląskie,:,:,:,:,:,8.2,5.9,5.1,4.4,6.9
Annual,Percentage,Opolskie,:,:,:,:,:,4.5,4.9,6.9,3.5,4.6
Annual,Percentage,Makroregion północny,21.6,17.6,11.8,11.3,9.5,9.2,7.6,7.2,7.1,9.6
Annual,Percentage,Kujawsko-pomorskie,:,:,:,:,:,10.2,7.5,8.0,8.1,12.2
Annual,Percentage,Warmińsko-mazurskie,:,:,:,:,:,10.5,10.2,9.2,8.2,6.2
Annual,Percentage,Pomorskie,:,:,:,:,:,7.4,6.2,5.3,5.6,9.6
Annual,Percentage,Makroregion centralny,:,:,:,:,11.8,8.6,6.6,6.1,7.8,6.9
Annual,Percentage,Łódzkie,:,:,:,:,:,8.8,6.0,6.9,8.9,7.5
Annual,Percentage,Świętokrzyskie,:,:,:,:,:,8.4,7.6,4.7,5.6,5.5
Annual,Percentage,Makroregion wschodni,:,:,:,:,11.6,9.1,7.0,6.6,6.6,5.4
Annual,Percentage,Lubelskie,:,:,:,:,:,9.5,7.4,7.2,8.2,6.4
Annual,Percentage,Podkarpackie,:,:,:,:,:,9.7,7.8,6.8,6.6,5.2
Annual,Percentage,Podlaskie,:,:,:,:,:,7.1,4.9,5.3,3.7,4.1
Annual,Percentage,Makroregion województwo mazowieckie,:,:,:,:,8.4,7.2,5.4,5.3,5.3,4.8
Annual,Percentage,Warszawski stołeczny,:,:,:,:,:,6.2,5.5,5.8,4.4,4.8
Annual,Percentage,Mazowiecki regionalny,:,:,:,:,:,8.3,5.4,4.6,6.4,4.8
Annual,Percentage,Portugal,27.0,22.2,19.0,17.0,14.6,13.2,12.7,13.5,11.9,11.9
Annual,Percentage,Romania,55.2,50.3,51.5,48.4,43.5,38.7,38.9,34.5,36.4,31.4
Annual,Percentage,Macroregiunea Unu,49.1,45.2,45.2,37.2,30.8,24.7,29.1,29.4,29.5,28.1
Annual,Percentage,Nord-Vest,50.7,43.2,51.1,41.1,33.7,25.6,29.3,28.0,27.7,26.9
Annual,Percentage,Centru,47.4,47.4,38.8,32.8,27.7,23.7,29.0,30.9,31.6,29.4
Annual,Percentage,Macroregiunea Doi,64.7,60.8,61.6,57.8,54.6,50.0,48.5,42.0,43.2,36.5
Annual,Percentage,Nord-Est,62.2,57.0,59.2,54.7,50.9,45.3,42.9,36.7,40.3,32.3
Annual,Percentage,Sud-Est,68.0,66.0,64.9,61.9,59.6,56.2,55.9,49.0,47.1,42.4
Annual,Percentage,Macroregiunea Trei,54.8,48.7,51.2,52.2,46.8,43.6,41.8,34.6,35.8,29.4
Annual,Percentage,Sud-Muntenia,60.2,56.0,58.1,58.2,53.4,50.6,49.0,44.3,44.8,36.5
Annual,Percentage,Bucureşti-Ilfov,47.6,37.7,41.9,44.3,38.1,34.7,32.8,22.5,25.1,20.5
Annual,Percentage,Macroregiunea Patru,49.3,41.4,44.8,43.6,38.9,33.0,33.2,30.0,36.0,31.0
Annual,Percentage,Sud-Vest Oltenia,57.4,48.5,52.6,54.5,47.8,36.7,35.1,33.6,39.1,35.0
Annual,Percentage,Vest,40.2,32.2,36.0,31.5,29.2,29.0,31.1,26.2,32.7,26.6
Annual,Percentage,Serbia,44.3,40.1,:,36.4,29.9,24.4,22.6,21.4,21.5,:
Annual,Percentage,Srbija - sever,41.1,36.9,:,35.4,27.9,22.5,20.3,22.1,25.0,:
Annual,Percentage,Srbija - jug,47.7,43.3,:,37.4,32.0,26.4,25.1,20.8,17.7,:
Annual,Percentage,Sweden,4.0,3.1 b,3.0,2.9,3.4,4.0,3.9,3.5,4.7,5.5
Annual,Percentage,Östra Sverige,4.0,2.9 b,2.5,2.6,2.7,4.8,3.8,3.7,4.6,5.7
Annual,Percentage,Stockholm,3.9,2.2 b,2.5,2.3,1.8,4.6,3.6,3.2,3.9,5.7
Annual,Percentage,Östra Mellansverige,4.2,3.8 b,2.5,3.0,3.8,5.2,4.0,4.4,5.5,5.8
Annual,Percentage,Södra Sverige,4.2,3.6 b,3.8,2.9,3.9,3.4,3.9,3.5,5.6,5.6
Annual,Percentage,Småland med öarna,2.5,4.3 b,5.1,2.8,2.2,3.4,4.4,2.7,5.8,6.3
Annual,Percentage,Sydsverige,5.2,4.5 b,3.6,3.2,5.6,5.1,3.6,4.6,6.8,7.0
Annual,Percentage,Västsverige,4.3,2.7 b,3.5,2.7,3.2,2.2,3.9,3.0,4.6,4.3
Annual,Percentage,Norra Sverige,3.1,2.2 b,1.9,3.4,3.8,3.5,3.9,3.1,2.9,4.4
Annual,Percentage,Norra Mellansverige,1.9,1.2 b,1.5,3.4,4.4,4.3,5.2,3.9,3.2,5.9
Annual,Percentage,Mellersta Norrland,8.7,1.6 b,2.1,5.1,5.2,4.0,4.2,4.4,2.9,3.1
Annual,Percentage,Övre Norrland,0.6,4.3 b,2.5,2.1,1.7,2.0,1.7,0.7,2.3,2.9
Annual,Percentage,Slovenia,15.1,12.1,10.1,10.6,8.8,6.1,6.1,4.8,4.4,4.9
Annual,Percentage,Vzhodna Slovenija (NUTS 2010),17.5,13.6,11.7,13.3,:,:,:,:,:,:
Annual,Percentage,Zahodna Slovenija (NUTS 2010),12.2,10.2,8.1,7.2,:,:,:,:,:,:
Annual,Percentage,Vzhodna Slovenija,:,:,:,:,11.0,8.1,8.0,6.4,5.5,6.8
Annual,Percentage,Zahodna Slovenija,:,:,:,:,6.2,3.9,3.9,3.2,3.3,2.7
Annual,Percentage,Slovakia,18.8,16.8,15.5,13.5,12.3,11.4,9.7,9.2,10.5,14.0
Annual,Percentage,Bratislavský kraj,18.2,12.6,13.3,11.9,8.2,7.5,4.9,3.1,4.9,3.8
Annual,Percentage,Západné Slovensko,14.0,14.2,12.6,10.6,8.6,8.8,7.7,7.0,8.4,12.7
Annual,Percentage,Stredné Slovensko,20.5,18.3,15.9,14.0,14.0,13.7,11.8,10.7,11.8,13.8
Annual,Percentage,Východné Slovensko,23.1,20.1,19.3,16.9,16.7,14.0,12.2,13.0,14.2,20.5
Annual,Percentage,Türkiye,:,:,:,31.0,29.0,29.8,29.6,31.7,29.7,28.0
Annual,Percentage,United Kingdom,16.9,14.4,13.2,10.9 b,9.9,:,:,:,:,:
Annual,Percentage,Kosovo*,:,:,:,:,33.0,:,:,:,:,:
