Time frequency,Unit of measure,Quantile,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,First quintile,Finland,13.9,15.9,16.8,15.4,14.1,12.5,14.2,13.2,13.8,12.6,16.2,16.6
Annual,Percentage,First quintile,France,18.2,18.4,16.8,17.5,18.0,16.1,15.9,19.0,20.4 b,:,21.6 b,24.2
Annual,Percentage,First quintile,Croatia,29.0,33.9,29.5,31.1,28.7,26.2,23.7,21.5,19.1,20.8,17.7,18.7
Annual,Percentage,First quintile,Hungary,36.4,37.1,35.2,28.4,27.8,38.1,34.3,14.7,15.2,8.8,25.9,29.4
Annual,Percentage,First quintile,Ireland,24.8,18.1,24.4,15.7,16.3,16.5,12.5,16.6 b,13.5 b,8.0,12.1,16.3
Annual,Percentage,First quintile,Iceland,27.3,25.3,24.9,26.1,19.3,27.7,24.6,36.3,:,:,:,:
Annual,Percentage,First quintile,Italy,29.9,31.4,31.3,32.9,36.6,33.4,33.3,34.9,28.6,28.7,24.0,21.5
Annual,Percentage,First quintile,Lithuania,32.3,29.0,26.7,35.2,31.7,29.9,25.1,20.3,12.2,12.9,14.8,21.3
Annual,Percentage,First quintile,Luxembourg,20.1,22.7,26.7,24.1,24.6 b,27.9,36.0,35.1,31.1 b,15.8 b,28.5 b,40.5
Annual,Percentage,First quintile,Latvia,35.2,37.7,32.9,27.9,27.1,27.4,25.9,21.3,18.4,19.5,22.5,28.0
Annual,Percentage,First quintile,Montenegro,:,47.3,46.6,47.8,48.7,44.6,46.1,38.2,30.5,24.8,18.3,:
Annual,Percentage,First quintile,North Macedonia,70.2,65.3,57.3,49.1,53.9,49.9,45.6,40.0,36.1,:,:,:
Annual,Percentage,First quintile,Malta,9.3,9.0,5.5,4.2,5.4,4.8,5.0,8.3,9.4,11.0,10.5,21.7
Annual,Percentage,First quintile,Netherlands,33.0,38.1,39.8,41.3,34.3 b,32.6,32.4,32.0,26.9,27.8,34.0,28.9
Annual,Percentage,First quintile,Norway,28.6,29.1,28.0,30.3,31.7,30.8,36.8,35.4,33.8,29.7 b,37.0,39.2
Annual,Percentage,First quintile,Poland,32.9,31.2,28.8,28.3,27.1,24.9,23.0,22.4,19.0 b,22.2,21.9,23.0
Annual,Percentage,First quintile,Portugal,27.2,29.2,33.1,32.8,27.9,24.3,20.4,20.7,14.4,22.3,17.5,16.9
Annual,Percentage,First quintile,Romania,47.0,44.2,44.2,48.5,44.9,39.5,36.6,32.6,26.8,28.7,27.6,29.5
Annual,Percentage,First quintile,Serbia,:,73.5,83.3,86.3,82.0,87.6,85.7,66.9,59.3,53.4,46.9,:
Annual,Percentage,First quintile,Sweden,35.2,35.1,35.4,34.6,34.4,33.0,33.2,37.6,32.9,35.2,37.6,42.7
Annual,Percentage,First quintile,Slovenia,20.5,22.0,23.5,23.1,22.4,20.3,18.3,16.3,17.2,15.4,16.2,15.4
Annual,Percentage,First quintile,Slovakia,27.0,27.4,27.8,26.7,27.9,31.1,17.5,19.1,14.7,22.8,10.6,26.8
Annual,Percentage,First quintile,Türkiye,16.8,21.4,20.2,20.7,20.7,19.2,19.9,23.8,24.6,26.0,24.9,28.1
Annual,Percentage,First quintile,United Kingdom,22.6 b,23.9,37.1,36.5,37.1,37.4 b,48.8,:,:,:,:,:
Annual,Percentage,Second quintile,Albania,:,:,:,:,:,6.5,3.1,3.1,2.3,2.1,:,:
Annual,Percentage,Second quintile,Austria,3.8,3.1,3.4,3.4,4.4,3.1,3.9,3.6,2.5,4.7,3.2,2.3
Annual,Percentage,Second quintile,Belgium,11.3,9.4,10.0,10.8,9.9,9.5,8.2,8.9 b,7.6,7.6,8.4,8.2
Annual,Percentage,Second quintile,Bulgaria,17.2,19.9,13.6,19.2,26.4 b,24.8,22.8,18.9,18.6,13.8,17.1,11.7
Annual,Percentage,Second quintile,Switzerland,9.4,9.2,12.1 b,12.1,12.8,10.8,13.1,14.4,14.8,14.3,12.8,16.8
Annual,Percentage,Second quintile,Cyprus,3.6,4.4,4.2,4.2,3.1,3.7,2.7,1.8,2.3,3.3,2.4,2.9
Annual,Percentage,Second quintile,Czechia,8.8,9.3,9.8,9.1,8.4,7.8,6.7,5.7,5.0,4.5,5.1,7.1
Annual,Percentage,Second quintile,Germany,18.6,16.8,16.1,15.1,16.3,12.9,12.2,12.3,6.4 b,9.8,11.6,12.8
Annual,Percentage,Second quintile,Denmark,17.6,20.6,16.9,16.3,14.6,14.9,13.3,12.6,11.4 b,14.5,13.9,14.1
Annual,Percentage,Second quintile,Euro area - 19 countries  (2015-2022),11.4,11.8,11.5,10.9,10.9,9.4,8.5,8.7,6.6,7.6 e,:,:
Annual,Percentage,Second quintile,Euro area – 20 countries (from 2023),:,:,11.4,10.8,10.8,9.4,8.4,8.6,6.6,7.8,8.3,8.4
Annual,Percentage,Second quintile,Estonia,5.9,5.1,5.2 b,4.2,2.3,2.6,1.4,3.1,2.7,2.2,4.0,4.3
Annual,Percentage,Second quintile,Greece,49.7,60.1,66.4,65.8,55.0,54.4,54.1,45.7,42.4,31.5,33.0,36.7
Annual,Percentage,Second quintile,Spain,7.8,8.9,9.1,7.6,8.3,7.7,6.3,6.4,5.8,6.8,6.1,6.4
Annual,Percentage,Second quintile,European Union - 27 countries (2007-2013),11.5,11.8,12.0,11.4,11.1,10.1,9.4,9.3 e,:,:,:,:
Annual,Percentage,Second quintile,European Union - 27 countries (from 2020),11.9 e,12.3 e,11.6 e,10.9 e,10.7 e,9.3 e,8.3 e,8.2 e,6.4,7.2,7.8,8.1
Annual,Percentage,Second quintile,European Union - 28 countries (2013-2020),11.4,11.8,11.9,11.3,11.1,10.0,9.4,9.3 e,:,:,:,:
Annual,Percentage,Second quintile,Finland,4.5,3.7,4.9,5.8,4.4,4.5,4.0,3.8,4.1,5.0,6.3,5.2
Annual,Percentage,Second quintile,France,4.5,5.1,5.6,5.7,5.3,6.3,4.2,5.6,5.1 b,:,6.7 b,5.4
Annual,Percentage,Second quintile,Croatia,3.0,5.3,4.9,4.0,3.0,2.4,1.7,1.7,1.1,1.1,0.9,1.0
Annual,Percentage,Second quintile,Hungary,19.9,18.5,14.4,8.5,9.6,9.8,7.9,2.2,2.8,1.8,6.9,6.7
Annual,Percentage,Second quintile,Ireland,3.0,3.5,4.0,4.6,4.0,3.6,2.5,4.9 b,3.5 b,2.4,3.6,5.2
Annual,Percentage,Second quintile,Iceland,8.4,8.7,7.1,6.4,5.0,5.3,7.7,13.5,:,:,:,:
Annual,Percentage,Second quintile,Italy,7.4,8.4,6.9,5.8,7.5,5.0,5.2,5.3,4.7,4.5,5.7,5.0
Annual,Percentage,Second quintile,Lithuania,8.6,8.7,7.3,9.0,5.5,4.1,2.0,1.9,0.8,0.8,2.3,3.2
Annual,Percentage,Second quintile,Luxembourg,2.9,2.9,4.6,4.6,6.6 b,4.5,6.5,9.2,6.8 b,4.4 b,9.8 b,11.0
Annual,Percentage,Second quintile,Latvia,13.1,12.6,9.5,7.3,4.2,4.0,4.7,3.3,3.7,2.4,3.2,6.3
Annual,Percentage,Second quintile,Montenegro,:,26.7,17.4,20.4,17.8,15.5,16.1,11.3,10.7,7.0,5.0,:
Annual,Percentage,Second quintile,North Macedonia,22.4,15.7,13.9,7.5,5.7,6.4,3.3,4.3,3.7,:,:,:
Annual,Percentage,Second quintile,Malta,1.9,2.0,1.3,0.8,1.2,1.4,2.5,3.1,2.1,1.7,2.6,6.0
Annual,Percentage,Second quintile,Netherlands,16.1,19.0,15.2,14.3,12.2 b,9.8,9.4,10.2,9.0,9.2,10.7,10.7
Annual,Percentage,Second quintile,Norway,7.8,7.4,5.9,6.4,7.2,6.0,7.6,7.6,7.0,7.6 b,7.5,9.4
Annual,Percentage,Second quintile,Poland,10.2,11.0,9.4,8.5,6.6,4.6,4.1,4.1,3.6 b,4.3,3.5,3.5
Annual,Percentage,Second quintile,Portugal,7.8,7.1,7.0,8.2,6.5,5.6,5.2,5.1,3.6,4.0,4.5,4.4
Annual,Percentage,Second quintile,Romania,21.5,20.3,19.7,17.1,14.0,11.5,8.1,7.2,5.5,3.6,5.6,8.5
Annual,Percentage,Second quintile,Serbia,:,35.7,43.5,49.4,39.0,49.8,45.0,28.0,20.5,15.0,12.0,:
Annual,Percentage,Second quintile,Sweden,7.6,8.9,7.0,7.2,7.0,7.0,6.6,7.8,7.3,5.6,6.8,9.6
Annual,Percentage,Second quintile,Slovenia,4.0,5.2,5.1,4.1,3.9,3.1,3.8,2.8,3.1,4.0,3.1,2.2
Annual,Percentage,Second quintile,Slovakia,8.0,6.2,7.8,8.4,6.8,7.2,2.4,3.8,0.8,7.4,1.1,2.5
Annual,Percentage,Second quintile,Türkiye,15.0,17.0,14.7,14.0,14.7,13.9,14.0,13.7,13.7,15.0,14.7,17.3
Annual,Percentage,Second quintile,United Kingdom,7.6 b,8.0,13.9,14.1,13.5,15.1 b,17.1,:,:,:,:,:
Annual,Percentage,Third quintile,Albania,:,:,:,:,:,2.3,1.1,1.2,1.2,0.9,:,:
Annual,Percentage,Third quintile,Austria,1.0,1.8,1.0,1.3,1.6,0.7,0.9,1.0,0.7,0.6,1.1,1.0
Annual,Percentage,Third quintile,Belgium,4.0,4.1,3.6,3.4,3.3,3.6,2.5,2.9 b,2.3,2.1,2.1,2.1
Annual,Percentage,Third quintile,Bulgaria,4.2,7.4,4.8,5.4,11.5 b,11.6,9.8,7.7,6.2,4.1,4.4,2.9
Annual,Percentage,Third quintile,Switzerland,4.7,3.9,5.4 b,4.5,5.4,5.2,5.4,4.5,5.2,5.9,4.5,4.3
Annual,Percentage,Third quintile,Cyprus,0.9,1.5,2.3,2.1,1.0,1.7,0.9,0.5,1.1,0.6,1.0,1.5
Annual,Percentage,Third quintile,Czechia,4.2,6.3,5.7,4.7,3.9,3.4,3.4,2.1,2.0,1.9,2.4,4.0
Annual,Percentage,Third quintile,Germany,7.9,9.8,7.4,7.3,8.6,7.0,6.7,7.1,3.1 b,5.1,6.8,8.2
Annual,Percentage,Third quintile,Denmark,7.1,7.3,5.2,6.2,4.5,4.9,4.9,4.8,4.1 b,5.1,4.0,7.3
Annual,Percentage,Third quintile,Euro area - 19 countries  (2015-2022),4.5,5.2,5.1,5.2,4.8,4.1,4.0,4.2,2.8,3.4 e,:,:
Annual,Percentage,Third quintile,Euro area – 20 countries (from 2023),:,:,5.1,5.2,4.8,4.1,3.9,4.2,2.8,3.6,3.7,3.9
Annual,Percentage,Third quintile,Estonia,2.2,1.1,2.2 b,2.3,1.2,1.2,0.9,1.2,1.2,0.7,0.8,2.0
Annual,Percentage,Third quintile,Greece,14.2,20.1,34.2,36.1,28.6,27.4,27.3,23.2,21.2,17.2,11.3,13.4
Annual,Percentage,Third quintile,Spain,3.0,2.2,2.3,1.9,2.9,2.2,2.2,2.5,2.2,2.9,2.6,2.2
Annual,Percentage,Third quintile,European Union - 27 countries (2007-2013),4.9,5.4,5.3,5.1,4.9,4.4,4.2,4.2 e,:,:,:,:
Annual,Percentage,Third quintile,European Union - 27 countries (from 2020),5.1 e,5.6 e,5.2 e,5.0 e,4.7 e,4.0 e,3.8 e,3.7 e,2.6,3.2,3.5,3.7
Annual,Percentage,Third quintile,European Union - 28 countries (2013-2020),4.9,5.4,5.3,5.1,4.9,4.4,4.1,4.1 e,:,:,:,:
Annual,Percentage,Third quintile,Finland,1.9,2.3,2.0,1.8,2.0,2.3,1.6,1.7,1.5,2.1,2.6,3.8
Annual,Percentage,Third quintile,France,1.7,2.0,2.0,2.9,1.8,2.0,2.1,2.1,1.8 b,:,2.7 b,1.9
Annual,Percentage,Third quintile,Croatia,1.3,2.3,2.3,0.9,0.6,0.4,0.3,0.6,0.8,0.5,0.2,0.3
Annual,Percentage,Third quintile,Hungary,8.8,8.9,9.4,2.9,3.7,3.3,3.5,1.6,2.3,1.1,4.1,3.7
Annual,Percentage,Third quintile,Ireland,1.9,1.3,1.8,2.1,2.1,2.4,1.6,2.1 b,2.1 b,1.3,1.8,0.8
Annual,Percentage,Third quintile,Iceland,3.9,4.4,3.7,4.5,2.8,3.4,6.0,5.2,:,:,:,:
Annual,Percentage,Third quintile,Italy,2.3,3.0,2.9,2.8,2.8,2.0,1.8,2.5,1.8,2.1,2.4,1.7
Annual,Percentage,Third quintile,Lithuania,2.6,2.5,1.3,1.4,0.7,1.3,1.0,1.7,0.3,0.0,0.3,0.8
Annual,Percentage,Third quintile,Luxembourg,1.3,1.6,2.3,1.2,2.5 b,2.3,3.7,4.0,3.8 b,3.2 b,4.4 b,7.2
Annual,Percentage,Third quintile,Latvia,4.4,4.4,2.5,3.1,2.0,2.3,2.4,1.2,0.7,1.4,1.3,1.5
Annual,Percentage,Third quintile,Montenegro,:,16.1,11.2,9.5,9.7,7.2,6.8,4.7,3.4,5.5,2.5,:
Annual,Percentage,Third quintile,North Macedonia,5.6,5.5,4.7,3.4,2.0,1.6,1.5,2.2,1.3,:,:,:
Annual,Percentage,Third quintile,Malta,1.5,0.6,0.6,0.2,0.3,0.7,0.6,0.7,1.1,0.5,1.0,2.4
Annual,Percentage,Third quintile,Netherlands,10.9,9.4,10.5,9.9,4.8 b,2.9,3.8,5.1,3.4,3.2,3.5,4.9
Annual,Percentage,Third quintile,Norway,5.9,4.8,3.3,4.0,4.8,5.5,4.1,5.5,2.9,6.2 b,8.0,8.2
Annual,Percentage,Third quintile,Poland,5.7,5.2,4.4,2.3,2.5,1.8,1.4,1.1,1.0 b,1.2,1.3,1.6
Annual,Percentage,Third quintile,Portugal,3.6,3.5,3.2,3.0,1.9,2.0,1.8,2.1,1.7,2.0,1.7,2.0
Annual,Percentage,Third quintile,Romania,13.9,11.9,9.5,8.5,7.0,6.0,4.0,2.3,1.9,2.2,4.0,4.0
Annual,Percentage,Third quintile,Serbia,:,18.3,21.0,21.0,23.7,21.0,16.6,9.0,6.4,4.8,4.2,:
Annual,Percentage,Third quintile,Sweden,0.6,1.1,0.8,1.5,0.9,1.5,1.0,1.0,0.7,1.2,0.7,2.1
Annual,Percentage,Third quintile,Slovenia,0.8,1.3,2.1,1.7,1.3,1.7,1.7,1.2,1.0,1.0,1.0,0.8
Annual,Percentage,Third quintile,Slovakia,3.6,4.8,5.7,6.0,2.5,2.3,0.3,2.7,0.5,3.0,0.4,1.2
Annual,Percentage,Third quintile,Türkiye,10.2,11.7,9.1,9.5,8.3,7.7,7.6,7.6,7.6,9.1,8.6,13.0
Annual,Percentage,Third quintile,United Kingdom,3.4 b,4.3,5.7,6.0,6.2,6.8 b,6.8,:,:,:,:,:
Annual,Percentage,Fourth quintile,Albania,:,:,:,:,:,1.1,0.6,0.9,0.6,0.7,:,:
Annual,Percentage,Fourth quintile,Austria,0.3,0.4,0.3,0.2,0.6,0.4,0.6,0.6,0.3,0.4,0.4,0.3
Annual,Percentage,Fourth quintile,Belgium,1.2,0.8,1.1,0.7,1.2,1.1,0.7,0.6 b,0.4,0.4,0.7,1.0
Annual,Percentage,Fourth quintile,Bulgaria,3.0,4.2,2.8,2.6,5.8 b,4.8,4.0,2.1,2.4,1.2,0.8,0.7
Annual,Percentage,Fourth quintile,Switzerland,1.2,1.9,1.9 b,1.9,1.6,1.7,2.4,1.8,1.7,2.4,1.8,1.8
Annual,Percentage,Fourth quintile,Cyprus,0.5,0.7,1.0,1.2,0.5,0.2,0.2,0.8,0.2,0.3,0.4,1.3
Annual,Percentage,Fourth quintile,Czechia,2.7,3.6,3.0,2.2,2.6,2.2,1.3,1.5,1.4,1.5,1.4,1.8
Annual,Percentage,Fourth quintile,Germany,6.1,6.6,4.2,4.6,5.8,5.2,4.5,5.4,1.5 b,2.8,4.0,5.4
Annual,Percentage,Fourth quintile,Denmark,2.3,2.3,1.9,1.8,1.5,1.4,1.6,1.4,1.4 b,1.2,1.3,2.1
Annual,Percentage,Fourth quintile,Euro area - 19 countries  (2015-2022),2.7,2.9,2.7,2.9,2.6,2.4,2.2,2.5,1.4,1.6 e,:,:
Annual,Percentage,Fourth quintile,Euro area – 20 countries (from 2023),:,:,2.7,2.9,2.6,2.3,2.2,2.4,1.4,1.8,1.7,2.0
Annual,Percentage,Fourth quintile,Estonia,1.5,0.7,1.0 b,0.4,0.3,0.7,0.3,0.1,0.6,0.1,0.3,1.3
Annual,Percentage,Fourth quintile,Greece,4.7,8.1,21.8,21.1,17.2,17.8,17.6,16.7,14.4,12.7,4.7,6.1
Annual,Percentage,Fourth quintile,Spain,1.3,1.4,0.8,1.1,1.1,0.6,0.8,1.2,1.0,1.0,0.8,0.6
Annual,Percentage,Fourth quintile,European Union - 27 countries (2007-2013),2.7,2.9,3.0,2.8,2.6,2.3,2.2,2.3 e,:,:,:,:
Annual,Percentage,Fourth quintile,European Union - 27 countries (from 2020),2.9 e,3.0 e,2.7 e,2.7 e,2.5 e,2.2 e,2.0 e,2.1 e,1.3,1.6,1.7,1.9
Annual,Percentage,Fourth quintile,European Union - 28 countries (2013-2020),2.7,2.9,2.9,2.8,2.6,2.3,2.1,2.3 e,:,:,:,:
Annual,Percentage,Fourth quintile,Finland,1.5,1.4,1.1,1.0,0.9,1.5,1.2,0.6,1.0,1.2,1.5,1.2
Annual,Percentage,Fourth quintile,France,1.1,0.6,0.7,1.7,0.8,0.6,0.8,0.7,0.8 b,:,0.7 b,0.8
Annual,Percentage,Fourth quintile,Croatia,0.7,1.0,1.1,0.3,0.4,0.1,0.1,0.0,0.3,0.1,0.2,0.1
Annual,Percentage,Fourth quintile,Hungary,6.1,5.2,3.6,1.5,1.8,1.5,1.2,0.9,2.4,0.3,2.5,2.6
Annual,Percentage,Fourth quintile,Ireland,0.9,0.4,0.9,0.4,0.3,0.2,0.6,1.6 b,1.4 b,0.9,0.7,0.9
Annual,Percentage,Fourth quintile,Iceland,3.6,3.4,3.0,3.0,3.4,3.5,3.5,5.3,:,:,:,:
Annual,Percentage,Fourth quintile,Italy,0.8,1.1,1.1,1.2,0.8,0.4,0.6,0.6,0.6,0.6,0.8,0.2
Annual,Percentage,Fourth quintile,Lithuania,0.4,1.0,0.1,0.4,0.7,0.3,0.0,0.0,0.0,0.0,0.1,0.6
Annual,Percentage,Fourth quintile,Luxembourg,0.4,0.6,0.3,0.3,1.4 b,0.9,1.0,2.0,0.7 b,1.2 b,1.8 b,2.9
Annual,Percentage,Fourth quintile,Latvia,2.5,1.8,2.4,2.0,1.0,0.8,0.7,1.3,0.3,1.1,0.4,0.7
Annual,Percentage,Fourth quintile,Montenegro,:,6.0,6.3,4.6,4.0,5.3,3.1,2.6,1.7,1.8,2.2,:
Annual,Percentage,Fourth quintile,North Macedonia,2.1,1.5,1.0,1.0,0.9,0.1,0.4,1.8,1.0,:,:,:
Annual,Percentage,Fourth quintile,Malta,0.2,0.6,0.2,0.1,0.1,0.1,0.4,0.7,0.5,0.2,0.0,0.0
Annual,Percentage,Fourth quintile,Netherlands,6.8,6.7,6.5,5.7,1.5 b,1.5,1.4,1.7,1.9,0.9,1.2,1.9
Annual,Percentage,Fourth quintile,Norway,3.8,4.1,2.8,4.2,3.8,2.7,2.5,2.8,2.3,6.9 b,4.2,7.6
Annual,Percentage,Fourth quintile,Poland,2.6,3.0,2.5,1.6,1.0,0.9,0.7,0.7,0.5 b,0.5,0.7,1.1
Annual,Percentage,Fourth quintile,Portugal,2.2,1.0,2.2,1.0,1.1,1.5,1.0,0.6,0.6,0.6,1.1,0.7
Annual,Percentage,Fourth quintile,Romania,5.7,4.4,3.9,2.9,3.5,2.8,1.8,0.9,1.2,2.1,3.4,2.5
Annual,Percentage,Fourth quintile,Serbia,:,8.1,8.4,9.4,8.7,7.4,7.4,3.6,2.5,2.5,2.2,:
Annual,Percentage,Fourth quintile,Sweden,0.2,0.3,0.3,0.1,0.1,0.4,0.3,0.4,0.3,0.3,0.4,0.5
Annual,Percentage,Fourth quintile,Slovenia,0.6,1.2,1.2,1.4,0.8,0.4,0.4,0.4,0.6,0.3,0.2,0.3
Annual,Percentage,Fourth quintile,Slovakia,2.3,2.4,2.8,3.2,0.9,1.2,0.1,1.7,0.1,1.8,0.4,0.2
Annual,Percentage,Fourth quintile,Türkiye,5.3,6.1,5.2,6.3,4.6,4.5,4.8,4.8,3.7,4.7,5.4,9.1
Annual,Percentage,Fourth quintile,United Kingdom,1.2 b,2.1,4.7,3.4,3.4,2.7 b,3.3,:,:,:,:,:
Annual,Percentage,Fifth quintile,Albania,:,:,:,:,:,1.0,0.2,0.5,0.3,0.6,:,:
Annual,Percentage,Fifth quintile,Austria,0.1,0.2,0.0,0.2,0.1,0.3,0.3,0.3,0.1,0.1,0.2,0.1
Annual,Percentage,Fifth quintile,Belgium,0.3,0.2,0.6,0.2,0.3,0.7,0.3,0.2 b,0.3,0.3,0.1,0.2
Annual,Percentage,Fifth quintile,Bulgaria,1.3,1.3,0.7,0.8,2.2 b,1.0,0.6,0.3,0.3,0.3,0.1,0.3
Annual,Percentage,Fifth quintile,Switzerland,1.1,0.5,0.6 b,0.5,0.6,0.7,1.2,0.5,0.5,0.6,0.7,0.5
Annual,Percentage,Fifth quintile,Cyprus,0.3,0.6,1.2,0.3,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.3
Annual,Percentage,Fifth quintile,Czechia,1.7,1.5,1.2,1.1,1.1,0.4,0.5,0.9,0.5,0.4,0.6,0.9
Annual,Percentage,Fifth quintile,Germany,3.8,4.5,2.4,2.9,2.9,2.8,3.0,4.0,0.6 b,0.9,2.0,2.2
Annual,Percentage,Fifth quintile,Denmark,1.5,0.7,0.5,0.6,0.7,0.3,0.5,0.5,0.6 b,0.4,0.5,0.6
Annual,Percentage,Fifth quintile,Euro area - 19 countries  (2015-2022),1.6,1.7,1.4,1.5,1.2,1.1,1.2,1.4,0.5,0.6 e,:,:
Annual,Percentage,Fifth quintile,Euro area – 20 countries (from 2023),:,:,1.4,1.5,1.2,1.1,1.2,1.4,0.5,0.7,0.8,0.7
Annual,Percentage,Fifth quintile,Estonia,0.3,0.8,0.1 b,0.0,0.1,0.2,0.0,0.4,0.0,0.0,0.1,0.5
Annual,Percentage,Fifth quintile,Greece,4.4,1.6,8.5,10.5,9.0,8.4,9.1,9.5,7.3,6.8,1.5,1.2
Annual,Percentage,Fifth quintile,Spain,0.1,0.4,0.1,0.2,0.2,0.3,0.3,0.1,0.2,0.2,0.3,0.1
Annual,Percentage,Fifth quintile,European Union - 27 countries (2007-2013),1.6,1.6,1.4,1.5,1.2,1.0,1.0,1.2 e,:,:,:,:
Annual,Percentage,Fifth quintile,European Union - 27 countries (from 2020),1.6 e,1.6 e,1.4 e,1.5 e,1.2 e,1.0 e,1.0 e,1.2 e,0.5,0.6,0.8,0.7
Annual,Percentage,Fifth quintile,European Union - 28 countries (2013-2020),1.6,1.6,1.4,1.5,1.2,1.0,1.0,1.2 e,:,:,:,:
Annual,Percentage,Fifth quintile,Finland,1.0,1.0,0.8,0.6,0.4,0.5,0.5,0.4,0.2,0.5,0.6,0.5
Annual,Percentage,Fifth quintile,France,0.4,0.1,0.3,0.5,0.3,0.2,0.3,0.2,0.3 b,:,0.6 b,0.3
Annual,Percentage,Fifth quintile,Croatia,0.1,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Annual,Percentage,Fifth quintile,Hungary,2.3,2.0,1.4,1.2,1.0,0.7,0.8,1.7,1.5,0.1,1.0,1.0
Annual,Percentage,Fifth quintile,Ireland,1.9,0.0,0.9,0.7,0.2,0.1,0.0,1.0 b,0.6 b,0.2,0.5,0.2
Annual,Percentage,Fifth quintile,Iceland,2.8,2.9,2.2,1.8,1.3,2.1,2.4,3.0,:,:,:,:
Annual,Percentage,Fifth quintile,Italy,0.3,0.5,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.0
Annual,Percentage,Fifth quintile,Lithuania,0.4,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Fifth quintile,Luxembourg,0.0,0.2,0.3,0.0,0.5 b,1.0,0.3,0.1,0.4 b,1.0 b,0.6 b,0.9
Annual,Percentage,Fifth quintile,Latvia,1.6,0.8,1.2,0.7,0.8,0.3,0.2,0.2,0.9,0.2,0.1,0.1
Annual,Percentage,Fifth quintile,Montenegro,:,3.3,3.3,1.8,2.4,3.2,1.5,1.5,0.8,0.7,1.0,:
Annual,Percentage,Fifth quintile,North Macedonia,0.7,0.0,1.1,0.5,0.3,0.0,0.0,1.4,0.3,:,:,:
Annual,Percentage,Fifth quintile,Malta,0.2,0.1,0.3,0.3,0.1,0.0,0.0,0.1,0.7,0.0,0.3,0.0
Annual,Percentage,Fifth quintile,Netherlands,5.2,5.4,5.1,4.0,0.8 b,0.3,0.2,0.7,0.1,0.3,0.5,0.3
Annual,Percentage,Fifth quintile,Norway,2.9,2.7,1.1,2.1,1.2,1.5,1.8,1.1,1.1,4.2 b,5.3,5.4
Annual,Percentage,Fifth quintile,Poland,0.9,1.1,1.5,1.2,0.4,0.2,0.6,0.5,0.2 b,0.3,0.4,0.2
Annual,Percentage,Fifth quintile,Portugal,0.7,0.3,0.4,0.4,0.2,0.2,0.2,0.3,0.1,0.3,0.3,0.3
