Time frequency,International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM)),Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Finland,53.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,France,83.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Hungary,116.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Ireland,40.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Italy,57.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Lithuania,52.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Luxembourg,49.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Latvia,59.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Malta,75.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Netherlands,70.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Norway,35.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Poland,45.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Portugal,75.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Romania,87.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Sweden,53.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Slovenia,46.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Slovakia,48.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,United Kingdom,34.0
Annual,Clerks and sales,Females,Number,Austria,72.0
Annual,Clerks and sales,Females,Number,Belgium,63.0
Annual,Clerks and sales,Females,Number,Switzerland,47.0
Annual,Clerks and sales,Females,Number,Cyprus,47.0
Annual,Clerks and sales,Females,Number,Czechia,46.0
Annual,Clerks and sales,Females,Number,Germany,72.0
Annual,Clerks and sales,Females,Number,Denmark,57.0
Annual,Clerks and sales,Females,Number,Estonia,44.8 u
Annual,Clerks and sales,Females,Number,Greece,79.0
Annual,Clerks and sales,Females,Number,Spain,103.0
Annual,Clerks and sales,Females,Number,European Union - 25 countries (2004-2006),66.0
Annual,Clerks and sales,Females,Number,Finland,40.0
Annual,Clerks and sales,Females,Number,France,96.0
Annual,Clerks and sales,Females,Number,Hungary,168.0
Annual,Clerks and sales,Females,Number,Ireland,39.0
Annual,Clerks and sales,Females,Number,Italy,56.0
Annual,Clerks and sales,Females,Number,Luxembourg,36.0
Annual,Clerks and sales,Females,Number,Latvia,60.5 u
Annual,Clerks and sales,Females,Number,Netherlands,96.0
Annual,Clerks and sales,Females,Number,Norway,33.0
Annual,Clerks and sales,Females,Number,Poland,33.0
Annual,Clerks and sales,Females,Number,Portugal,109.0
Annual,Clerks and sales,Females,Number,Sweden,41.0
Annual,Clerks and sales,Females,Number,Slovenia,40.0
Annual,Clerks and sales,Females,Number,Slovakia,34.0
Annual,Clerks and sales,Females,Number,United Kingdom,35.0
Annual,Clerks and sales,Males,Number,Austria,84.0
Annual,Clerks and sales,Males,Number,Belgium,88.0
Annual,Clerks and sales,Males,Number,Switzerland,51.0
Annual,Clerks and sales,Males,Number,Cyprus,66.0
Annual,Clerks and sales,Males,Number,Czechia,48.0
Annual,Clerks and sales,Males,Number,Germany,91.0
Annual,Clerks and sales,Males,Number,Denmark,59.0
Annual,Clerks and sales,Males,Number,Greece,86.0
Annual,Clerks and sales,Males,Number,Spain,100.0
Annual,Clerks and sales,Males,Number,European Union - 25 countries (2004-2006),71.0
Annual,Clerks and sales,Males,Number,Finland,47.0
Annual,Clerks and sales,Males,Number,France,88.0
Annual,Clerks and sales,Males,Number,Hungary,111.0
Annual,Clerks and sales,Males,Number,Ireland,40.0
Annual,Clerks and sales,Males,Number,Italy,65.0
Annual,Clerks and sales,Males,Number,Luxembourg,45.0
Annual,Clerks and sales,Males,Number,Netherlands,93.0
Annual,Clerks and sales,Males,Number,Norway,43.0
Annual,Clerks and sales,Males,Number,Poland,38.0
Annual,Clerks and sales,Males,Number,Portugal,117.0
Annual,Clerks and sales,Males,Number,Sweden,47.0
Annual,Clerks and sales,Males,Number,Slovenia,35.0
Annual,Clerks and sales,Males,Number,Slovakia,41.0
Annual,Clerks and sales,Males,Number,United Kingdom,44.0
Annual,Clerks and sales,Total,Number,Austria,76.0
Annual,Clerks and sales,Total,Number,Belgium,73.0
Annual,Clerks and sales,Total,Number,Switzerland,48.0
Annual,Clerks and sales,Total,Number,Cyprus,53.0
Annual,Clerks and sales,Total,Number,Czechia,46.0
Annual,Clerks and sales,Total,Number,Germany,79.0
Annual,Clerks and sales,Total,Number,Denmark,57.0
Annual,Clerks and sales,Total,Number,Estonia,56.0
Annual,Clerks and sales,Total,Number,Greece,82.0
Annual,Clerks and sales,Total,Number,Spain,102.0
Annual,Clerks and sales,Total,Number,European Union - 25 countries (2004-2006),68.0
Annual,Clerks and sales,Total,Number,Finland,41.0
Annual,Clerks and sales,Total,Number,France,94.0
Annual,Clerks and sales,Total,Number,Hungary,151.0
Annual,Clerks and sales,Total,Number,Ireland,39.0
Annual,Clerks and sales,Total,Number,Italy,60.0
Annual,Clerks and sales,Total,Number,Luxembourg,40.0
Annual,Clerks and sales,Total,Number,Latvia,57.0
Annual,Clerks and sales,Total,Number,Malta,57.2 u
Annual,Clerks and sales,Total,Number,Netherlands,95.0
Annual,Clerks and sales,Total,Number,Norway,35.0
Annual,Clerks and sales,Total,Number,Poland,35.0
Annual,Clerks and sales,Total,Number,Portugal,112.0
Annual,Clerks and sales,Total,Number,Sweden,42.0
Annual,Clerks and sales,Total,Number,Slovenia,39.0
Annual,Clerks and sales,Total,Number,Slovakia,37.0
Annual,Clerks and sales,Total,Number,United Kingdom,36.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Austria,44.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Switzerland,41.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Czechia,20.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Germany,114.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Spain,125.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,European Union - 25 countries (2004-2006),69.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Finland,52.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,France,52.4 u
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Italy,107.8 u
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Poland,23.5 u
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Portugal,155.4 u
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Sweden,78.2 u
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Slovenia,34.1 u
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,Slovakia,8.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Females,Number,United Kingdom,50 u
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Austria,66.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Belgium,53.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Switzerland,49.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Cyprus,44.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Czechia,20.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Germany,80.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Denmark,59.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Greece,71.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Spain,87.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,European Union - 25 countries (2004-2006),58.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Finland,34.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,France,78.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Hungary,141.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Ireland,25.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Italy,44.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Luxembourg,40.7 u
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Netherlands,75.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Norway,37.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Poland,28.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Portugal,91.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Sweden,44.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Slovenia,39.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,Slovakia,19.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Males,Number,United Kingdom,30.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Austria,63.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Belgium,53.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Switzerland,47.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Cyprus,43.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Czechia,20.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Germany,83.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Denmark,58.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Greece,77.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Spain,90.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,European Union - 25 countries (2004-2006),59.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Finland,37.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,France,75.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Hungary,135.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Ireland,25.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Italy,52.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Luxembourg,40.1 u
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Netherlands,75.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Norway,39.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Poland,28.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Portugal,106.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Sweden,47.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Slovenia,39.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,Slovakia,17.0
Annual,"Skilled agricultural and fishery workers, craft and related trades workers",Total,Number,United Kingdom,31.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Austria,63.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Belgium,75.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Switzerland,48.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Czechia,24.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Germany,142.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Denmark,65.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Spain,110.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,European Union - 25 countries (2004-2006),77.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Finland,44.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,France,90.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Hungary,129.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Ireland,31.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Italy,64.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Norway,37 u
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Poland,24.9 u
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Portugal,160.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Sweden,67.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Slovenia,32.5 u
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,Slovakia,14.0
Annual,Plant and machine operators and assemblers and elementary occupations,Females,Number,United Kingdom,35.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Austria,54.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Belgium,67.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Switzerland,40.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Czechia,17.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Germany,77.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Denmark,65.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Spain,79.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,European Union - 25 countries (2004-2006),54.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Finland,38.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,France,60.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Hungary,88.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Ireland,27.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Italy,41.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Luxembourg,50.5 u
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Netherlands,64.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Norway,31.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Poland,31.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Portugal,61.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Sweden,44.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Slovenia,48.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,Slovakia,16.0
Annual,Plant and machine operators and assemblers and elementary occupations,Males,Number,United Kingdom,34.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Austria,57.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Belgium,70.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Switzerland,43.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Cyprus,44.6 u
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Czechia,18.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Germany,91.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Denmark,65.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Greece,80.1 u
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Spain,90.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,European Union - 25 countries (2004-2006),60.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Finland,40.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,France,69.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Hungary,98.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Ireland,29.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Italy,48.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Luxembourg,43.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Netherlands,67.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Norway,33.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Poland,30.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Portugal,105.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Sweden,51.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Slovenia,44.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,Slovakia,16.0
Annual,Plant and machine operators and assemblers and elementary occupations,Total,Number,United Kingdom,34.0
Annual,Total,Total,Number,Austria,85.0
Annual,Total,Total,Number,Belgium,69.0
Annual,Total,Total,Number,Bulgaria,69.0
Annual,Total,Total,Number,Switzerland,52.0
Annual,Total,Total,Number,Cyprus,52.0
Annual,Total,Total,Number,Czechia,47.0
Annual,Total,Total,Number,Germany,72.0
Annual,Total,Total,Number,Denmark,57.0
Annual,Total,Total,Number,Estonia,57.0
Annual,Total,Total,Number,Greece,80.0
Annual,Total,Total,Number,Spain,101.0
Annual,Total,Total,Number,European Union - 25 countries (2004-2006),65.0
Annual,Total,Total,Number,Finland,47.0
Annual,Total,Total,Number,France,83.0
Annual,Total,Total,Number,Hungary,125.0
Annual,Total,Total,Number,Ireland,37.0
Annual,Total,Total,Number,Italy,57.0
Annual,Total,Total,Number,Lithuania,52.0
Annual,Total,Total,Number,Luxembourg,46.0
Annual,Total,Total,Number,Latvia,58.0
Annual,Total,Total,Number,Malta,72.0
Annual,Total,Total,Number,Netherlands,75.0
Annual,Total,Total,Number,Norway,35.0
Annual,Total,Total,Number,Poland,40.0
Annual,Total,Total,Number,Portugal,92.0
Annual,Total,Total,Number,Romania,80.0
Annual,Total,Total,Number,Sweden,50.0
Annual,Total,Total,Number,Slovenia,44.0
Annual,Total,Total,Number,Slovakia,35.0
Annual,Total,Total,Number,United Kingdom,35.0
