Time frequency,Unit of measure,International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM)),Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1999.0
Annual,Rate,Clerks,Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),52.0
Annual,Rate,Clerks,Education,European Union (aggregate changing according to the context),55.0
Annual,Rate,Clerks,Health and social work,European Union (aggregate changing according to the context),67.0
Annual,Rate,Clerks,"Other community, social and personal service activities",European Union (aggregate changing according to the context),44.0
Annual,Rate,Clerks,Total - all NACE activities,European Union (aggregate changing according to the context),58.0
Annual,Rate,Service workers and shop and market sales workers,"Agriculture, hunting and forestry",European Union (aggregate changing according to the context),79.0
Annual,Rate,Service workers and shop and market sales workers,Manufacturing,European Union (aggregate changing according to the context),51.0
Annual,Rate,Service workers and shop and market sales workers,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union (aggregate changing according to the context),83.0
Annual,Rate,Service workers and shop and market sales workers,Hotels and restaurants,European Union (aggregate changing according to the context),117.0
Annual,Rate,Service workers and shop and market sales workers,"Transport, storage and communication",European Union (aggregate changing according to the context),128.0
Annual,Rate,Service workers and shop and market sales workers,"Real estate, renting and business activities",European Union (aggregate changing according to the context),155.0
Annual,Rate,Service workers and shop and market sales workers,Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),190.0
Annual,Rate,Service workers and shop and market sales workers,Education,European Union (aggregate changing according to the context),141.0
Annual,Rate,Service workers and shop and market sales workers,Health and social work,European Union (aggregate changing according to the context),153.0
Annual,Rate,Service workers and shop and market sales workers,"Other community, social and personal service activities",European Union (aggregate changing according to the context),80.0
Annual,Rate,Service workers and shop and market sales workers,Activities of households,European Union (aggregate changing according to the context),66.0
Annual,Rate,Service workers and shop and market sales workers,Total - all NACE activities,European Union (aggregate changing according to the context),113.0
Annual,Rate,Skilled agricultural and fishery workers,"Agriculture, hunting and forestry",European Union (aggregate changing according to the context),109.0
Annual,Rate,Skilled agricultural and fishery workers,Fishing,European Union (aggregate changing according to the context),123.0
Annual,Rate,Skilled agricultural and fishery workers,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union (aggregate changing according to the context),88.0
Annual,Rate,Skilled agricultural and fishery workers,Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),120.0
Annual,Rate,Skilled agricultural and fishery workers,"Other community, social and personal service activities",European Union (aggregate changing according to the context),166.0
Annual,Rate,Skilled agricultural and fishery workers,Activities of households,European Union (aggregate changing according to the context),299.0
Annual,Rate,Skilled agricultural and fishery workers,Total - all NACE activities,European Union (aggregate changing according to the context),112.0
Annual,Rate,Craft and related trades workers,"Agriculture, hunting and forestry",European Union (aggregate changing according to the context),187.0
Annual,Rate,Craft and related trades workers,Mining and quarrying,European Union (aggregate changing according to the context),255.0
Annual,Rate,Craft and related trades workers,Manufacturing,European Union (aggregate changing according to the context),156.0
Annual,Rate,Craft and related trades workers,"Electricity, gas and water supply",European Union (aggregate changing according to the context),167.0
Annual,Rate,Craft and related trades workers,Construction,European Union (aggregate changing according to the context),182.0
Annual,Rate,Craft and related trades workers,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union (aggregate changing according to the context),161.0
Annual,Rate,Craft and related trades workers,Hotels and restaurants,European Union (aggregate changing according to the context),92.0
Annual,Rate,Craft and related trades workers,"Transport, storage and communication",European Union (aggregate changing according to the context),149.0
Annual,Rate,Craft and related trades workers,"Real estate, renting and business activities",European Union (aggregate changing according to the context),118.0
Annual,Rate,Craft and related trades workers,Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),144.0
Annual,Rate,Craft and related trades workers,Education,European Union (aggregate changing according to the context),128.0
Annual,Rate,Craft and related trades workers,Health and social work,European Union (aggregate changing according to the context),141.0
Annual,Rate,Craft and related trades workers,"Other community, social and personal service activities",European Union (aggregate changing according to the context),107.0
Annual,Rate,Craft and related trades workers,Total - all NACE activities,European Union (aggregate changing according to the context),164.0
Annual,Rate,Plant and machine operators and assemblers,"Agriculture, hunting and forestry",European Union (aggregate changing according to the context),126.0
Annual,Rate,Plant and machine operators and assemblers,Fishing,European Union (aggregate changing according to the context),79.0
Annual,Rate,Plant and machine operators and assemblers,Mining and quarrying,European Union (aggregate changing according to the context),143.0
Annual,Rate,Plant and machine operators and assemblers,Manufacturing,European Union (aggregate changing according to the context),167.0
Annual,Rate,Plant and machine operators and assemblers,"Electricity, gas and water supply",European Union (aggregate changing according to the context),97.0
Annual,Rate,Plant and machine operators and assemblers,Construction,European Union (aggregate changing according to the context),141.0
Annual,Rate,Plant and machine operators and assemblers,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union (aggregate changing according to the context),176.0
Annual,Rate,Plant and machine operators and assemblers,"Transport, storage and communication",European Union (aggregate changing according to the context),145.0
Annual,Rate,Plant and machine operators and assemblers,"Real estate, renting and business activities",European Union (aggregate changing according to the context),191.0
Annual,Rate,Plant and machine operators and assemblers,Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),67.0
Annual,Rate,Plant and machine operators and assemblers,Health and social work,European Union (aggregate changing according to the context),175.0
Annual,Rate,Plant and machine operators and assemblers,"Other community, social and personal service activities",European Union (aggregate changing according to the context),113.0
Annual,Rate,Plant and machine operators and assemblers,Total - all NACE activities,European Union (aggregate changing according to the context),155.0
Annual,Rate,Elementary occupations,"Agriculture, hunting and forestry",European Union (aggregate changing according to the context),112.0
Annual,Rate,Elementary occupations,Manufacturing,European Union (aggregate changing according to the context),131.0
Annual,Rate,Elementary occupations,"Electricity, gas and water supply",European Union (aggregate changing according to the context),80.0
Annual,Rate,Elementary occupations,Construction,European Union (aggregate changing according to the context),184.0
Annual,Rate,Elementary occupations,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union (aggregate changing according to the context),127.0
Annual,Rate,Elementary occupations,Hotels and restaurants,European Union (aggregate changing according to the context),108.0
Annual,Rate,Elementary occupations,"Transport, storage and communication",European Union (aggregate changing according to the context),224.0
Annual,Rate,Elementary occupations,Financial intermediation,European Union (aggregate changing according to the context),156.0
Annual,Rate,Elementary occupations,"Real estate, renting and business activities",European Union (aggregate changing according to the context),119.0
Annual,Rate,Elementary occupations,Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),112.0
Annual,Rate,Elementary occupations,Education,European Union (aggregate changing according to the context),140.0
Annual,Rate,Elementary occupations,Health and social work,European Union (aggregate changing according to the context),148.0
Annual,Rate,Elementary occupations,"Other community, social and personal service activities",European Union (aggregate changing according to the context),163.0
Annual,Rate,Elementary occupations,Activities of households,European Union (aggregate changing according to the context),65.0
Annual,Rate,Elementary occupations,Total - all NACE activities,European Union (aggregate changing according to the context),134.0
Annual,Rate,Total,"Agriculture, hunting and forestry",European Union (aggregate changing according to the context),112.0
Annual,Rate,Total,Fishing,European Union (aggregate changing according to the context),118.0
Annual,Rate,Total,Mining and quarrying,European Union (aggregate changing according to the context),145.0
Annual,Rate,Total,Manufacturing,European Union (aggregate changing according to the context),118.0
Annual,Rate,Total,"Electricity, gas and water supply",European Union (aggregate changing according to the context),90.0
Annual,Rate,Total,Construction,European Union (aggregate changing according to the context),154.0
Annual,Rate,Total,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union (aggregate changing according to the context),85.0
Annual,Rate,Total,Hotels and restaurants,European Union (aggregate changing according to the context),95.0
Annual,Rate,Total,"Transport, storage and communication",European Union (aggregate changing according to the context),115.0
Annual,Rate,Total,Financial intermediation,European Union (aggregate changing according to the context),35.0
Annual,Rate,Total,"Real estate, renting and business activities",European Union (aggregate changing according to the context),56.0
Annual,Rate,Total,Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),79.0
Annual,Rate,Total,Education,European Union (aggregate changing according to the context),78.0
Annual,Rate,Total,Health and social work,European Union (aggregate changing according to the context),118.0
Annual,Rate,Total,"Other community, social and personal service activities",European Union (aggregate changing according to the context),87.0
Annual,Rate,Total,Activities of households,European Union (aggregate changing according to the context),74.0
Annual,Rate,Total,Extra-territorial organizations and bodies,European Union (aggregate changing according to the context),33.0
Annual,Rate,Total,Total - all NACE activities,European Union (aggregate changing according to the context),100.0
