Time frequency,Unit of measure,Geopolitical entity (reporting),Purchases\Time,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,"Quarterly index, 2015=100",France,Purchases of existing dwellings,:,:,49.06,51.03,56.67,62.83,73.98,86.62,95.53,100.46,84.11,68.93,96.21,109.74,91.33,90.61,86.15,100.0,106.59,124.63,128.52,147.13,145.73,180.03,172.83,137.09
Annual,"Quarterly index, 2015=100",France,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,108.9,113.13,75.03,96.72,105.63,98.01,87.91,87.2,84.87,100.0,126.53,137.64,139.24,148.33,122.18,145.32,133.93,87.13
Annual,"Quarterly index, 2015=100",France,Total,36.80 e,44.58 e,50.12 e,52.08 e,57.33 e,63.59 e,74.50 e,85.69 e,97.51,102.33,82.77,73.04,97.6,108.01,90.83,90.11,85.96,100.0,109.53,126.55,130.1,147.31,142.25,174.91,167.09,129.71
Annual,"Quarterly index, 2015=100",Hungary,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,138.9,97.03,53.76,59.37,55.84,54.52,54.91,74.17,100.0,117.36,134.9,160.97,175.95,156.06,225.67,242.47,182.28
Annual,"Quarterly index, 2015=100",Hungary,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,167.83,380.31,222.6,124.85,96.62,65.89,58.87,88.59,100.0,152.17,220.08,404.41,570.21,540.16,897.98,943.49,625.92
Annual,"Quarterly index, 2015=100",Hungary,Total,:,:,:,:,:,:,:,:,:,140.04,108.24,60.44,61.97,57.45,54.97,55.07,74.74,100.0,118.73,138.27,170.61,191.55,171.26,252.28,270.22,199.84
Annual,"Quarterly index, 2015=100",Ireland,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,44.67,37.7,48.14,58.59,86.37,100.0,106.37,120.72,126.18,131.31,111.15,157.87,182.19,188.93
Annual,"Quarterly index, 2015=100",Ireland,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,94.37,40.57,41.99,45.91,77.08,100.0,141.19,205.99,262.18,268.03,223.5,244.73,310.43,347.49
Annual,"Quarterly index, 2015=100",Ireland,Total,:,:,:,:,:,:,:,:,:,:,:,74.07,51.49,38.1,47.3,56.85,85.09,100.0,111.14,132.42,144.84,150.07,126.56,169.79,199.79,210.68
Annual,"Quarterly index, 2015=100",Italy,Total,:,:,:,:,:,:,:,:,:,:,:,142.39,150.54,151.25,110.64,96.49,97.33,100.0,120.4,124.64,130.84,136.18,128.34,176.66,191.39,168.85
Annual,"Quarterly index, 2015=100",Lithuania,Total,:,:,:,:,:,:,:,:,98.94,141.25,117.06,43.44,49.73,59.65,62.55,80.39,99.79,100.0,122.16,132.98,146.68,168.36,182.33,250.32,249.24,229.17
Annual,"Quarterly index, 2015=100",Luxembourg,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.57,100.0,119.47,139.68,158.06,150.24,166.57,197.09,184.15,105.12
Annual,"Quarterly index, 2015=100",Luxembourg,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.27,100.0,100.36,123.7,132.42,146.56,152.86,142.1,111.71,47.42
Annual,"Quarterly index, 2015=100",Luxembourg,Total,:,:,:,:,:,:,:,:,:,72.94 d,60.03 d,62.11 d,70.66 d,79.30 d,80.06 d,81.66 d,100.46,100.0,112.72,134.04,149.01,148.94,161.73,177.67,158.57,84.74
Annual,"Quarterly index, 2015=100",Latvia,Total,:,:,:,:,:,:,:,:,186.21 d,177.87 d,109.77 d,62.15 d,54.77 d,67.59,91.94,118.75,128.13,100.0,124.81,128.97,132.99,147.59,150.16,197.7,204.34,190.36
Annual,"Quarterly index, 2015=100",Malta,Total,:,:,:,:,:,:,:,76.68,81.33,84.13,71.33,65.22,63.75,71.05,72.9,68.84,92.03,100.0,145.79,156.6,189.81,194.43,163.17,236.24,245.94,230.14 p
Annual,"Quarterly index, 2015=100",Netherlands,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0,127.61,155.16,152.93,164.03,191.94,213.03,201.65,184.95
Annual,"Quarterly index, 2015=100",Netherlands,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0,114.29,142.39,145.67,135.88,192.04,224.74,178.82,119.98 p
Annual,"Quarterly index, 2015=100",Netherlands,Total,:,:,:,:,:,:,: @C,125.77,132.76,134.15,118.36,76.75,80.64,70.43,61.83,54.77,87.84,100.0,125.67,153.3,151.87,159.94,191.95,214.73,198.33,175.51 p
Annual,"Quarterly index, 2015=100",Norway,Total,:,:,:,:,:,:,:,:,:,47.43,45.93,47.67,56.79,65.34,73.55,90.73,93.71,100.00 e,99.56 e,110.41,91.37,98.15,104.63,145.25 p,144.32 p,141.17 p
Annual,"Quarterly index, 2015=100",Poland,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0,110.13,128.86,151.28,173.31,168.2,235.18,222.72,254.94 p
Annual,"Quarterly index, 2015=100",Poland,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0,108.72,117.59,144.37,148.57,170.5,227.58,258.6,279.46 p
Annual,"Quarterly index, 2015=100",Poland,Total,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0,109.46,123.47,147.97,161.48,169.3,231.55,239.87,266.66 p
Annual,"Quarterly index, 2015=100",Portugal,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,71.11 e,81.41 e,59.23 e,48.19 e,52.32 e,66.73 e,100.00 e,129.98 e,177.95 e,222.92 e,243.96,227.55,307.87,344.05,280.28
Annual,"Quarterly index, 2015=100",Portugal,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,190.50 e,199.64 e,124.40 e,83.96 e,91.30 e,93.20 e,100.00 e,97.36 e,111.78 e,135.70 e,136.06,150.55,184.22,217.27,218.64
Annual,"Quarterly index, 2015=100",Portugal,Total,:,:,:,:,:,:,:,:,:,:,:,112.20 e,122.10 e,81.66 e,60.50 e,65.73 e,75.84 e,100.00 e,118.75 e,155.17 e,192.90 e,206.82,201.05,265.32,300.42,259.07
Annual,"Quarterly index, 2015=100",Sweden,Total,:,:,:,:,:,32.71,38.77,45.05,52.0,65.15,59.18,60.7,64.66,63.15,65.66,73.14,83.09,100.0,105.59,119.7,113.1,118.28,129.84,153.75,139.7,114.34 p
Annual,"Quarterly index, 2015=100",Slovenia,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,86.14,100.0,125.05,140.04,140.6,152.5,138.67,184.84,192.04,158.21
Annual,"Quarterly index, 2015=100",Slovenia,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,63.22,100.0,91.71,145.33,158.97,87.96,44.87,113.14,92.12,186.25
Annual,"Quarterly index, 2015=100",Slovenia,Total,:,:,:,:,:,:,:,:,115.07,145.02,103.23,78.39,110.48,90.74,78.34,60.0,82.66,100.0,119.99,140.85,143.39,142.69,124.42,173.95,176.86,162.47
Annual,"Quarterly index, 2015=100",United Kingdom,Total,:,:,:,:,:,:,:,0.08,103.21,109.9,60.69,56.36,63.02,62.85,65.39,77.36,92.34,100.0,107.44,110.81,110.95,110.0,:,:,:,:
Annual,National currency,Austria,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8731532864.0,8347618823.0,9294997953.0,9984663943.0,11079718853.0,12180418207.0,14497829592.0,13547080266 p,10595316893 ep
Annual,National currency,Austria,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3231079419.0,3458128479.0,3746801156.0,4071636783.0,5377611720.0,6475095478.0,7598871198.0,6105194808 p,2955587858 ep
Annual,National currency,Austria,Total,:,:,:,:,:,:,:,:,:,:,:,:,8345319841.0,8943396586.0,9440644606.0,9349945409.0,12080605937.0,11962612282.0,11805747302.0,13041799109.0,14056300727.0,16457330573.0,18655513685.0,22096700790.0,19652275075 p,13550904751 ep
Annual,National currency,Belgium,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,21572699417.0,24536459273.0,24322723850.0,24227928850.0,27407165280.0,21832536502.0,26979690464.0,29654517778.0,32170264075.0,38905306431.0,33723782980.0,43154515257.0,46500200338.0,39696526110.0
Annual,National currency,Belgium,Total,:,:,:,:,:,:,:,24346251049 e,26759323267 e,29155112679 e,29162558375 e,27032357576 e,21572699417 d,24536459273 d,24322723850 d,24227928850 d,27407165280 d,21832536502 d,26979690464 d,29654517778 d,32170264075 d,38905306431 d,33723782980 d,43154515257 d,46500200338 d,39696526110 d
Annual,National currency,Bulgaria,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2599420408.0,2854050264.0,3176671529.0,2808467680.0,4554388754.0,5169799050.0,5575755049.0
Annual,National currency,Bulgaria,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1486149302.0,1595049847.0,1902472771.0,1991381259.0,2719846130.0,3319148810.0,3219860749.0
Annual,National currency,Bulgaria,Total,:,:,:,:,:,:,:,:,3953100000.0,3342465000.0,4517125000.0,3864753000.0,2315748000.0,3013548000.0,2463610000.0,2443948000.0,3254565000.0,3304485346 e,3719348010 be,4085569710.0,4449100112.0,5079144300.0,4799848938.0,7274234884.0,8488947860.0,8795615799.0
Annual,National currency,Denmark,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,84230749904.0,98886371158.0,120410880632.0,130229478246.0,152851627295.0,154059934633.0,163084380696.0,206170377983.0,238721590446 d,148114101225.0,181711872177.0
Annual,National currency,Denmark,Total,:,:,:,:,89375209000.0,98706639000.0,124245000000.0,153190000000.0,150297000000.0,149019000000.0,116713000000.0,97424129000.0,116577000000.0,94755229250.0,98402019250.0,84230749904 d,98886371158 d,120410880632 d,130229478246 d,152851627295 d,154059934633 d,163084380696 d,206170377983 d,238721590446 d,148114101225.0,181711872177.0
Annual,National currency,Finland,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11111711261.0,11367855685.0,11832855742.0,11389348155.0,12202165633.0,13636670657 b,16340054064.0,13227626118.0,9118336411.0
Annual,National currency,Finland,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1659255831.0,1920960748.0,2243779091.0,2435446535.0,3076399621.0,3467466944 b,3319970036.0,3012104616.0,2365894245.0
Annual,National currency,Finland,Total,:,:,:,:,:,:,:,:,:,:,:,14838206087.0,14767969663.0,15506945837.0,17324642929.0,15142847976.0,14244750663.0,12770967092.0,13288816433.0,14076634833.0,13824794690.0,15278565254.0,17104137601 b,19660024100.0,16239730735.0,11484230656.0
Annual,National currency,France,Purchases of existing dwellings,:,:,76712783322.0,79790922069.0,88609304844.0,98238929647.0,115672132697.0,135438613171.0,149379164516.0,157080852895.0,131523806440.0,107788744241.0,150436956281.0,171592827357.0,142807981240.0,141686993674.0,134710014796.0,156362978581.0,166661029598.0,194881395416.0,200958512083.0,230057012975.0,227870402628.0,281502518612.0,270249404058.0,214358511901.0
Annual,National currency,France,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,29495867469.0,30640718631.0,20322342045.0,26195630395.0,28610352988.0,26546980333.0,23810434048.0,23617301840.0,22987343589.0,27084964678.0,34271336171.0,37278923783.0,37713356880.0,40175937634.0,33092559522.0,39358644968.0,36274861791.0,23599590330.0
Annual,National currency,France,Total,67500679923 e,81783073394 e,91941801836 e,95534522870 e,105162307316 e,116648395746 e,136664984365 e,157194818846 e,178875031984.0,187721571526.0,151846148485.0,133984374635.0,179047309269.0,198139807690.0,166618415288.0,165304295515.0,157697358385.0,183447943260.0,200932365768.0,232160319198.0,238671868964.0,270232950610.0,260962962150.0,320861163579.0,306524265847.0,237958102230.0
Annual,National currency,Hungary,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,2095095484098.0,1463517969093.0,810857832956.0,895560302055.0,842249531110.0,822393758389.0,828270386433.0,1118774604342.0,1508352984715.0,1770146470500.0,2034796337044.0,2428036970325.0,2653897399056.0,2353877168547.0,3403839142428.0,3657242850178.0,2749353785283.0
Annual,National currency,Hungary,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,104339102325.0,236441900107.0,138389730331.0,77619303920.0,60069225228.0,40966957181.0,36600458851.0,55078037266.0,62170451547.0,94602492884.0,136827357532.0,251424249485.0,354500053395.0,335817361869.0,558280592904.0,586573668215.0,389136729856.0
Annual,National currency,Hungary,Total,:,:,:,:,:,:,:,:,:,2199434586423.0,1699959869200.0,949247563287.0,973179605975.0,902318756338.0,863360715570.0,864870845284.0,1173852641608.0,1570523436262.0,1864748963384.0,2171623694576.0,2679461219810.0,3008397452451.0,2689694530416.0,3962119735332.0,4243816518393.0,3138490515139.0
Annual,National currency,Ireland,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,3443053518.0,2905855583.0,3710303570.0,4515797426.0,6656523065.0,7706997933.0,8197573546.0,9304015786.0,9724751732.0,10119766092.0,8566201632.0,12166806961.0,14041480982.0,14560537766.0
Annual,National currency,Ireland,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,1156538570.0,497230038.0,514623430.0,562669420.0,944654122.0,1225593861.0,1730411898.0,2524616146.0,3213314610.0,3285011425.0,2739223519.0,2999444559.0,3804596033.0,4258756168.0
Annual,National currency,Ireland,Total,:,:,:,:,:,:,:,:,:,:,:,6616121461.0,4599592088.0,3403085621.0,4224927000.0,5078466846.0,7601177187.0,8932591794.0,9927985444.0,11828631933.0,12938066340.0,13404777518.0,11305425149.0,15166251520.0,17846077015.0,18819293934.0
