Time frequency,Type of perpetrator,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Other known (non-family or relative) - male,Percentage,Kosovo*,1.7 u
Annual,Non-partner - male or female,Percentage,Austria,27.0
Annual,Non-partner - male or female,Percentage,Belgium,18.9
Annual,Non-partner - male or female,Percentage,Bulgaria,5.8
Annual,Non-partner - male or female,Percentage,Cyprus,13.9
Annual,Non-partner - male or female,Percentage,Czechia,8.9
Annual,Non-partner - male or female,Percentage,Germany,14.1
Annual,Non-partner - male or female,Percentage,Denmark,37.3
Annual,Non-partner - male or female,Percentage,Estonia,19.9
Annual,Non-partner - male or female,Percentage,Greece,24.7
Annual,Non-partner - male or female,Percentage,Spain,19.6
Annual,Non-partner - male or female,Percentage,European Union (aggregate changing according to the context),19.2 e
Annual,Non-partner - male or female,Percentage,Finland,44.9
Annual,Non-partner - male or female,Percentage,France,26.1
Annual,Non-partner - male or female,Percentage,Croatia,17.7
Annual,Non-partner - male or female,Percentage,Hungary,18.7
Annual,Non-partner - male or female,Percentage,Ireland,27.2
Annual,Non-partner - male or female,Percentage,Lithuania,13.1
Annual,Non-partner - male or female,Percentage,Luxembourg,33.3
Annual,Non-partner - male or female,Percentage,Latvia,13.8
Annual,Non-partner - male or female,Percentage,Montenegro,6.0
Annual,Non-partner - male or female,Percentage,Malta,15.0
Annual,Non-partner - male or female,Percentage,Netherlands,33.3
Annual,Non-partner - male or female,Percentage,Poland,8.0
Annual,Non-partner - male or female,Percentage,Portugal,12.5
Annual,Non-partner - male or female,Percentage,Romania,13.5
Annual,Non-partner - male or female,Percentage,Serbia,10.1
Annual,Non-partner - male or female,Percentage,Sweden,41.5
Annual,Non-partner - male or female,Percentage,Slovenia,16.0
Annual,Non-partner - male or female,Percentage,Slovakia,16.9
Annual,Non-partner - male or female,Percentage,Kosovo*,6.1
Annual,Non-partner - female,Percentage,Austria,5.4
Annual,Non-partner - female,Percentage,Belgium,4.6
Annual,Non-partner - female,Percentage,Bulgaria,2.0
Annual,Non-partner - female,Percentage,Cyprus,2.9 u
Annual,Non-partner - female,Percentage,Czechia,1.2 u
Annual,Non-partner - female,Percentage,Germany,1.8 u
Annual,Non-partner - female,Percentage,Denmark,7.1
Annual,Non-partner - female,Percentage,Estonia,4.0
Annual,Non-partner - female,Percentage,Greece,3.3
Annual,Non-partner - female,Percentage,Spain,3.9
Annual,Non-partner - female,Percentage,European Union (aggregate changing according to the context),3.7 e
Annual,Non-partner - female,Percentage,Finland,6.4
Annual,Non-partner - female,Percentage,France,6.1
Annual,Non-partner - female,Percentage,Croatia,3.0
Annual,Non-partner - female,Percentage,Hungary,3.9
Annual,Non-partner - female,Percentage,Ireland,5.3
Annual,Non-partner - female,Percentage,Lithuania,2.0
Annual,Non-partner - female,Percentage,Luxembourg,6.6
Annual,Non-partner - female,Percentage,Latvia,2.8
Annual,Non-partner - female,Percentage,Montenegro,1.6 u
Annual,Non-partner - female,Percentage,Malta,4.1
Annual,Non-partner - female,Percentage,Netherlands,7.1
Annual,Non-partner - female,Percentage,Poland,1.2
Annual,Non-partner - female,Percentage,Portugal,3.9
Annual,Non-partner - female,Percentage,Romania,4.0
Annual,Non-partner - female,Percentage,Serbia,4.8
Annual,Non-partner - female,Percentage,Sweden,5.8
Annual,Non-partner - female,Percentage,Slovenia,2.6 u
Annual,Non-partner - female,Percentage,Slovakia,2.5
Annual,Non-partner - female,Percentage,Kosovo*,2.9 u
Annual,Non-partner - male,Percentage,Austria,25.6
Annual,Non-partner - male,Percentage,Belgium,16.9
Annual,Non-partner - male,Percentage,Bulgaria,5.3
Annual,Non-partner - male,Percentage,Cyprus,12.9
Annual,Non-partner - male,Percentage,Czechia,8.0
Annual,Non-partner - male,Percentage,Germany,13.1
Annual,Non-partner - male,Percentage,Denmark,35.4
Annual,Non-partner - male,Percentage,Estonia,18.1
Annual,Non-partner - male,Percentage,Greece,22.7
Annual,Non-partner - male,Percentage,Spain,17.9
Annual,Non-partner - male,Percentage,European Union (aggregate changing according to the context),17.6 e
