Annual,Total,United Kingdom,:,1015.0,1071.0,1064.0,1067.0,1101.0,1143.0,1219.0,1228.0,1260.0,1293.0,1276.0,1244.0,1252.0,1255.0,1282.0,1328.0,1291.0,1300.0,1248 d,:,:,:,:
Annual,From 10 to 14 years,Austria,14.0,16.0,13.0,18.0,25.0,42.0,49.0,59.0,68.0,72.0,62.0,80.0,73.0,69.0,60.0,57.0,56.0,60.0,100.0,166.0,109.0,137.0,133.0,104.0
Annual,From 10 to 14 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0
Annual,From 10 to 14 years,Belgium,46.0,43.0,41.0,37.0,23.0,20.0,27.0,34.0,39.0,45.0,45.0,46.0,47.0,35.0,26.0,26.0,33.0,39.0,46.0,53.0,42.0,53.0,42.0,32.0
Annual,From 10 to 14 years,Bulgaria,24.0,16.0,12.0,10.0,12.0,8.0,7.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,12.0,13.0,13.0,7.0,11.0,6.0,8.0
Annual,From 10 to 14 years,Switzerland,39.0,41.0,41.0,33.0,38.0,42.0,58.0,75.0,85.0,84.0,86.0,80.0,57.0,63.0,56.0,47.0,37.0,41.0,35.0,53.0,48.0,52.0,59.0,67.0
Annual,From 10 to 14 years,Cyprus,6.0,7.0,9.0,8.0,5.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,8.0,1.0,5.0,8.0,5.0,6.0,6.0,4.0,6.0,3.0
Annual,From 10 to 14 years,Czechia,10.0,10.0,18.0,22.0,27.0,21.0,20.0,9.0,11.0,16.0,10.0,8.0,11.0,11.0,14.0,17.0,18.0,22.0,34.0,23.0,32.0,35.0,28.0,18.0
Annual,From 10 to 14 years,Germany,172.0,207.0,216.0,227.0,223.0,203.0,143.0,156.0,197.0,212.0,231.0,251.0,241.0,215.0,166.0,136.0,167.0,176.0,221.0,265.0,202.0,254.0,257.0,257.0
Annual,From 10 to 14 years,Denmark,43.0,35.0,34.0,33.0,20.0,19.0,23.0,32.0,29.0,37.0,38.0,38.0,37.0,38.0,29.0,19.0,16.0,20.0,14.0,23.0,20.0,23.0,19.0,20.0
Annual,From 10 to 14 years,Estonia,13.0,11.0,11.0,8.0,11.0,9.0,4.0,4.0,7.0,5.0,5.0,4.0,3.0,1.0,3.0,2.0,6.0,7.0,8.0,5.0,7.0,2.0,6.0,6.0
Annual,From 10 to 14 years,Greece,14.0,26.0,41.0,44.0,45.0,35.0,20.0,13.0,11.0,9.0,8.0,8.0,7.0,5.0,2.0,8.0,8.0,16.0,36.0,53.0,35.0,34.0,30.0,26.0
Annual,From 10 to 14 years,Spain,120.0,149.0,135.0,124.0,112.0,85.0,52.0,38.0,39.0,66.0,87.0,100.0,87.0,93.0,95.0,106.0,114.0,115.0,117.0,114.0,60.0,83.0,100.0,114.0
Annual,From 10 to 14 years,Finland,24.0,21.0,22.0,20.0,14.0,8.0,10.0,14.0,18.0,20.0,23.0,35.0,31.0,34.0,30.0,16.0,13.0,19.0,20.0,29.0,24.0,29.0,24.0,21.0
Annual,From 10 to 14 years,France,142.0,184.0,183.0,162.0,142.0,128.0,96.0,92.0,112.0,128.0,154.0,168.0,174.0,155.0,142.0,124.0,116.0,118.0,115.0,136.0,129.0,132.0,118.0,108.0
Annual,From 10 to 14 years,Croatia,3.0,6.0,6.0,6.0,7.0,7.0,5.0,3.0,3.0,5.0,6.0,6.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,5.0,7.0,6.0,8.0,5.0
Annual,From 10 to 14 years,Hungary,13.0,20.0,19.0,17.0,9.0,3.0,7.0,5.0,7.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,8.0,14.0,21.0,20.0,19.0,9.0,12.0
Annual,From 10 to 14 years,Ireland,19.0,20.0,25.0,23.0,26.0,18.0,13.0,10.0,17.0,26.0,33.0,33.0,34.0,35.0,49.0,78.0,98.0,134.0,160.0,176.0,179.0,173.0,155.0,140.0
Annual,From 10 to 14 years,Iceland,10.0,12.0,13.0,13.0,24.0,15.0,12.0,9.0,4.0,3.0,6.0,7.0,10.0,8.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Annual,From 10 to 14 years,Italy,78.0,87.0,104.0,102.0,117.0,120.0,103.0,102.0,80.0,93.0,89.0,85.0,85.0,66.0,65.0,69.0,61.0,50.0,48.0,72.0,54.0,62.0,68.0,76.0
Annual,From 10 to 14 years,Lithuania,7.0,10.0,6.0,3.0,4.0,5.0,9.0,9.0,3.0,4.0,2.0,2.0,4.0,6.0,6.0,3.0,5.0,2.0,4.0,4.0,7.0,3.0,2.0,6.0
Annual,From 10 to 14 years,Luxembourg,9.0,6.0,11.0,17.0,12.0,11.0,11.0,14.0,5.0,11.0,18.0,17.0,19.0,23.0,20.0,21.0,21.0,32.0,33.0,44.0,46.0,36.0,27.0,30.0
Annual,From 10 to 14 years,Latvia,5.0,5.0,8.0,14.0,12.0,5.0,3.0,4.0,6.0,13.0,11.0,12.0,13.0,7.0,4.0,8.0,7.0,6.0,3.0,3.0,0.0,3.0,10.0,4.0
Annual,From 10 to 14 years,Montenegro,2.0,4.0,5.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
Annual,From 10 to 14 years,North Macedonia,:,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,0.0,:,:,:,:,:
Annual,From 10 to 14 years,Malta,4.0,4.0,6.0,9.0,4.0,2.0,4.0,1.0,3.0,3.0,6.0,7.0,6.0,8.0,12.0,14.0,14.0,25.0,41.0,49.0,59.0,79.0,71.0,75.0
Annual,From 10 to 14 years,Netherlands,72.0,73.0,69.0,82.0,63.0,65.0,60.0,62.0,53.0,56.0,42.0,43.0,44.0,51.0,54.0,38.0,38.0,43.0,50.0,52.0,57.0,56.0,61.0,58.0
Annual,From 10 to 14 years,Norway,24.0,36.0,40.0,40.0,41.0,36.0,32.0,37.0,34.0,21.0,15.0,14.0,10.0,13.0,11.0,12.0,9.0,5.0,6.0,5.0,8.0,15.0,27.0,27.0
