Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Greece,4300.67,4453.73,4322.57,4469.51,4446.63,4650.34,4751.96,4629.79,4865.56,4983.64 p,5044.04 p,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Spain,17906.9,18092.6,18614.8,19012.7,19512.3,19938.4,20467.1,19567.0,20072.5,20773.60 p,21399.20 p,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,European Union - 27 countries (from 2020),194852.26,196610.08,198467.44,201062.27,204310.63,207295.41,209899.34,207101.67,210397.96,215052.68,217533.53,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Finland,2523.8,2510.0,2518.0,2532.0,2547.3,2613.6,2652.1,2590.0,2649.7,2742.8,2782.1,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,France,27305.1,27452.0,27521.2,27719.7,28046.8,28327.8,28662.0,28645.3,29395.2,30102.90 p,30423.60 p,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Croatia,1502.61,1542.33,1561.74,1565.52,1603.87,1645.35,1627.22 b,1611.03,1630.56,1665.86,1703.04,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Hungary,4017.94,4196.25,4299.17,4441.58,4519.53,4605.93,4651.67,4615.8,4681.18,4755.84,4765.29 p,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Ireland,1933.23,1984.01,2053.55,2131.38,2197.97,2264.14,2335.31,2277.13,2426.53,2594.53,2684.21,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Iceland,171.30 p,175.50 p,180.50 p,188.70 p,196.70 p,202.60 p,202.40 p,192.80 p,195.50 p,209.40 p,218.30 p,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Italy,24144.0,24145.4,24303.2,24650.9,24940.8,25194.0,25349.0,24830.1,25069.4,25554.3,26030.0,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Liechtenstein,36.22,36.68,36.76,37.45,38.66,39.64,40.61,40.33,41.35,42.51,:,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Lithuania,1298.74,1325.23,1343.87,1374.29,1364.44,1383.18,1390.44,1368.88,1386.62,1454.98,1475.8,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Luxembourg,385.54,395.12,405.24,417.52,432.19,447.72,463.33,471.59,485.13,501.44,512.58,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Latvia,888.63,876.63,889.0,886.3,885.99,903.88,922.19,915.93,904.31,906.07,907.42,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Montenegro,: @C,: @C,: @C,: @C,:,:,:,:,:,:,:,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,North Macedonia,744.84,762.51,776.75,788.92,812.32,813.29,831.07,773.48,792.63,743.45,742.79 p,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Malta,190.73,198.57,206.68,218.62,229.09,244.83,259.79,267.54,274.86,288.43,307.01,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Netherlands,8719.0,8706.0,8776.0,8909.0,9116.0,9361.0,9573.0,9524.0,9690.0,10069.00 p,10233.00 p,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Norway,2672.0,2700.0,2710.0,2717.0,2748.0,2792.0,2836.0,2792.0,2824.0,2929.0,2968.0,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Poland,15463.8,15731.0,15970.0,16099.7,16315.0,16403.7,16798.90 b,16831.9,17317.5,17512.0,17528.9,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Portugal,4452.55,4521.48,4590.79,4671.44,4826.19,4942.32,4983.27,4884.37,4952.93,5137.9,5191.78 e,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Romania,8569.4,8634.6,8525.7,8429.6,8631.0,8638.8,8649.5,8472.1,8535.8,8599.5,8471.10 p,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Serbia,3257.9,3232.82,3255.29,3277.3,3318.22,3364.01,3374.02,3343.97,3379.13,3379.5,3389.83 p,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Sweden,4736.0,4805.3,4877.7,4975.1,5099.9,5186.1,5219.4,5152.7,5217.9,5400.1,5463.2,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Slovenia,928.02,931.89,944.09,961.59,989.53,1020.88,1045.71,1038.44,1051.92,1082.44,1100.19,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Slovakia,2192.25,2223.15,2267.1,2321.05,2372.26,2419.9,2445.19,2399.07,2385.12,2427.3,2434.06,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,United Kingdom,30041.77,30752.52,31285.04,31745.33,32060.17,32442.97,32794.59,:,:,:,:,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Kosovo*,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:,:,:
