Time frequency,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Single person,Sweden,19.1,22.9,21.7,23.0,22.1,19.2,20.4,18.3,19.4,20.5,20.2,19.8
Annual,Percentage,Single person,Slovenia,12.1,10.4,10.3,10.2,7.4,7.7,8.2,8.3,8.7,8.3,8.9,7.7
Annual,Percentage,Single person,Slovakia,18.3,18.6,19.0,20.5,20.3,18.5,18.6,17.3,16.7,16.1,16.2,15.5
Annual,Percentage,Single person,Türkiye,6.3,5.5,5.4,5.2,4.3,4.6,3.8,3.6,3.4,2.9,3.0,2.0
Annual,Percentage,Single person,United Kingdom,6.7 b,5.6,7.0,5.7,7.7,0.7 b,0.5,:,:,:,:,:
Annual,Percentage,Two adults,Albania,:,:,:,:,:,11.1,10.3,9.6,11.2,10.1,:,:
Annual,Percentage,Two adults,Austria,2.9,3.6,3.5,3.1,2.7,3.4,3.7,5.6,3.7,3.4,4.1,4.7
Annual,Percentage,Two adults,Belgium,0.2,0.3,0.2,0.1,0.8 b,1.0,1.2,1.3 b,1.2,1.2,0.8,0.5
Annual,Percentage,Two adults,Bulgaria,15.8,15.8,15.2,14.6,14.6 b,14.5,15.3,14.9,13.2,12.8,10.8,10.3
Annual,Percentage,Two adults,Switzerland,0.9,0.9,1.0 b,1.1,1.5,1.2,1.3,1.7,1.5,1.5,1.3,1.8
Annual,Percentage,Two adults,Cyprus,0.8,1.3,0.7,0.3,1.0,0.5,0.1,0.6,0.8,0.6,0.4,0.1
Annual,Percentage,Two adults,Czechia,5.9,6.2,5.8,5.4,5.1,4.3,4.0,4.7,4.8,4.0,3.3,3.8
Annual,Percentage,Two adults,Germany,1.3,2.0,1.4,1.7,2.0,1.6,1.3,1.4,2.4 b,2.8,2.9,3.2
Annual,Percentage,Two adults,Denmark,2.2,1.8,1.9,2.7,3.2,5.1,5.1,6.5,4.7,4.1,3.8,4.5
Annual,Percentage,Two adults,Euro area - 19 countries  (2015-2022),2.4,3.0,2.8,3.1,2.9,2.9,2.9,3.0,3.2,3.1,:,:
Annual,Percentage,Two adults,Euro area – 20 countries (from 2023),:,:,2.8,3.2,3.0,3.0,3.0,3.1,3.3,3.2,3.2,3.2
Annual,Percentage,Two adults,Estonia,3.4,8.1,3.2 b,2.7,3.0,3.5,3.3,5.2,3.6,4.6,4.8,5.0
Annual,Percentage,Two adults,Greece,7.5,7.9,6.8,6.5,6.3,5.9,5.6,5.5,5.0,5.4,5.5,5.8
Annual,Percentage,Two adults,Spain,0.5,0.8,0.9,0.6,0.7,1.0,1.0,0.7,0.7,1.1,1.4,1.8
Annual,Percentage,Two adults,European Union - 27 countries (2007-2013),3.9,4.4,4.1,4.3,4.2,4.0,3.7,3.8 e,:,:,:,:
Annual,Percentage,Two adults,European Union - 27 countries (from 2020),4.5 e,4.8 e,4.6 e,4.8 e,4.6 e,4.6 e,4.4 e,4.4 e,4.5,4.3,4.3,4.1
Annual,Percentage,Two adults,European Union - 28 countries (2013-2020),4.0,4.5,4.2,4.4,4.3,4.0,3.8,3.8 e,:,:,:,:
Annual,Percentage,Two adults,Finland,1.8,2.4,2.6,2.0,1.7,2.5,1.9,1.3,1.8,1.2,1.4,1.6
Annual,Percentage,Two adults,France,1.9,1.7,1.2,2.4,1.7,1.6,1.8,1.5,1.7 b,1.5,1.7 b,1.5
Annual,Percentage,Two adults,Croatia,16.9,15.6,12.8,14.1,15.3,15.4,15.5,15.3,15.3,12.9,12.5,11.3
Annual,Percentage,Two adults,Hungary,17.3,15.5,14.7,16.2,16.1,16.3,5.0 b,4.3,4.1,4.3,3.7,4.0
Annual,Percentage,Two adults,Ireland,0.2,0.0,0.1,0.2,0.5,0.5,0.5,0.1 b,1.0 b,0.5,2.1,1.9
Annual,Percentage,Two adults,Iceland,1.9,2.7,1.4,2.6,0.7,2.5,3.4,4.8,:,:,:,:
Annual,Percentage,Two adults,Italy,6.3,8.1,8.7,8.7,8.3,8.4,8.6,9.4,8.3,8.0,6.8,6.3
Annual,Percentage,Two adults,Lithuania,3.2,7.7 b,9.9,7.6,6.2,6.0,6.3,7.6,8.1,8.8,9.5,9.6
Annual,Percentage,Two adults,Luxembourg,1.4,1.4,0.7,1.4,1.8 b,2.5,3.3,2.5,1.9 b,1.8 b,2.2 b,2.2
Annual,Percentage,Two adults,Latvia,14.9,17.3,17.9,18.0,19.6,19.1,21.0,22.1,20.7,19.7,20.5,21.4
Annual,Percentage,Two adults,Montenegro,:,15.6,21.1,22.0,20.0,20.9,23.4,23.1,23.4,22.1,23.0,:
Annual,Percentage,Two adults,North Macedonia,12.6,9.0,18.5 b,13.4,14.4,12.4,12.3,10.1,13.0,:,:,:
Annual,Percentage,Two adults,Malta,0.3,0.3,0.3,0.2,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0
Annual,Percentage,Two adults,Netherlands,1.2,1.4,1.1,1.5,0.7 b,0.7,1.0,0.7,1.7,0.6,0.7,0.9
Annual,Percentage,Two adults,Norway,1.0,1.5,1.1,1.1,1.0,1.0,1.2,1.4,1.4,1.5 b,1.4,1.4
Annual,Percentage,Two adults,Poland,17.4,16.6,16.0,15.5,14.1,15.5,14.6,14.0,14.3 b,14.1,15.6,12.8 b
Annual,Percentage,Two adults,Portugal,1.1,1.0,1.4,1.2,1.2,1.2,1.1,0.9,0.8,1.1 b,0.7,1.7
Annual,Percentage,Two adults,Romania,13.6,13.2,15.0,13.4,14.1,13.4,13.2,12.0,12.4,10.1,10.1,9.0
Annual,Percentage,Two adults,Serbia,:,26.0,24.2,26.2,26.1,27.8,24.4,25.2,24.2,22.0,23.7,:
Annual,Percentage,Two adults,Sweden,4.7,3.7,3.6,3.6,5.1,4.2,4.2,3.8,3.6,3.8,4.1,3.9
Annual,Percentage,Two adults,Slovenia,5.6,5.3,5.1,4.5,4.2,4.2,3.9,2.8,3.3,2.7,2.7,2.8
Annual,Percentage,Two adults,Slovakia,9.4,10.4,10.2,10.3,10.3,10.1,11.3,11.9,11.2,11.3,9.4,8.5
Annual,Percentage,Two adults,Türkiye,4.2,4.0,3.4,3.4,3.3,3.0,2.6,2.9,2.7,2.3,2.1,2.3
Annual,Percentage,Two adults,United Kingdom,1.0 b,2.3,1.6,2.2,2.3,0.3 b,0.3,:,:,:,:,:
Annual,Percentage,Three or more adults,Albania,:,:,:,:,:,53.2,51.4,50.7,46.8,45.5,:,:
Annual,Percentage,Three or more adults,Austria,11.8,9.3,14.0,12.3,10.8,9.1,6.3,10.8,8.8,13.6,12.3,6.1
Annual,Percentage,Three or more adults,Belgium,0.7,0.3,0.5,1.9,3.1 b,4.2,2.8,3.0 b,3.3,2.7,4.1,3.9
Annual,Percentage,Three or more adults,Bulgaria,43.1,42.7,41.7,40.9,42.3 b,41.4,40.2,42.2,38.6,37.1,36.5,36.4
Annual,Percentage,Three or more adults,Switzerland,6.7,6.5,3.7 b,4.5,6.2,5.4,3.3,5.4,4.5,4.0,5.1,8.3
Annual,Percentage,Three or more adults,Cyprus,1.3,1.1,1.8,1.6,0.8,1.3,1.7,3.3,2.7,3.3,2.8,1.8
Annual,Percentage,Three or more adults,Czechia,17.2,16.4,16.4,15.0,13.9,12.1,12.6,11.1,12.0,9.5,7.7,7.4
Annual,Percentage,Three or more adults,Germany,3.9,3.7,4.8,6.7,5.5,5.6,5.5,4.9,8.3 b,8.2,10.1,9.2
Annual,Percentage,Three or more adults,Denmark,8.4,8.0,10.2,7.0,21.2,21.8,27.3,32.2,21.7,19.8,24.6,26.2
Annual,Percentage,Three or more adults,Euro area - 19 countries  (2015-2022),15.0,14.7,15.1,16.1,15.7,15.8,16.1,16.8,15.3,14.5,:,:
Annual,Percentage,Three or more adults,Euro area – 20 countries (from 2023),:,:,15.6,16.7,16.3,16.3,16.6,17.1,15.7,15.2,14.9,14.7
Annual,Percentage,Three or more adults,Estonia,12.3,21.5,9.9 b,6.7,11.5,12.4,10.8,13.2,6.1,10.7,8.3,15.7
Annual,Percentage,Three or more adults,Greece,37.7,36.5,36.9,38.2,39.3,38.6,36.8,30.2,31.0,28.3,26.6,28.9
Annual,Percentage,Three or more adults,Spain,5.3,5.0,4.8,5.6,5.1,4.7,4.9,5.8,6.0,6.0,6.5,6.4
Annual,Percentage,Three or more adults,European Union - 27 countries (2007-2013),19.8,19.6,20.0,20.3,19.6,19.3,18.8,19.0 e,:,:,:,:
Annual,Percentage,Three or more adults,European Union - 27 countries (from 2020),21.8 e,21.7 e,22.6 e,22.6 e,22.2 e,21.9 e,21.1 e,21.3 e,19.7,19.4,18.8,18.9
Annual,Percentage,Three or more adults,European Union - 28 countries (2013-2020),20.1,19.9,20.3,20.6,19.9,19.6,19.2,19.2 e,:,:,:,:
Annual,Percentage,Three or more adults,Finland,2.4,1.1,0.9,2.7,4.5,1.1,1.2,2.7,1.5,1.3,0.4,2.6
Annual,Percentage,Three or more adults,France,7.5,7.7,3.5,6.1,3.7,4.9,7.0,7.4,7.8 b,5.6,5.6 b,6.7
Annual,Percentage,Three or more adults,Croatia,39.0,40.6,42.9,41.8,43.6,39.8,39.1,33.4,33.5,30.6,29.2,29.7
Annual,Percentage,Three or more adults,Hungary,44.1,44.9,42.2,41.5,42.9,44.8,18.2 b,13.3,15.9,16.1,12.3,11.2
Annual,Percentage,Three or more adults,Ireland,2.8,2.2,9.6,0.7,3.5,3.0,2.2,5.3 b,1.5 b,2.1,2.7,3.9
Annual,Percentage,Three or more adults,Iceland,4.5,5.9,6.0,3.6,3.8,4.1,10.4,17.8,:,:,:,:
Annual,Percentage,Three or more adults,Italy,28.5,27.3,28.3,30.9,30.1,30.0,31.5,33.3,29.2,28.2,26.3,27.7
Annual,Percentage,Three or more adults,Lithuania,14.2,26.5 b,30.6,24.9,29.6,23.1,23.5,23.5,23.4,23.9,23.7,27.3
Annual,Percentage,Three or more adults,Luxembourg,1.0,2.5,3.6,5.4,5.3 b,5.2,4.8,3.3,4.4 b,11.6 b,6.2 b,10.2
Annual,Percentage,Three or more adults,Latvia,31.6,32.4,42.4,41.3,41.6,46.2,46.1,42.1,41.8,38.6,42.8,41.7
Annual,Percentage,Three or more adults,Montenegro,:,44.7,51.9,51.7,54.8,50.8,59.4,60.1,64.3,60.3,61.5,:
Annual,Percentage,Three or more adults,North Macedonia,40.7,41.4,41.5 b,46.1,43.0,41.2,40.4,38.1,38.2,:,:,:
Annual,Percentage,Three or more adults,Malta,1.4,2.4,2.6,2.7,2.2,3.4,2.2,3.3,3.9,3.0,4.2,7.3
Annual,Percentage,Three or more adults,Netherlands,2.1,1.1,1.1,3.2,3.0 b,4.8,4.0,6.2,4.2,3.3,2.3,0.4
Annual,Percentage,Three or more adults,Norway,4.0,3.2,1.6,3.2,2.8,3.2,4.8,4.3,2.6,5.3 b,5.0,5.1
Annual,Percentage,Three or more adults,Poland,42.5,39.8,43.7,39.3,38.5,38.6,35.9,35.2,34.6 b,33.8,33.7,35.4 b
Annual,Percentage,Three or more adults,Portugal,9.3,12.4,9.2,7.6,7.3,6.7,8.0,8.5,7.5,10.9 b,9.6,11.1
Annual,Percentage,Three or more adults,Romania,51.0,53.3,49.6,51.5,48.3,46.3,46.1,45.1,43.8,41.1,35.5,37.2
Annual,Percentage,Three or more adults,Serbia,:,52.5,48.5,50.7,54.2,56.0,52.3,53.3,51.7,48.6,50.3,:
Annual,Percentage,Three or more adults,Sweden,6.5,4.1,11.4,7.7,12.6,13.1,7.5,8.0,9.5,12.1,21.6,16.1
Annual,Percentage,Three or more adults,Slovenia,12.4,13.6,12.5,12.5,11.2,11.5,11.2,9.1,8.4,10.2,8.9,7.6
Annual,Percentage,Three or more adults,Slovakia,34.2,30.8,34.3,32.4,35.0,35.3,33.9,32.6,28.3,30.1,31.4,23.7
Annual,Percentage,Three or more adults,Türkiye,34.1,35.4,34.8,33.7,33.5,33.5,34.3,31.3,29.4,27.8,27.8,27.0
Annual,Percentage,Three or more adults,United Kingdom,6.1 b,6.4,4.2,6.7,3.6,1.2 b,3.7,:,:,:,:,:
