Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Year,Total,Less than 1 year,European Union - 28 countries (2013-2020),80.9 b,80.6 b,81.0,80.9 b,81.0 ep,:,:,:,:,:
Annual,Year,Total,Less than 1 year,Finland,81.3,81.6,81.5,81.7,81.8,82.1,82.0,81.9,81.2,81.7 ip
Annual,Year,Total,Less than 1 year,France,82.9 b,82.4,82.7,82.7,82.8 p,83.0 p,82.3 p,82.4 p,82.3 p,83.1 ip
Annual,Year,Total,Less than 1 year,Georgia,74.1,73.0,72.7,73.5,74.0,74.1,:,:,73.7,:
Annual,Year,Total,Less than 1 year,Croatia,77.9,77.5,78.2,78.0,78.2,78.6,77.6,76.6,77.7 b,78.6 ip
Annual,Year,Total,Less than 1 year,Hungary,76.0,75.7,76.2,76.0,76.2,76.5,75.5 b,74.1,76.0 b,76.9 ip
Annual,Year,Total,Less than 1 year,Ireland,81.4,81.5,81.7,82.2,82.2 e,82.8 e,82.5 b,82.3,82.6,:
Annual,Year,Total,Less than 1 year,Iceland,82.9,82.5,82.2,82.6,82.9,83.2,83.1,83.2,82.1,82.6 ip
Annual,Year,Total,Less than 1 year,Italy,83.2,82.7,83.4,83.1,83.4,83.6 b,82.3,82.7,82.8,83.8 ip
Annual,Year,Total,Less than 1 year,Liechtenstein,82.1,82.7,82.3,83.7,83.1,84.3,81.8,84.4 e,83.9,84.8 ip
Annual,Year,Total,Less than 1 year,Lithuania,74.7,74.6,74.9,75.8,76.0,76.5,75.2 b,74.2,75.8,77.3 ip
Annual,Year,Total,Less than 1 year,Luxembourg,82.3,82.4,82.7,82.1 b,82.3,82.7,82.2,82.7,83.0,83.4 ip
Annual,Year,Total,Less than 1 year,Latvia,74.5,74.8,74.9,74.9,75.1,75.7,75.5,73.1,74.5,75.9 ip
Annual,Year,Total,Less than 1 year,Montenegro,76.5,76.5,76.5,76.6,76.9,76.7,75.9,73.8,:,:
Annual,Year,Total,Less than 1 year,North Macedonia,75.5,75.5,75.4,76.0,76.7,76.6,74.4,73.2 b,:,:
Annual,Year,Total,Less than 1 year,Malta,82.1,82.0,82.6,82.4,82.3,82.7,82.1,82.3,82.4 p,83.6 ip
Annual,Year,Total,Less than 1 year,Netherlands,81.8,81.6,81.7,81.8,81.9,82.2,81.4,81.4,81.7,82.0 ip
Annual,Year,Total,Less than 1 year,Norway,82.2,82.4,82.5,82.7,82.8,83.0,83.3,83.2,82.5,83.1 ip
Annual,Year,Total,Less than 1 year,Poland,77.8,77.5,78.0,77.8,77.7,78.0,76.4 bep,75.4 bep,77.2 b,78.6 ip
Annual,Year,Total,Less than 1 year,Portugal,81.3,81.3,81.3,81.6,81.5,81.9,81.5 b,81.5,81.8 bp,82.4 ip
Annual,Year,Total,Less than 1 year,Romania,75.0,74.9,75.2,75.2,75.3,75.6 e,74.2 e,72.8 e,75.1 e,76.6 ip
Annual,Year,Total,Less than 1 year,Serbia,75.4,75.3,75.7,75.6,75.9,76.0,74.5,72.8,75.2 b,:
Annual,Year,Total,Less than 1 year,Sweden,82.3,82.2,82.4,82.5,82.6,83.2,82.4,83.1,83.1,83.4 ip
Annual,Year,Total,Less than 1 year,Slovenia,81.2,80.9,81.2,81.2,81.5,81.6,80.6,80.7,81.3,82.0 ip
Annual,Year,Total,Less than 1 year,Slovakia,77.0,76.7,77.3,77.3,77.4,77.8,77.0,74.6,77.0,78.1 ip
Annual,Year,Total,Less than 1 year,Türkiye,78.1,78.2,78.1,78.5,78.9,79.1,:,:,76.3,:
Annual,Year,Total,Less than 1 year,Ukraine,71.8,72.5,72.9,73.3,73.2,73.4,:,:,:,:
Annual,Year,Total,Less than 1 year,United Kingdom,81.4,81.0,81.2,81.3,81.3,:,:,:,:,:
Annual,Year,Total,Less than 1 year,Kosovo*,:,:,78.6 p,:,:,:,:,:,:,:
