Time frequency,National accounts indicator (ESA 2010),Sector,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Estonia,18.4,18.1,17.6,16.6,19.1,17.8,19.0,18.7,20.2,24.1 p,23.8 p,24.0 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Greece,197.3,193.3,187.9,181.3,177.0,173.5,170.7,168.1,163.9,161.8 p,160.0 p,158.2 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Spain,115.7,114.6,113.0,112.2,109.5,109.0,108.8,107.4,105.1,106.3 p,105.3 p,104.3 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),86.7,86.2,85.0,83.6,82.5,82.3,81.9,81.5,80.8,81.3 p,81.6 p,81.6 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Finland,73.1,73.0,73.1,72.4,74.0,73.6,74.8,74.8,77.3,78.1 p,80.1 p,81.5 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),France,112.8,114.4,112.8,113.0,111.3,111.9,111.4,111.5,110.0,110.8 p,112.4 p,113.8 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Croatia,78.2,75.8,72.9,70.2,68.5,69.1,65.8,63.3,61.8,62.0 p,60.0 p,59.7 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Hungary,76.2,76.6,76.4,75.4,73.8,75.2,74.9,74.6,73.4,76.0 p,75.8 p,76.0 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Ireland,52.6,50.6,48.9,46.9,43.1,42.5,42.4,43.0,43.3,42.5 p,42.7 p,42.2 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Italy,145.7,146.6,143.9,139.9,138.3,137.1,137.7,135.5,134.8,135.2 p,136.9 p,136.3 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Lithuania,43.3,39.3,39.1,37.0,38.1,37.8,37.7,36.7,37.3,39.1 p,37.4 p,38.4 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Luxembourg,24.4,22.5,25.3,24.6,24.6,28.3,28.2,25.8,25.6,27.1 p,26.8 p,26.6 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Latvia,45.9,43.8,44.0,42.8,44.4,46.5,42.3,44.2,45.0,46.3 p,46.4 p,47.7 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Malta,49.6,51.2,49.4,48.9,49.3,49.2,47.4,47.1,47.7,47.3 p,46.4 p,45.3 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Netherlands,50.5,48.7,48.6,46.7,48.4,46.8 p,45.5 p,44.5 p,45.2 p,44.0 p,43.3 p,42.2 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Norway,41.3,34.4,34.2,34.1,36.5,33.2,32.1,35.6,44.3,42.1 p,43.4 p,:
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Poland,53.0,51.4,50.9,49.8,48.8,47.9,48.2,48.6,49.7,51.5 p,52.3 p,53.5 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Portugal,123.9,123.2,121.2,117.4,111.2,111.1,108.8,106.3,97.9,99.4 p,100.7 p,97.5 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Romania,48.3,48.2,48.4,48.4,47.9,49.7,48.8,49.5,48.9,51.6 p,51.1 p,53.1 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Sweden,36.7,35.2,34.0,34.4,33.6,32.4,31.2,30.2,31.4,30.9 p,31.6 p,31.6 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Slovenia,74.8,75.9,75.6,75.0,72.7,71.9,70.0,71.0,68.4,70.0 p,69.5 p,66.9 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Slovakia,60.2,59.7,58.7,57.2,57.7,57.9,59.4,58.3,56.1,60.6 p,60.4 p,60.3 p
