Time frequency,Sex,Unit of measure,Control over working time,Geopolitical entity (reporting)\Time,2017.0
Annual,Females,Thousand persons,Others,Iceland,: @C
Annual,Females,Thousand persons,Others,Italy,40.7
Annual,Females,Thousand persons,Others,Lithuania,7.2 u
Annual,Females,Thousand persons,Others,Luxembourg,: u
Annual,Females,Thousand persons,Others,Latvia,: @C
Annual,Females,Thousand persons,Others,Malta,: u
Annual,Females,Thousand persons,Others,Netherlands,18.3
Annual,Females,Thousand persons,Others,Norway,: u
Annual,Females,Thousand persons,Others,Poland,19.0 u
Annual,Females,Thousand persons,Others,Portugal,22.8
Annual,Females,Thousand persons,Others,Romania,: u
Annual,Females,Thousand persons,Others,Sweden,: u
Annual,Females,Thousand persons,Others,Slovenia,1.1 u
Annual,Females,Thousand persons,Others,Slovakia,12.0
Annual,Females,Thousand persons,Others,Türkiye,36.1
Annual,Females,Thousand persons,Others,United Kingdom,44.6
Annual,Females,Thousand persons,Self-employed persons,Austria,124.1
Annual,Females,Thousand persons,Self-employed persons,Belgium,180.8
Annual,Females,Thousand persons,Self-employed persons,Bulgaria,103.0
Annual,Females,Thousand persons,Self-employed persons,Switzerland,184.8
Annual,Females,Thousand persons,Self-employed persons,Cyprus,10.3
Annual,Females,Thousand persons,Self-employed persons,Czechia,189.5
Annual,Females,Thousand persons,Self-employed persons,Germany,985.2
Annual,Females,Thousand persons,Self-employed persons,Denmark,45.5
Annual,Females,Thousand persons,Self-employed persons,Euro area - 19 countries  (2015-2022),5180.8
Annual,Females,Thousand persons,Self-employed persons,Estonia,17.1
Annual,Females,Thousand persons,Self-employed persons,Greece,275.9
Annual,Females,Thousand persons,Self-employed persons,Spain,768.6
Annual,Females,Thousand persons,Self-employed persons,European Union - 27 countries (from 2020),6970.9
Annual,Females,Thousand persons,Self-employed persons,European Union - 28 countries (2013-2020),8263.4
Annual,Females,Thousand persons,Self-employed persons,Finland,73.9
Annual,Females,Thousand persons,Self-employed persons,France,788.6
Annual,Females,Thousand persons,Self-employed persons,Croatia,55.2
Annual,Females,Thousand persons,Self-employed persons,Hungary,131.0
Annual,Females,Thousand persons,Self-employed persons,Ireland,48.3
Annual,Females,Thousand persons,Self-employed persons,Iceland,4.0
Annual,Females,Thousand persons,Self-employed persons,Italy,1253.4
Annual,Females,Thousand persons,Self-employed persons,Lithuania,43.9
Annual,Females,Thousand persons,Self-employed persons,Luxembourg,5.3
Annual,Females,Thousand persons,Self-employed persons,Latvia,29.6
Annual,Females,Thousand persons,Self-employed persons,Malta,6.4
Annual,Females,Thousand persons,Self-employed persons,Netherlands,298.2
Annual,Females,Thousand persons,Self-employed persons,Norway,34.2
Annual,Females,Thousand persons,Self-employed persons,Poland,799.5
Annual,Females,Thousand persons,Self-employed persons,Portugal,174.9
Annual,Females,Thousand persons,Self-employed persons,Romania,373.7
Annual,Females,Thousand persons,Self-employed persons,Sweden,92.9
Annual,Females,Thousand persons,Self-employed persons,Slovenia,29.0
Annual,Females,Thousand persons,Self-employed persons,Slovakia,67.1
Annual,Females,Thousand persons,Self-employed persons,Türkiye,705.7
Annual,Females,Thousand persons,Self-employed persons,United Kingdom,1292.5
Annual,Females,Thousand persons,Total,Austria,161.8
Annual,Females,Thousand persons,Total,Belgium,209.1
Annual,Females,Thousand persons,Total,Bulgaria,114.7
Annual,Females,Thousand persons,Total,Switzerland,207.1
Annual,Females,Thousand persons,Total,Cyprus,16.3
Annual,Females,Thousand persons,Total,Czechia,266.6
Annual,Females,Thousand persons,Total,Germany,1239.2
Annual,Females,Thousand persons,Total,Denmark,61.1
Annual,Females,Thousand persons,Total,Euro area - 19 countries  (2015-2022),6641.1
Annual,Females,Thousand persons,Total,Estonia,19.2
Annual,Females,Thousand persons,Total,Greece,368.0
Annual,Females,Thousand persons,Total,Spain,1004.4
Annual,Females,Thousand persons,Total,European Union - 27 countries (from 2020),8713.3
Annual,Females,Thousand persons,Total,European Union - 28 countries (2013-2020),10264.6
Annual,Females,Thousand persons,Total,Finland,96.7
Annual,Females,Thousand persons,Total,France,972.4
Annual,Females,Thousand persons,Total,Croatia,61.5
Annual,Females,Thousand persons,Total,Hungary,153.9
Annual,Females,Thousand persons,Total,Ireland,70.2
Annual,Females,Thousand persons,Total,Iceland,4.9
Annual,Females,Thousand persons,Total,Italy,1484.7
Annual,Females,Thousand persons,Total,Lithuania,53.4
Annual,Females,Thousand persons,Total,Luxembourg,9.9
Annual,Females,Thousand persons,Total,Latvia,34.0
Annual,Females,Thousand persons,Total,Malta,7.4
Annual,Females,Thousand persons,Total,Netherlands,457.3
Annual,Females,Thousand persons,Total,Norway,45.9
Annual,Females,Thousand persons,Total,Poland,892.6
Annual,Females,Thousand persons,Total,Portugal,291.6
Annual,Females,Thousand persons,Total,Romania,415.4
Annual,Females,Thousand persons,Total,Sweden,106.4
Annual,Females,Thousand persons,Total,Slovenia,35.1
Annual,Females,Thousand persons,Total,Slovakia,110.3
Annual,Females,Thousand persons,Total,Türkiye,923.5
Annual,Females,Thousand persons,Total,United Kingdom,1551.3
Annual,Males,Thousand persons,Clients,Austria,71.4
Annual,Males,Thousand persons,Clients,Belgium,30.3
Annual,Males,Thousand persons,Clients,Bulgaria,14.3
Annual,Males,Thousand persons,Clients,Switzerland,20.4
Annual,Males,Thousand persons,Clients,Cyprus,5.6
Annual,Males,Thousand persons,Clients,Czechia,104.0
Annual,Males,Thousand persons,Clients,Germany,182.9
Annual,Males,Thousand persons,Clients,Denmark,46.8
Annual,Males,Thousand persons,Clients,Euro area - 19 countries  (2015-2022),1352.0
Annual,Males,Thousand persons,Clients,Estonia,2.8 u
Annual,Males,Thousand persons,Clients,Greece,58.6
Annual,Males,Thousand persons,Clients,Spain,208.1
Annual,Males,Thousand persons,Clients,European Union - 27 countries (from 2020),1837.0
Annual,Males,Thousand persons,Clients,European Union - 28 countries (2013-2020),2321.7
Annual,Males,Thousand persons,Clients,Finland,13.5
Annual,Males,Thousand persons,Clients,France,157.1
Annual,Males,Thousand persons,Clients,Croatia,10.1 u
Annual,Males,Thousand persons,Clients,Hungary,16.2
Annual,Males,Thousand persons,Clients,Ireland,18.4
Annual,Males,Thousand persons,Clients,Iceland,1.5
Annual,Males,Thousand persons,Clients,Italy,256.4
Annual,Males,Thousand persons,Clients,Lithuania,: u
Annual,Males,Thousand persons,Clients,Luxembourg,: u
Annual,Males,Thousand persons,Clients,Latvia,: u
Annual,Males,Thousand persons,Clients,Malta,3.0
Annual,Males,Thousand persons,Clients,Netherlands,260.7
Annual,Males,Thousand persons,Clients,Norway,11.8
Annual,Males,Thousand persons,Clients,Poland,129.9
Annual,Males,Thousand persons,Clients,Portugal,27.9
Annual,Males,Thousand persons,Clients,Romania,128.3
Annual,Males,Thousand persons,Clients,Sweden,35.5
Annual,Males,Thousand persons,Clients,Slovenia,12.9
Annual,Males,Thousand persons,Clients,Slovakia,36.8
Annual,Males,Thousand persons,Clients,Türkiye,971.7
Annual,Males,Thousand persons,Clients,United Kingdom,484.7
Annual,Males,Thousand persons,No response,Bulgaria,: u
Annual,Males,Thousand persons,No response,Switzerland,6.6
Annual,Males,Thousand persons,No response,Czechia,10.1
Annual,Males,Thousand persons,No response,Germany,201.2
Annual,Males,Thousand persons,No response,Euro area - 19 countries  (2015-2022),537.3
Annual,Males,Thousand persons,No response,Estonia,: @C
Annual,Males,Thousand persons,No response,Greece,23.1
Annual,Males,Thousand persons,No response,Spain,29.8
Annual,Males,Thousand persons,No response,European Union - 27 countries (from 2020),575.4
Annual,Males,Thousand persons,No response,European Union - 28 countries (2013-2020),592.2
Annual,Males,Thousand persons,No response,Finland,38.5
Annual,Males,Thousand persons,No response,France,: u
Annual,Males,Thousand persons,No response,Croatia,: @C
Annual,Males,Thousand persons,No response,Hungary,10.5
Annual,Males,Thousand persons,No response,Ireland,40.2
Annual,Males,Thousand persons,No response,Iceland,: @C
Annual,Males,Thousand persons,No response,Italy,26.8
Annual,Males,Thousand persons,No response,Luxembourg,3.9 u
Annual,Males,Thousand persons,No response,Latvia,: @C
Annual,Males,Thousand persons,No response,Netherlands,26.6
Annual,Males,Thousand persons,No response,Norway,8.4 u
Annual,Males,Thousand persons,No response,Poland,11.3 u
Annual,Males,Thousand persons,No response,Portugal,120.5
Annual,Males,Thousand persons,No response,Romania,: u
Annual,Males,Thousand persons,No response,Sweden,: @C
Annual,Males,Thousand persons,No response,Slovakia,: u
Annual,Males,Thousand persons,No response,United Kingdom,16.8 u
Annual,Males,Thousand persons,Others,Austria,7.9 u
Annual,Males,Thousand persons,Others,Belgium,11.6
Annual,Males,Thousand persons,Others,Bulgaria,9.9 u
Annual,Males,Thousand persons,Others,Switzerland,15.2
Annual,Males,Thousand persons,Others,Cyprus,1.3 u
Annual,Males,Thousand persons,Others,Czechia,36.5
Annual,Males,Thousand persons,Others,Germany,: u
Annual,Males,Thousand persons,Others,Denmark,: u
Annual,Males,Thousand persons,Others,Euro area - 19 countries  (2015-2022),619.9
Annual,Males,Thousand persons,Others,Estonia,: u
Annual,Males,Thousand persons,Others,Greece,94.8
Annual,Males,Thousand persons,Others,Spain,180.7
Annual,Males,Thousand persons,Others,European Union - 27 countries (from 2020),737.4
Annual,Males,Thousand persons,Others,European Union - 28 countries (2013-2020),862.7
Annual,Males,Thousand persons,Others,Finland,3.0 u
Annual,Males,Thousand persons,Others,France,70.4 u
Annual,Males,Thousand persons,Others,Croatia,7.0 u
Annual,Males,Thousand persons,Others,Hungary,3.9 u
Annual,Males,Thousand persons,Others,Ireland,4.3
Annual,Males,Thousand persons,Others,Iceland,: u
Annual,Males,Thousand persons,Others,Italy,81.3
Annual,Males,Thousand persons,Others,Lithuania,12.1
Annual,Males,Thousand persons,Others,Luxembourg,: u
Annual,Males,Thousand persons,Others,Latvia,: u
Annual,Males,Thousand persons,Others,Malta,1.0 u
Annual,Males,Thousand persons,Others,Netherlands,32.9
Annual,Males,Thousand persons,Others,Norway,: u
Annual,Males,Thousand persons,Others,Poland,39.6
Annual,Males,Thousand persons,Others,Portugal,23.7
Annual,Males,Thousand persons,Others,Romania,13.6
Annual,Males,Thousand persons,Others,Sweden,: u
Annual,Males,Thousand persons,Others,Slovenia,1.9 u
Annual,Males,Thousand persons,Others,Slovakia,43.4
Annual,Males,Thousand persons,Others,Türkiye,287.1
Annual,Males,Thousand persons,Others,United Kingdom,125.3
Annual,Males,Thousand persons,Self-employed persons,Austria,218.0
Annual,Males,Thousand persons,Self-employed persons,Belgium,373.8
Annual,Males,Thousand persons,Self-employed persons,Bulgaria,185.8
Annual,Males,Thousand persons,Self-employed persons,Switzerland,336.8
Annual,Males,Thousand persons,Self-employed persons,Cyprus,21.7
Annual,Males,Thousand persons,Self-employed persons,Czechia,429.3
Annual,Males,Thousand persons,Self-employed persons,Germany,2074.7
Annual,Males,Thousand persons,Self-employed persons,Denmark,102.6
Annual,Males,Thousand persons,Self-employed persons,Euro area - 19 countries  (2015-2022),11267.7
Annual,Males,Thousand persons,Self-employed persons,Estonia,37.9
Annual,Males,Thousand persons,Self-employed persons,Greece,582.8
Annual,Males,Thousand persons,Self-employed persons,Spain,1577.5
Annual,Males,Thousand persons,Self-employed persons,European Union - 27 countries (from 2020),15245.4
Annual,Males,Thousand persons,Self-employed persons,European Union - 28 countries (2013-2020),17708.9
Annual,Males,Thousand persons,Self-employed persons,Finland,155.3
Annual,Males,Thousand persons,Self-employed persons,France,1647.7
Annual,Males,Thousand persons,Self-employed persons,Croatia,95.4
Annual,Males,Thousand persons,Self-employed persons,Hungary,252.9
Annual,Males,Thousand persons,Self-employed persons,Ireland,181.0
Annual,Males,Thousand persons,Self-employed persons,Iceland,11.2
Annual,Males,Thousand persons,Self-employed persons,Italy,3189.8
Annual,Males,Thousand persons,Self-employed persons,Lithuania,70.1
Annual,Males,Thousand persons,Self-employed persons,Luxembourg,7.7
Annual,Males,Thousand persons,Self-employed persons,Latvia,46.1
Annual,Males,Thousand persons,Self-employed persons,Malta,20.9
Annual,Males,Thousand persons,Self-employed persons,Netherlands,501.4
Annual,Males,Thousand persons,Self-employed persons,Norway,88.6
Annual,Males,Thousand persons,Self-employed persons,Poland,1781.7
Annual,Males,Thousand persons,Self-employed persons,Portugal,332.8
Annual,Males,Thousand persons,Self-employed persons,Romania,880.4
Annual,Males,Thousand persons,Self-employed persons,Sweden,249.6
Annual,Males,Thousand persons,Self-employed persons,Slovenia,54.7
Annual,Males,Thousand persons,Self-employed persons,Slovakia,173.7
Annual,Males,Thousand persons,Self-employed persons,Türkiye,3793.6
Annual,Males,Thousand persons,Self-employed persons,United Kingdom,2463.5
Annual,Males,Thousand persons,Total,Austria,297.3
Annual,Males,Thousand persons,Total,Belgium,415.8
Annual,Males,Thousand persons,Total,Bulgaria,212.8
Annual,Males,Thousand persons,Total,Switzerland,379.1
Annual,Males,Thousand persons,Total,Cyprus,28.6
Annual,Males,Thousand persons,Total,Czechia,579.9
Annual,Males,Thousand persons,Total,Germany,2505.8
Annual,Males,Thousand persons,Total,Denmark,151.7
Annual,Males,Thousand persons,Total,Euro area - 19 countries  (2015-2022),13776.8
Annual,Males,Thousand persons,Total,Estonia,41.7
Annual,Males,Thousand persons,Total,Greece,759.4
Annual,Males,Thousand persons,Total,Spain,1996.2
Annual,Males,Thousand persons,Total,European Union - 27 countries (from 2020),18395.2
Annual,Males,Thousand persons,Total,European Union - 28 countries (2013-2020),21485.6
Annual,Males,Thousand persons,Total,Finland,210.3
Annual,Males,Thousand persons,Total,France,1898.3
Annual,Males,Thousand persons,Total,Croatia,114.0
Annual,Males,Thousand persons,Total,Hungary,283.5
Annual,Males,Thousand persons,Total,Ireland,243.9
Annual,Males,Thousand persons,Total,Iceland,13.3
Annual,Males,Thousand persons,Total,Italy,3554.3
Annual,Males,Thousand persons,Total,Lithuania,84.9
Annual,Males,Thousand persons,Total,Luxembourg,13.5
Annual,Males,Thousand persons,Total,Latvia,49.2
Annual,Males,Thousand persons,Total,Malta,24.8
Annual,Males,Thousand persons,Total,Netherlands,821.6
Annual,Males,Thousand persons,Total,Norway,111.3
Annual,Males,Thousand persons,Total,Poland,1962.5
Annual,Males,Thousand persons,Total,Portugal,504.9
Annual,Males,Thousand persons,Total,Romania,1023.9
Annual,Males,Thousand persons,Total,Sweden,290.0
Annual,Males,Thousand persons,Total,Slovenia,69.5
Annual,Males,Thousand persons,Total,Slovakia,256.8
Annual,Males,Thousand persons,Total,Türkiye,5052.4
Annual,Males,Thousand persons,Total,United Kingdom,3090.4
Annual,Total,Thousand persons,Clients,Austria,102.6
Annual,Total,Thousand persons,Clients,Belgium,50.8
Annual,Total,Thousand persons,Clients,Bulgaria,20.2
Annual,Total,Thousand persons,Clients,Switzerland,30.2
Annual,Total,Thousand persons,Clients,Cyprus,10.5
Annual,Total,Thousand persons,Clients,Czechia,160.1
Annual,Total,Thousand persons,Clients,Germany,309.2
Annual,Total,Thousand persons,Clients,Denmark,59.9
Annual,Total,Thousand persons,Clients,Euro area - 19 countries  (2015-2022),2161.3
Annual,Total,Thousand persons,Clients,Estonia,4.0 u
Annual,Total,Thousand persons,Clients,Greece,89.2
Annual,Total,Thousand persons,Clients,Spain,317.7
Annual,Total,Thousand persons,Clients,European Union - 27 countries (from 2020),2853.9
Annual,Total,Thousand persons,Clients,European Union - 28 countries (2013-2020),3545.1
Annual,Total,Thousand persons,Clients,Finland,19.5
Annual,Total,Thousand persons,Clients,France,254.1
Annual,Total,Thousand persons,Clients,Croatia,13.8 u
Annual,Total,Thousand persons,Clients,Hungary,28.7
Annual,Total,Thousand persons,Clients,Ireland,25.3
Annual,Total,Thousand persons,Clients,Iceland,2.1
Annual,Total,Thousand persons,Clients,Italy,439.7
Annual,Total,Thousand persons,Clients,Lithuania,4.9 u
Annual,Total,Thousand persons,Clients,Luxembourg,2.7 u
Annual,Total,Thousand persons,Clients,Latvia,4.7 u
Annual,Total,Thousand persons,Clients,Malta,3.4
Annual,Total,Thousand persons,Clients,Netherlands,388.3
Annual,Total,Thousand persons,Clients,Norway,16.4
Annual,Total,Thousand persons,Clients,Poland,196.4
Annual,Total,Thousand persons,Clients,Portugal,49.0
Annual,Total,Thousand persons,Clients,Romania,167.4
Annual,Total,Thousand persons,Clients,Sweden,46.2
Annual,Total,Thousand persons,Clients,Slovenia,17.8
Annual,Total,Thousand persons,Clients,Slovakia,67.7
Annual,Total,Thousand persons,Clients,Türkiye,1153.4
Annual,Total,Thousand persons,Clients,United Kingdom,691.2
Annual,Total,Thousand persons,No response,Bulgaria,: u
Annual,Total,Thousand persons,No response,Switzerland,8.4
Annual,Total,Thousand persons,No response,Czechia,11.5
Annual,Total,Thousand persons,No response,Germany,303.8
Annual,Total,Thousand persons,No response,Euro area - 19 countries  (2015-2022),838.5
Annual,Total,Thousand persons,No response,Estonia,: @C
Annual,Total,Thousand persons,No response,Greece,37.8
Annual,Total,Thousand persons,No response,Spain,36.8
Annual,Total,Thousand persons,No response,European Union - 27 countries (from 2020),893.1
Annual,Total,Thousand persons,No response,European Union - 28 countries (2013-2020),917.6
Annual,Total,Thousand persons,No response,Finland,54.1
Annual,Total,Thousand persons,No response,France,75.2 u
Annual,Total,Thousand persons,No response,Croatia,: @C
Annual,Total,Thousand persons,No response,Hungary,16.4
Annual,Total,Thousand persons,No response,Ireland,52.9
Annual,Total,Thousand persons,No response,Iceland,: @C
Annual,Total,Thousand persons,No response,Italy,34.0
Annual,Total,Thousand persons,No response,Luxembourg,6.8
Annual,Total,Thousand persons,No response,Latvia,: @C
Annual,Total,Thousand persons,No response,Netherlands,39.8
Annual,Total,Thousand persons,No response,Norway,14.3
Annual,Total,Thousand persons,No response,Poland,19.0 u
Annual,Total,Thousand persons,No response,Portugal,193.4
Annual,Total,Thousand persons,No response,Romania,: u
Annual,Total,Thousand persons,No response,Sweden,: @C
Annual,Total,Thousand persons,No response,Slovakia,: u
Annual,Total,Thousand persons,No response,United Kingdom,24.5
Annual,Total,Thousand persons,Others,Austria,14.3
Annual,Total,Thousand persons,Others,Belgium,19.5
Annual,Total,Thousand persons,Others,Bulgaria,14.4
Annual,Total,Thousand persons,Others,Switzerland,25.9
Annual,Total,Thousand persons,Others,Cyprus,2.4
Annual,Total,Thousand persons,Others,Czechia,56.1
Annual,Total,Thousand persons,Others,Germany,72.1
Annual,Total,Thousand persons,Others,Denmark,4.9 u
Annual,Total,Thousand persons,Others,Euro area - 19 countries  (2015-2022),969.7
Annual,Total,Thousand persons,Others,Estonia,: u
Annual,Total,Thousand persons,Others,Greece,141.7
Annual,Total,Thousand persons,Others,Spain,299.9
Annual,Total,Thousand persons,Others,European Union - 27 countries (from 2020),1145.1
Annual,Total,Thousand persons,Others,European Union - 28 countries (2013-2020),1315.1
Annual,Total,Thousand persons,Others,Finland,4.2
Annual,Total,Thousand persons,Others,France,105.2
Annual,Total,Thousand persons,Others,Croatia,9.6 u
Annual,Total,Thousand persons,Others,Hungary,8.3
Annual,Total,Thousand persons,Others,Ireland,6.6
Annual,Total,Thousand persons,Others,Iceland,: u
Annual,Total,Thousand persons,Others,Italy,122.0
Annual,Total,Thousand persons,Others,Lithuania,19.3
Annual,Total,Thousand persons,Others,Luxembourg,: u
Annual,Total,Thousand persons,Others,Latvia,: u
Annual,Total,Thousand persons,Others,Malta,1.5 u
Annual,Total,Thousand persons,Others,Netherlands,51.2
Annual,Total,Thousand persons,Others,Norway,: u
Annual,Total,Thousand persons,Others,Poland,58.6
Annual,Total,Thousand persons,Others,Portugal,46.5
Annual,Total,Thousand persons,Others,Romania,16.0
Annual,Total,Thousand persons,Others,Sweden,7.5 u
Annual,Total,Thousand persons,Others,Slovenia,3.0 u
Annual,Total,Thousand persons,Others,Slovakia,55.4
Annual,Total,Thousand persons,Others,Türkiye,323.2
Annual,Total,Thousand persons,Others,United Kingdom,170.0
Annual,Total,Thousand persons,Self-employed persons,Austria,342.2
Annual,Total,Thousand persons,Self-employed persons,Belgium,554.7
Annual,Total,Thousand persons,Self-employed persons,Bulgaria,288.9
Annual,Total,Thousand persons,Self-employed persons,Switzerland,521.7
Annual,Total,Thousand persons,Self-employed persons,Cyprus,32.0
Annual,Total,Thousand persons,Self-employed persons,Czechia,618.8
Annual,Total,Thousand persons,Self-employed persons,Germany,3060.0
Annual,Total,Thousand persons,Self-employed persons,Denmark,148.1
Annual,Total,Thousand persons,Self-employed persons,Euro area - 19 countries  (2015-2022),16448.5
Annual,Total,Thousand persons,Self-employed persons,Estonia,55.0
Annual,Total,Thousand persons,Self-employed persons,Greece,858.7
Annual,Total,Thousand persons,Self-employed persons,Spain,2346.1
Annual,Total,Thousand persons,Self-employed persons,European Union - 27 countries (from 2020),22216.3
Annual,Total,Thousand persons,Self-employed persons,European Union - 28 countries (2013-2020),25972.3
Annual,Total,Thousand persons,Self-employed persons,Finland,229.2
Annual,Total,Thousand persons,Self-employed persons,France,2436.3
Annual,Total,Thousand persons,Self-employed persons,Croatia,150.6
Annual,Total,Thousand persons,Self-employed persons,Hungary,383.9
Annual,Total,Thousand persons,Self-employed persons,Ireland,229.2
Annual,Total,Thousand persons,Self-employed persons,Iceland,15.2
Annual,Total,Thousand persons,Self-employed persons,Italy,4443.2
Annual,Total,Thousand persons,Self-employed persons,Lithuania,114.1
Annual,Total,Thousand persons,Self-employed persons,Luxembourg,13.0
Annual,Total,Thousand persons,Self-employed persons,Latvia,75.7
Annual,Total,Thousand persons,Self-employed persons,Malta,27.3
Annual,Total,Thousand persons,Self-employed persons,Netherlands,799.6
Annual,Total,Thousand persons,Self-employed persons,Norway,122.8
Annual,Total,Thousand persons,Self-employed persons,Poland,2581.1
Annual,Total,Thousand persons,Self-employed persons,Portugal,507.6
Annual,Total,Thousand persons,Self-employed persons,Romania,1254.0
Annual,Total,Thousand persons,Self-employed persons,Sweden,342.5
Annual,Total,Thousand persons,Self-employed persons,Slovenia,83.7
Annual,Total,Thousand persons,Self-employed persons,Slovakia,240.7
Annual,Total,Thousand persons,Self-employed persons,Türkiye,4499.4
Annual,Total,Thousand persons,Self-employed persons,United Kingdom,3756.0
Annual,Total,Thousand persons,Total,Austria,459.1
Annual,Total,Thousand persons,Total,Belgium,624.9
Annual,Total,Thousand persons,Total,Bulgaria,327.5
Annual,Total,Thousand persons,Total,Switzerland,586.2
Annual,Total,Thousand persons,Total,Cyprus,44.9
Annual,Total,Thousand persons,Total,Czechia,846.5
Annual,Total,Thousand persons,Total,Germany,3745.1
Annual,Total,Thousand persons,Total,Denmark,212.9
Annual,Total,Thousand persons,Total,Euro area - 19 countries  (2015-2022),20417.9
Annual,Total,Thousand persons,Total,Estonia,60.9
Annual,Total,Thousand persons,Total,Greece,1127.4
Annual,Total,Thousand persons,Total,Spain,3000.6
Annual,Total,Thousand persons,Total,European Union - 27 countries (from 2020),27108.5
Annual,Total,Thousand persons,Total,European Union - 28 countries (2013-2020),31750.2
Annual,Total,Thousand persons,Total,Finland,307.0
Annual,Total,Thousand persons,Total,France,2870.7
Annual,Total,Thousand persons,Total,Croatia,175.5
Annual,Total,Thousand persons,Total,Hungary,437.3
Annual,Total,Thousand persons,Total,Ireland,314.0
Annual,Total,Thousand persons,Total,Iceland,18.3
Annual,Total,Thousand persons,Total,Italy,5039.0
Annual,Total,Thousand persons,Total,Lithuania,138.3
Annual,Total,Thousand persons,Total,Luxembourg,23.4
Annual,Total,Thousand persons,Total,Latvia,83.2
Annual,Total,Thousand persons,Total,Malta,32.2
