Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,From 65 to 74 years,Percentage,Bulgaria,: u
Annual,From 65 to 74 years,Percentage,Cyprus,: u
Annual,From 65 to 74 years,Percentage,Czechia,: u
Annual,From 65 to 74 years,Percentage,Germany,3.5 u
Annual,From 65 to 74 years,Percentage,Denmark,8.7
Annual,From 65 to 74 years,Percentage,Estonia,: u
Annual,From 65 to 74 years,Percentage,Greece,5.7
Annual,From 65 to 74 years,Percentage,Spain,3.0 u
Annual,From 65 to 74 years,Percentage,European Union (aggregate changing according to the context),4.7 e
Annual,From 65 to 74 years,Percentage,Finland,11.0
Annual,From 65 to 74 years,Percentage,France,9.0
Annual,From 65 to 74 years,Percentage,Croatia,3.7 u
Annual,From 65 to 74 years,Percentage,Hungary,: u
Annual,From 65 to 74 years,Percentage,Ireland,12.4 u
Annual,From 65 to 74 years,Percentage,Lithuania,: u
Annual,From 65 to 74 years,Percentage,Luxembourg,: u
Annual,From 65 to 74 years,Percentage,Latvia,: u
Annual,From 65 to 74 years,Percentage,Montenegro,: u
Annual,From 65 to 74 years,Percentage,Malta,: u
Annual,From 65 to 74 years,Percentage,Netherlands,13.9
Annual,From 65 to 74 years,Percentage,Poland,: u
Annual,From 65 to 74 years,Percentage,Portugal,1.3 u
Annual,From 65 to 74 years,Percentage,Romania,: u
Annual,From 65 to 74 years,Percentage,Serbia,: u
Annual,From 65 to 74 years,Percentage,Sweden,8.6 u
Annual,From 65 to 74 years,Percentage,Slovenia,: u
Annual,From 65 to 74 years,Percentage,Slovakia,6.5
Annual,From 65 to 74 years,Percentage,Kosovo*,: u
