Time frequency,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage based on head count (HC),Higher education sector,Latvia,53.03,53.54,52.99,52.06,54.07,53.94,52.36,53.04,52.52,53.42,54.21,:
Annual,Percentage based on head count (HC),Higher education sector,Montenegro,:,47.37,44.71,44.56 d,:,44.79,44.7,49.07,:,:,:,:
Annual,Percentage based on head count (HC),Higher education sector,North Macedonia,48.73,:,:,47.86,49.08,49.86,50.83,50.69,52.21,:,53.02,:
Annual,Percentage based on head count (HC),Higher education sector,Malta,31.75,33.0,34.39,33.14,33.06,35.1,35.77,36.09,36.7,37.55,38.71,:
Annual,Percentage based on head count (HC),Higher education sector,Netherlands,41.14,41.41 b,41.8,42.23,42.8,43.15,43.74,43.74,44.78,45.74,46.3,:
Annual,Percentage based on head count (HC),Higher education sector,Norway,45.71,46.5,47.33,47.59,48.18,48.68,49.75,50.23,50.34,51.24,52.0,:
Annual,Percentage based on head count (HC),Higher education sector,Poland,42.63,43.11,43.28,43.58,43.73,45.57,46.24,46.56,46.5,46.83,47.14,:
Annual,Percentage based on head count (HC),Higher education sector,Portugal,49.08,48.4 b,48.07,48.6,48.81,49.44,49.78,50.09,50.44,50.53,50.47,:
Annual,Percentage based on head count (HC),Higher education sector,Romania,46.71,46.78,47.16,48.54,48.41,49.37,50.39,50.49,50.39,51.78,50.81,:
Annual,Percentage based on head count (HC),Higher education sector,Serbia,47.92,48.58,48.67,48.96,49.27,49.81,49.99,51.0,52.49,51.81,52.77,53.88
Annual,Percentage based on head count (HC),Higher education sector,Russia,45.31 e,46.08 e,45.94 e,46.35,:,46.34,46.16,44.86,:,:,:,:
Annual,Percentage based on head count (HC),Higher education sector,Sweden,:,44.44,:,44.85,:,43.54,:,44.53,:,46.81 b,:,:
Annual,Percentage based on head count (HC),Higher education sector,Slovenia,41.7,42.46,42.62,43.24,41.71,41.77,41.9,43.86,44.6,44.68,44.73,:
Annual,Percentage based on head count (HC),Higher education sector,Slovakia,45.14,45.81,45.69,46.07,45.95,46.54,46.21,46.36,46.48,47.15,47.13,:
Annual,Percentage based on head count (HC),Higher education sector,Türkiye,41.22,41.56,42.3,43.6,44.77,45.02,45.02,45.51,45.84,45.9,46.41,:
Annual,Percentage based on head count (HC),Higher education sector,United Kingdom,44.49 e,44.63,44.08 e,45.33 e,45.52 e,46.08 e,46.37 e,:,:,:,:,:
Annual,Percentage based on head count (HC),Private non-profit sector,Austria,:,42.93,:,48.79,:,48.6,:,48.92,:,49.16,:,:
Annual,Percentage based on head count (HC),Private non-profit sector,Bosnia and Herzegovina,66.67,:,50.0,:,:,:,:,:,:,:,:,:
Annual,Percentage based on head count (HC),Private non-profit sector,Belgium,45.41 b,44.34,44.19,49.15,49.64,48.64,48.58,49.38,51.69,53.42,:,:
Annual,Percentage based on head count (HC),Private non-profit sector,Bulgaria,44.89,29.03,44.14,46.26,50.0,42.01,48.15,49.04,46.55,44.72,44.6,:
Annual,Percentage based on head count (HC),Private non-profit sector,Cyprus,33.06,31.3,31.16,30.3,27.97,29.66,29.8,36.22,36.4,34.33,:,:
Annual,Percentage based on head count (HC),Private non-profit sector,Czechia,37.38,37.13,43.1,45.73,42.63,38.36,38.58,47.5,41.35,45.93,39.52,32.01 p
Annual,Percentage based on head count (HC),Private non-profit sector,Denmark,64.93,58.43,60.92,62.55,65.47,62.55,60.19,62.81 p,:,:,:,:
Annual,Percentage based on head count (HC),Private non-profit sector,Euro area - 19 countries  (2015-2022),45.75 e,47.17 e,47.58 e,48.73 e,48.81 e,48.74 e,:,49.35 e,49.73 e,50.88 e,51.05 e,:
Annual,Percentage based on head count (HC),Private non-profit sector,Euro area – 20 countries (from 2023),45.75 e,47.17 e,47.58 e,48.73 e,48.81 e,48.74 e,:,49.35 e,49.73 e,50.84 e,51 e,:
Annual,Percentage based on head count (HC),Private non-profit sector,Estonia,55.91,55.56,54.95,50.41,51.24,53.1,59.17,58.18,60.55,65.49,70.0,:
Annual,Percentage based on head count (HC),Private non-profit sector,Greece,:,49.67,:,51.23,:,49.9,:,53.3,53.06,53.29,55.56,:
Annual,Percentage based on head count (HC),Private non-profit sector,Spain,47.91,48.06,51.72,51.75,50.0,51.99,49.49,47.79,47.51,48.24,50.58,:
Annual,Percentage based on head count (HC),Private non-profit sector,European Union - 27 countries (from 2020),45.86 e,46.78 e,47.61 e,48.84 e,49.01 e,48.28 e,:,48.73 e,48.97 e,50.52 e,50.59 e,:
Annual,Percentage based on head count (HC),Private non-profit sector,Finland,58.51,60.13,57.99,58.41,58.16,58.17,59.97,59.58,59.13,58.87 d,57.61 d,:
Annual,Percentage based on head count (HC),Private non-profit sector,France,40.0,40.05,41.74,:,43.88,43.9 p,:,:,45.67,46.64,44.69,:
Annual,Percentage based on head count (HC),Private non-profit sector,Croatia,:,:,:,:,:,:,:,:,:,37.74,36.62,:
Annual,Percentage based on head count (HC),Private non-profit sector,Italy,51.35,51.89,50.62,51.6,52.58,52.73,53.28,51.85,52.81,54.44,56.0,:
Annual,Percentage based on head count (HC),Private non-profit sector,Japan,13.65 d,14.38 d,13.81 d,14.1 d,15.08 d,15.31 d,15.32 d,16.06 d,16.88 d,16.66 d,17.34 d,:
Annual,Percentage based on head count (HC),Private non-profit sector,South Korea,23.35,25.13,26.97,27.54,28.59,28.64,28.48,28.18,29.37,29.81,31.32,:
Annual,Percentage based on head count (HC),Private non-profit sector,Montenegro,:,69.57,60.0,48.65 d,:,53.13,60.61,44.44,:,:,:,:
Annual,Percentage based on head count (HC),Private non-profit sector,North Macedonia,:,:,:,60.0,61.9,62.12,64.0,65.79,71.43,:,41.18,:
Annual,Percentage based on head count (HC),Private non-profit sector,Poland,40.21,38.82,48.21,48.17,51.68,45.44,42.95,41.89,39.63,45.71,47.34,:
Annual,Percentage based on head count (HC),Private non-profit sector,Portugal,43.52,45.21 b,52.29,51.07,51.19,50.41,50.66,50.49,49.3,50.58,49.83,:
Annual,Percentage based on head count (HC),Private non-profit sector,Romania,55.19,39.5,40.0,48.13,46.89,30.88,36.16,39.11,45.02,48.26,47.26,:
Annual,Percentage based on head count (HC),Private non-profit sector,Serbia,25.0,50.0,57.14,57.14,75.0,50.0,100.0,100.0,100.0,75.0,100.0,100.0
Annual,Percentage based on head count (HC),Private non-profit sector,Russia,36.58 e,43.62 e,38.03 e,42.31,:,43.77,52.14,52.56,:,:,:,:
Annual,Percentage based on head count (HC),Private non-profit sector,Sweden,:,47.26 b,:,46.22,:,:,:,:,:,:,:,:
Annual,Percentage based on head count (HC),Private non-profit sector,Slovenia,27.78,29.41,7.69,18.18,8.33,30.77,38.82,39.52,43.84,40.78,45.31,:
Annual,Percentage based on head count (HC),Private non-profit sector,Slovakia,54.74,45.76,41.82,43.84,26.09,28.0,28.0,50.0,42.86,41.94,40.48,:
Annual,Percentage based on head count (HC),Private non-profit sector,United Kingdom,40.48 e,39.59,44.48 e,48.66,50.48 e,46.51,48.02,:,:,:,:,:
Annual,Percentage based on head count (HC),All sectors,Austria,:,29.59,:,29.49,:,30.06,:,30.39,:,31.25,:,:
Annual,Percentage based on head count (HC),All sectors,Bosnia and Herzegovina,34.54,38.88,44.29,:,:,:,:,50.02,46.0,49.17,:,:
Annual,Percentage based on head count (HC),All sectors,Belgium,:,33.4,:,34.12,:,34.82,:,32.62,:,33.52 b,:,:
Annual,Percentage based on head count (HC),All sectors,Bulgaria,48.61,49.7,49.47,47.93,49.1,47.37,45.88,46.51,46.75,48.27,46.92,:
Annual,Percentage based on head count (HC),All sectors,Switzerland,32.42,:,:,33.55,:,35.18,:,35.67,:,37.5,:,:
Annual,Percentage based on head count (HC),All sectors,Cyprus,37.32,38.33,38.17,37.94,37.28,38.06,37.29,37.61,38.0,38.71,:,:
Annual,Percentage based on head count (HC),All sectors,Czechia,27.5,28.25,27.19,26.94,26.65,26.77,26.56,27.18,27.6,27.1,27.69,28.06 p
Annual,Percentage based on head count (HC),All sectors,Germany,:,27.95,:,28.0,:,27.88,:,28.05,:,29.36,:,:
Annual,Percentage based on head count (HC),All sectors,Denmark,35.41,34.52,:,33.84,:,35.74,:,35.32 p,:,:,:,:
Annual,Percentage based on head count (HC),All sectors,Euro area - 19 countries  (2015-2022),:,31.45 e,:,31.81 e,:,32.01 e,:,32.37 e,:,33.35 e,:,:
Annual,Percentage based on head count (HC),All sectors,Euro area – 20 countries (from 2023),:,31.55 e,:,31.91 e,:,32.12 e,:,32.48 e,:,33.46 e,:,:
Annual,Percentage based on head count (HC),All sectors,Estonia,43.99,44.42,44.02,43.88,43.55,42.2,43.94,42.45,42.48,41.68,41.29,:
Annual,Percentage based on head count (HC),All sectors,Greece,:,39.38,:,38.0,:,37.82,:,39.04,38.8,38.73,40.12,:
Annual,Percentage based on head count (HC),All sectors,Spain,38.81,39.34,39.59,40.03,40.15,40.49,40.77,41.34,41.47,41.6,41.58,:
Annual,Percentage based on head count (HC),All sectors,European Union - 27 countries (from 2020),:,32.21 e,:,32.46 e,:,32.79 e,:,33.02 e,:,33.71 e,:,:
Annual,Percentage based on head count (HC),All sectors,Finland,32.25,31.49,32.1,32.29,32.52,33.15,33.7,33.74,33.4,32.8 d,33.59 d,:
Annual,Percentage based on head count (HC),All sectors,France,25.48 e,25.46 e,26.14 be,:,28.0,28.29 p,:,:,29.41,29.87,29.72,:
Annual,Percentage based on head count (HC),All sectors,Croatia,47.71,47.75,48.91,48.91,47.74,48.42,49.0,48.28,48.99,48.76,48.44,:
Annual,Percentage based on head count (HC),All sectors,Hungary,30.94,30.32,30.36,30.84,30.76,30.48,27.95 b,30.01,28.49,29.3,28.76,:
Annual,Percentage based on head count (HC),All sectors,Ireland,44.35,35.25,:,35.32,:,36.3,:,38.26,:,37.36,:,:
Annual,Percentage based on head count (HC),All sectors,Iceland,:,43.83 b,:,:,:,46.08,46.07 u,:,:,45.25,46.8 u,:
Annual,Percentage based on head count (HC),All sectors,Italy,35.5,35.7,36.02,36.04,35.19 b,34.33,33.78,34.15,34.9,36.1,36.43,:
Annual,Percentage based on head count (HC),All sectors,Japan,14.41 d,14.63 d,14.7 d,15.25 d,15.7 d,16.18 d,16.56 d,16.87 d,17.47 d,17.83 d,18.26 d,:
Annual,Percentage based on head count (HC),All sectors,South Korea,17.67,18.18,18.49,18.9,19.67,20.1,20.37,21.03,21.42,22.17,22.99,:
Annual,Percentage based on head count (HC),All sectors,Lithuania,52.36,51.22,50.25,50.74,51.57,49.51,49.0,49.08,49.07,48.48,48.85,:
Annual,Percentage based on head count (HC),All sectors,Luxembourg,:,27.28,39.12,28.36,:,28.07,:,27.37,:,29.9,:,:
Annual,Percentage based on head count (HC),All sectors,Latvia,52.81,51.97,:,51.02,52.18,52.23,50.68,50.6,50.01,49.82,50.65,:
Annual,Percentage based on head count (HC),All sectors,Montenegro,:,50.9,49.12,47.57 d,:,49.87,49.56,52.08,:,:,:,:
