Time frequency,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Fifth quintile,Percentage of disposable income,Belgium,70.6 i,63.1 i,50 i
Annual,Fifth quintile,Percentage of disposable income,Bulgaria,42.7 e,57.2 i,44.1 i
Annual,Fifth quintile,Percentage of disposable income,Cyprus,75.8 i,71.6 i,65.2 i
Annual,Fifth quintile,Percentage of disposable income,Czechia,57.2 e,53.4 i,56.3 i
Annual,Fifth quintile,Percentage of disposable income,Germany,70.7 i,65.8 i,63.4 i
Annual,Fifth quintile,Percentage of disposable income,Denmark,73.5 i,50 i,46.5 i
Annual,Fifth quintile,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,63 i,57.6 i
Annual,Fifth quintile,Percentage of disposable income,Euro area – 20 countries (from 2023),:,63.2 i,57.6 i
Annual,Fifth quintile,Percentage of disposable income,Estonia,56.6 i,54.9 i,45.3 i
Annual,Fifth quintile,Percentage of disposable income,Greece,102.3 i,90.7 i,72 i
Annual,Fifth quintile,Percentage of disposable income,Spain,64.8 i,63.1 i,50.6 i
Annual,Fifth quintile,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,63.4 i,56.1 i
Annual,Fifth quintile,Percentage of disposable income,European Union - 27 countries (from 2020),:,62.6 i,56.1 i
Annual,Fifth quintile,Percentage of disposable income,Finland,69.7 i,70.8 i,:
Annual,Fifth quintile,Percentage of disposable income,France,55.1 i,55.3 i,55.3 i
Annual,Fifth quintile,Percentage of disposable income,Croatia,69.9 i,74 i,63 i
Annual,Fifth quintile,Percentage of disposable income,Hungary,67.5 i,71 i,66.2 i
Annual,Fifth quintile,Percentage of disposable income,Ireland,67.2 i,58.6 i,:
Annual,Fifth quintile,Percentage of disposable income,Italy,: u,:,:
Annual,Fifth quintile,Percentage of disposable income,Lithuania,52.6 i,47.3 i,39.4 i
Annual,Fifth quintile,Percentage of disposable income,Luxembourg,55.5 i,58.7 i,52.8 i
Annual,Fifth quintile,Percentage of disposable income,Latvia,68.2 i,59.4 i,56.9 i
Annual,Fifth quintile,Percentage of disposable income,Malta,70.9 i,65.5 i,53.9 i
Annual,Fifth quintile,Percentage of disposable income,Netherlands,:,59.8 i,52.9 i
Annual,Fifth quintile,Percentage of disposable income,Poland,61.3 i,56.8 i,38.8 i
Annual,Fifth quintile,Percentage of disposable income,Portugal,76.8 i,69.6 i,:
Annual,Fifth quintile,Percentage of disposable income,Romania,79.4 i,74.9 i,65.6 i
Annual,Fifth quintile,Percentage of disposable income,Sweden,65.5 i,58.1 i,:
Annual,Fifth quintile,Percentage of disposable income,Slovenia,69 i,65.5 i,64.3 i
