Time frequency,Unit of measure,Activity and employment status,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Spain,0.8
Annual,Percentage,Employed persons,From 55 to 69 years,Total,European Union - 27 countries (from 2020),5.4
Annual,Percentage,Employed persons,From 55 to 69 years,Total,European Union - 28 countries (2013-2020),6.4
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Finland,17.5
Annual,Percentage,Employed persons,From 55 to 69 years,Total,France,5.8
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Hungary,4.4
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Iceland,7.4
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Italy,3.5
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Lithuania,6.8
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Luxembourg,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Latvia,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Malta,17.1
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Netherlands,17.1
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Norway,5.3
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Poland,11.4
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Portugal,9.5
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Romania,3.7
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Sweden,14.3
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Slovenia,4.3 u
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Slovakia,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Austria,7.3
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Belgium,26.0
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Bulgaria,3.1 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Switzerland,16.5
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Cyprus,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Czechia,11.5
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Germany,7.0
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Denmark,19.6
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Euro area - 19 countries  (2015-2022),8.6
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Estonia,7.6 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Greece,4.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Spain,3.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,European Union - 27 countries (from 2020),8.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,European Union - 28 countries (2013-2020),7.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Finland,20.8
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,France,14.1
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Hungary,0.6 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Iceland,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Italy,2.9
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Lithuania,5.7 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Luxembourg,11.9
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Latvia,: @C
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Malta,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Netherlands,19.7
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Norway,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Poland,9.2
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Portugal,4.5
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Romania,3.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Sweden,22.1
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Slovenia,9.4 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Females,Slovakia,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Austria,6.2
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Belgium,17.0
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Bulgaria,3.0 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Switzerland,12.7
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Cyprus,3.3 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Czechia,11.7
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Germany,4.2
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Denmark,13.3
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Euro area - 19 countries  (2015-2022),6.1
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Estonia,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Greece,4.9
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Spain,3.6
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,European Union - 27 countries (from 2020),6.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,European Union - 28 countries (2013-2020),5.8
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Finland,15.7
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,France,7.5
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Hungary,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Iceland,: @C
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Italy,1.8
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Lithuania,8.7 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Luxembourg,6.0 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Latvia,: @C
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Malta,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Netherlands,32.2
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Norway,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Poland,7.7
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Portugal,3.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Romania,3.0
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Sweden,20.1
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Slovenia,8.7 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Males,Slovakia,: @C
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Austria,6.7
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Belgium,20.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Bulgaria,3.1
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Switzerland,14.7
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Cyprus,2.6 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Czechia,11.6
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Germany,5.5
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Denmark,16.8
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Euro area - 19 countries  (2015-2022),7.2
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Estonia,6.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Greece,4.7
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Spain,3.5
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,European Union - 27 countries (from 2020),7.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,European Union - 28 countries (2013-2020),6.6
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Finland,18.4
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,France,10.6
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Hungary,0.4 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Iceland,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Italy,2.2
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Lithuania,6.8
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Luxembourg,8.1
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Latvia,: @C
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Malta,: u
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Netherlands,27.6
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Norway,2.2 u
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Poland,8.6
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Portugal,4.0
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Romania,3.2
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Sweden,21.2
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Slovenia,9.1
Annual,Percentage,Not employed persons,From 55 to 69 years,Total,Slovakia,: u
Annual,Percentage,Population,From 55 to 69 years,Females,Austria,7.6
Annual,Percentage,Population,From 55 to 69 years,Females,Belgium,20.8
Annual,Percentage,Population,From 55 to 69 years,Females,Bulgaria,3.5
Annual,Percentage,Population,From 55 to 69 years,Females,Switzerland,12.4
Annual,Percentage,Population,From 55 to 69 years,Females,Cyprus,1.9 u
Annual,Percentage,Population,From 55 to 69 years,Females,Czechia,11.9
Annual,Percentage,Population,From 55 to 69 years,Females,Germany,3.4
Annual,Percentage,Population,From 55 to 69 years,Females,Denmark,14.5
Annual,Percentage,Population,From 55 to 69 years,Females,Euro area - 19 countries  (2015-2022),6.4
Annual,Percentage,Population,From 55 to 69 years,Females,Estonia,8.0
Annual,Percentage,Population,From 55 to 69 years,Females,Greece,5.1
Annual,Percentage,Population,From 55 to 69 years,Females,Spain,1.8
Annual,Percentage,Population,From 55 to 69 years,Females,European Union - 27 countries (from 2020),7.1
Annual,Percentage,Population,From 55 to 69 years,Females,European Union - 28 countries (2013-2020),7.1
Annual,Percentage,Population,From 55 to 69 years,Females,Finland,19.6
Annual,Percentage,Population,From 55 to 69 years,Females,France,10.6
Annual,Percentage,Population,From 55 to 69 years,Females,Hungary,2.0
Annual,Percentage,Population,From 55 to 69 years,Females,Iceland,8.4
Annual,Percentage,Population,From 55 to 69 years,Females,Italy,3.1
Annual,Percentage,Population,From 55 to 69 years,Females,Lithuania,6.1
Annual,Percentage,Population,From 55 to 69 years,Females,Luxembourg,7.5
Annual,Percentage,Population,From 55 to 69 years,Females,Latvia,: u
Annual,Percentage,Population,From 55 to 69 years,Females,Malta,: u
Annual,Percentage,Population,From 55 to 69 years,Females,Netherlands,15.8
Annual,Percentage,Population,From 55 to 69 years,Females,Norway,3.7
Annual,Percentage,Population,From 55 to 69 years,Females,Poland,10.9
Annual,Percentage,Population,From 55 to 69 years,Females,Portugal,6.4
Annual,Percentage,Population,From 55 to 69 years,Females,Romania,3.8
Annual,Percentage,Population,From 55 to 69 years,Females,Sweden,15.2
Annual,Percentage,Population,From 55 to 69 years,Females,Slovenia,8.0
Annual,Percentage,Population,From 55 to 69 years,Females,Slovakia,: u
Annual,Percentage,Population,From 55 to 69 years,Males,Austria,5.6
Annual,Percentage,Population,From 55 to 69 years,Males,Belgium,14.3
Annual,Percentage,Population,From 55 to 69 years,Males,Bulgaria,3.3
Annual,Percentage,Population,From 55 to 69 years,Males,Switzerland,10.8
Annual,Percentage,Population,From 55 to 69 years,Males,Cyprus,3.5
Annual,Percentage,Population,From 55 to 69 years,Males,Czechia,9.2
Annual,Percentage,Population,From 55 to 69 years,Males,Germany,2.1
Annual,Percentage,Population,From 55 to 69 years,Males,Denmark,11.4
Annual,Percentage,Population,From 55 to 69 years,Males,Euro area - 19 countries  (2015-2022),5.3
Annual,Percentage,Population,From 55 to 69 years,Males,Estonia,5.0 u
Annual,Percentage,Population,From 55 to 69 years,Males,Greece,5.1
Annual,Percentage,Population,From 55 to 69 years,Males,Spain,2.4
Annual,Percentage,Population,From 55 to 69 years,Males,European Union - 27 countries (from 2020),5.8
Annual,Percentage,Population,From 55 to 69 years,Males,European Union - 28 countries (2013-2020),6.0
Annual,Percentage,Population,From 55 to 69 years,Males,Finland,16.1
Annual,Percentage,Population,From 55 to 69 years,Males,France,6.7
Annual,Percentage,Population,From 55 to 69 years,Males,Hungary,2.2
Annual,Percentage,Population,From 55 to 69 years,Males,Iceland,6.1
Annual,Percentage,Population,From 55 to 69 years,Males,Italy,2.6
Annual,Percentage,Population,From 55 to 69 years,Males,Lithuania,7.8
Annual,Percentage,Population,From 55 to 69 years,Males,Luxembourg,4.3
Annual,Percentage,Population,From 55 to 69 years,Males,Latvia,: @C
Annual,Percentage,Population,From 55 to 69 years,Males,Malta,10.3
Annual,Percentage,Population,From 55 to 69 years,Males,Netherlands,23.9
Annual,Percentage,Population,From 55 to 69 years,Males,Norway,5.2
Annual,Percentage,Population,From 55 to 69 years,Males,Poland,8.6
Annual,Percentage,Population,From 55 to 69 years,Males,Portugal,7.3
Annual,Percentage,Population,From 55 to 69 years,Males,Romania,3.1
Annual,Percentage,Population,From 55 to 69 years,Males,Sweden,18.4
Annual,Percentage,Population,From 55 to 69 years,Males,Slovenia,6.9
Annual,Percentage,Population,From 55 to 69 years,Males,Slovakia,: u
Annual,Percentage,Population,From 55 to 69 years,Total,Austria,6.5
Annual,Percentage,Population,From 55 to 69 years,Total,Belgium,16.9
Annual,Percentage,Population,From 55 to 69 years,Total,Bulgaria,3.4
Annual,Percentage,Population,From 55 to 69 years,Total,Switzerland,11.5
Annual,Percentage,Population,From 55 to 69 years,Total,Cyprus,2.9
Annual,Percentage,Population,From 55 to 69 years,Total,Czechia,10.6
Annual,Percentage,Population,From 55 to 69 years,Total,Germany,2.7
Annual,Percentage,Population,From 55 to 69 years,Total,Denmark,13.0
Annual,Percentage,Population,From 55 to 69 years,Total,Euro area - 19 countries  (2015-2022),5.8
Annual,Percentage,Population,From 55 to 69 years,Total,Estonia,6.7
Annual,Percentage,Population,From 55 to 69 years,Total,Greece,5.1
Annual,Percentage,Population,From 55 to 69 years,Total,Spain,2.1
Annual,Percentage,Population,From 55 to 69 years,Total,European Union - 27 countries (from 2020),6.4
Annual,Percentage,Population,From 55 to 69 years,Total,European Union - 28 countries (2013-2020),6.5
Annual,Percentage,Population,From 55 to 69 years,Total,Finland,17.9
Annual,Percentage,Population,From 55 to 69 years,Total,France,8.5
Annual,Percentage,Population,From 55 to 69 years,Total,Hungary,2.1
Annual,Percentage,Population,From 55 to 69 years,Total,Iceland,7.2
Annual,Percentage,Population,From 55 to 69 years,Total,Italy,2.8
Annual,Percentage,Population,From 55 to 69 years,Total,Lithuania,6.8
Annual,Percentage,Population,From 55 to 69 years,Total,Luxembourg,5.5
Annual,Percentage,Population,From 55 to 69 years,Total,Latvia,: u
Annual,Percentage,Population,From 55 to 69 years,Total,Malta,10.7
Annual,Percentage,Population,From 55 to 69 years,Total,Netherlands,20.7
Annual,Percentage,Population,From 55 to 69 years,Total,Norway,4.5
Annual,Percentage,Population,From 55 to 69 years,Total,Poland,9.8
Annual,Percentage,Population,From 55 to 69 years,Total,Portugal,6.9
Annual,Percentage,Population,From 55 to 69 years,Total,Romania,3.5
Annual,Percentage,Population,From 55 to 69 years,Total,Sweden,16.8
Annual,Percentage,Population,From 55 to 69 years,Total,Slovenia,7.4
Annual,Percentage,Population,From 55 to 69 years,Total,Slovakia,0.5 u
