Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Finland,:,:,9.6,9.7,:,9.7,9.6,8.9,8.9,8.6
Annual,Primary and lower secondary education (levels 1 and 2),Rate,France,16.4 d,16.4 d,16.5 d,16.5 d,16.2 d,15.9 d,15.5 d,15.2 d,15.0 d,14.9 d
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Hungary,10.5 d,11.2,10.9,10.7,:,10.6,10.6,10.7,10.8,10.7
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Ireland,:,:,:,:,:,:,:,:,: d,: d
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Iceland,:,:,9.2,9.1,:,8.9,8.7,8.6,8.4,8.2
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Italy,:,:,12.0,7.0,:,11.3,11.2,11.0,10.9,10.7
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Liechtenstein,:,:,9.1,8.7,8.8,8.8,8.8,8.6,8.6,8.5
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Lithuania,:,:,8.0,8.1,:,8.5,10.7,10.8,10.6,10.7
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Luxembourg,:,:,10.8,10.6,:,9.6,: d,: d,9.4,8.5
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Montenegro,:,:,:,14.1 d,:,:,:,:,:,:
Annual,Primary and lower secondary education (levels 1 and 2),Rate,North Macedonia,:,:,11.6,11.2,:,11.3,11.1,11.1,10.8,10.6
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Malta,7.1,6.8,6.5,6.3,8.1,6.0,5.9,5.9,5.7,5.5
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Netherlands,:,:,14.0,14.0,:,13.9,13.8,13.3,13.1,12.5
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Norway,:,:,8.7,:,:,8.3,8.6,7.9,7.6,7.6
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Romania,14.2 d,:,13.8,14.1,:,13.9,13.9,13.6,13.2,13.2
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Serbia,:,:,:,:,:,:,:,: d,:,:
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Sweden,:,:,11.3,11.1,:,10.5,10.2,10.2,10.1,10.0
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Slovenia,10.4,10.5,10.6,10.1,10.2,10.3 d,10.6 d,: d,10.3 d,10.3 d
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Slovakia,:,:,12.8 d,13.2 d,:,13.4,13.0,12.8,12.6,12.1
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Türkiye,:,:,17.6,16.4,:,16.5,16.3,15.8,15.4,15.4
Annual,Primary and lower secondary education (levels 1 and 2),Rate,United Kingdom,:,:,11.0 d,10.4,:,11.4,11.5,:,:,:
Annual,Lower secondary education,Rate,Belgium,:,:,: d,9.0 d,:,8.9,8.9,8.8,8.3,:
Annual,Lower secondary education,Rate,Bulgaria,:,:,12.8,12.9,:,11.4 b,11.2,10.8,10.5,10.6
Annual,Lower secondary education,Rate,Czechia,:,:,11.4,11.5,:,11.4,11.4,11.2,11.1,10.9
Annual,Lower secondary education,Rate,Germany,:,:,13.3,13.2,13.2,:,:,:,:,:
Annual,Lower secondary education,Rate,Denmark,:,:,11.2,11.1,10.9,10.9,10.8,11.0,10.8,10.9
Annual,Lower secondary education,Rate,Greece,7.3,:,:,:,:,7.9,7.9,8.0,7.8,8.1
Annual,Lower secondary education,Rate,Finland,:,:,8.0,8.0,:,7.9,7.7,7.3,7.2,7.4
Annual,Lower secondary education,Rate,France,14.0 d,14.0 d,14.0 d,14.1 d,13.9 d,13.8 d,13.8 d,13.9 d,13.7 d,13.8 d
Annual,Lower secondary education,Rate,Hungary,10.4 d,10.9,10.6,10.3,:,11.0,11.3,11.4,11.3,11.0
Annual,Lower secondary education,Rate,Ireland,:,:,: d,:,:,:,:,:,: d,: d
Annual,Lower secondary education,Rate,Iceland,:,:,9.0,8.7,:,8.4,8.3,8.3,8.2,8.3
Annual,Lower secondary education,Rate,Italy,:,:,11.5,:,:,11.0,10.9,10.8,10.7,10.5
Annual,Lower secondary education,Rate,Liechtenstein,:,:,7.8,7.2,7.3,7.3,7.5,7.5,7.6,7.4
Annual,Lower secondary education,Rate,Lithuania,:,:,7.2,7.2,:,7.5,9.4,9.7,9.5,9.8
Annual,Lower secondary education,Rate,Luxembourg,:,:,11.0,10.7,:,10.7,: d,: d,10.1,9.5
Annual,Lower secondary education,Rate,Montenegro,:,:,:,14.1 d,:,:,:,:,:,:
Annual,Lower secondary education,Rate,North Macedonia,:,:,9.1,8.7,:,8.5,8.3,8.2,8.0,7.9
Annual,Lower secondary education,Rate,Malta,5.4,5.4,4.9,4.8,4.6,4.6,4.5,4.7,4.4,4.3
Annual,Lower secondary education,Rate,Netherlands,:,:,13.6,13.6,:,13.6,13.5,13.3,13.2,12.7
Annual,Lower secondary education,Rate,Norway,:,:,8.3,:,:,7.6,8.2,7.1,6.6,6.6
Annual,Lower secondary education,Rate,Romania,11.2 d,:,10.5,10.8,:,10.3,10.3,10.1,9.9,10.1
Annual,Lower secondary education,Rate,Serbia,:,:,:,:,:,:,:,: d,:,:
Annual,Lower secondary education,Rate,Sweden,:,:,10.9,10.6,:,9.3,9.4,9.5,9.5,9.4
Annual,Lower secondary education,Rate,Slovenia,8.2,8.3,8.5,6.1,6.0,: d,: d,: d,: d,: d
Annual,Lower secondary education,Rate,Slovakia,:,:,10.4 d,: d,:,12.5,12.6,12.8,12.9,15.3
Annual,Lower secondary education,Rate,Türkiye,:,:,16.8,15.1,:,15.9,15.3,14.7,13.7,13.6
Annual,Lower secondary education,Rate,United Kingdom,:,:,11.7 d,12.1,:,12.9,13.2,:,:,:
Annual,Upper secondary education,Rate,Belgium,:,:,: d,9.8 d,:,9.6,9.5,9.4,7.0,:
Annual,Upper secondary education,Rate,Bulgaria,:,:,12.2,12.1,:,13.0 b,12.5,12.1,12.1,11.9
Annual,Upper secondary education,Rate,Czechia,:,:,10.7,10.6,:,10.5,9.6,9.4,9.4,9.5
Annual,Upper secondary education,Rate,Germany,:,:,13.0,12.9,12.7,:,:,:,:,:
Annual,Upper secondary education,Rate,Denmark,:,:,12.1,11.3,11.5,11.5,11.4,12.4,12.8,12.7
Annual,Upper secondary education,Rate,Greece,8.1,:,:,:,:,9.4,9.8,9.2,9.1,9.3
Annual,Upper secondary education,Rate,Finland,:,:,16.2,16.9,:,18.5,17.2,16.9,16.7,16.6
Annual,Upper secondary education,Rate,France,10.8 d,10.8 d,10.8 d,10.9 d,10.9 d,10.8 d,10.7 d,10.5 d,10.5 d,10.6 d
Annual,Upper secondary education,Rate,Hungary,12.0 d,12.5,11.5,11.1,:,11.9,11.5,11.5,10.2,11.1
Annual,Upper secondary education,Rate,Ireland,:,:,:,:,:,:,:,:,11.6 d,11.4 d
Annual,Upper secondary education,Rate,Italy,:,:,11.5,9.7,:,9.7 d,9.7 d,9.5 d,9.6 d,9.4 d
Annual,Upper secondary education,Rate,Liechtenstein,:,:,9.0,11.5,11.9,11.4,12.3,13.4,13.3,11.9
Annual,Upper secondary education,Rate,Lithuania,:,:,8.0,7.6,:,8.0,9.3,9.0,9.4,10.0
Annual,Upper secondary education,Rate,Luxembourg,:,:,10.8,9.0 d,:,8.6,9.2,4.7 d,9.1,8.5
Annual,Upper secondary education,Rate,Montenegro,:,:,:,7.5,:,:,:,:,:,:
Annual,Upper secondary education,Rate,North Macedonia,:,:,12.1,11.8 d,:,10.3,10.3,10.1,10.6,10.5
Annual,Upper secondary education,Rate,Malta,7.2,7.0,7.4,6.6,6.4,6.1,6.1,5.7,5.5,5.6
Annual,Upper secondary education,Rate,Netherlands,:,:,15.6,15.3,:,15.2,15.2,15.2,15.0,14.5
Annual,Upper secondary education,Rate,Norway,:,:,9.8,9.7,:,9.7,10.2,9.5,9.5,9.4
Annual,Upper secondary education,Rate,Romania,13.4,:,12.1,11.7,:,11.6,11.4,11.5,11.6,11.4
Annual,Upper secondary education,Rate,Serbia,:,:,:,:,:,:,:,10.0,:,:
Annual,Upper secondary education,Rate,Sweden,:,:,13.7,12.9,:,12.6,12.0,12.1,12.3,12.5
Annual,Upper secondary education,Rate,Slovenia,13.5,13.7,13.4,14.2,14.1,13.7,14.0,13.6,13.4,13.8
Annual,Upper secondary education,Rate,Slovakia,:,:,13.5,13.5,:,13.4,13.3,13.3,13.2,13.4
Annual,Upper secondary education,Rate,Türkiye,:,:,14.1,12.7,:,12.3,11.5,11.2,12.7,12.8
Annual,Upper secondary education,Rate,United Kingdom,:,:,26.1 d,73.2,:,14.6 d,14.7 d,:,:,:
