Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Million euro,Finland,:,:,:,:,:,:,:,:,601.2,654.5,721.7,634.0,673.5,526.6,:,:
Annual,Million euro,France,9754.3,9840.6,10472.1,10276.4,9970.6,10017.6,10098.1,10281.5,9773.2,9470.4,9157.5,9817.9,10318.7,11479.5 p,:,:
Annual,Million euro,Croatia,:,:,:,:,:,:,:,:,228.5,225.2,243.8,246.0,247.8,247.5,:,:
Annual,Million euro,Hungary,:,:,:,:,:,:,:,:,1347.6,1690.0,428.6,481.0,638.0,988.3,:,:
Annual,Million euro,Ireland,:,:,847.0,659.4,552.6,370.6,382.5,380.2,555.4,500.2,439.2,444.9,544.1,667.3,:,:
Annual,Million euro,Iceland,:,:,:,:,:,:,:,:,24.5,30.4,40.8,43.5,51.1,75.1,51.4,:
Annual,Million euro,Italy,:,:,7251.2,7391.1,6821.9,6253.7,6609.0,5344.8,4783.2,5446.1,5477.3 b,5401.4 b,5441.5,5626.1,:,:
Annual,Million euro,Lithuania,:,:,:,:,425.0,376.2,373.2,252.3,303.5,219.0,186.3,122.6,140.9,194.6,:,:
Annual,Million euro,Luxembourg,:,:,103.6,118.8,93.0,105.1,103.4,133.7,141.8,136.6,161.8,196.5,220.9,219.7,:,:
Annual,Million euro,Latvia,:,:,204.8,119.0,75.8,88.0,148.0,172.4,139.0,151.9,71.9,77.5,93.6,124.0,:,:
Annual,Million euro,Malta,:,:,:,:,:,:,:,11.9,23.9,74.8,14.1,16.7,20.7,25.9,:,:
Annual,Million euro,Netherlands,:,:,:,:,:,:,:,3678.5,4088.7,4567.4,3055.7,2753.6,3257.6,3327.9,:,:
Annual,Million euro,Norway,:,:,: b,:,:,:,:,1261.5,1169 b,1423.2 b,1128.6 b,1142.7,1216.3,1347.9,1456.9,:
Annual,Million euro,Poland,:,:,:,:,2718.4,2930.5,2707.8,2585.2,3405.2 b,3623.3,1493.7,1604.0,2438.5,2846.8,:,:
Annual,Million euro,Portugal,:,:,:,:,:,:,:,:,610.0,684.4,511.3,571.7,656.3,704.4,:,:
Annual,Million euro,Romania,554.8,738.3,908.1,875.9,1087.4,1211.9,965.9,1051.8,1131.6,1656.5,609.2,456.8,700.3,733.5,670.8,:
Annual,Million euro,Sweden,970.5,1054.0,1171.6,952.5,1179.2,1429.3,1592.5,1561.1,1572.3,1781.7,1939.6,2030.0,2308.1,2335.5,:,:
Annual,Million euro,Slovenia,:,:,405.1,372.2,278.9,331.9,404.5,367.2,496.0,509.6,273.0,222.1,300.6,313.1,:,:
Annual,Million euro,Slovakia,:,:,302.6,300.4,288.7,303.8,341.1,263.4,337.2,651.2,295.5,338.8,332.9,322.4 p,:,:
Annual,Million euro,Türkiye,:,:,:,:,:,:,:,1145.8,1220.3,1252.9,1248.0,1396.6,1252.0,1004.0,963.0,:
Annual,Million euro,United Kingdom,5283.6,5079.3,4801.1,2700.5,5891.5,4601.0,6671.9,7117.1,7332.8 e,9783.8 b,8196.8 b,7978.9,:,:,:,:
Annual,Million units of national currency,Austria,1466.7,1535.4,1562.6,1441.9,1304.6,1217.8,1246.6,1228.3,692.6 b,690.3,763.0,1202 b,1384.2,1457.3,:,:
Annual,Million units of national currency,Belgium,:,:,:,:,:,:,:,:,2110.4,2079.7,2082.6,2451.9,2828.9,2748.5,:,:
Annual,Million units of national currency,Bulgaria,608.7,633.0,835.8,545.3,545.6,511.8,413.6,743.6,1629.2 be,1842 e,551.7 e,459.9 e,498.8 e,454.7 e,:,:
Annual,Million units of national currency,Switzerland,2150 e,2212.8 e,2197.3 be,2105.5,2273.6 e,2256.4 e,2213.6 e,2327.9,2292.7 e,2267.7 e,2291.6,2271.4 e,2233.4,2349 ep,2365.1 p,:
Annual,Million units of national currency,Cyprus,:,:,:,:,169.0,130.9,117.1,114.5,43.9,76.2,58.1,61.7,33.4,101.8,:,:
Annual,Million units of national currency,Czechia,:,:,:,:,:,:,38133.9,36506.6,43219.3,52140.6,30658.3,36045.1,41326.0,41634.1,:,:
Annual,Million units of national currency,Germany,:,:,:,:,10279.5 e,11415.3 e,11700.8 e,11331.4 e,12079.8 e,11314 e,11730 e,12142 e,13449.6 e,13977.8 e,:,:
Annual,Million units of national currency,Denmark,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:
Annual,Million units of national currency,Estonia,: @C,:,:,:,: @C,:,:,:,231.6,234.3,104.1,129.8,182.7,111.2,:,:
Annual,Million units of national currency,Greece,:,:,:,:,:,:,:,:,767.4,685.3,383.6,276.2,381.3,363.1 p,:,:
Annual,Million units of national currency,Spain,:,:,:,:,4677.3,3157.3,2780.9,2309.6,2235.3,2369.6,2219.1,2427.4,2633.5,2831.2,2603.3,:
Annual,Million units of national currency,European Union - 27 countries (from 2020),53678.3 i,54907.6 i,56887.1 i,54751.8 i,53915.3 i,53144.4 i,53823.3 i,52389.7 i,53252 i,56456.5 i,47334 i,49741.4 i,55289.8 i,58680.8 i,59654 i,59208.1 i
Annual,Million units of national currency,Finland,:,:,:,:,:,:,:,:,601.2,654.5,721.7,634.0,673.5,526.6,:,:
Annual,Million units of national currency,France,9754.3,9840.6,10472.1,10276.4,9970.6,10017.6,10098.1,10281.5,9773.2,9470.4,9157.5,9817.9,10318.7,11479.5 p,:,:
Annual,Million units of national currency,Croatia,:,:,:,:,:,:,:,:,231.5,227.6,243.8,243.7,243.9,243.7,:,:
Annual,Million units of national currency,Hungary,:,:,:,:,:,:,:,:,416021.2,523894.3,133468.0,148721.1,203458.6,321505.9,:,:
Annual,Million units of national currency,Ireland,:,:,847.0,659.4,552.6,370.6,382.5,380.2,555.4,500.2,439.2,444.9,544.1,667.3,:,:
Annual,Million units of national currency,Iceland,:,:,:,:,:,:,:,:,3787.8,4443.3,5454.9,5245.1,6540.2,10316.6,7945.7,:
Annual,Million units of national currency,Italy,:,:,7251.2,7391.1,6821.9,6253.7,6609.0,5344.8,4783.2,5446.1,5477.3 b,5401.4 b,5441.5,5626.1,:,:
Annual,Million units of national currency,Lithuania,:,:,:,:,425.0,376.2,373.2,252.3,303.5,219.0,186.3,122.6,140.9,194.6,:,:
Annual,Million units of national currency,Luxembourg,:,:,103.6,118.8,93.0,105.1,103.4,133.7,141.8,136.6,161.8,196.5,220.9,219.7,:,:
Annual,Million units of national currency,Latvia,:,:,204.8,119.5,76.5,88.4,146.8,172.1,139.0,151.9,71.9,77.5,93.6,124.0,:,:
Annual,Million units of national currency,Malta,:,:,:,:,:,:,:,11.9,23.9,74.8,14.1,16.7,20.7,25.9,:,:
Annual,Million units of national currency,Netherlands,:,:,:,:,:,:,:,3678.5,4088.7,4567.4,3055.7,2753.6,3257.6,3327.9,:,:
Annual,Million units of national currency,Norway,:,:,: b,:,:,:,:,9848.4,9766.3 b,12737.1 b,10485 b,10657.6,11673.5,13278.0,15622.4,:
Annual,Million units of national currency,Poland,:,:,:,:,10859.1,12075.5,11331.4,10851.2,14248.3 b,15160.1,6517.1,6828.1,10391.6,12234.4,:,:
Annual,Million units of national currency,Portugal,:,:,:,:,:,:,:,:,610.0,684.4,511.3,571.7,656.3,704.4,:,:
Annual,Million units of national currency,Romania,1956.3,2462.4,3344.0,3713.5,4580.2,5137.3,4307.2,4647.9,5028.5,7364.0,2735.4,2087.2,3259.1,3480.6,3245.4,:
Annual,Million units of national currency,Sweden,8981.5,9749.8,11265.2,10115.0,11246.5,12906.4,13861.4,13506.1,14305.8,16665.4,18366.0,19559.0,23677.1,24731.2,:,:
Annual,Million units of national currency,Slovenia,:,:,405.1,372.2,278.9,331.9,404.5,367.2,496.0,509.6,273.0,222.1,300.6,313.1,:,:
Annual,Million units of national currency,Slovakia,:,:,314.0,300.4,288.7,303.8,341.1,263.4,337.2,651.2,295.5,338.8,332.9,322.4 p,:,:
Annual,Million units of national currency,Türkiye,:,:,:,:,:,:,:,2902.8,3546.7,3790.5,4172.4,5755.0,7145.9,6383.2,7756.5,:
Annual,Million units of national currency,United Kingdom,3602.0,3476.0,3823.0,2406.0,5054.0,3993.1,5410.1,6044.2,5911.2 e,7101.5 b,6717.1 b,6994.9,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Austria,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.2 b,0.2,0.2,0.3 b,0.4,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Belgium,:,:,:,:,:,:,:,:,0.5,0.5,0.5,0.6,0.6,0.6,:,:
Annual,Percentage of gross domestic product (GDP),Bulgaria,1.1,1.0,1.1,0.7,0.7,0.6,0.5,0.9,1.9 be,2.1 e,0.6 e,0.4 e,0.5 e,0.4 e,:,:
Annual,Percentage of gross domestic product (GDP),Switzerland,0.4 e,0.4 e,0.4 be,0.3,0.4 e,0.4 e,0.3 e,0.4,0.3 e,0.3 e,0.3,0.3 e,0.3,0.3 ep,0.3 p,:
Annual,Percentage of gross domestic product (GDP),Cyprus,:,:,:,:,0.9,0.7,0.6,0.6,0.3,0.4,0.3,0.3,0.2,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Czechia,:,:,:,:,:,:,0.9,0.9,1.0,1.1,0.6,0.7,0.8,0.7,:,:
Annual,Percentage of gross domestic product (GDP),Germany,:,:,:,:,0.4 e,0.4 e,0.4 e,0.4 e,0.4 e,0.4 e,0.4 e,0.4 e,0.4 e,0.4 e,:,:
Annual,Percentage of gross domestic product (GDP),Denmark,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:
Annual,Percentage of gross domestic product (GDP),Estonia,: @C,:,:,:,: @C,:,:,:,1.2,1.1,0.5,0.5,0.7,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Greece,:,:,:,:,:,:,:,:,0.4,0.4,0.2,0.2,0.2,0.2 p,:,:
Annual,Percentage of gross domestic product (GDP),Spain,:,:,:,:,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,:
Annual,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),0.5 i,0.5 i,0.5 i,0.5 i,0.5 i,0.5 i,0.5 i,0.5 i,0.5 i,0.5 i,0.4 i,0.4 i,0.4 i,0.4 i,0.4 i,0.4 i
Annual,Percentage of gross domestic product (GDP),Finland,:,:,:,:,:,:,:,:,0.3,0.3,0.3,0.3,0.3,0.2,:,:
Annual,Percentage of gross domestic product (GDP),France,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5 p,:,:
Annual,Percentage of gross domestic product (GDP),Croatia,:,:,:,:,:,:,:,:,0.5,0.5,0.5,0.5,0.5,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Hungary,:,:,:,:,:,:,:,:,1.3,1.5,0.4,0.4,0.5,0.7,:,:
Annual,Percentage of gross domestic product (GDP),Ireland,:,:,0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.2,:,:
Annual,Percentage of gross domestic product (GDP),Iceland,:,:,:,:,:,:,:,:,0.2,0.2,0.2,0.2,0.2,0.3,0.3,:
Annual,Percentage of gross domestic product (GDP),Italy,:,:,0.4,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3 b,0.3 b,0.3,0.3,:,:
Annual,Percentage of gross domestic product (GDP),Lithuania,:,:,:,:,1.5,1.2,1.1,0.7,0.8,0.6,0.5,0.3,0.3,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Luxembourg,:,:,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Latvia,:,:,0.8,0.6,0.4,0.4,0.7,0.8,0.6,0.6,0.3,0.3,0.3,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Malta,:,:,:,:,:,:,:,0.2,0.3,0.7,0.1,0.1,0.2,0.2,:,:
Annual,Percentage of gross domestic product (GDP),Netherlands,:,:,:,:,:,:,:,0.6,0.6,0.7,0.4,0.4,0.4,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Norway,:,:,: b,:,:,:,:,0.3,0.3 b,0.4 b,0.3 b,0.3,0.3,0.4,0.5,:
Annual,Percentage of gross domestic product (GDP),Poland,:,:,:,:,0.8,0.8,0.7,0.7,0.8 b,0.8,0.3,0.3,0.5,0.5,:,:
Annual,Percentage of gross domestic product (GDP),Portugal,:,:,:,:,:,:,:,:,0.4,0.4,0.3,0.3,0.3,0.3,:,:
Annual,Percentage of gross domestic product (GDP),Romania,0.6,0.6,0.6,0.7,0.9,0.9,0.7,0.7,0.8,1.0,0.4,0.2,0.3,0.3,0.3,:
Annual,Percentage of gross domestic product (GDP),Sweden,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,:,:
Annual,Percentage of gross domestic product (GDP),Slovenia,:,:,1.1,1.0,0.8,0.9,1.1,1.0,1.3,1.3,0.7,0.5,0.7,0.6,:,:
Annual,Percentage of gross domestic product (GDP),Slovakia,:,:,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.8,0.4,0.4,0.4,0.3 p,:,:
Annual,Percentage of gross domestic product (GDP),Türkiye,:,:,:,:,:,:,:,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,:
Annual,Percentage of gross domestic product (GDP),United Kingdom,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3 e,0.4 b,0.3 b,0.3,:,:,:,:
