Time frequency,Activity and employment status,Country of citizenship,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,France,4.50 u,5.1,3.70 bu,4.00 u,6.1,5.1,4.6,5.7,7.8,8.70 bd,8.60 d,6.70 d
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Croatia,:,:,: bu,: u,:,:,: u,: u,:,:,:,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Hungary,: u,: u,: u,: u,: u,: u,: bu,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Ireland,3.70 u,4.2,4.1,5.2,4.1,4.60 b,3.4,5.00 u,7.10 u,7.10 bu,5.30 u,5.10 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Iceland,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Italy,6.9,8.1,8.0,6.5,5.8,5.2,6.40 b,6.1,6.6,5.90 b,6.2,6.7
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Lithuania,:,:,:,:,:,: u,: u,: u,:,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Luxembourg,6.0,6.7,5.7,6.10 b,6.0,7.2,5.3,4.5,4.4,4.70 b,6.3,5.70 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Latvia,: u,:,: u,: u,: u,: u,:,:,:,: bu,:,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Montenegro,: u,: u,:,: u,: u,:,:,:,:,:,:,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Malta,:,: u,: u,: u,: u,9.40 u,6.00 u,7.00 u,10.60 u,4.20 bu,8.30 u,8.00 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Netherlands,14.5,12.6,12.5,11.8,11.0,11.9,11.1,11.8,14.3,12.50 b,13.2,8.9
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Norway,2.70 u,4.0,5.9,5.8,5.1,: u,: u,5.80 u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Poland,: u,: u,:,:,: u,: u,: u,:,:,: bu,: u,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Portugal,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Serbia,: u,:,: bu,: u,: u,: u,: u,: u,: u,: bu,:,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Sweden,6.9,6.8,5.9,6.5,7.5,6.3,4.00 bu,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Slovenia,: u,: u,: u,: u,: u,: u,: u,:,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Slovakia,: u,: u,: u,: u,: u,: u,: u,: u,:,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,United Kingdom,10.8,14.1,12.2,10.8,10.7,10.1,10.2,10.5,:,:,:,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Austria,9.2,8.7,7.2,7.5,6.8,5.2,4.3,5.3,6.4,6.30 b,5.5,5.8
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Belgium,16.0,16.2,17.2,17.2,17.2,15.20 b,14.7,16.9,17.9,15.90 b,15.6,16.4
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Bulgaria,:,:,:,:,: u,: u,: u,: bu,: u,:,:,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Switzerland,4.8,5.1,5.1,4.4,3.8,4.4,4.6,4.2,4.1,6.20 b,6.7,6.5
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Cyprus,6.5,7.8,7.30 u,6.10 u,7.2,5.60 u,5.70 u,6.3,5.8,6.40 b,8.4,8.8
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Czechia,8.80 u,15.2,14.6,14.2,9.0,9.0,13.8,11.0,11.3,12.90 b,15.2,15.5
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Germany,11.40 b,11.4,9.7,9.1,7.9,7.1,6.9,6.4,6.10 b,5.10 b,5.2,4.9
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Denmark,: u,: u,: u,: u,: bu,6.30 bu,5.10 u,: u,5.30 u,6.30 bu,6.90 u,4.80 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Euro area – 20 countries (from 2023),11.7,11.4,10.6,10.5,9.9,9.2,9.0,8.9,9.4,9.00 b,9.2,8.7
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Estonia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Greece,7.10 u,9.90 u,6.00 u,8.50 u,11.70 u,9.10 u,: u,9.00 u,10.30 u,15.00 bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Spain,16.4,14.1,13.0,13.6,13.5,13.6,14.0,12.3,15.0,15.90 bd,16.00 d,14.50 d
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,European Union - 27 countries (from 2020),11.6,11.4,10.6,10.5,9.8,9.2,8.9,8.9,9.4,8.90 b,9.2,8.7
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Finland,: u,: u,: u,12.30 u,: u,: u,: u,10.20 u,13.90 u,14.50 b,13.4,9.90 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,France,9.6,8.9,7.40 b,10.5,11.7,10.1,10.1,10.7,10.9,11.50 bd,11.60 d,12.40 d
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Croatia,: bu,: u,: bu,:,:,:,:,:,:,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Hungary,: u,: u,: u,: u,: u,: u,: bu,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Ireland,4.7,5.8,6.5,5.8,5.7,6.30 b,5.7,5.6,6.80 u,7.20 bu,6.30 u,7.4
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Iceland,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Italy,12.5,11.5,13.7,11.6,10.5,10.2,10.20 b,9.7,10.1,9.70 b,10.8,9.5
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Lithuania,:,:,:,: u,: u,: u,:,:,: u,:,:,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Luxembourg,4.7,4.9,5.5,5.10 b,5.2,5.2,4.4,4.0,5.1,4.70 b,6.2,4.50 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Latvia,: u,: u,: u,: u,: u,:,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,North Macedonia,: u,:,: u,:,:,: u,:,:,:,:,:,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Malta,: u,: u,: u,: u,13.60 u,18.3,16.5,23.5,21.2,18.00 b,14.9,12.9
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Netherlands,11.7,16.4,13.4,13.3,16.0,17.8,15.9,18.5,15.0,13.40 b,16.1,14.5
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Norway,5.8,4.8,5.6,6.1,6.1,: u,4.90 u,4.80 u,4.50 u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Poland,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Portugal,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Romania,:,:,: u,: u,:,:,:,:,:,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Serbia,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Sweden,9.3,10.5,11.3,11.5,8.5,7.6,5.70 b,6.50 u,8.4,6.80 bu,7.30 u,6.10 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Slovenia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,Slovakia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Males,United Kingdom,18.4,19.6,17.7,16.5,16.8,17.9,16.6,19.0,:,:,:,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Austria,8.6,8.4,7.1,7.3,6.8,5.4,4.9,5.3,5.9,6.30 b,5.6,5.6
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,: bu,: u,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Belgium,11.8,11.8,12.8,13.1,13.2,11.60 b,11.4,12.1,13.5,11.90 b,11.1,12.5
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Bulgaria,:,:,:,:,: u,: u,: u,: bu,: u,:,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Switzerland,4.6,5.0,4.9,4.3,4.1,4.6,4.7,4.6,4.3,6.10 b,7.0,6.9
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Cyprus,5.6,7.2,9.1,7.4,6.8,6.7,7.1,6.5,6.6,6.80 b,7.4,7.0
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Czechia,10.3,14.6,11.7,10.6,7.5,7.6,11.6,11.4,10.7,11.30 b,12.8,13.8
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Germany,9.70 b,9.7,8.3,7.6,6.7,6.1,6.0,5.6,5.50 b,4.40 b,4.8,4.3
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Denmark,5.90 u,5.30 u,4.80 u,5.20 u,3.80 bu,5.90 bu,4.70 u,4.60 u,4.60 u,4.80 b,5.3,6.4
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Euro area – 20 countries (from 2023),9.7,9.5,8.9,8.8,8.1,7.6,7.6,7.8,8.2,7.80 b,8.0,7.4
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Estonia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Greece,6.8,8.9,6.90 u,7.40 u,9.1,9.30 u,5.80 u,8.40 u,12.4,14.40 bu,10.90 u,14.80 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Spain,12.8,11.3,10.5,11.8,10.4,10.4,11.6,11.9,13.0,13.40 bd,14.10 d,12.30 d
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,European Union - 27 countries (from 2020),9.6,9.5,8.8,8.8,8.1,7.6,7.6,7.7,8.2,7.70 b,8.0,7.5
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Finland,9.00 u,8.70 u,7.50 u,11.00 u,8.40 u,7.80 u,8.40 u,9.60 u,12.7,12.60 b,9.8,7.60 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,France,7.4,7.2,5.60 b,7.4,8.9,7.6,7.5,8.4,9.4,10.10 bd,10.10 d,9.60 d
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Croatia,: bu,: u,: bu,: u,:,:,: u,: u,:,: bu,: u,37.00 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Hungary,: u,: u,: u,: u,: u,: u,: bu,15.10 u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Ireland,4.2,5.1,5.5,5.5,5.0,5.50 b,4.6,5.3,6.9,7.20 b,5.8,6.3
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Iceland,: u,8.2,6.8,: u,: u,: u,: u,: u,6.40 b,6.10 b,3.2,3.8
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Italy,9.4,9.6,10.6,8.8,7.9,7.5,8.10 b,7.8,8.3,7.70 b,8.4,8.0
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Lithuania,:,:,:,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Luxembourg,5.4,5.6,5.5,5.50 b,5.6,6.1,4.8,4.2,4.7,4.70 b,6.2,5.0
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Latvia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,North Macedonia,: u,:,: u,:,:,: u,:,:,:,:,:,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Malta,: u,: u,15.40 u,11.40 u,11.70 u,14.9,12.3,16.0,16.5,12.60 b,12.3,11.2
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Netherlands,13.1,14.4,13.0,12.5,13.3,14.6,13.5,15.0,14.6,12.90 b,14.6,11.7
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Norway,4.6,4.5,5.7,5.9,5.7,5.00 u,4.90 u,5.2,4.40 u,2.70 bu,3.90 u,3.60 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Poland,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Portugal,: u,: u,: u,21.1,: u,: u,: u,: u,: u,: bu,15.00 u,19.10 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Romania,:,:,: u,: u,:,:,:,:,:,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Serbia,: u,: u,: bu,: u,: u,: u,34.50 u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Sweden,8.2,8.7,8.5,9.1,8.0,6.9,4.90 b,4.7,5.5,5.60 b,5.6,5.4
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Slovenia,: u,: u,14.60 u,: u,: u,: u,: u,: u,10.60 u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,Slovakia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Total,United Kingdom,14.8,16.9,15.0,13.7,13.9,14.2,13.5,14.9,:,:,:,:
