Annual,Least developed countries,Percentage of gross national income (GNI),Spain,0.03,0.04,0.05,0.05,0.05,0.07,0.06,0.08,0.1,0.12,0.11,0.07,0.04,0.03,0.03,0.03,0.04,0.04,0.05,0.04,0.05 b,0.05,0.04
Annual,Least developed countries,Percentage of gross national income (GNI),European Union - 27 countries (from 2020),0.09,0.1,0.12,0.14,0.12,0.11,0.11,0.11,0.12,0.12,0.13,0.12,0.1,0.1,0.09,0.08,0.09,0.1,0.11,0.1,0.12 b,0.11,0.1
Annual,Least developed countries,Percentage of gross national income (GNI),Finland,0.1,0.1,0.12,0.12,0.12,0.13,0.14,0.15,0.15,0.19,0.2,0.17,0.18,0.19,0.21,0.18,0.13,0.13,0.11,0.14,0.14 b,0.16,0.11
Annual,Least developed countries,Percentage of gross national income (GNI),France,0.09,0.09,0.13,0.17,0.17,0.1,0.12,0.11,0.11,0.12,0.14,0.13,0.09,0.12,0.09,0.1,0.08,0.1,0.12,0.11,0.14 b,0.13,0.12
Annual,Least developed countries,Percentage of gross national income (GNI),Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,0.01,:,0.01,0.02,0.02,0.03,0.01,0.02 b,0.02,0.01
Annual,Least developed countries,Percentage of gross national income (GNI),Hungary,:,:,:,:,0.01,0.04,0.02,0.04,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.05,0.04,0.03 b,0.04,0.02
Annual,Least developed countries,Percentage of gross national income (GNI),Ireland,0.15,0.18,0.23,0.22,0.22,0.21,0.28,0.28,0.3,0.28,0.29,0.27,0.24,0.23,0.18,0.15,0.14,0.14,0.13,0.12,0.12 b,0.11,0.11
Annual,Least developed countries,Percentage of gross national income (GNI),Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1,0.09,0.1,0.08,0.08,0.12,0.1,0.10 b,0.11,0.13
Annual,Least developed countries,Percentage of gross national income (GNI),Italy,0.05,0.05,0.1,0.08,0.05,0.08,0.04,0.06,0.07,0.05,0.06,0.07,0.03,0.05,0.04,0.05,0.05,0.06,0.06,0.06,0.06 b,0.08,0.05
Annual,Least developed countries,Percentage of gross national income (GNI),Lithuania,:,:,:,:,0.01,0.02,0.03,0.06,0.05,0.04,0.06,0.05,0.06,0.04,0.02,0.02,0.03,0.02,0.02,0.02,0.02 b,0.02,0.02
Annual,Least developed countries,Percentage of gross national income (GNI),Luxembourg,0.22,0.24,0.28,0.27,0.26,0.28,0.34,0.36,0.38,0.38,0.4,0.36,0.37,0.38,0.43,0.4,0.42,0.43,0.46,0.47,0.48 b,0.45,0.46
Annual,Least developed countries,Percentage of gross national income (GNI),Latvia,:,:,:,:,:,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02 b,0.02,0.03
Annual,Least developed countries,Percentage of gross national income (GNI),Malta,:,:,:,:,:,:,:,:,:,:,:,:,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.01,0.01 b,0.02,0.01
Annual,Least developed countries,Percentage of gross national income (GNI),Netherlands,0.22,0.26,0.3,0.29,0.3,0.27,0.2,0.23,0.24,0.21,0.24,0.17,0.15,0.17,0.13,0.14,0.15,0.13,0.15,0.14,0.12 b,0.09,0.12
Annual,Least developed countries,Percentage of gross national income (GNI),Norway,0.27,0.28,0.35,0.38,0.37,0.35,0.35,0.34,0.33,0.33,0.34,0.31,0.27,0.3,0.28,0.27,0.26,0.28,0.27,0.28,0.32 b,0.25,0.2
Annual,Least developed countries,Percentage of gross national income (GNI),Poland,:,:,:,:,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.02,0.04,0.02,0.02 b,0.02,0.02
Annual,Least developed countries,Percentage of gross national income (GNI),Portugal,0.15,0.15,0.16,0.11,0.52,0.09,0.1,0.1,0.1,0.1,0.13,0.15,0.09,0.07,0.05,0.05,0.05,0.06,0.06,0.05,0.05 b,0.06,0.03
Annual,Least developed countries,Percentage of gross national income (GNI),Romania,:,:,:,:,:,:,:,:,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02 b,0.02,0.01
Annual,Least developed countries,Percentage of gross national income (GNI),Sweden,0.24,0.23,0.27,0.28,0.24,0.31,0.29,0.3,0.32,0.35,0.3,0.35,0.29,0.31,0.29,0.29,0.27,0.31,0.34,0.32,0.35 b,0.32,0.28
Annual,Least developed countries,Percentage of gross national income (GNI),Slovenia,:,:,:,:,:,:,:,:,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02 b,0.03,0.06
Annual,Least developed countries,Percentage of gross national income (GNI),Slovakia,:,:,:,:,0.02,0.07,0.05,0.04,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02 b,0.02,0.02
