Time frequency,Classification of activities for time use,Frequency,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Lithuania,81.5
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Luxembourg,60.7
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Latvia,86.6
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Montenegro,97.6
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Malta,92.4
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Netherlands,71.3
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Norway,67.4
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Poland,88.8
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Portugal,81.6
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Romania,97.1
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Serbia,94.3
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Sweden,78.3
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Slovenia,79.4
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Slovakia,91.0
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Türkiye,97.9
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Austria,79.4
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Belgium,75.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Bulgaria,96.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Switzerland,53.0
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Cyprus,94.0
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Czechia,71.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Denmark,53.5
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Estonia,75.3
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Greece,91.2
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Spain,70.2
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Finland,61.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,France,80.0
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Croatia,92.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Hungary,89.4
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Ireland,76.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Italy,89.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Lithuania,84.9
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Luxembourg,44.5
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Latvia,80.9
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Montenegro,97.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Malta,90.9
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Netherlands,66.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Norway,72.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Poland,79.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Portugal,77.5
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Romania,94.5
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Serbia,95.8
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Sweden,70.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Slovenia,71.4
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Slovakia,86.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Türkiye,96.5
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Austria,87.9
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Belgium,83.6
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Bulgaria,98.2
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Switzerland,73.5
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Cyprus,92.3
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Czechia,88.5
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Denmark,76.8
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Estonia,90.4
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Greece,93.5
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Spain,84.2
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Finland,79.4
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,France,88.8
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Croatia,91.2
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Hungary,95.6
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Ireland,75.8
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Italy,92.7
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Lithuania,95.4
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Luxembourg,71.3
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Latvia,95.3
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Montenegro,98.5
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Malta,95.1
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Netherlands,73.7
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Norway,74.1
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Poland,92.3
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Portugal,86.7
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Romania,98.3
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Serbia,97.3
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Sweden,80.3
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Slovenia,86.8
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Slovakia,88.9
Annual,Sports events,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Türkiye,98.6
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Austria,62.1
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Belgium,61.6
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Bulgaria,93.9
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Switzerland,33.7
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Cyprus,85.3
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Czechia,62.1
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Denmark,31.7
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Estonia,61.8
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Greece,84.0
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Spain,56.2
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Finland,44.6
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,France,64.6
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Croatia,88.7
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Hungary,82.8
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Ireland,59.0
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Italy,80.7
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Lithuania,74.8
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Luxembourg,32.1
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Latvia,74.7
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Montenegro,95.7
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Malta,81.7
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Netherlands,46.0
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Norway,45.0
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Poland,69.4
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Portugal,68.3
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Romania,92.9
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Serbia,91.1
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Sweden,51.4
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Slovenia,61.9
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Slovakia,80.6
Annual,"Cultural activities (cinema, live performances or cultural sites)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Türkiye,92.1
