Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Hungary,16.3,17.5,17.1,17.6,18.0,20.1,18.4,15.1,14.0,14.0,15.9 b,14.2,18.2 b,17.2,17.3,17.5
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Ireland,17.3,12.6,12.6,13.9,12.7,12.2,12.9,13.9,13.9 p,14.2 p,14.4 p,11.3,10.8 p,9.9 p,11.3 p,9.3
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Iceland,24.0,20.7,18.0,17.7,17.8,17.7,19.0,16.7,17.5,15.8,15.3,13.8,14.2 p,12.2,10.4,9.3
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Italy,5.1,4.9,5.5,5.3,5.7,6.5,7.0,6.1,5.5 p,5.3 p,5 p,5.5,4.7 p,4.2 p,5 p,4.3 p
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Lithuania,22.6,21.6,15.3,11.9 b,11.5,11.9,12.2,13.3,14.2,14.4,15.2,14.0,13.3 p,13.0 p,12 p,12 p
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Luxembourg,10.2,9.7,9.2,8.7,7.9,7.0,6.2,5.4,4.7,3.9,2.6,1.4,1.3 p,0.7 p,-0.2 p,-0.7 p
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Latvia,13.6,11.8,13.1,15.5,14.1,14.9,16.0,17.3,18.4,19.7,19.8,19.6,21.2 p,22.3 p,14.6 p,17.1 p
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Montenegro,:,:,:,:,:,:,:,7.7,:,:,:,:,:,:,:,:
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",North Macedonia,:,:,:,:,:,:,:,9.1,:,:,:,:,:,:,:,:
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Malta,7.8,9.2,7.7,7.2,7.7,9.5,9.7,10.6,10.7,11.6,13.2,13.0,11.6 p,10.0,10.5,10.2
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Netherlands,19.3,18.9,18.5,17.8,18.8,18.0,17.2,17.0,16.1,15.6,15.1,14.7,14.6 p,14.2 p,13.5 p,13 p
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Norway,15.6,17.0,16.5,16.1,15.7,14.7,15.5,14.5,16.0,14.5,13.7,13.2,13.2 dp,13.4 dp,14.3 dp,14.4 dp
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Poland,14.9,11.4,8.0,4.5,5.5,6.4,7.1,7.7,7.3,7.1,7.0,8.5,6.5,4.5,6.2,7.8
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Portugal,8.5,9.2,10.0,12.8,12.9,15.0,13.3,14.9,16.0,13.9,10.8,8.9,10.9 p,11.4 p,11.8 p,12.5 p
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Romania,12.5 d,8.5 d,7.4 d,8.8,9.6,6.9,4.9,4.5,5.6 e,4.8 e,2.9 e,2.2,3.3 e,2.4 e,3.6 e,4.5 e
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Serbia,:,:,:,:,:,:,:,8.7,:,:,:,9.6,:,:,:,:
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Sweden,17.8,16.9,15.7,15.4,15.6,15.5,14.6,13.8,14.0,13.3,12.5,12.1,11.8,11.2,11.2,11.1
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Slovenia,5.0,4.1,-0.9,0.9,3.3,4.5,6.3,7.0,8.2,8.1,8.4,9.3,7.9 p,3.1 p,3.8 p,8.2 p
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Slovakia,23.6,20.9,21.9,19.6,20.1,20.8,18.8,19.7,19.7,19.2,20.1,19.8,18.4,15.8,16.6,17.7
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",Türkiye,:,:,:,:,:,:,:,-1.3,:,:,:,:,:,:,:,:
Annual,Percentage,"Industry, construction and services (except public administration, defense, compulsory social security)",United Kingdom,20.8,21.4,20.6,23.3 b,21.8,22.6,21.0,20.9,21.0,20.7,20.8,19.8,:,:,:,:
