Time frequency,Unit of measure,Type of activity,Tourism indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand,Hotels and similar establishments,Arrivals of residents,Egypt,:,:,:,:,3844.0,3886.0,3687.0,3273.0,:,:,:,:,:,:
Annual,Thousand,Hotels and similar establishments,Arrivals of residents,Israel,5153.8,5177.7,5100.9,4800.0,4915.3,4943.0,5038.2,5330.6,5506.1,5698.6,6018.1,6150.5,6330.9,6405.8
Annual,Thousand,Hotels and similar establishments,Arrivals of residents,Morocco,1400.0 p,1403.0 p,1502.0,1588.0 p,1702.0 p,1859.0 p,2061.0 p,2265.0 p,2399.0 p,2403.0 p,2645.0 p,3685.0 p,3119.6 p,3247.4 p
Annual,Thousand,Hotels and similar establishments,Arrivals of residents,Palestine*,43.5 d,29.2 d,51.7 d,59.0 d,57.0 d,55.5 d,61.9 d,85.4 d,54.9 d,54.0 d,52.0 d,48.0 d,43.0 d,48.0 d
Annual,Thousand,Hotels and similar establishments,Arrivals of residents,Tunisia,1224.0,1251.0,1257.0,1313.0,1367.0,1518.0 p,1525.0 p,1903.0 p,1948.9,1995.9,2241.2,2304.8,:,:
Annual,Thousand,Hotels and similar establishments,Arrivals of non-residents,Algeria,199.9,212.4,232.6,253.0,284.0,317.3,350.7,384.1,402.0,401.1,443.8,589.5,789.8,953.6
Annual,Thousand,Hotels and similar establishments,Arrivals of non-residents,Egypt,:,:,:,:,11679.0,12863.0,8283.0,6469.0,6339.0,7426.0,:,:,:,:
Annual,Thousand,Hotels and similar establishments,Arrivals of non-residents,Israel,2004.7,2131.3,2747.5,3372.9,2620.8,3237.0,3231.9,3170.5,3135.4,3019.5,2692.0,2816.5,3680.2,4134.1
Annual,Thousand,Hotels and similar establishments,Arrivals of non-residents,Morocco,3470.0 p,3815.0 p,3910.0,3824.0 p,3669.0 p,4078.0 p,3456.0 p,3570.0 p,4010.0 p,4204.0 p,3668.4 p,2929.4 p,4632.3 p,5358.8 p
Annual,Thousand,Hotels and similar establishments,Arrivals of non-residents,Palestine*,88.4 d,122.6 d,264.2 d,387.1 d,395.6 d,521.9 d,448.5 d,490.1 d,545.5 d,556.0 d,432.0 d,400.0 d,503.0 d,606.0 d
Annual,Thousand,Hotels and similar establishments,Arrivals of non-residents,Tunisia,5443.0,5415.0,5536.0,5603.0,5042.0,5020.0 p,3472.8 p,4230.7 p,3951.5,3913.1,2143.1,2283.6,:,:
Annual,Thousand,Hotels and similar establishments,"Arrivals, total",Algeria,2726.6,2887.2,3023.1,3167.6,3347.9,3528.0,3762.3,3959.5,4119.4,4173.6,4216.7,4320.2,4423.3,4526.7
Annual,Thousand,Hotels and similar establishments,"Arrivals, total",Egypt,10437.0,11251.0,14621.0,15137.0,15523.0,16749.0,11970.0,9742.0,10164.0,11484.0,9677.0,7134.0,:,:
Annual,Thousand,Hotels and similar establishments,"Arrivals, total",Israel,7158.5,7309.0,7848.4,8172.9,7536.1,8180.0,8270.1,8501.1,8641.5,8718.1,8710.1,8967.0,10011.1,10539.9
Annual,Thousand,Hotels and similar establishments,"Arrivals, total",Morocco,4870.0 p,5218.0 p,5412.0,5412.0 p,5371.0 p,5936.0 p,5517.0 p,5835.0 p,6409.0 p,6607.0 p,6313.0 p,6614.4 p,7751.9 p,8606.2 p
Annual,Thousand,Hotels and similar establishments,"Arrivals, total",Palestine*,131.9 d,151.8 d,315.9 d,446.1 d,452.6 d,577.4 d,510.4 d,575.5 d,600.4 d,610.0 d,484.0 d,448.0 d,546.0 d,654.0 d
Annual,Thousand,Hotels and similar establishments,"Arrivals, total",Tunisia,6667.0,6666.0,6793.0,6916.0,6409.0,6667.0 p,4147.7 p,5989.7 p,5900.4,5908.9,4384.3,4588.5,:,:
