Time frequency,Unit of measure,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Hungary,30.23 d,29.41 d,28.23 d,25.34,26.59,24.16,25.32,23.84,24.7,20.86,20.61
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Ireland,18.15,16.31,16.17,17.53,15.81,14.79,15.39,15.91,15.5,20.06,18.27
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Iceland,27.57,19.24,22.46,24.99,25.41,28.83,26.18,36.19,30.75,29.49,26.4
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Italy,20.56,20.04,19.15,18.4,19.18,19.24,19.73,19.0,18.52,19.25,19.7
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Liechtenstein,12.3,18.7,29.72,35.88,12.69,13.49,11.59,26.7,15.86,21.3,21.34
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Lithuania,31.53,31.88,29.16,28.04,30.13,27.86,28.66,29.72,23.36,26.41,27.55
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Luxembourg,30.8,29.3,32.19,25.94,27.09,30.61,19.59,24.57,26.18,28.41,26.63
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Latvia,24.27,25.72,29.05,24.54,23.34,25.59,26.59,24.79,21.04,19.99,27.67
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Malta,10.38,10.57,12.35,12.84,12.41,14.55,16.48,13.48,15.07,18.01,17.5
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Netherlands,24.76,27.39,26.58,27.48,30.87,32.83,33.99,38.33,38.69,40.24,42.25
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Norway,32.33,32.53,32.71,31.64,30.06,30.73,29.72,31.49,29.93,29.89,30.3
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Poland,22.37,22.63,21.24,19.94,19.17,18.94,19.05,19.21,18.91,19.24,22.88
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Portugal,8.8,7.77,10.56,12.5,13.85,16.43,18.78,17.23,14.02,16.53,19.55
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Romania,18.09,17.98,17.08,16.35,16.56,17.5,17.23,17.65,16.94,14.83,28.57
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Serbia,11.88,10.71,10.12,11.2,10.89,9.66,12.66,10.66,11.88,9.51,11.38
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Sweden,21.57,21.2,20.6,21.56,22.28,21.49,21.63,22.57,20.73,21.45,22.38
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Slovenia,35.55,36.62,33.58,30.64,29.39,29.86,37.1,38.64,37.25,48.55,51.55
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Slovakia,15.98,29.07,33.14,23.37,21.35,20.67,18.89,21.07,22.49,13.95,15.41
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Türkiye,17.49 d,16.39 d,21.12 d,21.94 d,20.48 d,19.53 d,18.51 d,17.22 d,14.13 d,13.82 d,14.08 d
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,United Kingdom,16.81 d,16.94,17.96,17.99,19.34,19.54,20.35,21.14,:,:,:
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Austria,46.02,48.76,46.71,42.85,44.07,40.41,41.03,40.76,45.08,46.81,43.84
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Belgium,51.6,55.12,51.38,51.45,51.44,50.08,46.91,48.32,47.13,45.86,47.72
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Bulgaria,38.11,41.6,40.86,41.35,42.02,40.74,37.19,35.5,36.9,32.64,32.89
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Switzerland,44.47,45.88,44.99,43.04,45.91,43.17,41.53,43.32,39.02,39.43,39.82
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Cyprus,46.52,40.62,52.35,42.39,47.35,49.15,49.31,43.41,47.91,46.29,42.93
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Czechia,64.25,60.55,59.18,62.31,64.13,57.98,58.53,58.0,58.49,55.09,50.84
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Germany,33.86,33.66,34.42,35.01,36.31,38.25,40.06,41.4,40.94,40.31,42.58
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Denmark,39.73,36.84,33.52,35.74,32.74,32.63,33.78,35.08,36.36,35.06,32.1
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Estonia,100.68,103.77,87.52,85.98,78.17,77.01,74.58,70.48,64.11,75.98,80.87
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Greece,35.85,35.8,35.25,30.45,35.9,36.27,39.61,39.11,38.31,39.68,41.53
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Spain,30.64,28.95,28.69,29.18,30.4,32.03,31.56,31.15,31.64,31.32,32.12
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,European Union - 27 countries (from 2020),46.85,46.28,44.94,44.22,45.5,45.48,46.16,45.86,45.1,44.26,46.8
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Finland,82.28,74.97,72.62,68.73,64.68,67.44,70.76,68.81,62.26,63.79,61.6
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,France,54.5,54.78,52.48,51.46,55.28,53.77,52.97,49.96,49.97,48.78,50.93
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Croatia,72.56,73.65 d,67.05 d,69.38,72.9,69.99,67.22,74.58,69.32,62.55,65.12
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Hungary,65.33 d,59.96 d,57.93 d,61.72,60.79,59.61,62.15,58.16,54.08,51.42,54.58
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Ireland,38.73,36.28,32.84,36.87,29.81,29.36,31.81,32.42,29.77,37.49,34.38
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Iceland,37.83,38.78,46.16,31.71,32.34,52.53,48.31,46.24,36.83,44.8,49.07
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Italy,39.09,37.31,35.33,34.38,36.14,36.65,37.82,36.09,35.81,34.48,36.71
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Liechtenstein,104.16,25.41,55.15,26.63,16.89,17.85,60.64,37.81,15.1,55.45,18.46
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Lithuania,121.86,127.86,120.59,114.21,110.69,107.86,99.28,90.58,83.08,90.99,89.85
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Luxembourg,53.12,52.83,55.98,43.39,51.29,52.22,32.02,49.05,31.73,35.56,39.22
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Latvia,97.23,97.9,97.83,105.62,96.86,87.23,87.79,84.76,75.95,76.09,87.62
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Malta,31.81,29.84,38.62,29.31,28.69,36.81,30.9,22.8,27.88,26.7,34.01
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Netherlands,37.33,39.96,41.02,40.96,45.82,47.15,46.72,51.27,49.45,48.94,47.9
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Norway,56.72,54.74,56.69,59.09,51.46,55.44,52.98,56.24,49.98,49.93,48.08
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Poland,67.43,66.77,61.23,59.56,54.39,53.31,54.71,56.71,55.62,55.79,60.58
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Portugal,27.52,23.58,30.26,34.26,37.69,38.51,43.13,41.94,33.73,39.92,46.25
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Romania,65.37,64.87,60.06,60.01,58.11,60.65,62.64,64.02,64.05,57.58,82.43
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Serbia,37.27,36.08,33.3,33.15,34.84,33.02,35.82,33.92,33.84,30.34,33.53
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Sweden,45.89,44.04,46.05,46.05,48.62,45.09,45.52,47.58,43.11,42.94,42.38
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Slovenia,82.24,65.5,66.36,54.97,64.83,64.34,70.23,64.55,67.07,76.58,75.88
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Slovakia,56.71,74.42,82.36,61.65,63.66,57.03,58.33,57.08,57.67,44.04,43.66
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,Türkiye,36.03 d,34.21 d,47.47 d,45.59 d,45.05 d,46.76 d,46.12 d,41.54 d,32.07 d,35.53 d,34.56 d
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Males,United Kingdom,30.17 d,30.52,31.98,32.29,35.89,36.29,37.66,38.35,:,:,:
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Austria,32.29,34.12,32.28,30.71,32.1,29.03,29.58,29.8,32.12,34.57,31.71
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Belgium,40.23,42.82,40.6,38.82,41.21,38.35,37.39,37.96,37.5,36.37,37.32
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Bulgaria,23.61,25.61,24.43,26.34,26.76,25.09,24.6,23.19,23.63,21.38,21.65
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Switzerland,34.1,34.18,35.43,33.67,33.96,32.77,31.85,33.66,30.74,30.94,30.9
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Cyprus,30.23,33.44,35.82,35.77,34.22,34.46,37.15,33.79,37.32,34.95,33.9
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Czechia,45.25,42.46,40.78,42.5,44.53,40.46,40.0,40.74,39.61,38.31,34.82
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Germany,24.47,24.59,25.22,25.48,26.88,28.51,29.62,30.74,30.65,29.91,31.26
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Denmark,30.09,28.08,27.36,27.17,25.07,24.93,25.4,26.64,27.42,26.27,25.5
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Estonia,58.67,60.41,51.01,50.1,46.07,46.24,43.11,41.9,39.32,45.31,51.32
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Greece,22.9,22.52,22.71,19.34,23.62,24.45,26.44,26.43,26.35,28.12,29.52
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Spain,22.22,20.64,20.87,21.24,22.06,22.88,22.49,22.02,22.16,21.91,22.72
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,European Union - 27 countries (from 2020),33.11,32.88,31.99,31.35,32.53,32.45,32.95,32.86,32.35,31.91,33.79
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Finland,53.53,50.37,47.93,45.9,44.01,44.56,44.62,45.58,41.84,40.39,40.8
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,France,39.99,40.08,38.34,37.34,40.35,38.79,38.78,36.36,36.3,35.63,36.93
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Croatia,55.83,55.6 d,53.89 d,53.93,56.75,54.46,50.09,58.19,54.17,48.31,49.02
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Hungary,45 d,42.94 d,41.14 d,40.37,41.32,39.24,41.08,38.61,37.55,33.69,34.89
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Ireland,27.69,25.88,24.34,26.59,22.24,21.92,23.0,23.67,22.25,28.41,25.98
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Iceland,32.3,29.18,32.29,28.07,29.58,40.85,37.87,42.49,34.78,36.84,37.02
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Italy,28.76,27.74,26.31,25.43,26.64,26.76,27.61,26.63,26.26,25.95,27.33
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Liechtenstein,45.14,22.58,37.39,36.24,15.71,16.95,30.91,31.41,15.16,23.55,19.29
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Lithuania,71.4,74.1,69.51,65.99,64.84,62.9,59.48,56.16,50.15,54.25,54.49
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Luxembourg,40.12,40.28,43.63,34.0,36.7,39.0,26.17,33.88,29.61,31.78,32.76
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Latvia,56.1,57.56,58.09,60.04,55.2,52.77,53.23,51.44,45.13,44.78,53.58
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Malta,19.87,19.56,22.07,19.48,19.45,24.45,22.48,18.58,20.74,22.5,25.27
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Netherlands,30.14,32.88,32.38,33.2,37.03,39.06,39.83,44.13,43.57,44.75,45.39
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Norway,43.53,42.91,43.73,43.99,39.6,41.79,39.99,42.47,39.3,39.23,38.73
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Poland,43.35,42.91,39.96,38.07,35.51,34.97,35.65,36.7,36.02,36.46,40.51
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Portugal,17.43,14.92,19.3,22.22,23.88,26.2,29.37,28.05,22.77,26.75,31.2
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Romania,40.13,39.77,37.31,36.84,36.08,37.77,38.48,39.31,38.95,34.96,53.15
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Serbia,23.69,22.52,20.89,21.52,21.9,20.42,23.49,21.48,22.08,19.21,21.73
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Sweden,32.09,31.04,31.77,32.35,33.89,32.31,32.49,33.7,30.69,31.12,31.33
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Slovenia,54.94,50.32,48.06,41.85,44.33,44.32,50.57,50.42,49.85,60.78,62.55
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Slovakia,34.52,49.35,54.9,40.77,40.71,37.46,36.72,37.59,38.55,27.91,28.75
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,Türkiye,25.89 d,24.51 d,33.21 d,32.91 d,31.69 d,32.16 d,31.11 d,28.46 d,22.4 d,23.74 d,23.6 d
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Total,United Kingdom,23.11 d,23.22,24.43,24.71,27.04,27.32,28.45,29.24,:,:,:
