Time frequency,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Fourth quintile,Percentage,Estonia,40.0
Annual,Fourth quintile,Percentage,Greece,45.9
Annual,Fourth quintile,Percentage,Spain,38.5
Annual,Fourth quintile,Percentage,European Union - 27 countries (from 2020),25.5 u
Annual,Fourth quintile,Percentage,Finland,49.0
Annual,Fourth quintile,Percentage,France,24.8
Annual,Fourth quintile,Percentage,Croatia,36.4
Annual,Fourth quintile,Percentage,Hungary,12.8
Annual,Fourth quintile,Percentage,Ireland,20.5
Annual,Fourth quintile,Percentage,Italy,32.3
Annual,Fourth quintile,Percentage,Lithuania,47.6
Annual,Fourth quintile,Percentage,Luxembourg,30.0
Annual,Fourth quintile,Percentage,Latvia,32.4
Annual,Fourth quintile,Percentage,Montenegro,30.3
Annual,Fourth quintile,Percentage,North Macedonia,21.6
Annual,Fourth quintile,Percentage,Malta,32.3
Annual,Fourth quintile,Percentage,Netherlands,11.3
Annual,Fourth quintile,Percentage,Norway,36.7
Annual,Fourth quintile,Percentage,Poland,14.0
Annual,Fourth quintile,Percentage,Portugal,31.7
Annual,Fourth quintile,Percentage,Romania,6.1
Annual,Fourth quintile,Percentage,Serbia,35.8
Annual,Fourth quintile,Percentage,Sweden,29.6
Annual,Fourth quintile,Percentage,Slovenia,33.5
Annual,Fourth quintile,Percentage,Slovakia,26.0
Annual,Fifth quintile,Percentage,Albania,18.6
Annual,Fifth quintile,Percentage,Austria,39.4
Annual,Fifth quintile,Percentage,Belgium,29.5
Annual,Fifth quintile,Percentage,Bulgaria,32.4
Annual,Fifth quintile,Percentage,Switzerland,39.1
Annual,Fifth quintile,Percentage,Cyprus,73.5
Annual,Fifth quintile,Percentage,Czechia,35.7
Annual,Fifth quintile,Percentage,Germany,: u
Annual,Fifth quintile,Percentage,Denmark,32.1
Annual,Fifth quintile,Percentage,Estonia,50.3
Annual,Fifth quintile,Percentage,Greece,63.4
Annual,Fifth quintile,Percentage,Spain,48.5
Annual,Fifth quintile,Percentage,European Union - 27 countries (from 2020),38.4 u
Annual,Fifth quintile,Percentage,Finland,61.7
Annual,Fifth quintile,Percentage,France,45.5
Annual,Fifth quintile,Percentage,Croatia,49.4
Annual,Fifth quintile,Percentage,Hungary,24.3
Annual,Fifth quintile,Percentage,Ireland,28.3
Annual,Fifth quintile,Percentage,Italy,46.8
Annual,Fifth quintile,Percentage,Lithuania,55.3
Annual,Fifth quintile,Percentage,Luxembourg,53.0
Annual,Fifth quintile,Percentage,Latvia,41.6
Annual,Fifth quintile,Percentage,Montenegro,34.1
Annual,Fifth quintile,Percentage,North Macedonia,31.4
Annual,Fifth quintile,Percentage,Malta,41.9
Annual,Fifth quintile,Percentage,Netherlands,19.2
Annual,Fifth quintile,Percentage,Norway,57.6
Annual,Fifth quintile,Percentage,Poland,23.9
Annual,Fifth quintile,Percentage,Portugal,48.7
Annual,Fifth quintile,Percentage,Romania,7.5
Annual,Fifth quintile,Percentage,Serbia,40.3
Annual,Fifth quintile,Percentage,Sweden,42.6
Annual,Fifth quintile,Percentage,Slovenia,44.2
Annual,Fifth quintile,Percentage,Slovakia,28.0
Annual,Total,Percentage,Albania,20.8
Annual,Total,Percentage,Austria,23.2
Annual,Total,Percentage,Belgium,14.8
Annual,Total,Percentage,Bulgaria,17.9
Annual,Total,Percentage,Switzerland,22.2
Annual,Total,Percentage,Cyprus,50.5
Annual,Total,Percentage,Czechia,24.4
Annual,Total,Percentage,Germany,: u
Annual,Total,Percentage,Denmark,16.2
Annual,Total,Percentage,Estonia,37.1
Annual,Total,Percentage,Greece,42.9
Annual,Total,Percentage,Spain,32.2
Annual,Total,Percentage,European Union - 27 countries (from 2020),22.8 u
Annual,Total,Percentage,Finland,43.0
Annual,Total,Percentage,France,22.4
Annual,Total,Percentage,Croatia,33.2
Annual,Total,Percentage,Hungary,12.4
Annual,Total,Percentage,Ireland,14.8
Annual,Total,Percentage,Italy,28.5
Annual,Total,Percentage,Lithuania,47.3
Annual,Total,Percentage,Luxembourg,27.3
Annual,Total,Percentage,Latvia,28.3
Annual,Total,Percentage,Montenegro,24.0
Annual,Total,Percentage,North Macedonia,19.2
Annual,Total,Percentage,Malta,26.4
Annual,Total,Percentage,Netherlands,10.1
Annual,Total,Percentage,Norway,31.9
Annual,Total,Percentage,Poland,14.9
Annual,Total,Percentage,Portugal,27.9
Annual,Total,Percentage,Romania,6.1
Annual,Total,Percentage,Serbia,32.1
Annual,Total,Percentage,Sweden,25.6
Annual,Total,Percentage,Slovenia,30.2
Annual,Total,Percentage,Slovakia,22.9
