Time frequency,Seasonal adjustment,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,European Union - 27 countries (from 2020),5.6,5.6,5.6,5.5,5.5,5.4,5.3,5.2,5.3,5.3,5.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Finland,5.6,6.0,5.6,5.7,5.7,6.0,5.6,6.4,6.5,6.6,7.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,France,6.2,6.2,6.2,6.2,6.2,6.2,5.9,5.7,5.8,6.0,6.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Croatia,5.1,5.1,4.9,4.7,4.5,4.3,4.2,4.1,4.0,3.9,3.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Hungary,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Ireland,3.6,3.4,3.5,3.6,3.7,3.7,3.8,3.4,3.3,3.2,3.1,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Iceland,2.3,2.2,2.1,2.0,1.8,1.8,1.8,1.8,1.8,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Italy,7.3,7.3,7.3,6.8,6.8,6.8,5.9,5.9,5.9,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Lithuania,6.7,7.1,7.1,6.5,5.9,5.5,5.8,5.6,5.7,5.2,5.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Luxembourg,4.6,4.7,4.7,4.7,4.8,4.7,4.8,4.9,4.9,5.0,5.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Latvia,5.7,5.6,5.5,5.1,4.9,5.0,5.2,5.4,5.3,5.3,5.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Malta,2.8,2.7,2.7,2.7,2.6,2.2,2.1,2.1,1.9,2.0,1.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Netherlands,2.8,2.9,2.8,2.8,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Norway,2.8,2.1,2.5,2.5,2.4,2.5,2.4,2.6,2.5,2.3,2.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Poland,2.6,2.6,2.5,2.4,2.4,2.5,2.7,2.8,2.9,3.0,3.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Portugal,5.6,5.9,6.0,5.9,5.7,5.8,5.8,5.7,5.8,5.8,5.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Romania,4.4,4.0,3.8,3.4,3.8,3.6,3.8,3.7,3.6,3.9,3.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Sweden,5.8,6.0,6.5,6.3,6.5,6.2,6.1,6.9,6.8,6.8,6.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Slovenia,3.3,3.3,3.2,3.1,3.1,3.3,3.5,3.7,3.9,4.1,4.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Slovakia,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Türkiye,9.9,9.8,10.2,9.7,9.5,10.4,10.1,9.6,10.2,10.1,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,United States,3.0,3.2,3.2,3.1,3.0,3.4,3.4,3.3,3.2,3.4,3.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Austria,4.9,4.6,4.5,4.6,5.1,5.1,5.2,5.4,5.4,5.0,5.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Bosnia and Herzegovina,9.4,9.4,9.3,9.1,9.0,8.9,8.9,8.8,8.8,8.7,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Belgium,5.0,5.2,5.1,4.9,4.7,4.7,4.7,4.7,4.8,4.8,4.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Bulgaria,4.1,4.1,4.0,3.9,3.7,3.8,3.8,3.8,3.8,3.8,3.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Switzerland,3.4,3.4,3.5,3.6,3.7,3.7,3.8,3.9,3.9,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Cyprus,4.6,4.4,4.1,3.8,3.6,3.8,4.0,4.1,4.1,4.1,4.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Czechia,2.1,2.0,2.1,2.0,2.1,1.9,1.8,1.7,1.9,1.9,1.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Germany,3.0,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.2,3.2,3.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Denmark,5.3,3.9,4.0,4.7,4.0,3.9,4.0,4.4,4.5,4.1,4.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Euro area – 20 countries (from 2023),5.3,5.3,5.2,5.2,5.3,5.3,5.3,5.2,5.2,5.1,5.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Estonia,6.4,6.7,6.4,6.0,6.2,6.2,6.8,6.5,7.4,7.3,7.3,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Greece,8.0,7.9,7.3,7.6,7.2,6.8,7.0,7.3,7.2,7.2,6.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Spain,9.1,9.1,9.1,8.9,8.9,8.9,9.0,8.9,8.9,8.8,8.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,European Union - 27 countries (from 2020),4.9,4.9,4.8,4.8,4.8,4.9,4.9,4.8,4.8,4.7,4.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Finland,7.1,7.2,7.9,7.9,8.0,8.7,8.9,7.5,8.0,8.4,7.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,France,6.2,6.1,6.1,6.0,6.1,6.2,6.1,6.1,6.1,6.1,6.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Croatia,4.0,3.9,3.9,3.9,3.9,3.9,4.0,3.9,3.9,3.8,3.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Hungary,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Ireland,3.3,3.1,3.2,3.4,3.4,3.5,3.4,3.1,3.1,3.1,3.0,3.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Iceland,3.2,3.2,3.1,3.0,2.9,2.9,2.9,2.9,3.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Italy,5.4,5.4,5.4,5.1,5.1,5.1,4.9,4.9,4.9,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Lithuania,7.2,7.3,7.5,7.1,7.0,6.8,7.2,7.2,7.3,6.8,6.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Luxembourg,4.4,4.4,4.5,4.5,4.6,4.5,4.6,4.6,4.6,4.7,4.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Latvia,7.5,7.7,7.7,7.5,7.5,7.4,7.5,7.6,7.4,7.3,7.3,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Malta,2.8,3.0,3.0,2.9,2.8,2.7,2.5,2.5,2.5,2.4,2.3,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Netherlands,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Norway,3.2,2.4,2.9,2.9,2.8,2.9,2.7,2.9,2.8,2.7,2.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Poland,2.1,2.1,2.2,2.3,2.3,2.3,2.2,2.2,2.1,2.1,2.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Portugal,4.5,4.6,4.3,4.5,4.7,5.1,5.1,5.0,5.1,5.1,5.3,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Romania,4.6,4.5,4.3,4.4,4.4,4.4,4.6,4.6,4.6,4.3,4.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Sweden,6.2,6.2,6.1,6.4,5.8,5.9,6.4,6.0,5.9,6.0,5.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Slovenia,2.3,2.3,2.6,2.9,3.1,3.2,3.1,3.1,3.2,3.4,3.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Slovakia,4.2,4.1,4.0,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,Türkiye,6.5,6.2,5.9,6.3,6.0,6.2,6.0,5.8,5.6,5.9,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Males,Percentage of population in the labour force,United States,3.3,3.2,3.0,3.2,3.3,3.3,3.6,3.5,3.3,3.4,3.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Austria,4.4,4.2,4.3,4.5,4.5,4.7,4.6,4.4,5.1,4.9,4.3,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Bosnia and Herzegovina,12.0,12.0,11.9,11.7,11.6,11.5,11.5,11.5,11.4,11.4,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Belgium,4.7,4.8,4.7,4.6,4.6,4.5,4.6,4.5,4.6,4.6,4.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Bulgaria,4.1,4.2,4.0,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Switzerland,3.5,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.1,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Cyprus,4.7,4.5,4.4,4.2,4.0,4.1,4.2,4.1,4.0,4.0,3.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Czechia,2.7,2.3,2.7,2.5,2.3,2.2,2.1,2.2,2.3,2.1,2.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Germany,2.9,2.9,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Denmark,5.0,4.3,4.1,4.9,4.7,4.6,4.6,4.3,4.9,4.4,4.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Euro area – 20 countries (from 2023),5.7,5.7,5.7,5.6,5.6,5.6,5.5,5.4,5.4,5.4,5.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Estonia,6.6,6.8,6.8,6.4,6.1,6.0,6.5,6.6,7.1,6.8,6.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Greece,10.5,10.4,9.8,9.7,9.4,8.7,9.0,9.0,9.1,9.0,8.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Spain,10.6,10.6,10.5,10.5,10.4,10.3,10.2,10.1,10.0,10.0,9.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,European Union - 27 countries (from 2020),5.2,5.2,5.2,5.1,5.1,5.1,5.1,5.0,5.0,5.0,5.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Finland,6.4,6.6,6.8,6.9,6.9,7.4,7.3,7.0,7.3,7.5,7.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,France,6.2,6.1,6.1,6.1,6.2,6.2,6.0,5.9,5.9,6.0,6.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Croatia,4.5,4.5,4.4,4.2,4.2,4.1,4.1,4.0,3.9,3.8,3.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Hungary,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Ireland,3.5,3.2,3.3,3.5,3.5,3.6,3.6,3.3,3.2,3.2,3.0,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Iceland,2.8,2.7,2.7,2.5,2.4,2.4,2.4,2.4,2.5,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Italy,6.2,6.2,6.2,5.9,5.9,5.9,5.4,5.4,5.4,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Lithuania,7.0,7.2,7.3,6.8,6.5,6.1,6.5,6.4,6.5,6.1,6.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Luxembourg,4.5,4.5,4.6,4.6,4.6,4.6,4.7,4.7,4.8,4.8,4.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Latvia,6.6,6.6,6.5,6.3,6.2,6.2,6.3,6.5,6.3,6.3,6.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Malta,2.8,2.9,2.9,2.8,2.7,2.5,2.3,2.3,2.3,2.2,2.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Netherlands,2.6,2.6,2.5,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.6,2.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Norway,3.0,2.3,2.7,2.7,2.6,2.7,2.5,2.8,2.7,2.5,2.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Poland,2.4,2.3,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Portugal,5.1,5.3,5.1,5.2,5.2,5.4,5.4,5.4,5.4,5.5,5.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Romania,4.5,4.3,4.1,4.0,4.1,4.1,4.3,4.2,4.2,4.1,4.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Sweden,6.0,6.1,6.3,6.4,6.1,6.0,6.3,6.4,6.3,6.4,6.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Slovenia,2.8,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.6,3.7,3.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Slovakia,4.8,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,Türkiye,7.6,7.4,7.4,7.4,7.2,7.7,7.4,7.1,7.2,7.3,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Total,Percentage of population in the labour force,United States,3.2,3.2,3.1,3.2,3.2,3.3,3.5,3.4,3.3,3.4,3.5,:
