Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2010.0
Annual,Females,Purchasing power standard (PPS),Ireland,18.65
Annual,Females,Purchasing power standard (PPS),Ísland,10.57
Annual,Females,Purchasing power standard (PPS),Nord-Ovest,13.58
Annual,Females,Purchasing power standard (PPS),Sud,14.87
Annual,Females,Purchasing power standard (PPS),Isole,15.28
Annual,Females,Purchasing power standard (PPS),Nord-Est,12.84
Annual,Females,Purchasing power standard (PPS),Centro (IT),13.73
Annual,Females,Purchasing power standard (PPS),Lithuania,5.48
Annual,Females,Purchasing power standard (PPS),Luxembourg,17.09
Annual,Females,Purchasing power standard (PPS),Latvia,3.85
Annual,Females,Purchasing power standard (PPS),Severna Makedonija,7.09
Annual,Females,Purchasing power standard (PPS),Malta,11.05
Annual,Females,Purchasing power standard (PPS),Noord-Nederland,13.52
Annual,Females,Purchasing power standard (PPS),Oost-Nederland,13.8
Annual,Females,Purchasing power standard (PPS),West-Nederland,14.37
Annual,Females,Purchasing power standard (PPS),Zuid-Nederland,13.18
Annual,Females,Purchasing power standard (PPS),Norway,17.27
Annual,Females,Purchasing power standard (PPS),Region Centralny (NUTS 2013),9.75
Annual,Females,Purchasing power standard (PPS),Makroregion południowy,8.18
Annual,Females,Purchasing power standard (PPS),Region Wschodni (NUTS 2013),8.22
Annual,Females,Purchasing power standard (PPS),Makroregion północno-zachodni,7.9
Annual,Females,Purchasing power standard (PPS),Makroregion południowo-zachodni,8.08
Annual,Females,Purchasing power standard (PPS),Makroregion północny,8.03
Annual,Females,Purchasing power standard (PPS),Continente,8.72
Annual,Females,Purchasing power standard (PPS),Região Autónoma dos Açores,6.8
Annual,Females,Purchasing power standard (PPS),Região Autónoma da Madeira,6.94
Annual,Females,Purchasing power standard (PPS),Macroregiunea Unu,4.39
Annual,Females,Purchasing power standard (PPS),Macroregiunea Doi,4.14
Annual,Females,Purchasing power standard (PPS),Macroregiunea Trei,6.43
Annual,Females,Purchasing power standard (PPS),Macroregiunea Patru,4.15
Annual,Females,Purchasing power standard (PPS),Östra Sverige,13.69
Annual,Females,Purchasing power standard (PPS),Södra Sverige,12.81
Annual,Females,Purchasing power standard (PPS),Norra Sverige,12.58
Annual,Females,Purchasing power standard (PPS),Slovenia,10.78
Annual,Females,Purchasing power standard (PPS),Slovakia,6.29
Annual,Females,Purchasing power standard (PPS),Türkiye,5.97
Annual,Females,Purchasing power standard (PPS),North East (UK) (NUTS 2021),12.91
Annual,Females,Purchasing power standard (PPS),North West (UK) (NUTS 2021),13.03
Annual,Females,Purchasing power standard (PPS),Yorkshire and The Humber (NUTS 2021),12.93
Annual,Females,Purchasing power standard (PPS),East Midlands (UK) (NUTS 2021),12.42
Annual,Females,Purchasing power standard (PPS),West Midlands (UK) (NUTS 2021),12.89
Annual,Females,Purchasing power standard (PPS),East of England (NUTS 2021),13.21
Annual,Females,Purchasing power standard (PPS),London (NUTS 2021),18.68
Annual,Females,Purchasing power standard (PPS),South East (UK) (NUTS 2021),14.16
Annual,Females,Purchasing power standard (PPS),South West (UK) (NUTS 2021),12.86
Annual,Females,Purchasing power standard (PPS),Wales (NUTS 2021),12.79
Annual,Females,Purchasing power standard (PPS),Scotland (NUTS 2021),13.59
Annual,Females,Purchasing power standard (PPS),Northern Ireland (UK) (NUTS 2021),13.12
Annual,Males,Euro,Ostösterreich,17.01
Annual,Males,Euro,Südösterreich,15.49
Annual,Males,Euro,Westösterreich,16.17
Annual,Males,Euro,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,23.39
Annual,Males,Euro,Vlaams Gewest,19.12
Annual,Males,Euro,Région wallonne,19.16
Annual,Males,Euro,Severna i Yugoiztochna Bulgaria,1.97
Annual,Males,Euro,Yugozapadna i Yuzhna tsentralna Bulgaria,2.33
Annual,Males,Euro,Schweiz/Suisse/Svizzera,29.96
Annual,Males,Euro,Kýpros,13.12
Annual,Males,Euro,Czechia,6.0
Annual,Males,Euro,Baden-Württemberg,20.43
Annual,Males,Euro,Bayern,20.11
Annual,Males,Euro,Berlin,17.69
Annual,Males,Euro,Brandenburg,14.12
Annual,Males,Euro,Bremen,20.31
Annual,Males,Euro,Hamburg,22.15
Annual,Males,Euro,Hessen,21.15
Annual,Males,Euro,Mecklenburg-Vorpommern,12.93
Annual,Males,Euro,Niedersachsen,17.58
Annual,Males,Euro,Nordrhein-Westfalen,19.3
Annual,Males,Euro,Rheinland-Pfalz,18.62
Annual,Males,Euro,Saarland,18.29
Annual,Males,Euro,Sachsen,13.83
Annual,Males,Euro,Sachsen-Anhalt,13.58
Annual,Males,Euro,Schleswig-Holstein,16.82
Annual,Males,Euro,Thüringen,13.34
Annual,Males,Euro,Denmark,41.0
Annual,Males,Euro,Eesti,5.73
Annual,Males,Euro,Voreia Ellada (NUTS 2010),10.74
Annual,Males,Euro,Kentriki Ellada (NUTS 2010),11.41
Annual,Males,Euro,Attiki,12.43
Annual,Males,Euro,"Nisia Aigaiou, Kriti",10.09
Annual,Males,Euro,Noroeste,11.62
Annual,Males,Euro,Noreste,13.66
Annual,Males,Euro,Comunidad de Madrid,13.29
Annual,Males,Euro,Centro (ES),11.24
Annual,Males,Euro,Este,12.79
Annual,Males,Euro,Sur,11.45
Annual,Males,Euro,Canarias,10.38
Annual,Males,Euro,Manner-Suomi,20.36
Annual,Males,Euro,Åland,18.73
Annual,Males,Euro,Ile de France,21.61
Annual,Males,Euro,Bassin Parisien (NUTS 2013),15.71
Annual,Males,Euro,Nord-Pas-de-Calais (NUTS 2013),15.76
Annual,Males,Euro,Est (FR) (NUTS 2013),16.1
Annual,Males,Euro,Ouest (FR) (NUTS 2013),15.33
Annual,Males,Euro,Sud-Ouest (FR) (NUTS 2013),16.42
Annual,Males,Euro,Centre-Est (FR) (NUTS 2013),16.68
Annual,Males,Euro,Méditerranée (NUTS 2013),16.87
Annual,Males,Euro,Hrvatska,6.03
Annual,Males,Euro,Közép-Magyarország,6.02
Annual,Males,Euro,Dunántúl,4.45
Annual,Males,Euro,Alföld és Észak,3.91
Annual,Males,Euro,Ireland,23.94
Annual,Males,Euro,Ísland,13.72
Annual,Males,Euro,Nord-Ovest,15.39
Annual,Males,Euro,Sud,13.87
Annual,Males,Euro,Isole,14.64
Annual,Males,Euro,Nord-Est,14.53
Annual,Males,Euro,Centro (IT),15.06
Annual,Males,Euro,Lithuania,3.68
Annual,Males,Euro,Luxembourg,22.64
Annual,Males,Euro,Latvia,4.14
Annual,Males,Euro,Severna Makedonija,2.91
Annual,Males,Euro,Malta,8.71
Annual,Males,Euro,Noord-Nederland,17.74
Annual,Males,Euro,Oost-Nederland,17.81
Annual,Males,Euro,West-Nederland,19.61
Annual,Males,Euro,Zuid-Nederland,18.14
Annual,Males,Euro,Norway,30.29
Annual,Males,Euro,Region Centralny (NUTS 2013),6.54
Annual,Males,Euro,Makroregion południowy,5.24
Annual,Males,Euro,Region Wschodni (NUTS 2013),4.44
Annual,Males,Euro,Makroregion północno-zachodni,4.8
Annual,Males,Euro,Makroregion południowo-zachodni,5.23
Annual,Males,Euro,Makroregion północny,4.84
Annual,Males,Euro,Continente,8.28
Annual,Males,Euro,Região Autónoma dos Açores,6.41
Annual,Males,Euro,Região Autónoma da Madeira,7.76
Annual,Males,Euro,Macroregiunea Unu,2.43
Annual,Males,Euro,Macroregiunea Doi,2.22
Annual,Males,Euro,Macroregiunea Trei,3.31
Annual,Males,Euro,Macroregiunea Patru,2.46
Annual,Males,Euro,Östra Sverige,20.32
Annual,Males,Euro,Södra Sverige,18.62
Annual,Males,Euro,Norra Sverige,17.58
Annual,Males,Euro,Slovenia,9.13
Annual,Males,Euro,Slovakia,5.24
Annual,Males,Euro,Türkiye,4.65
Annual,Males,Euro,North East (UK) (NUTS 2021),16.75
Annual,Males,Euro,North West (UK) (NUTS 2021),17.04
Annual,Males,Euro,Yorkshire and The Humber (NUTS 2021),16.53
Annual,Males,Euro,East Midlands (UK) (NUTS 2021),16.91
Annual,Males,Euro,West Midlands (UK) (NUTS 2021),17.31
Annual,Males,Euro,East of England (NUTS 2021),17.91
Annual,Males,Euro,London (NUTS 2021),27.85
Annual,Males,Euro,South East (UK) (NUTS 2021),20.22
Annual,Males,Euro,South West (UK) (NUTS 2021),17.25
Annual,Males,Euro,Wales (NUTS 2021),15.81
Annual,Males,Euro,Scotland (NUTS 2021),17.71
Annual,Males,Euro,Northern Ireland (UK) (NUTS 2021),15.85
Annual,Males,Purchasing power standard (PPS),Ostösterreich,15.41
Annual,Males,Purchasing power standard (PPS),Südösterreich,14.03
Annual,Males,Purchasing power standard (PPS),Westösterreich,14.65
Annual,Males,Purchasing power standard (PPS),Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,21.07
Annual,Males,Purchasing power standard (PPS),Vlaams Gewest,17.23
Annual,Males,Purchasing power standard (PPS),Région wallonne,17.26
Annual,Males,Purchasing power standard (PPS),Severna i Yugoiztochna Bulgaria,4.44
Annual,Males,Purchasing power standard (PPS),Yugozapadna i Yuzhna tsentralna Bulgaria,5.25
Annual,Males,Purchasing power standard (PPS),Schweiz/Suisse/Svizzera,20.89
Annual,Males,Purchasing power standard (PPS),Kýpros,14.77
Annual,Males,Purchasing power standard (PPS),Czechia,8.3
Annual,Males,Purchasing power standard (PPS),Baden-Württemberg,19.56
Annual,Males,Purchasing power standard (PPS),Bayern,19.25
Annual,Males,Purchasing power standard (PPS),Berlin,16.94
Annual,Males,Purchasing power standard (PPS),Brandenburg,13.51
Annual,Males,Purchasing power standard (PPS),Bremen,19.44
Annual,Males,Purchasing power standard (PPS),Hamburg,21.21
Annual,Males,Purchasing power standard (PPS),Hessen,20.24
Annual,Males,Purchasing power standard (PPS),Mecklenburg-Vorpommern,12.38
Annual,Males,Purchasing power standard (PPS),Niedersachsen,16.83
Annual,Males,Purchasing power standard (PPS),Nordrhein-Westfalen,18.48
Annual,Males,Purchasing power standard (PPS),Rheinland-Pfalz,17.83
Annual,Males,Purchasing power standard (PPS),Saarland,17.51
Annual,Males,Purchasing power standard (PPS),Sachsen,13.24
Annual,Males,Purchasing power standard (PPS),Sachsen-Anhalt,13.0
Annual,Males,Purchasing power standard (PPS),Schleswig-Holstein,16.11
Annual,Males,Purchasing power standard (PPS),Thüringen,12.78
Annual,Males,Purchasing power standard (PPS),Denmark,30.02
Annual,Males,Purchasing power standard (PPS),Eesti,8.34
Annual,Males,Purchasing power standard (PPS),Voreia Ellada (NUTS 2010),11.67
Annual,Males,Purchasing power standard (PPS),Kentriki Ellada (NUTS 2010),12.39
Annual,Males,Purchasing power standard (PPS),Attiki,13.5
Annual,Males,Purchasing power standard (PPS),"Nisia Aigaiou, Kriti",10.96
Annual,Males,Purchasing power standard (PPS),Noroeste,12.35
Annual,Males,Purchasing power standard (PPS),Noreste,14.52
Annual,Males,Purchasing power standard (PPS),Comunidad de Madrid,14.12
Annual,Males,Purchasing power standard (PPS),Centro (ES),11.95
Annual,Males,Purchasing power standard (PPS),Este,13.6
Annual,Males,Purchasing power standard (PPS),Sur,12.17
Annual,Males,Purchasing power standard (PPS),Canarias,11.03
Annual,Males,Purchasing power standard (PPS),Manner-Suomi,17.04
Annual,Males,Purchasing power standard (PPS),Åland,15.68
Annual,Males,Purchasing power standard (PPS),Ile de France,19.23
Annual,Males,Purchasing power standard (PPS),Bassin Parisien (NUTS 2013),13.98
Annual,Males,Purchasing power standard (PPS),Nord-Pas-de-Calais (NUTS 2013),14.03
Annual,Males,Purchasing power standard (PPS),Est (FR) (NUTS 2013),14.32
Annual,Males,Purchasing power standard (PPS),Ouest (FR) (NUTS 2013),13.64
Annual,Males,Purchasing power standard (PPS),Sud-Ouest (FR) (NUTS 2013),14.61
Annual,Males,Purchasing power standard (PPS),Centre-Est (FR) (NUTS 2013),14.85
Annual,Males,Purchasing power standard (PPS),Méditerranée (NUTS 2013),15.01
Annual,Males,Purchasing power standard (PPS),Hrvatska,8.56
Annual,Males,Purchasing power standard (PPS),Közép-Magyarország,10.09
Annual,Males,Purchasing power standard (PPS),Dunántúl,7.45
Annual,Males,Purchasing power standard (PPS),Alföld és Észak,6.54
Annual,Males,Purchasing power standard (PPS),Ireland,21.65
Annual,Males,Purchasing power standard (PPS),Ísland,12.85
Annual,Males,Purchasing power standard (PPS),Nord-Ovest,15.04
Annual,Males,Purchasing power standard (PPS),Sud,13.56
Annual,Males,Purchasing power standard (PPS),Isole,14.31
Annual,Males,Purchasing power standard (PPS),Nord-Est,14.19
Annual,Males,Purchasing power standard (PPS),Centro (IT),14.71
Annual,Males,Purchasing power standard (PPS),Lithuania,6.22
Annual,Males,Purchasing power standard (PPS),Luxembourg,18.71
Annual,Males,Purchasing power standard (PPS),Latvia,4.56
Annual,Males,Purchasing power standard (PPS),Severna Makedonija,7.52
Annual,Males,Purchasing power standard (PPS),Malta,11.92
Annual,Males,Purchasing power standard (PPS),Noord-Nederland,15.92
Annual,Males,Purchasing power standard (PPS),Oost-Nederland,15.99
Annual,Males,Purchasing power standard (PPS),West-Nederland,17.61
Annual,Males,Purchasing power standard (PPS),Zuid-Nederland,16.28
Annual,Males,Purchasing power standard (PPS),Norway,20.51
Annual,Males,Purchasing power standard (PPS),Region Centralny (NUTS 2013),10.94
Annual,Males,Purchasing power standard (PPS),Makroregion południowy,8.77
Annual,Males,Purchasing power standard (PPS),Region Wschodni (NUTS 2013),7.43
Annual,Males,Purchasing power standard (PPS),Makroregion północno-zachodni,8.04
Annual,Males,Purchasing power standard (PPS),Makroregion południowo-zachodni,8.76
Annual,Males,Purchasing power standard (PPS),Makroregion północny,8.09
Annual,Males,Purchasing power standard (PPS),Continente,9.99
Annual,Males,Purchasing power standard (PPS),Região Autónoma dos Açores,7.74
Annual,Males,Purchasing power standard (PPS),Região Autónoma da Madeira,9.36
Annual,Males,Purchasing power standard (PPS),Macroregiunea Unu,4.91
Annual,Males,Purchasing power standard (PPS),Macroregiunea Doi,4.48
Annual,Males,Purchasing power standard (PPS),Macroregiunea Trei,6.68
Annual,Males,Purchasing power standard (PPS),Macroregiunea Patru,4.96
Annual,Males,Purchasing power standard (PPS),Östra Sverige,16.43
Annual,Males,Purchasing power standard (PPS),Södra Sverige,15.05
Annual,Males,Purchasing power standard (PPS),Norra Sverige,14.21
Annual,Males,Purchasing power standard (PPS),Slovenia,10.86
Annual,Males,Purchasing power standard (PPS),Slovakia,7.83
Annual,Males,Purchasing power standard (PPS),Türkiye,7.5
Annual,Males,Purchasing power standard (PPS),North East (UK) (NUTS 2021),15.85
Annual,Males,Purchasing power standard (PPS),North West (UK) (NUTS 2021),16.13
Annual,Males,Purchasing power standard (PPS),Yorkshire and The Humber (NUTS 2021),15.65
Annual,Males,Purchasing power standard (PPS),East Midlands (UK) (NUTS 2021),16.0
Annual,Males,Purchasing power standard (PPS),West Midlands (UK) (NUTS 2021),16.38
Annual,Males,Purchasing power standard (PPS),East of England (NUTS 2021),16.95
Annual,Males,Purchasing power standard (PPS),London (NUTS 2021),26.35
Annual,Males,Purchasing power standard (PPS),South East (UK) (NUTS 2021),19.14
Annual,Males,Purchasing power standard (PPS),South West (UK) (NUTS 2021),16.32
Annual,Males,Purchasing power standard (PPS),Wales (NUTS 2021),14.96
Annual,Males,Purchasing power standard (PPS),Scotland (NUTS 2021),16.75
Annual,Males,Purchasing power standard (PPS),Northern Ireland (UK) (NUTS 2021),15.0
Annual,Total,Euro,Ostösterreich,15.46
Annual,Total,Euro,Südösterreich,13.93
Annual,Total,Euro,Westösterreich,14.47
Annual,Total,Euro,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,22.03
Annual,Total,Euro,Vlaams Gewest,18.17
Annual,Total,Euro,Région wallonne,18.7
Annual,Total,Euro,Severna i Yugoiztochna Bulgaria,1.81
Annual,Total,Euro,Yugozapadna i Yuzhna tsentralna Bulgaria,2.2
Annual,Total,Euro,Schweiz/Suisse/Svizzera,27.53
Annual,Total,Euro,Kýpros,12.08
Annual,Total,Euro,Czechia,5.43
Annual,Total,Euro,Baden-Württemberg,18.06
Annual,Total,Euro,Bayern,17.85
Annual,Total,Euro,Berlin,16.44
Annual,Total,Euro,Brandenburg,13.69
Annual,Total,Euro,Bremen,18.24
Annual,Total,Euro,Hamburg,19.9
Annual,Total,Euro,Hessen,18.83
Annual,Total,Euro,Mecklenburg-Vorpommern,12.68
Annual,Total,Euro,Niedersachsen,15.93
Annual,Total,Euro,Nordrhein-Westfalen,17.4
Annual,Total,Euro,Rheinland-Pfalz,16.79
Annual,Total,Euro,Saarland,16.36
Annual,Total,Euro,Sachsen,13.27
Annual,Total,Euro,Sachsen-Anhalt,13.29
Annual,Total,Euro,Schleswig-Holstein,15.47
Annual,Total,Euro,Thüringen,12.97
Annual,Total,Euro,Denmark,38.71
Annual,Total,Euro,Eesti,4.84
Annual,Total,Euro,Voreia Ellada (NUTS 2010),10.15
Annual,Total,Euro,Kentriki Ellada (NUTS 2010),10.98
Annual,Total,Euro,Attiki,11.4
Annual,Total,Euro,"Nisia Aigaiou, Kriti",9.75
Annual,Total,Euro,Noroeste,10.72
Annual,Total,Euro,Noreste,12.54
Annual,Total,Euro,Comunidad de Madrid,12.25
Annual,Total,Euro,Centro (ES),10.68
Annual,Total,Euro,Este,11.76
Annual,Total,Euro,Sur,10.6
Annual,Total,Euro,Canarias,9.93
Annual,Total,Euro,Manner-Suomi,18.13
Annual,Total,Euro,Åland,17.44
Annual,Total,Euro,Ile de France,19.94
Annual,Total,Euro,Bassin Parisien (NUTS 2013),14.81
Annual,Total,Euro,Nord-Pas-de-Calais (NUTS 2013),14.96
Annual,Total,Euro,Est (FR) (NUTS 2013),14.96
Annual,Total,Euro,Ouest (FR) (NUTS 2013),14.43
Annual,Total,Euro,Sud-Ouest (FR) (NUTS 2013),15.22
Annual,Total,Euro,Centre-Est (FR) (NUTS 2013),15.5
Annual,Total,Euro,Méditerranée (NUTS 2013),15.6
Annual,Total,Euro,Hrvatska,5.87
Annual,Total,Euro,Közép-Magyarország,5.48
Annual,Total,Euro,Dunántúl,4.01
Annual,Total,Euro,Alföld és Észak,3.65
Annual,Total,Euro,Ireland,22.23
Annual,Total,Euro,Ísland,12.4
Annual,Total,Euro,Nord-Ovest,14.74
Annual,Total,Euro,Sud,14.4
Annual,Total,Euro,Isole,15.05
Annual,Total,Euro,Nord-Est,13.91
Annual,Total,Euro,Centro (IT),14.6
Annual,Total,Euro,Lithuania,3.44
Annual,Total,Euro,Luxembourg,21.95
Annual,Total,Euro,Latvia,3.78
Annual,Total,Euro,Severna Makedonija,2.83
Annual,Total,Euro,Malta,8.46
Annual,Total,Euro,Noord-Nederland,16.33
Annual,Total,Euro,Oost-Nederland,16.61
Annual,Total,Euro,West-Nederland,17.86
Annual,Total,Euro,Zuid-Nederland,16.5
Annual,Total,Euro,Norway,27.98
Annual,Total,Euro,Region Centralny (NUTS 2013),6.19
