Time frequency,International Standard Classification of Occupations 2008 (ISCO-08),Activity and employment status,Working time,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,France,41.0,40.7,40.5 b,40.4,40.5,40.4,40.4,40.4,40.3,39.9 bd,40.0 d,40.0 d
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Croatia,41.4 b,41.1,41.3,41.0,40.8,40.7,40.8,40.8,40.7,40.6 b,40.5,40.4
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Hungary,40.6,40.7,40.9,40.9,40.7,40.6,40.5 b,40.5,40.3,40.4 b,40.4,40.3
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Ireland,39.8,40.0,40.2,40.3,40.3,40.5 b,40.6,40.6,40.3,40.1 b,40.4,40.0
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Iceland,44.7,44.9,45.1,45.2,45.0,44.6,44.4,44.0,43.4 b,42.9 b,42.8,42.5
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Italy,40.2,40.3,40.4,40.5,40.5,40.7,40.7 b,40.7,40.3,40.6 b,40.5,40.5
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Lithuania,39.6,39.6,39.5,39.7,39.7,39.9,40.0,40.0,40.0,39.9 b,40.0,40.0
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Luxembourg,40.8,40.7,40.8,40.8 b,40.9,40.9,40.6,40.6,40.3,41.1 b,40.9,40.8
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Latvia,40.5,40.4,40.5,40.6,40.5,40.4,40.4,40.3,40.3,40.1 b,40.1,40.1
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Montenegro,44.0,44.2,44.3,44.8,44.2,44.3,45.0,45.3,45.0,:,:,:
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,North Macedonia,43.6,43.3,43.2,42.7,42.7,43.3,43.0,42.3,41.6,:,:,:
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Malta,41.4,41.3,41.3,41.5,41.4,41.4,41.6,42.2,42.0,41.2 b,40.9,40.9
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Netherlands,40.8,40.7 b,40.9,40.8,40.9,40.8,40.8,40.7,40.4,39.4 b,39.4,39.3
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Norway,39.0,39.0,39.1,38.9,38.9,38.9,38.9,38.8,38.7,39.5 b,39.7,39.8
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Poland,42.3,42.3,42.4,42.2,42.1,41.9,41.8,41.7 b,41.4,41.3 b,41.3,41.2
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Portugal,42.5,42.6,42.7,42.3,42.0,41.9,41.7,41.7,41.2,41.3 b,41.3,41.3
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Romania,40.8,40.6,40.6,40.5,40.5,40.4,40.3,40.4,40.3,40.5 b,40.5,40.4
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Serbia,44.9,44.8,44.7 b,44.8,44.3,44.0,43.9,43.7,44.3,44.1 b,43.9,43.3
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Sweden,40.8,40.8,40.7,40.7,40.7,40.6,40.6 b,40.6,40.4,41.6 b,41.6,41.5
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Slovenia,41.8,41.8,41.8,41.6,41.4,41.4,41.4,41.4,41.2,41.3 b,41.1,41.1
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Slovakia,41.7,41.8,41.7,41.6,41.4,41.2,41.1,41.2,40.9,40.2 b,40.2,40.2
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Türkiye,52.5,52.0,51.5 b,50.9,50.0,49.7,49.0,48.5,48.3,48.1 b,47.8,47.7
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,United Kingdom,42.8,42.8,42.9,42.9,42.8,42.6,42.4,42.5,:,:,:,:
