Time frequency,Thickness,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Less than 15 microns,Number per inhabitant,Slovenia,64.8,61.2,62.9,68.5,61.3
Annual,Less than 15 microns,Number per inhabitant,Slovakia,112.2,91.4,76.5,69.8,68.7
Annual,Less than 50 microns,Number,Austria,457000000.0,330500000.0,224318810.0,221919210.0,128059039.0
Annual,Less than 50 microns,Number,Belgium,321832953.0,197957381.0,113336395.0,63057869.0,45607448.0
Annual,Less than 50 microns,Number,Bulgaria,1333353627.0,1352577020.0,1196309463.0,1042243714.0,850860845.0
Annual,Less than 50 microns,Number,Cyprus,203883966.0,135936620.0,144456453.0,149555014.0,148238250.0
Annual,Less than 50 microns,Number,Czechia,2153112000 de,2639968000 de,2689696485 d,1988149409 d,1979269605 d
Annual,Less than 50 microns,Number,Germany,4740000000.0,4524000000.0,3726000000.0,3197000000.0,2907000000.0
Annual,Less than 50 microns,Number,Denmark,:,:,:,:,115417416.0
Annual,Less than 50 microns,Number,Estonia,237768864.0,201776000.0,:,:,167236060.0
Annual,Less than 50 microns,Number,Greece,1196832984.0,1214625057.0,:,927404456.0,873229191.0
Annual,Less than 50 microns,Number,Spain,8710531987.0,7153870779.0,8832544703.0,6225656692.0,4521034018.0
Annual,Less than 50 microns,Number,European Union - 27 countries (from 2020),42222622843 i,41395389763.0,38493932075.0,34495489540.0,29800205538 i
Annual,Less than 50 microns,Number,Finland,860588235.0,814705882.0,697128779.0,708014797.0,656668793.0
Annual,Less than 50 microns,Number,France,7000000000 e,7000000000 e,4743749039 b,:,3183267778.0
Annual,Less than 50 microns,Number,Croatia,216083333 d,384685000 d,365140027 d,424166324 d,372981918 d
Annual,Less than 50 microns,Number,Hungary,1078184887.0,846100838.0,884888450.0,1362247802 b,839740656.0
Annual,Less than 50 microns,Number,Ireland,258907786.0,254327804.0,245438563.0,244755158.0,237827471.0
Annual,Less than 50 microns,Number,Iceland,:,:,14224640.0,16571086.0,13999259.0
Annual,Less than 50 microns,Number,Italy,5573526971.0,6643644654.0,6649815641.0,7537828044.0,7173633621.0
Annual,Less than 50 microns,Number,Liechtenstein,:,:,:,:,637758.0
Annual,Less than 50 microns,Number,Lithuania,903553932.0,926246224.0,820472480.0,758203575.0,705821606.0
Annual,Less than 50 microns,Number,Luxembourg,67229738.0,38908124.0,16386909.0,15411718.0,15354486.0
Annual,Less than 50 microns,Number,Latvia,630421333.0,544210095.0,435604571.0,383593944.0,361905882.0
Annual,Less than 50 microns,Number,Malta,:,:,:,:,66788800 b
Annual,Less than 50 microns,Number,Netherlands,:,:,:,:,663000000.0
Annual,Less than 50 microns,Number,Norway,775300217.0,743091361.0,1082265584.0,1288349980.0,1192451690.0
Annual,Less than 50 microns,Number,Poland,:,888307108.0,222805589.0,236615545.0,241522325.0
Annual,Less than 50 microns,Number,Portugal,:,78733340.0,175836660.0,91245200.0,137705510.0
Annual,Less than 50 microns,Number,Romania,1677175907.0,1849574600.0,:,:,:
Annual,Less than 50 microns,Number,Sweden,1560390270.0,1531730532.0,1064299850.0,165267484.0,206133174.0
Annual,Less than 50 microns,Number,Slovenia,164402468.0,151933847.0,154927158.0,171721199.0,157365517.0
Annual,Less than 50 microns,Number,Slovakia,702194620.0,570797656.0,507393673.0,434755681.0,411431954.0
Annual,Less than 50 microns,Number,Northern Ireland (UK) (NUTS 2021),:,:,:,:,21625000 b
Annual,Less than 50 microns,Number per inhabitant,Austria,51.7,37.2,25.2,24.8,14.2
Annual,Less than 50 microns,Number per inhabitant,Belgium,28.2,17.2,9.8,5.4,3.9
Annual,Less than 50 microns,Number per inhabitant,Bulgaria,198.7,204.4,182.6,160.2,131.6
Annual,Less than 50 microns,Number per inhabitant,Cyprus,234.3,154.1,161.9,166.1,162.4
Annual,Less than 50 microns,Number per inhabitant,Czechia,202.6 de,247.4 de,251.4 d,189.2 d,185.5 d
Annual,Less than 50 microns,Number per inhabitant,Germany,57.2,54.4,44.8,38.4,34.7
Annual,Less than 50 microns,Number per inhabitant,Denmark,:,:,:,:,19.6
Annual,Less than 50 microns,Number per inhabitant,Estonia,179.9,152.1,:,:,124.0
Annual,Less than 50 microns,Number per inhabitant,Greece,111.5,113.3,:,87.7,83.7
Annual,Less than 50 microns,Number per inhabitant,Spain,186.2,151.8,186.5,131.2,94.6
Annual,Less than 50 microns,Number per inhabitant,European Union - 27 countries (from 2020),94.7 i,92.7,86.2,77.4,66.6 i
Annual,Less than 50 microns,Number per inhabitant,Finland,156.0,147.5,126.1,127.8,118.2
Annual,Less than 50 microns,Number per inhabitant,France,104.2 e,103.9 e,70.2 b,:,46.8
Annual,Less than 50 microns,Number per inhabitant,Croatia,54.1 d,97.4 d,93.3 d,109.4 d,96.7 d
Annual,Less than 50 microns,Number per inhabitant,Hungary,111.1,87.3,91.5,141.4 b,87.4
Annual,Less than 50 microns,Number per inhabitant,Ireland,52.9,51.1,48.7,47.9,45.6
Annual,Less than 50 microns,Number per inhabitant,Iceland,:,:,38.8,44.5,36.6
Annual,Less than 50 microns,Number per inhabitant,Italy,92.7,111.2,111.9,127.5,121.6
Annual,Less than 50 microns,Number per inhabitant,Liechtenstein,:,:,:,:,16.1
Annual,Less than 50 microns,Number per inhabitant,Lithuania,320.5,329.5,291.9,270.0,249.3
Annual,Less than 50 microns,Number per inhabitant,Luxembourg,110.6,62.8,26.0,24.1,23.5
Annual,Less than 50 microns,Number per inhabitant,Latvia,327.1,284.4,229.2,203.6,192.6
Annual,Less than 50 microns,Number per inhabitant,Malta,:,:,:,:,125.8 b
Annual,Less than 50 microns,Number per inhabitant,Netherlands,:,:,:,:,37.5
Annual,Less than 50 microns,Number per inhabitant,Norway,146.0,139.0,201.2,238.2,218.5
Annual,Less than 50 microns,Number per inhabitant,Poland,:,23.4,5.9,6.4,6.6
Annual,Less than 50 microns,Number per inhabitant,Portugal,:,7.6,17.0,8.8,13.2
Annual,Less than 50 microns,Number per inhabitant,Romania,86.1,95.5,:,:,:
Annual,Less than 50 microns,Number per inhabitant,Sweden,153.4,149.0,102.8,15.9,19.7
Annual,Less than 50 microns,Number per inhabitant,Slovenia,79.3,72.8,73.7,81.5,74.5
Annual,Less than 50 microns,Number per inhabitant,Slovakia,128.9,104.7,92.9,79.8,75.7
Annual,Less than 50 microns,Number per inhabitant,Northern Ireland (UK) (NUTS 2021),:,:,:,:,: b
