Time frequency,Vehicles,Unit of measure,Motor energy,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Mopeds,Number,Total,Ireland,:,159.0,166.0,238.0,210.0,160.0,227.0,257.0,162.0,211.0,170.0,135.0
Annual,Mopeds,Number,Total,Iceland,:,:,:,:,:,25.0,16.0,33.0,473.0,189.0,:,:
Annual,Mopeds,Number,Total,Italy,:,31646.0,26724.0,23390.0,23249.0,23874.0,20920.0,20357.0,19775.0,18835.0,21245.0,18758.0
Annual,Mopeds,Number,Total,Lithuania,:,993.0,898.0,714.0,601.0,661.0,322.0,344.0,595.0,863.0,928.0,766.0
Annual,Mopeds,Number,Total,Luxembourg,:,1099.0,1027.0,940.0,956.0,589.0,282.0,355.0,430.0,428.0,321.0,173.0
Annual,Mopeds,Number,Total,Latvia,:,2153.0,1219.0,1008.0,939.0,1279.0,644.0,748.0,684.0,634.0,588.0,310.0
Annual,Mopeds,Number,Total,Malta,:,16.0,24.0,22.0,48.0,27.0,95.0,679.0,120.0,860.0,1080.0,957.0
Annual,Mopeds,Number,Total,Netherlands,:,14580.0,18845.0,21437.0,20880.0,24711.0,17542.0,23800.0,27132.0,28179.0,37776.0,29066.0
Annual,Mopeds,Number,Total,Norway,:,:,:,:,5946.0,5258.0,4177.0,3251.0,3390.0,2996.0,3092.0,2223.0
Annual,Mopeds,Number,Total,Poland,:,48755 i,40718 i,30427 i,23890 i,29637 i,18447 i,19171 i,18340 i,12710 i,11414 i,:
Annual,Mopeds,Number,Total,Portugal,:,:,:,:,:,3445.0,3171.0,2915.0,2214.0,2190.0,2346.0,1996.0
Annual,Mopeds,Number,Total,Romania,:,106.0,48.0,27.0,29.0,18.0,29.0,18.0,11.0,11.0,1.0,0.0
Annual,Mopeds,Number,Total,Serbia,:,:,:,1682.0,1217.0,1153.0,1801.0,2223.0,2072.0,1890.0,3088.0,2824.0
Annual,Mopeds,Number,Total,Sweden,:,7916.0,8682.0,10628.0,12581.0,22160.0,11630.0,16026.0,24665.0,10323.0,12280.0,9314.0
Annual,Mopeds,Number,Total,Slovenia,:,2238.0,2194.0,2264.0,2470.0,18589.0,5200.0,4901.0,5238.0,5676.0,5442.0,4944.0
Annual,Mopeds,Number,Total,Slovakia,:,798.0,594.0,417.0,343.0,256.0,210.0,269.0,218.0,270.0,299.0,348.0
Annual,Mopeds,Number,Total,Türkiye,:,644.0,1811.0,2332.0,3472.0,18036.0,46625.0,60105.0,100546.0,116161.0,209696.0,473046.0
Annual,Mopeds,Number,Total,Ukraine,:,:,:,:,:,:,:,285.0,94.0,233.0,181.0,285.0
Annual,Mopeds,Number,Total,United Kingdom,:,:,:,7991.0,7533.0,5685.0,3852.0,:,:,5218.0,4966.0,3469.0
Annual,Mopeds,Number,Zero emission,Albania,:,:,:,:,:,:,:,17.0,89.0,87.0,43.0,95.0
Annual,Mopeds,Number,Zero emission,Austria,:,380.0,343.0,319.0,632.0,1310.0,1816.0,1928.0,1910.0,2630.0,2521.0,1700.0
Annual,Mopeds,Number,Zero emission,Bosnia and Herzegovina,:,0.0,0.0,0.0,9.0,13.0,3.0,8.0,6.0,12.0,14.0,15.0
Annual,Mopeds,Number,Zero emission,Belgium,:,71.0,248.0,626.0,3346.0,6881.0,11350.0,17479.0,15145.0,17135.0,21743.0,20906 i
Annual,Mopeds,Number,Zero emission,Cyprus,:,10.0,15.0,3.0,4.0,56.0,102.0,159.0,189.0,184.0,184.0,256.0
Annual,Mopeds,Number,Zero emission,Czechia,:,:,:,:,:,:,:,:,:,13.0,:,:
Annual,Mopeds,Number,Zero emission,Germany,:,:,:,:,:,21.0,20.0,58.0,200.0,80.0,:,6395.0
Annual,Mopeds,Number,Zero emission,Estonia,:,11.0,18.0,28.0,25.0,32.0,27.0,63.0,105.0,194.0,139.0,90.0
Annual,Mopeds,Number,Zero emission,Spain,:,:,:,:,394.0,1073.0,3146.0,4437.0,3929.0,3726.0,4575.0,4426.0
Annual,Mopeds,Number,Zero emission,Finland,:,90.0,47.0,77.0,102.0,296.0,474.0,755.0,1239.0,944.0,1135.0,718.0
Annual,Mopeds,Number,Zero emission,France,:,1135.0,1291.0,1954.0,5685.0,7727.0,10215.0,14155.0,11645.0,21963.0,31617.0,25132.0
Annual,Mopeds,Number,Zero emission,Georgia,:,:,:,:,:,:,:,:,:,:,:,102.0
Annual,Mopeds,Number,Zero emission,Croatia,:,:,:,149.0,60.0,85.0,324.0,590.0,371.0,242.0,390.0,471.0
Annual,Mopeds,Number,Zero emission,Ireland,:,6.0,5.0,1.0,3.0,9.0,19.0,40.0,42.0,101.0,85.0,73.0
Annual,Mopeds,Number,Zero emission,Iceland,:,:,:,:,:,8.0,:,24.0,174.0,108.0,:,:
Annual,Mopeds,Number,Zero emission,Lithuania,:,8.0,8.0,8.0,13.0,19.0,33.0,83.0,421.0,706.0,730.0,600.0
Annual,Mopeds,Number,Zero emission,Luxembourg,:,:,:,:,:,:,:,165.0,191.0,253.0,160.0,74.0
Annual,Mopeds,Number,Zero emission,Latvia,:,:,1.0,7.0,6.0,13.0,22.0,164.0,262.0,241.0,225.0,94.0
Annual,Mopeds,Number,Zero emission,Malta,:,0.0,1.0,10.0,24.0,10.0,84.0,651.0,114.0,844.0,1028.0,933.0
Annual,Mopeds,Number,Zero emission,Netherlands,:,632.0,2918.0,3923.0,3896.0,5318.0,4379.0,6689.0,8804.0,12062.0,19279.0,13401.0
Annual,Mopeds,Number,Zero emission,Norway,:,:,:,:,227.0,335.0,406.0,623.0,939.0,1060.0,1301.0,802.0
Annual,Mopeds,Number,Zero emission,Poland,:,0.0,0.0,0.0,0.0,0.0,:,:,:,:,2751 i,:
Annual,Mopeds,Number,Zero emission,Portugal,:,:,:,:,:,230.0,535.0,608.0,256.0,454.0,763.0,721.0
Annual,Mopeds,Number,Zero emission,Romania,:,:,:,:,:,:,:,5.0,0.0,3.0,1.0,0.0
Annual,Mopeds,Number,Zero emission,Serbia,:,:,:,:,:,:,:,156.0,126.0,76.0,117.0,108.0
Annual,Mopeds,Number,Zero emission,Sweden,:,756.0,752.0,999.0,1637.0,2878.0,5400.0,5886.0,6467.0,5101.0,5602.0,2832 b
Annual,Mopeds,Number,Zero emission,Slovenia,:,:,:,:,:,:,:,:,:,:,:,427.0
Annual,Mopeds,Number,Zero emission,Türkiye,:,91.0,1401.0,1856.0,2755.0,7758.0,8614.0,10284.0,11840.0,18141.0,49268.0,170008.0
Annual,Mopeds,Number,Zero emission,Ukraine,:,:,:,:,:,:,:,215.0,28.0,102.0,114.0,215.0
Annual,Mopeds,Number,Zero emission,United Kingdom,:,:,:,148.0,249.0,147.0,376.0,:,:,2436.0,2311.0,1354.0
Annual,Motorcycles,Number,Fossil fuel,Austria,:,44689.0,41991.0,40356.0,44551.0,41075.0,37344.0,28335.0,32963.0,33065.0,31730.0,35463.0
Annual,Motorcycles,Number,Fossil fuel,Bosnia and Herzegovina,:,172.0,190.0,215.0,264.0,353.0,366.0,372.0,422.0,665.0,728.0,748.0
Annual,Motorcycles,Number,Fossil fuel,Belgium,:,21858.0,21769.0,22718.0,25895.0,22780.0,25024.0,24969.0,26336.0,26294.0,24900.0,24873 i
Annual,Motorcycles,Number,Fossil fuel,Switzerland,:,45027.0,45654.0,50075.0,46768.0,46242.0,42170.0,40153.0,47116.0,53577.0,44233.0,44658.0
Annual,Motorcycles,Number,Fossil fuel,Cyprus,:,1384.0,1583.0,1399.0,1970.0,1994.0,2020.0,1933.0,2536.0,2929.0,2327.0,2990.0
Annual,Motorcycles,Number,Fossil fuel,Czechia,:,:,:,:,:,:,:,:,:,20442.0,:,:
Annual,Motorcycles,Number,Fossil fuel,Germany,:,:,147319.0,:,:,137762.0,152653.0,161599.0,213499.0,191622.0,:,201357.0
Annual,Motorcycles,Number,Fossil fuel,Estonia,:,827.0,954.0,927.0,1143.0,671.0,704.0,821.0,908.0,1120.0,1477.0,1591.0
Annual,Motorcycles,Number,Fossil fuel,Greece,:,:,:,:,:,:,:,:,:,:,54379.0,64416.0
Annual,Motorcycles,Number,Fossil fuel,Spain,:,:,:,:,159238.0,140863.0,159631.0,175009.0,152932.0,164869.0,172333.0,197042.0
Annual,Motorcycles,Number,Fossil fuel,Finland,:,3956.0,3503.0,3181.0,3094.0,2921.0,3276.0,3390.0,3693.0,3678.0,3751.0,3516.0
Annual,Motorcycles,Number,Fossil fuel,France,:,172142.0,174855.0,172284.0,181215.0,173326.0,184834.0,203337.0,197313.0,211604.0,191416.0,220101.0
Annual,Motorcycles,Number,Fossil fuel,Georgia,:,:,:,:,:,:,:,:,:,:,:,1296.0
Annual,Motorcycles,Number,Fossil fuel,Croatia,:,:,:,2905.0,3661.0,4376.0,5972.0,7091.0,5904.0,2083.0,3191.0,4739.0
Annual,Motorcycles,Number,Fossil fuel,Hungary,:,2076.0,1965.0,2176.0,2279.0,2345.0,3086.0,4096.0,4284.0,4599.0,5089.0,6502.0
Annual,Motorcycles,Number,Fossil fuel,Ireland,:,635.0,717.0,1041.0,1433.0,1290.0,1367.0,1868.0,1601.0,2224.0,2753.0,2876.0
Annual,Motorcycles,Number,Fossil fuel,Iceland,:,:,:,:,:,285.0,313.0,226.0,:,218.0,:,:
Annual,Motorcycles,Number,Fossil fuel,Italy,:,:,:,:,:,:,219019.0,230537.0,212036.0,263821.0,260084.0,304028.0
Annual,Motorcycles,Number,Fossil fuel,Liechtenstein,:,248.0,239.0,262.0,257.0,234.0,230.0,177.0,226.0,254.0,233.0,245.0
Annual,Motorcycles,Number,Fossil fuel,Lithuania,:,367.0,405.0,450.0,517.0,473.0,449.0,578.0,702.0,1042.0,1504.0,1516.0
Annual,Motorcycles,Number,Fossil fuel,Luxembourg,:,:,:,:,:,:,:,2044.0,2295.0,2424.0,2315.0,2399.0
Annual,Motorcycles,Number,Fossil fuel,Latvia,:,:,600.0,608.0,651.0,626.0,805.0,978.0,1014.0,1264.0,1393.0,1515.0
Annual,Motorcycles,Number,Fossil fuel,Montenegro,:,:,:,:,377.0,294.0,425.0,641.0,412.0,788.0,1300.0,:
Annual,Motorcycles,Number,Fossil fuel,Malta,:,1399.0,1748.0,1365.0,2450.0,2204.0,2409.0,2446.0,2252.0,3364.0,4656.0,3002.0
Annual,Motorcycles,Number,Fossil fuel,Netherlands,:,9218.0,10245.0,11237.0,12496.0,12611.0,12877.0,13806.0,14335.0,15059.0,15127.0,17062.0
Annual,Motorcycles,Number,Fossil fuel,Norway,:,:,:,:,8810.0,9883.0,11086.0,10197.0,11276.0,11350.0,10173.0,8069.0
Annual,Motorcycles,Number,Fossil fuel,Poland,:,7390 i,9845 i,23870 i,25844 i,15032 i,:,:,:,:,23298 i,:
Annual,Motorcycles,Number,Fossil fuel,Portugal,:,:,:,:,:,25740.0,29599.0,31435.0,30121.0,34673.0,36987.0,42396.0
Annual,Motorcycles,Number,Fossil fuel,Romania,:,:,:,:,:,:,:,3841.0,5735.0,6094.0,7552.0,8807.0
Annual,Motorcycles,Number,Fossil fuel,Serbia,:,:,:,:,:,:,:,2194.0,2957.0,4238.0,5192.0,6240.0
Annual,Motorcycles,Number,Fossil fuel,Sweden,:,:,12758.0,14071.0,19370.0,11706.0,12172.0,12402.0,14003.0,11493.0,11746.0,11318 b
Annual,Motorcycles,Number,Fossil fuel,Slovenia,:,:,:,:,:,:,:,:,:,:,:,6648.0
Annual,Motorcycles,Number,Fossil fuel,Türkiye,:,184724.0,177580.0,162282.0,139318.0,139011.0,110348.0,94503.0,107870.0,139549.0,203934.0,480952.0
Annual,Motorcycles,Number,Fossil fuel,Ukraine,:,:,:,:,:,:,:,34673.0,34191.0,39882.0,29096.0,34673.0
Annual,Motorcycles,Number,Fossil fuel,United Kingdom,:,:,:,115150.0,130397.0,107586.0,111559.0,:,:,115705.0,114960.0,112489.0
Annual,Motorcycles,Number,Fossil fuel,Kosovo*,:,:,:,:,:,350.0,521.0,677.0,:,1042.0,:,:
Annual,Motorcycles,Number,Total,Austria,:,46085.0,43365.0,41880.0,46840.0,43556.0,40417.0,29877.0,34638.0,35177.0,34175.0,36850.0
Annual,Motorcycles,Number,Total,Bosnia and Herzegovina,:,172.0,190.0,216.0,264.0,356.0,366.0,372.0,425.0,669.0,729.0,755.0
Annual,Motorcycles,Number,Total,Belgium,:,21926.0,21872.0,22829.0,26015.0,22948.0,25281.0,25503.0,26727.0,26645.0,25563.0,25490 i
Annual,Motorcycles,Number,Total,Bulgaria,:,567.0,634.0,756.0,850.0,829.0,900.0,970.0,824.0,1106.0,1464.0,2096.0
Annual,Motorcycles,Number,Total,Switzerland,:,47324.0,47521.0,51787.0,48175.0,47255.0,43743.0,42600.0,50073.0,56468.0,48799.0,49397.0
Annual,Motorcycles,Number,Total,Cyprus,:,1384.0,1585.0,1399.0,1971.0,1996.0,2023.0,1937.0,2541.0,2939.0,2328.0,2990.0
Annual,Motorcycles,Number,Total,Czechia,:,16158.0,15969.0,17031.0,17842.0,15915.0,17268.0,18697.0,21508.0,22011.0,23137.0,24150.0
Annual,Motorcycles,Number,Total,Germany,:,138632.0,148849.0,158457.0,182066.0,138286.0,153287.0,163370.0,216401.0,195257.0,217866.0,216649.0
Annual,Motorcycles,Number,Total,Denmark,:,1564.0,1940.0,2238.0,2987.0,2834.0,3465.0,3208.0,3678.0,3814.0,3163.0,2685.0
Annual,Motorcycles,Number,Total,Estonia,:,836.0,970.0,936.0,1145.0,671.0,708.0,824.0,913.0,1132.0,1536.0,1611.0
Annual,Motorcycles,Number,Total,Greece,:,29498 b,31922.0,34485.0,41486.0,28852.0,33377.0,38109.0,35464.0,44437.0,55662.0,65814.0
Annual,Motorcycles,Number,Total,Spain,:,95845.0,114600.0,135165.0,159640.0,143398.0,163035.0,181760.0,159982.0,171775.0,182294.0,206151.0
Annual,Motorcycles,Number,Total,European Union - 27 countries (from 2020),:,:,784929.0,851455.0,963307.0,870696.0,947492.0,1017034.0,1038787.0,1115095.0,1158112.0,:
Annual,Motorcycles,Number,Total,Finland,:,3959.0,3504.0,3192.0,3107.0,2927.0,3285.0,3396.0,3717.0,3709.0,3800.0,3543.0
Annual,Motorcycles,Number,Total,France,:,172382.0,175894.0,173432.0,182650.0,175135.0,188029.0,207484.0,201913.0,217712.0,205053.0,242816.0
Annual,Motorcycles,Number,Total,Georgia,:,:,:,:,:,:,:,:,:,:,:,1301.0
Annual,Motorcycles,Number,Total,Croatia,:,2245.0,2762.0,2953.0,3740.0,4436.0,6057.0,7164.0,5971.0,2155.0,3325.0,4850.0
Annual,Motorcycles,Number,Total,Hungary,:,2089.0,1992.0,2206.0,2356.0,2384.0,3126.0,4160.0,4347.0,4681.0,5274.0,6689.0
Annual,Motorcycles,Number,Total,Ireland,:,637.0,717.0,1042.0,1435.0,1310.0,1369.0,1881.0,1618.0,2256.0,2753.0,2877.0
Annual,Motorcycles,Number,Total,Iceland,:,:,:,:,:,285.0,314.0,227.0,224.0,219.0,:,:
Annual,Motorcycles,Number,Total,Italy,:,154461.0,156248.0,171252.0,193072.0,204850.0,219673.0,232326.0,216979.0,272040.0,271062.0,319748.0
Annual,Motorcycles,Number,Total,Liechtenstein,:,250.0,241.0,262.0,260.0,235.0,232.0,181.0,235.0,262.0,246.0,252.0
Annual,Motorcycles,Number,Total,Lithuania,:,372.0,412.0,454.0,542.0,489.0,457.0,589.0,730.0,1105.0,1579.0,1610.0
Annual,Motorcycles,Number,Total,Luxembourg,:,1499.0,1661.0,1589.0,1733.0,1802.0,1936.0,2063.0,2334.0,2472.0,2368.0,2439.0
Annual,Motorcycles,Number,Total,Latvia,:,495.0,600.0,610.0,651.0,628.0,806.0,981.0,1028.0,1283.0,1434.0,1565.0
Annual,Motorcycles,Number,Total,Moldova,:,2054.0,2119.0,1270.0,1246.0,1408.0,1718.0,2934.0,3309.0,3370.0,3784.0,4224.0
Annual,Motorcycles,Number,Total,Montenegro,:,:,:,:,380.0,302.0,434.0,651.0,419.0,799.0,1320.0,:
Annual,Motorcycles,Number,Total,North Macedonia,:,2786.0,2554.0,2391.0,3516.0,5658.0,3037.0,3152.0,4103.0,4719.0,5919.0,7154.0
Annual,Motorcycles,Number,Total,Malta,:,1422.0,1774.0,1367.0,2470.0,2216.0,2410.0,2447.0,2253.0,3365.0,4656.0,3002.0
Annual,Motorcycles,Number,Total,Netherlands,:,9244.0,10326.0,11317.0,12575.0,12740.0,13062.0,13962.0,14558.0,15267.0,15472.0,17467.0
Annual,Motorcycles,Number,Total,Norway,:,6527.0,6777.0,6832.0,8934.0,10187.0,11286.0,10483.0,11443.0,11815.0,10630.0,8342.0
Annual,Motorcycles,Number,Total,Poland,7750 i,7390 i,9845 i,23870 i,25844 i,15032 i,14524 i,19103 i,21815 i,21579 i,23910 i,:
Annual,Motorcycles,Number,Total,Portugal,:,:,17265.0,19870.0,22596.0,25770.0,29640.0,31901.0,30361.0,35117.0,38042.0,43233.0
Annual,Motorcycles,Number,Total,Romania,:,1099.0,1181.0,1331.0,1957.0,2107.0,2692.0,3908.0,5811.0,6220.0,7778.0,9144.0
Annual,Motorcycles,Number,Total,Serbia,:,:,:,1203.0,1408.0,1651.0,1858.0,2207.0,2997.0,4283.0,5212.0,6274.0
Annual,Motorcycles,Number,Total,Sweden,:,12990.0,12876.0,14392.0,19842.0,11990.0,12669.0,12772.0,14410.0,11954.0,12099.0,11626.0
Annual,Motorcycles,Number,Total,Slovenia,:,1943.0,2208.0,2470.0,2801.0,2941.0,3026.0,3332.0,3055.0,3928.0,5242.0,6728.0
Annual,Motorcycles,Number,Total,Slovakia,:,3754.0,3958.0,4932.0,5094.0,4654.0,4970.0,5310.0,5211.0,5959.0,7077.0,7597.0
Annual,Motorcycles,Number,Total,Türkiye,:,184863.0,178199.0,162795.0,140206.0,139743.0,110387.0,94522.0,107920.0,139800.0,205848.0,484246.0
Annual,Motorcycles,Number,Total,Ukraine,:,:,:,:,:,:,:,34690.0,34205.0,39898.0,29127.0,34690.0
Annual,Motorcycles,Number,Total,United Kingdom,:,:,:,115384.0,130652.0,107877.0,111940.0,:,:,119140.0,118914.0,115067.0
Annual,Motorcycles,Number,Total,Kosovo*,:,:,:,:,:,354.0,530.0,686.0,:,1048.0,:,:
Annual,Motorcycles,Number,Zero emission,Austria,:,1396.0,1374.0,1524.0,2289.0,2481.0,3073.0,1542.0,1675.0,2112.0,2445.0,1387.0
Annual,Motorcycles,Number,Zero emission,Bosnia and Herzegovina,:,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,4.0,1.0,7.0
Annual,Motorcycles,Number,Zero emission,Belgium,:,68.0,103.0,111.0,120.0,168.0,257.0,519.0,391.0,351.0,663.0,617 i
Annual,Motorcycles,Number,Zero emission,Switzerland,:,2297.0,1867.0,1712.0,1407.0,1013.0,1573.0,2447.0,2957.0,2891.0,4566.0,4739.0
Annual,Motorcycles,Number,Zero emission,Cyprus,:,0.0,2.0,0.0,1.0,2.0,3.0,4.0,5.0,10.0,1.0,0.0
Annual,Motorcycles,Number,Zero emission,Czechia,:,:,:,:,:,:,:,:,:,1569.0,:,:
Annual,Motorcycles,Number,Zero emission,Germany,:,:,:,:,:,524.0,634.0,1771.0,2902.0,3635.0,:,15292.0
Annual,Motorcycles,Number,Zero emission,Estonia,:,9.0,16.0,9.0,2.0,0.0,4.0,3.0,5.0,12.0,59.0,20.0
Annual,Motorcycles,Number,Zero emission,Greece,:,:,:,:,:,:,:,:,:,:,1283.0,1398.0
Annual,Motorcycles,Number,Zero emission,Spain,:,:,:,:,402.0,2535.0,3404.0,6751.0,7050.0,6906.0,9961.0,9109.0
Annual,Motorcycles,Number,Zero emission,Finland,:,3.0,1.0,11.0,13.0,6.0,9.0,6.0,24.0,29.0,49.0,27.0
Annual,Motorcycles,Number,Zero emission,France,:,240.0,1039.0,1148.0,1435.0,1809.0,3195.0,4147.0,4600.0,6108.0,13637.0,22715.0
Annual,Motorcycles,Number,Zero emission,Georgia,:,:,:,:,:,:,:,:,:,:,:,5.0
Annual,Motorcycles,Number,Zero emission,Croatia,:,:,:,48.0,79.0,60.0,85.0,73.0,67.0,72.0,134.0,111.0
Annual,Motorcycles,Number,Zero emission,Hungary,:,13.0,27.0,30.0,77.0,39.0,40.0,64.0,63.0,82.0,185.0,187.0
Annual,Motorcycles,Number,Zero emission,Ireland,:,2.0,0.0,1.0,2.0,20.0,2.0,13.0,17.0,32.0,0.0,1.0
Annual,Motorcycles,Number,Zero emission,Iceland,:,:,:,:,:,0.0,1.0,1.0,2.0,1.0,:,:
Annual,Motorcycles,Number,Zero emission,Italy,:,:,:,:,:,:,654.0,1789.0,4943.0,8219.0,10978.0,7860.0
Annual,Motorcycles,Number,Zero emission,Liechtenstein,:,2.0,2.0,0.0,3.0,1.0,2.0,4.0,9.0,8.0,13.0,7.0
Annual,Motorcycles,Number,Zero emission,Lithuania,:,5.0,7.0,4.0,25.0,13.0,8.0,11.0,28.0,63.0,75.0,94.0
Annual,Motorcycles,Number,Zero emission,Luxembourg,:,:,:,:,:,:,:,19.0,39.0,48.0,53.0,40.0
Annual,Motorcycles,Number,Zero emission,Latvia,:,:,0.0,2.0,0.0,2.0,1.0,3.0,14.0,19.0,41.0,50.0
