Time frequency,Agricultural products,Unit of measure,Geopolitical entity (reporting)\Time,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
Annual,Pigmeat,Tonnes product weight,Czechia,:,:,2187.0,203.0,47.0,458.0,83.0,144.0,145.0,145.0
Annual,Pigmeat,Tonnes product weight,Denmark,:,:,:,:,:,:,5600.0,5600.0,7380.0,7380.0
Annual,Pigmeat,Tonnes product weight,Estonia,:,:,:,:,:,16.0,12.0,11.0,25.0,55.0
Annual,Pigmeat,Tonnes product weight,Greece,:,:,:,:,:,:,:,326.0,:,:
Annual,Pigmeat,Tonnes product weight,Spain,:,:,:,:,:,:,:,:,916.0,:
Annual,Pigmeat,Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,:,0.0
Annual,Pigmeat,Tonnes product weight,Hungary,1.0,:,:,:,:,:,:,:,:,:
Annual,Pigmeat,Tonnes product weight,Ireland,:,:,:,:,50.0,60.0,75.0,80.0,:,:
Annual,Pigmeat,Tonnes product weight,Italy,:,:,:,:,:,:,:,:,:,6093.0
Annual,Pigmeat,Tonnes product weight,Lithuania,:,:,10.0,:,:,:,:,5.0,12.0,:
Annual,Pigmeat,Tonnes product weight,Luxembourg,4.0,:,:,:,:,:,:,:,:,:
Annual,Pigmeat,Tonnes product weight,Latvia,:,:,54.0,108.0,177.0,210.0,694.0,264.0,168.0,641.0
Annual,Pigmeat,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Pigmeat,Tonnes product weight,Netherlands,:,:,:,:,:,:,:,11590.0,12540.0,5400.0
Annual,Pigmeat,Tonnes product weight,Norway,:,57.0,70.0,49.0,:,196.0,115.0,:,398.0,361.0
Annual,Pigmeat,Tonnes product weight,Poland,:,:,:,:,:,:,:,490.0,962.0,12.0
Annual,Pigmeat,Tonnes product weight,Romania,:,:,:,:,:,:,0.0,:,:,2.0
Annual,Pigmeat,Tonnes product weight,Slovenia,:,:,199.0,31.0,:,30.0,43.0,8.0,0.0,5.0
Annual,Pigmeat,Tonnes product weight,Slovakia,:,:,:,:,:,:,:,:,0.0,0.0
Annual,Sheepmeat,Tonnes product weight,Bulgaria,:,:,:,:,:,:,0.0,:,:,:
Annual,Sheepmeat,Tonnes product weight,Czechia,:,:,2765.0,8.0,290.0,939.0,330.0,400.0,407.0,467.0
Annual,Sheepmeat,Tonnes product weight,Denmark,:,:,:,:,:,:,:,:,:,0.0
Annual,Sheepmeat,Tonnes product weight,Estonia,:,:,:,:,:,139.0,218.0,228.0,221.0,229.0
Annual,Sheepmeat,Tonnes product weight,Greece,:,:,:,:,:,:,:,32.0,:,:
Annual,Sheepmeat,Tonnes product weight,Spain,:,:,:,:,:,:,:,:,6820.0,:
Annual,Sheepmeat,Tonnes product weight,Finland,:,:,:,:,19.0,:,:,:,:,:
Annual,Sheepmeat,Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,:,0.0
Annual,Sheepmeat,Tonnes product weight,Hungary,4.0,:,:,:,:,:,:,:,:,:
Annual,Sheepmeat,Tonnes product weight,Ireland,:,:,:,:,100.0,100.0,90.0,100.0,:,:
Annual,Sheepmeat,Tonnes product weight,Italy,:,:,:,:,:,:,:,:,:,67733.0
Annual,Sheepmeat,Tonnes product weight,Lithuania,:,:,:,:,:,:,:,47.0,42.0,:
Annual,Sheepmeat,Tonnes product weight,Luxembourg,5.0,:,:,:,:,:,:,:,:,:
Annual,Sheepmeat,Tonnes product weight,Latvia,:,:,32.0,23.0,51.0,67.0,216.0,208.0,139.0,195.0
Annual,Sheepmeat,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Sheepmeat,Tonnes product weight,Netherlands,:,:,:,:,:,:,:,200.0,216.0,:
Annual,Sheepmeat,Tonnes product weight,Norway,343.0,378.0,412.0,360.0,:,443.0,513.0,:,566.0,544.0
Annual,Sheepmeat,Tonnes product weight,Poland,:,:,:,:,:,:,:,129.0,51.0,9.0
Annual,Sheepmeat,Tonnes product weight,Romania,:,:,:,:,:,:,0.0,:,:,0.0
Annual,Sheepmeat,Tonnes product weight,Slovenia,:,:,238.0,179.0,:,234.0,216.0,26.0,5 e,4.0
Annual,Sheepmeat,Tonnes product weight,Slovakia,:,:,:,:,:,2.0,:,:,84.0,0.0
Annual,Goat meat,Tonnes product weight,Bulgaria,:,:,:,:,:,:,0.0,:,:,:
Annual,Goat meat,Tonnes product weight,Czechia,:,:,798.0,:,26.0,14.0,10.0,22.0,30.0,18.0
Annual,Goat meat,Tonnes product weight,Denmark,:,:,:,:,:,:,:,:,:,0.0
Annual,Goat meat,Tonnes product weight,Estonia,:,:,:,:,:,2.0,3.0,2.0,3.0,2.0
Annual,Goat meat,Tonnes product weight,Greece,:,:,:,:,:,:,:,20.0,:,:
Annual,Goat meat,Tonnes product weight,Spain,:,:,:,:,:,:,:,:,731.0,:
Annual,Goat meat,Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,:,1.0
Annual,Goat meat,Tonnes product weight,Ireland,:,:,:,:,0.0,0.0,0.0,0.0,:,:
Annual,Goat meat,Tonnes product weight,Italy,:,:,:,:,:,:,:,:,:,5729.0
Annual,Goat meat,Tonnes product weight,Lithuania,:,:,:,:,:,:,:,5.0,0.0,:
Annual,Goat meat,Tonnes product weight,Luxembourg,0.0,:,:,:,:,:,:,:,:,:
Annual,Goat meat,Tonnes product weight,Latvia,:,:,1.0,3.0,3.0,4.0,5.0,3.0,4.0,16.0
Annual,Goat meat,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Goat meat,Tonnes product weight,Netherlands,:,:,:,:,:,:,:,78.0,42.0,:
Annual,Goat meat,Tonnes product weight,Norway,3.0,2.0,3.0,2.0,:,3.0,1.0,:,2.0,4.0
Annual,Goat meat,Tonnes product weight,Poland,:,:,:,:,:,:,:,2.0,7.0,3.0
Annual,Goat meat,Tonnes product weight,Romania,:,:,:,:,:,:,0.0,:,:,0.0
Annual,Goat meat,Tonnes product weight,Slovenia,:,:,22.0,11.0,:,81.0,78.0,3.0,0.0,0.0
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Bulgaria,:,:,:,:,0.0,:,0.0,:,:,:
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Czechia,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Denmark,:,:,:,:,:,:,:,:,:,0.0
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Estonia,:,:,:,:,:,6.0,8.0,2.0,1.0,3.0
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Greece,:,:,:,:,:,:,:,0.0,:,:
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Spain,:,:,:,:,:,:,:,:,217.0,:
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,:,0.0
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Ireland,:,:,:,:,0.0,0.0,0.0,:,:,:
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Italy,:,:,:,:,:,:,:,:,:,1043.0
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Lithuania,:,:,:,:,:,:,:,0.0,0.0,:
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Luxembourg,0.0,:,:,:,:,:,:,:,:,:
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Latvia,:,:,:,:,0.0,0.0,0.0,0 e,0.0,0.0
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Norway,:,:,:,:,:,:,0.0,:,0.0,0.0
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Poland,:,:,:,:,:,:,:,13.0,33.0,6.0
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Romania,:,:,:,:,:,:,0.0,:,:,0.0
Annual,"Meat of horses, asses, mules or hinnies",Tonnes product weight,Slovenia,:,:,0.0,:,:,:,:,10.0,1.0,2.0
Annual,Poultry meat,Tonnes product weight,Bulgaria,:,:,:,:,0.0,:,0.0,:,:,:
Annual,Poultry meat,Tonnes product weight,Czechia,:,:,:,:,2.0,2.0,1.0,81.0,78.0,123.0
Annual,Poultry meat,Tonnes product weight,Denmark,:,:,:,:,:,:,:,:,:,0.0
Annual,Poultry meat,Tonnes product weight,Estonia,:,:,:,:,:,0.0,1.0,1.0,1.0,2.0
Annual,Poultry meat,Tonnes product weight,Greece,:,:,:,:,:,:,:,837.0,:,:
Annual,Poultry meat,Tonnes product weight,Spain,:,:,:,:,:,:,:,:,488.0,:
Annual,Poultry meat,Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,:,0.0
Annual,Poultry meat,Tonnes product weight,Hungary,48.0,:,:,:,:,:,:,:,:,:
Annual,Poultry meat,Tonnes product weight,Ireland,:,:,:,:,125.0,155.0,200.0,140.0,:,:
Annual,Poultry meat,Tonnes product weight,Italy,:,:,:,:,:,:,:,:,:,1306.0
Annual,Poultry meat,Tonnes product weight,Lithuania,:,:,:,:,:,:,:,0.0,0.0,:
Annual,Poultry meat,Tonnes product weight,Luxembourg,4.0,:,:,:,:,:,:,:,:,:
Annual,Poultry meat,Tonnes product weight,Latvia,:,:,1.0,1.0,8.0,9.0,14.0,5.0,4.0,12.0
Annual,Poultry meat,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Poultry meat,Tonnes product weight,Netherlands,:,:,:,:,:,:,:,5100.0,2788.0,408.0
Annual,Poultry meat,Tonnes product weight,Norway,:,:,:,:,:,:,178.0,:,204.0,226.0
Annual,Poultry meat,Tonnes product weight,Poland,:,:,:,:,:,:,:,4.0,0.0,1.0
Annual,Poultry meat,Tonnes product weight,Romania,:,:,:,:,:,:,0.0,:,:,2.0
Annual,Poultry meat,Tonnes product weight,Slovenia,:,:,9.0,5.0,:,4.0,28.0,2.0,2.0,14.0
Annual,Poultry meat,Tonnes product weight,Slovakia,:,:,:,:,:,:,:,:,0.0,0.0
Annual,Meat of rabbits,Tonnes product weight,Bulgaria,:,:,:,:,0.0,:,0.0,:,:,:
Annual,Meat of rabbits,Tonnes product weight,Czechia,:,:,0.0,:,0.0,0.0,0.0,:,:,:
Annual,Meat of rabbits,Tonnes product weight,Estonia,:,:,:,:,:,0.0,0.0,:,:,:
Annual,Meat of rabbits,Tonnes product weight,Ireland,:,:,:,:,0.0,0.0,0.0,:,:,:
Annual,Meat of rabbits,Tonnes product weight,Luxembourg,0.0,:,:,:,:,:,:,:,:,:
Annual,Meat of rabbits,Tonnes product weight,Latvia,:,:,1.0,1.0,1.0,1.0,5.0,:,:,:
Annual,Meat of rabbits,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Meat of rabbits,Tonnes product weight,Norway,:,:,:,:,:,:,0.0,:,:,:
Annual,Meat of rabbits,Tonnes product weight,Romania,:,:,:,:,:,:,0.0,:,:,:
Annual,Meat of rabbits,Tonnes product weight,Slovenia,:,:,0.0,0.0,:,:,:,:,:,:
Annual,Other meat,Tonnes product weight,Bulgaria,:,:,:,:,0.0,:,0.0,:,:,:
Annual,Other meat,Tonnes product weight,Czechia,:,:,:,:,0.0,0.0,0.0,0.0,1.0,1.0
Annual,Other meat,Tonnes product weight,Denmark,:,:,:,:,:,:,:,:,:,0.0
Annual,Other meat,Tonnes product weight,Estonia,:,:,:,:,:,0.0,0.0,0.0,0.0,2.0
Annual,Other meat,Tonnes product weight,Greece,:,:,:,:,:,:,:,0.0,:,:
Annual,Other meat,Tonnes product weight,Spain,:,:,:,:,:,:,:,:,1.0,:
Annual,Other meat,Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,:,0.0
Annual,Other meat,Tonnes product weight,Ireland,:,:,:,:,0.0,0.0,0.0,:,:,:
Annual,Other meat,Tonnes product weight,Italy,:,:,:,:,:,:,:,:,:,63.0
Annual,Other meat,Tonnes product weight,Lithuania,:,:,:,:,:,:,:,0.0,0.0,:
Annual,Other meat,Tonnes product weight,Luxembourg,0.0,:,:,:,:,:,:,:,:,:
Annual,Other meat,Tonnes product weight,Latvia,:,:,:,0.0,1.0,:,1 e,8 e,6.0,20.0
Annual,Other meat,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Other meat,Tonnes product weight,Norway,:,:,:,:,:,:,0.0,:,0.0,0.0
Annual,Other meat,Tonnes product weight,Poland,:,:,:,:,:,:,:,11.0,1.0,36.0
Annual,Other meat,Tonnes product weight,Romania,:,:,:,:,:,:,0.0,:,:,0.0
Annual,Other meat,Tonnes product weight,Slovenia,:,:,804.0,0.0,:,3.0,:,:,:,1.0
Annual,Other meat,Tonnes product weight,Slovakia,:,:,:,:,:,:,:,:,0.0,0.0
Annual,"Raw milk, total available on farms",Thousand litres,Bulgaria,:,:,:,:,259.0,681.0,800.0,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Czechia,:,:,:,11722.0,11489.0,11219.0,13058.0,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Estonia,:,:,:,:,:,16189.0,12133.0,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Ireland,:,:,:,:,950.0,4200.0,4700.0,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Lithuania,:,:,9754.0,:,:,:,:,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Luxembourg,1200.0,:,:,:,:,:,:,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Latvia,:,:,8762.0,11396.0,25743.0,37698 e,95064.0,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Norway,17195.0,20736.0,24331.0,25600.0,:,28600.0,32562.0,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Romania,:,:,:,:,51269.0,:,7644.0,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Slovenia,:,:,5650.0,2696.0,:,267870.0,2646.0,:,:,:
Annual,"Raw milk, total available on farms",Thousand litres,Slovakia,:,110.0,:,:,4108.0,6180.0,:,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Bulgaria,:,:,:,:,:,:,386.0,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Czechia,:,:,:,11210.0,11202.0,10875.0,12683.0,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Denmark,:,:,:,:,:,:,430800.0,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Estonia,:,:,:,:,:,:,12082.0,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Finland,:,:,:,:,:,:,28079.0,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Ireland,:,:,:,:,800.0,4000.0,4550.0,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Latvia,:,:,:,:,:,:,95064.0,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Norway,:,:,:,:,:,:,:,:,46541.0,50523.0
Annual,Raw cows' milk from farm,Thousand litres,Romania,:,:,:,:,51269.0,:,7644.0,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Slovenia,:,:,:,2675.0,:,:,2603.0,:,:,:
Annual,Raw cows' milk from farm,Thousand litres,Slovakia,:,:,:,:,3790.0,5827.0,:,:,:,:
Annual,Ewes' milk from farm,Thousand litres,Bulgaria,:,:,:,:,:,:,95.0,:,:,:
Annual,Ewes' milk from farm,Thousand litres,Czechia,:,:,:,8.0,10.0,0.0,19.0,:,:,:
Annual,Ewes' milk from farm,Thousand litres,Estonia,:,:,:,:,:,:,0.0,:,:,:
Annual,Ewes' milk from farm,Thousand litres,Ireland,:,:,:,:,0.0,0.0,0.0,:,:,:
Annual,Ewes' milk from farm,Thousand litres,Latvia,:,:,:,:,:,:,0.0,:,:,:
Annual,Ewes' milk from farm,Thousand litres,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Ewes' milk from farm,Thousand litres,Romania,:,:,:,:,:,:,0.0,:,:,:
Annual,Ewes' milk from farm,Thousand litres,Slovenia,:,:,:,17.0,:,:,9.0,:,:,:
Annual,Ewes' milk from farm,Thousand litres,Slovakia,:,:,:,:,77.0,253.0,:,:,:,:
Annual,Goats' milk from farm,Thousand litres,Bulgaria,:,:,:,:,:,:,320.0,:,:,:
Annual,Goats' milk from farm,Thousand litres,Czechia,:,:,:,504.0,277.0,344.0,356.0,:,:,:
Annual,Goats' milk from farm,Thousand litres,Estonia,:,:,:,:,:,:,51.0,:,:,:
Annual,Goats' milk from farm,Thousand litres,Ireland,:,:,:,:,150.0,200.0,150.0,:,:,:
Annual,Goats' milk from farm,Thousand litres,Latvia,:,:,:,:,:,:,0.0,:,:,:
Annual,Goats' milk from farm,Thousand litres,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Goats' milk from farm,Thousand litres,Romania,:,:,:,:,:,:,0.0,:,:,:
Annual,Goats' milk from farm,Thousand litres,Slovenia,:,:,:,5.0,:,:,34.0,:,:,:
Annual,Goats' milk from farm,Thousand litres,Slovakia,:,:,:,91.0,241.0,100.0,:,:,:,:
Annual,Cream,Thousand litres,Bulgaria,:,:,:,:,:,0.0,0.0,:,:,:
Annual,Cream,Thousand litres,Czechia,:,:,:,9855.0,0.0,0.0,0.0,:,:,:
Annual,Cream,Thousand litres,Estonia,:,:,:,:,:,0.0,0.0,:,:,:
Annual,Cream,Thousand litres,Ireland,:,:,:,:,50.0,50.0,37.0,:,:,:
Annual,Cream,Thousand litres,Luxembourg,0.0,:,:,:,:,:,:,:,:,:
Annual,Cream,Thousand litres,Latvia,:,:,:,7.0,66.0,71.0,155.0,:,:,:
Annual,Cream,Thousand litres,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Cream,Thousand litres,Norway,:,:,:,776.0,:,:,61.0,:,:,:
Annual,Cream,Thousand litres,Romania,:,:,:,:,17.0,:,0.0,:,:,:
Annual,Butter,Tonnes product weight,Bulgaria,:,:,:,:,:,0.0,0.0,:,:,:
Annual,Butter,Tonnes product weight,Czechia,:,:,2.0,5.0,1.0,1.0,2.0,1.0,2.0,0.0
Annual,Butter,Tonnes product weight,Denmark,:,:,:,:,:,:,1901.0,3300.0,2900.0,3227.0
Annual,Butter,Tonnes product weight,Estonia,:,:,:,:,:,0.0,0.0,0.0,:,0.0
Annual,Butter,Tonnes product weight,Spain,:,:,:,:,:,:,:,:,16.0,:
Annual,Butter,Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,:,1.0
Annual,Butter,Tonnes product weight,Ireland,:,:,:,:,:,:,29.0,:,:,:
Annual,Butter,Tonnes product weight,Italy,:,:,:,:,:,:,:,:,:,1047.0
Annual,Butter,Tonnes product weight,Lithuania,:,:,:,:,:,:,:,0.0,:,:
Annual,Butter,Tonnes product weight,Luxembourg,0.0,:,:,:,:,:,:,:,:,:
Annual,Butter,Tonnes product weight,Latvia,:,:,:,2.0,3.0,4.0,17.0,27 e,5.0,1.0
Annual,Butter,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Butter,Tonnes product weight,Norway,:,:,:,:,:,:,:,44.0,:,:
Annual,Butter,Tonnes product weight,Poland,:,:,:,:,:,:,:,6.0,26.0,33.0
Annual,Butter,Tonnes product weight,Romania,:,:,:,:,20.0,:,40.0,:,:,50.0
Annual,Butter,Tonnes product weight,Slovenia,:,:,:,:,:,:,:,0.0,1.0,2.0
Annual,Butter,Tonnes product weight,Slovakia,:,:,:,:,:,:,:,0.0,0.0,0.0
Annual,Cheese,Tonnes product weight,Bulgaria,:,:,:,:,:,8.0,217.0,207.0,118.0,144.0
Annual,Cheese,Tonnes product weight,Czechia,:,:,337.0,402.0,9.0,9.0,23.0,50.0,49.0,65.0
Annual,Cheese,Tonnes product weight,Denmark,:,:,:,:,:,:,3454.0,7800.0,3500.0,3641.0
Annual,Cheese,Tonnes product weight,Estonia,:,:,:,:,:,0.0,0.0,0.0,:,99.0
Annual,Cheese,Tonnes product weight,Spain,:,:,:,:,:,:,:,:,182.0,:
Annual,Cheese,Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,7.0,3.0
Annual,Cheese,Tonnes product weight,Hungary,1.0,:,:,:,:,:,:,:,:,:
Annual,Cheese,Tonnes product weight,Ireland,:,:,:,:,20.0,25.0,21.0,22.0,:,:
Annual,Cheese,Tonnes product weight,Italy,:,:,:,:,:,:,:,:,:,11857.0
Annual,Cheese,Tonnes product weight,Lithuania,:,:,:,:,:,:,:,0.0,:,:
Annual,Cheese,Tonnes product weight,Luxembourg,10.0,:,:,:,:,:,:,:,:,:
Annual,Cheese,Tonnes product weight,Latvia,:,:,:,4.0,6.0,22.0,43.0,33.0,11.0,6.0
Annual,Cheese,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Cheese,Tonnes product weight,Norway,:,:,:,75.0,:,:,:,174.0,:,:
Annual,Cheese,Tonnes product weight,Poland,:,:,:,:,:,:,:,47.0,20.0,1135.0
Annual,Cheese,Tonnes product weight,Romania,:,:,:,:,544.0,:,96.0,:,:,332.0
Annual,Cheese,Tonnes product weight,Slovenia,:,:,:,:,:,:,:,78.0,40.0,173.0
Annual,Cheese,Tonnes product weight,Slovakia,:,17.0,:,:,:,:,:,47.0,44.0,152.0
Annual,Eggs for consumption,Tonnes product weight,Bulgaria,:,:,:,:,0.0,0.0,0.0,:,:,:
Annual,Eggs for consumption,Tonnes product weight,Czechia,:,:,:,:,26.0,65.0,142.0,87.0,167.0,172.0
Annual,Eggs for consumption,Tonnes product weight,Denmark,:,:,:,:,:,:,:,:,8200.0,9036.0
Annual,Eggs for consumption,Tonnes product weight,Estonia,:,:,:,:,:,0.0,:,29.0,38.0,:
Annual,Eggs for consumption,Tonnes product weight,Greece,:,:,:,:,:,:,:,1459.0,:,:
Annual,Eggs for consumption,Tonnes product weight,Spain,:,:,:,:,:,:,:,:,618.0,:
Annual,Eggs for consumption,Tonnes product weight,Finland,:,:,:,:,:,:,:,1307.0,1570.0,:
Annual,Eggs for consumption,Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,5.0,5.0
Annual,Eggs for consumption,Tonnes product weight,Ireland,:,:,:,:,215.0,270.0,350.0,300.0,:,:
Annual,Eggs for consumption,Tonnes product weight,Lithuania,:,:,90.0,:,:,:,:,4.0,6.0,:
Annual,Eggs for consumption,Tonnes product weight,Luxembourg,38.0,:,:,:,:,:,:,:,:,:
Annual,Eggs for consumption,Tonnes product weight,Latvia,:,:,962.0,8.0,14.0,632 e,154.0,28.0,25.0,:
Annual,Eggs for consumption,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Eggs for consumption,Tonnes product weight,Netherlands,:,:,:,:,:,:,:,25080.0,:,:
Annual,Eggs for consumption,Tonnes product weight,Norway,283.0,358.0,358.0,399.0,:,735.0,1493.0,2440.0,2414.0,2249.0
Annual,Eggs for consumption,Tonnes product weight,Poland,:,:,:,:,:,:,:,519.0,1495.0,1537.0
