Time frequency,Unit of measure,Quantile,Reason,Age class,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Spain,0.5,0.4,0.4,0.1,0.2,0.0 n,0.2,1.0,0.7,1.1
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,European Union - 27 countries (from 2020),1.9,1.6,1.5,0.8,1.0,0.8,1.0,1.2,1.3,1.3
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Finland,2.1,3.6,2.9,1.6,2.7,3.1,3.9,3.5,7.9,7.9
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,France,2.9,1.6,1.2,1.2,1.5,1.4,1.7 b,2.7,2.8 b,3.0
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Croatia,0.4,0.4,0.2,0.3,0.1,0.1,0.1,0.0 n,0.1,0.0 b
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Hungary,0.9,0.8,0.4,0.1,0.2,0.2,0.1,0.4,0.2,0.2
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Ireland,2.6,2.0,1.3,2.2,2.1,1.5 b,1.9 b,1.1,0.7,1.6
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Iceland,3.4,5.8,3.0,3.5,4.8,4.9,2.0,:,:,:
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Italy,2.7,3.2,3.5,0.2,0.6,0.4,:,0.7,0.8,0.5
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Lithuania,1.3,0.5,1.0,0.3,0.5,0.1,0.2,0.7,1.1,1.4
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Luxembourg,0.5,0.4,0.2,0.1,0.2,0.2,0.0 b,0.9 b,0.5 b,0.4
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Latvia,4.0,2.7,2.4,2.8,1.7,1.7,1.6,1.5,2.2,1.9
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Montenegro,0.8,0.6,0.2,0.4,0.1,0.8,0.3,0.3,0.7,0.3
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,North Macedonia,1.2,0.7,0.4,0.6,1.2,0.7,0.5,:,:,:
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Malta,0.4,0.2,0.6,0.1,0.0,0.0,0.0,0.0 n,0.3,0.1
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Netherlands,0.0,0.1,0.1,0.0,0.0 n,0.5,0.2,0.3,0.0 n,0.1
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Norway,0.6,1.1,1.4,1.5,1.7,1.8,1.5,0.7 b,1.5,3.1
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Poland,3.2,2.7,2.4,1.9 b,1.5,1.8,1.0,1.4,1.0,1.6
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Portugal,1.8,1.8,1.0,1.3,0.9,0.8,0.9,1.4,1.4,1.2
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Romania,2.0,1.7,1.7,0.6,1.1,0.6,1.0,1.1,0.9,0.5
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Serbia,2.4,2.2,1.3,1.4,1.7,1.6,0.7,1.0,0.4,0.5
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Sweden,3.0,1.9,1.1,1.4,2.0,1.1,2.0,1.5,2.1,2.3
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Slovenia,0.3,0.1,0.3,2.3,2.9,1.6,1.2,2.1,2.6,1.5
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Slovakia,1.0,0.9,1.3,1.6,0.9,1.5,1.9,0.6,1.3,1.1
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Türkiye,6.4,4.7,2.9,1.7,1.7,2.2,1.3,1.7,1.4,0.9
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,United Kingdom,1.7,2.5,0.7,2.3 b,3.3,:,:,:,:,:
