Time frequency,Size classes in number of persons employed,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 50 to 249 persons employed,Males,Percentage,Malta,45.3,48.4,48.0,49.8
Annual,From 50 to 249 persons employed,Males,Percentage,Netherlands,33.5,41.1,48.5,41.6
Annual,From 50 to 249 persons employed,Males,Percentage,Norway,43.2,48.7,63.2,54.5 u
Annual,From 50 to 249 persons employed,Males,Percentage,Poland,31.4,48.0,51.1,45.0
Annual,From 50 to 249 persons employed,Males,Percentage,Portugal,40.2,54.5,54.9,52.3
Annual,From 50 to 249 persons employed,Males,Percentage,Romania,25.4,36.5,35.3,32.8
Annual,From 50 to 249 persons employed,Males,Percentage,Serbia,:,:,:,32.0
Annual,From 50 to 249 persons employed,Males,Percentage,Sweden,49.5,56.9,55.2 b,54.7 b
Annual,From 50 to 249 persons employed,Males,Percentage,Slovenia,43.2,51.7,58.1,52.1
Annual,From 50 to 249 persons employed,Males,Percentage,Slovakia,48.7,60.8,68.1,56.5
Annual,From 50 to 249 persons employed,Males,Percentage,United Kingdom,40.9,36.2,38.4,:
Annual,From 50 to 249 persons employed,Total,Percentage,Austria,31.7,36.2,43.4,37.8
Annual,From 50 to 249 persons employed,Total,Percentage,Belgium,43.9,54.6,60.1,56.7
Annual,From 50 to 249 persons employed,Total,Percentage,Bulgaria,30.9,38.6,43.0,37.1
Annual,From 50 to 249 persons employed,Total,Percentage,Cyprus,39.4,41.0,41.9,41.0
Annual,From 50 to 249 persons employed,Total,Percentage,Czechia,66.5,71.1,87.8 b,86.1
Annual,From 50 to 249 persons employed,Total,Percentage,Germany,40.0,46.7,43.5,39.0
Annual,From 50 to 249 persons employed,Total,Percentage,Denmark,39.2,43.9,36.5,33.6
Annual,From 50 to 249 persons employed,Total,Percentage,Estonia,31.0,39.3,32.5,35.1
Annual,From 50 to 249 persons employed,Total,Percentage,Greece,21.0,27.0,39.2,40.5
Annual,From 50 to 249 persons employed,Total,Percentage,Spain,45.1,50.2,52.2,65.5
Annual,From 50 to 249 persons employed,Total,Percentage,European Union - 27 countries (from 2020),39.9,46.0,48.5,46.9
Annual,From 50 to 249 persons employed,Total,Percentage,European Union - 28 countries (2013-2020),40.2,44.9,47.2,:
Annual,From 50 to 249 persons employed,Total,Percentage,Finland,35.5,39.8,45.5,36.6
Annual,From 50 to 249 persons employed,Total,Percentage,France,40.3,44.3,42.6,45.3
Annual,From 50 to 249 persons employed,Total,Percentage,Croatia,:,26.8,32.4,33.1
Annual,From 50 to 249 persons employed,Total,Percentage,Hungary,15.8,21.3,25.8,23.6
Annual,From 50 to 249 persons employed,Total,Percentage,Ireland,51.4,:,56.4,48.0
Annual,From 50 to 249 persons employed,Total,Percentage,Italy,41.6,43.6,54.0,49.3
Annual,From 50 to 249 persons employed,Total,Percentage,Lithuania,23.1,28.2,34.8,34.1
Annual,From 50 to 249 persons employed,Total,Percentage,Luxembourg,47.4,50.5,66.3,56.6
Annual,From 50 to 249 persons employed,Total,Percentage,Latvia,24.0,49.5,49.8,52.4
Annual,From 50 to 249 persons employed,Total,Percentage,North Macedonia,:,:,29.7,30.0
Annual,From 50 to 249 persons employed,Total,Percentage,Malta,45.1,50.9,50.6,53.8
Annual,From 50 to 249 persons employed,Total,Percentage,Netherlands,32.3,40.1,46.5,40.7
Annual,From 50 to 249 persons employed,Total,Percentage,Norway,44.1,44.8,57.0,55.1
Annual,From 50 to 249 persons employed,Total,Percentage,Poland,32.4,48.4,49.9,44.7
Annual,From 50 to 249 persons employed,Total,Percentage,Portugal,40.4,53.8,54.0,52.6
Annual,From 50 to 249 persons employed,Total,Percentage,Romania,26.1,37.1,36.5,33.4
Annual,From 50 to 249 persons employed,Total,Percentage,Serbia,:,:,:,34.3
Annual,From 50 to 249 persons employed,Total,Percentage,Sweden,49.7,51.7,55.1 b,55.7 b
Annual,From 50 to 249 persons employed,Total,Percentage,Slovenia,44.9,52.2,58.7,52.4
Annual,From 50 to 249 persons employed,Total,Percentage,Slovakia,46.8,57.9,64.5,55.1
Annual,From 50 to 249 persons employed,Total,Percentage,United Kingdom,41.7,36.4,38.8,:
Annual,250 persons employed or more,Females,Percentage,Austria,37.5,36.5,54.3,36.0
Annual,250 persons employed or more,Females,Percentage,Belgium,54.6,54.7,54.8,47.2
Annual,250 persons employed or more,Females,Percentage,Bulgaria,32.4,56.1,46.4,46.3
Annual,250 persons employed or more,Females,Percentage,Cyprus,51.5,63.3,58.7,40.9
Annual,250 persons employed or more,Females,Percentage,Czechia,57.6,63.9,80.8 b,84.1
Annual,250 persons employed or more,Females,Percentage,Germany,32.4,42.0,44.2,53.8
Annual,250 persons employed or more,Females,Percentage,Denmark,38.9,33.8,44.7,33.2
Annual,250 persons employed or more,Females,Percentage,Estonia,31.9,35.4,49.2,47.6
Annual,250 persons employed or more,Females,Percentage,Greece,31.3,34.8,40.5,32.3
Annual,250 persons employed or more,Females,Percentage,Spain,51.8,58.5,63.8,85.3
Annual,250 persons employed or more,Females,Percentage,European Union - 27 countries (from 2020),43.0,48.2,53.5,57.0
Annual,250 persons employed or more,Females,Percentage,European Union - 28 countries (2013-2020),42.7,47.3,48.2,:
Annual,250 persons employed or more,Females,Percentage,Finland,50.3,49.8,47.7,39.5
Annual,250 persons employed or more,Females,Percentage,France,52.9,50.6,58.6,59.0
Annual,250 persons employed or more,Females,Percentage,Croatia,:,34.0,49.1,48.0
Annual,250 persons employed or more,Females,Percentage,Hungary,24.7,28.7,28.8,32.2
Annual,250 persons employed or more,Females,Percentage,Ireland,75.6,:,66.0,65.1 u
Annual,250 persons employed or more,Females,Percentage,Italy,51.2,54.6,61.5,60.1
Annual,250 persons employed or more,Females,Percentage,Lithuania,26.0,28.7,39.2,45.6
Annual,250 persons employed or more,Females,Percentage,Luxembourg,64.0,64.5,77.3,70.8
Annual,250 persons employed or more,Females,Percentage,Latvia,26.7,44.1,48.7,59.5 u
Annual,250 persons employed or more,Females,Percentage,North Macedonia,:,:,46.1,28.4
Annual,250 persons employed or more,Females,Percentage,Malta,73.8,71.5,63.9,50.9
Annual,250 persons employed or more,Females,Percentage,Netherlands,40.6,41.5,39.2,46.3
